"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57"
"11",2,2,2,2,1,1,1,2,2,2,1,1,1,2,2,1,1,1,1,2,1,2,2,2,2,2,1,1,2,1,2,2,2,1,2,1,2,2,1,1,2,2,2,2,2,1,2,1,1,1,2,1,2,1,2,2,2
"12",1,1,2,2,1,1,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,1,1,2,1,2,2,1,2,2,2,1,2,1,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,2,2,2
"13",2,2,1,2,1,1,2,2,2,2,1,1,2,2,2,2,1,2,2,2,1,1,2,1,1,2,1,2,2,1,2,2,2,1,2,1,2,2,1,2,2,1,2,2,2,2,2,1,1,2,2,2,1,2,2,2,2
"14",1,1,1,1,1,2,2,2,2,1,2,1,1,2,2,2,1,1,1,1,2,1,2,2,1,2,1,2,2,1,2,2,2,1,2,2,2,2,1,2,2,1,2,2,2,1,2,1,1,2,2,2,1,1,2,1,2
"15",2,2,1,1,1,1,1,1,2,2,2,1,1,2,2,2,1,1,1,1,1,2,2,1,1,2,1,2,2,1,1,1,1,1,2,2,2,2,1,2,1,1,2,2,1,1,2,1,1,2,2,2,1,1,2,1,2
"16",2,1,1,1,2,1,1,1,1,2,2,2,1,1,2,1,1,2,1,1,1,2,1,1,2,2,2,1,2,1,1,1,2,1,2,1,2,2,1,2,2,2,1,2,2,2,2,2,1,1,1,2,2,1,2,2,2
"17",1,1,1,1,2,2,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,2,1,2,1,1,1,1,2,1,1,2,2,1,2,2,2,2,2,1,1,1,2,2,2,1,1,1,1,1,2,1,1,1,2,2,1
"18",1,2,2,1,1,1,2,2,1,1,2,1,1,1,2,2,1,1,1,1,1,1,2,2,1,2,1,1,2,1,1,2,1,1,2,1,2,2,1,1,2,2,1,2,2,1,2,2,1,1,2,2,1,1,2,2,2
"19",1,1,2,1,1,1,2,2,1,2,1,1,2,2,2,2,2,1,2,1,2,2,2,2,2,1,2,1,2,1,1,2,1,1,2,2,1,2,2,2,2,1,2,2,2,1,2,1,1,1,1,2,2,1,2,2,1
"20",2,1,1,1,1,1,1,2,1,2,1,2,1,NA,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",1,2,2,2,1,1,2,2,2,2,1,2,1,2,2,2,1,1,2,1,2,1,2,2,2,2,2,1,2,1,1,2,2,1,2,2,2,2,1,2,2,1,2,2,2,2,2,1,1,2,2,2,1,2,2,1,2
"22",2,2,2,1,1,1,2,2,2,2,2,1,1,1,1,2,1,NA,1,1,1,1,2,2,1,2,2,1,2,1,1,2,1,2,2,2,1,1,2,1,2,1,1,2,2,2,2,1,1,2,2,2,1,1,2,2,2
"23",1,1,1,1,1,1,2,1,2,2,1,1,1,1,2,2,1,1,1,2,1,1,2,2,1,2,1,1,2,1,2,2,2,2,2,1,2,1,1,2,2,1,2,2,2,1,2,1,1,1,2,2,2,1,2,1,1
"24",2,2,2,2,1,1,2,2,1,2,2,1,2,1,2,2,1,1,1,1,1,1,2,2,1,2,1,2,2,1,1,2,2,1,2,2,2,2,2,1,1,1,2,2,2,1,2,1,1,2,2,2,2,2,1,1,1
"25",1,1,2,2,1,1,1,2,2,2,1,1,2,1,2,2,1,1,1,1,1,1,2,2,1,2,2,1,2,1,2,2,2,1,2,2,2,1,1,2,2,1,2,2,2,2,2,1,1,2,2,2,2,1,1,1,2
"26",1,2,2,2,1,2,2,2,2,2,1,1,1,1,2,2,1,1,1,1,1,1,2,2,1,NA,2,1,2,1,NA,2,1,1,2,2,2,2,2,2,1,1,2,2,2,2,2,1,2,2,2,1,2,2,1,2,2
"27",1,2,1,2,1,1,2,2,2,2,1,1,1,2,2,2,1,1,1,2,2,1,2,1,1,2,2,2,2,1,2,2,2,2,2,1,2,2,1,2,2,1,2,2,2,1,2,1,1,2,2,2,1,1,2,2,2
"28",1,2,1,1,1,1,1,2,2,2,1,1,1,1,2,1,1,1,1,1,2,1,2,2,1,2,1,1,1,1,1,2,2,2,2,1,1,1,2,1,2,2,2,2,2,2,2,1,1,1,2,2,1,2,1,2,2
"29",1,2,2,2,1,1,2,2,1,2,2,2,2,1,2,2,1,1,1,1,2,1,2,2,2,2,2,1,2,1,2,2,1,2,2,2,2,2,1,2,2,1,2,2,1,1,2,1,1,2,1,2,2,2,1,1,2
"30",1,2,1,1,1,1,1,2,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,2,1,2,1,1,1,2,1,1,1,1,NA,1,1,1,1,2,2,1,2,1,2,1
"31",2,2,1,1,1,2,1,2,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,2,1,2,2,1,2,2,1,1,1,1,2,NA,1,2,1,1,1,1,2,2,1,2,2,1,1,1,1,2,2,2,1,1,2
"32",1,1,2,2,1,2,1,2,1,2,1,1,2,1,2,1,2,1,2,2,1,1,2,2,1,1,2,1,1,1,2,2,1,1,1,2,1,1,2,1,2,2,2,2,1,2,1,1,2,1,2,1,2,1,2,2,2
"33",2,2,1,2,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,1,1,1,1,2,2,2,1,2,2,1,1,1,1,2,1,2,1,1,1,1,2,1,2,1,2,2,2
"34",1,1,2,1,2,1,1,2,1,2,1,2,2,1,2,1,1,1,1,1,1,1,2,2,1,2,1,2,2,1,2,2,1,1,2,2,2,2,1,1,2,1,2,2,2,2,1,1,2,2,2,1,2,1,1,2,2
"35",1,1,1,1,1,1,2,2,1,2,1,1,2,1,2,1,1,1,2,1,2,1,2,2,1,2,2,1,1,1,2,2,2,2,2,2,1,2,2,1,2,1,2,2,2,2,2,1,1,1,2,2,2,2,1,2,2
"36",1,1,2,2,1,2,1,2,1,2,1,1,2,1,2,1,1,1,2,1,2,2,2,2,2,2,2,1,1,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,1,1,1,2,2,2,2,2
"37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",2,2,1,2,1,1,2,2,1,2,1,1,2,2,1,2,2,2,1,1,1,2,2,2,1,2,2,2,1,1,2,1,2,2,2,2,2,2,2,2,1,1,2,2,1,2,2,1,1,2,2,2,2,1,2,1,2
"39",1,1,1,2,1,2,1,2,2,1,1,1,2,1,2,2,1,1,1,2,2,2,2,1,1,2,1,1,1,1,1,1,1,1,2,1,1,2,2,1,2,1,2,2,2,2,2,1,1,2,2,2,1,1,1,2,2
"40",1,1,1,2,2,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2,2,2,1,2,2,1,1,1,1,1,1,1,2,2,2,1,2,2,1,1,2,2,2,2,2,1,2,2,2,1,2,1,2,1,1
"41",2,2,1,1,1,2,1,2,1,2,1,1,2,1,2,1,1,1,1,1,2,1,2,2,1,2,1,1,2,1,1,NA,1,1,2,2,2,2,2,1,2,1,2,2,2,1,1,1,1,1,2,2,1,1,1,2,2
"42",1,1,2,1,1,1,2,2,2,2,1,1,1,1,2,1,1,1,1,1,1,2,2,1,1,2,1,2,1,1,2,2,2,1,2,2,1,2,2,2,2,1,2,2,2,1,2,2,1,1,2,2,2,2,2,2,2
"43",1,2,1,2,1,1,2,2,2,2,2,1,1,2,2,1,1,1,2,1,1,1,2,1,1,2,1,2,2,2,2,2,2,2,2,1,1,2,1,2,1,2,2,2,2,1,2,1,1,2,2,2,2,1,2,2,2
"44",1,1,2,1,1,2,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,2,2,2,1,1,2,2,2,1,2,2,1,2,1,2,1,2,2,NA,1,1,2,1,1,2,1,2,1,2,2,2
"45",2,2,1,2,2,2,2,1,1,2,1,1,1,1,2,2,1,1,1,2,1,1,1,1,1,2,1,1,2,1,2,1,1,2,2,2,2,2,1,1,2,1,2,2,2,2,2,1,1,1,2,1,1,1,2,1,2
"46",1,1,1,2,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,2,1,2,2,1,1,1,2,2,2,2,1,1,1,2,2,1,1,2,2,2,2
"47",1,1,2,2,1,2,1,2,1,2,2,1,1,1,2,1,1,1,2,1,1,2,1,2,1,1,2,1,2,1,1,2,1,1,1,2,1,1,2,1,2,1,2,2,2,1,2,1,1,2,2,1,2,1,1,2,1
"48",1,1,2,2,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,2,2,2,2,2,1,2,2,1,1,1,1,2,2,2,1,2,1,1,1,2,1,2,2,1,1,2
"49",1,2,2,1,1,1,1,1,2,2,1,1,1,1,2,1,1,2,1,2,1,1,1,2,1,1,1,2,2,1,2,1,1,1,2,2,2,2,1,1,2,1,2,1,2,1,1,1,1,1,2,2,1,1,2,1,2
"50",1,2,1,1,2,2,1,1,2,1,1,1,1,1,2,2,1,1,1,1,1,2,2,2,1,2,1,2,2,1,2,2,2,1,2,2,2,2,1,2,2,1,2,2,2,1,2,1,1,2,2,2,1,1,1,1,2
"51",2,2,2,2,1,2,1,2,2,2,1,1,2,1,2,1,1,1,1,1,1,2,1,2,1,2,2,1,1,2,1,2,1,2,2,2,1,1,2,1,1,1,1,2,1,2,2,1,1,1,2,1,2,1,2,2,2
"52",1,1,2,2,2,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,2,1,2,2,1,1,1,1,1,2,1,1,1,1,1,2,1,2,1,2,1,2,2,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",2,1,2,1,1,1,1,2,1,2,1,1,2,1,2,1,1,1,1,1,1,1,2,2,1,1,1,2,2,1,2,1,2,1,2,1,1,2,2,1,2,1,2,2,2,2,2,1,1,1,2,2,2,1,1,2,2
"54",1,1,2,1,1,1,1,2,2,2,1,1,1,1,2,1,1,1,1,1,1,2,1,2,2,2,2,1,1,2,2,2,2,1,2,2,2,2,1,1,2,2,2,2,2,1,2,2,1,1,2,2,2,1,1,1,2
"55",1,2,1,2,1,1,2,2,1,2,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,2,1,2,2,1,1,1,1,1,2,2,2,2,2,1,2,1,2,2,1,2,2,1,1,2,2,2,1,1,1,2,1
"56",1,2,1,1,1,2,2,1,2,2,2,1,1,1,2,2,1,2,1,2,1,1,2,1,1,2,1,2,2,1,1,2,2,1,2,2,2,2,1,2,2,2,2,2,2,1,2,1,1,2,2,2,1,1,1,1,2
"57",2,1,1,2,1,1,2,2,2,2,1,1,2,1,2,2,1,2,2,1,2,1,2,1,1,1,1,2,1,1,2,2,1,1,2,2,1,2,2,2,2,2,2,2,1,1,2,2,1,2,2,1,2,1,1,2,2
"58",2,1,2,2,1,1,1,1,1,2,1,1,1,2,1,2,2,2,1,1,1,1,2,2,1,1,2,2,2,1,1,2,2,1,2,2,1,1,2,1,2,1,2,2,2,2,2,1,1,2,2,2,1,1,2,2,2
"59",1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",1,1,2,2,1,2,2,2,2,2,1,2,1,1,2,2,1,1,1,2,2,1,2,1,1,2,2,2,2,1,1,1,2,1,1,2,1,2,1,1,1,1,2,2,1,1,2,1,1,2,2,2,2,2,1,2,1
"61",2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,1,1,2,1,1,2,2,1,2,2,2,2,1,2,2,1,2,1,2,2,2,1,1,2,2,2,1,1,2,1,2
"62",2,2,1,2,1,2,2,2,2,2,2,1,1,2,2,1,1,1,1,1,1,2,2,2,1,2,1,2,2,1,1,2,2,2,2,1,1,2,2,1,1,1,1,2,2,2,2,1,1,1,2,2,1,2,2,2,2
"63",1,2,2,2,1,2,2,1,1,2,1,2,2,1,2,2,2,1,2,1,1,2,1,2,2,2,2,1,1,1,1,1,1,2,2,2,1,2,2,1,2,1,1,2,1,2,1,1,2,1,1,1,2,2,1,2,2
"64",2,1,1,2,2,1,2,1,2,2,1,1,2,1,2,2,1,1,2,1,1,1,2,1,1,2,2,2,2,1,2,1,2,1,2,2,2,2,2,2,1,1,2,2,2,1,2,1,1,1,2,1,2,2,2,1,2
"65",2,2,2,2,1,1,1,2,2,2,2,1,2,2,2,1,1,1,1,1,2,1,2,1,1,2,1,2,2,2,2,1,2,1,2,1,1,1,2,1,1,1,2,1,2,2,2,1,1,2,2,2,1,2,1,2,2
"66",1,2,2,1,1,1,1,2,1,1,2,1,1,1,1,1,2,1,1,1,1,2,1,2,2,2,1,1,1,2,1,1,1,1,2,2,1,1,2,1,1,1,1,2,1,2,1,2,1,1,1,2,2,1,1,2,1
"67",2,1,1,1,1,1,2,1,1,2,1,2,2,1,1,1,2,1,2,1,1,2,2,1,2,2,2,1,1,1,2,1,2,1,2,2,2,2,2,1,2,1,2,2,1,2,2,1,1,1,2,1,2,2,1,2,1
"68",1,2,1,1,1,1,2,2,2,1,1,1,1,2,2,2,1,1,2,1,2,1,2,1,1,2,1,2,2,1,2,1,2,1,2,2,2,2,1,2,2,1,2,2,2,1,2,1,1,2,2,2,1,2,2,1,2
"69",1,1,2,2,1,2,1,2,1,2,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,1,2,2,2,1,1,1,2,1,1,2,1,1,1,1,2,1,2,1,2,1,1,1,2
"70",1,1,1,2,1,1,1,2,1,2,1,1,2,1,2,1,1,2,1,2,2,1,2,2,1,1,1,1,2,2,2,2,2,1,2,2,1,1,1,1,2,1,2,1,2,1,2,1,1,1,2,2,1,1,1,1,2
"71",1,1,1,1,1,2,1,2,2,2,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,2,2,1,2,2,2,1,1,1,2,1,2,2,2,1,2,1,1,2,2,2,2,1,2,1,1
"72",1,1,1,1,1,2,1,1,1,2,1,1,2,1,2,1,1,1,1,1,2,1,1,2,1,2,2,2,2,1,1,2,1,2,2,2,2,1,1,2,2,2,2,2,2,1,2,1,2,1,2,2,1,1,2,1,2
"73",1,2,1,2,1,2,2,2,1,2,1,1,2,1,2,2,1,1,2,1,1,1,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,1,1,2,1,2,2,1,1,1,2
"74",2,2,1,2,1,1,2,2,2,2,1,1,2,2,2,2,2,2,2,1,2,2,2,1,1,2,2,1,1,2,2,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,1,2
"75",1,2,1,2,1,1,1,2,2,1,1,1,1,2,2,2,1,1,1,1,2,1,2,2,1,2,1,2,2,1,1,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,1,1,2,2,2,2,1,1,1,1
"76",1,2,2,1,1,2,1,2,2,2,1,1,2,2,2,1,1,1,1,2,1,2,1,2,2,1,1,1,2,1,2,1,2,1,2,2,2,1,2,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2
"77",1,2,1,1,1,2,2,2,2,1,2,1,1,1,2,2,1,1,1,1,1,2,2,2,1,2,1,1,2,2,2,1,2,1,2,1,2,2,1,1,2,2,2,1,2,2,2,1,1,2,2,2,1,2,2,1,1
"78",1,1,1,1,2,2,1,1,2,2,1,1,1,1,2,1,1,1,1,1,2,1,1,2,1,2,1,2,2,1,2,2,2,1,2,1,2,2,1,2,2,2,2,2,2,1,2,1,2,1,2,1,1,1,2,1,2
"79",1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,1,1,1,2,1,2,1,2,1,2,2,1,1,2,1,2,1,2,1,1,2,1,1,1,1,1,1,1,2,1,2,2
"80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81",1,1,1,2,1,1,2,2,2,2,1,1,2,1,2,1,1,1,2,1,1,2,2,2,2,1,1,2,2,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,1,1,2,1,2,2,1,2,2,2
"82",1,2,1,1,2,2,2,1,1,2,1,1,2,1,2,2,1,1,1,1,1,1,2,2,1,2,1,1,2,1,1,2,1,1,2,2,1,2,1,1,2,1,2,2,2,1,2,1,1,1,2,1,1,1,1,2,2
"83",1,2,1,2,1,2,2,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,2,2,2,2,2,1,2,2,1,2,2,1,2,2,1,2,2,1,1,2,2,2,1,1,1,1,2
"84",1,1,1,2,2,1,1,1,1,2,1,1,1,2,2,2,1,1,1,1,1,1,1,2,1,2,1,2,2,1,1,1,1,1,2,2,2,2,2,2,1,1,2,2,1,1,2,1,1,2,2,2,2,2,1,2,1
"85",1,2,1,2,1,1,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,1,2,1,2,2,1,2,2,2,1,2,1,2,2,1,2,1,1,2,2,2,1,2,2,1,2,2,2,1,1,2,2,2
"86",2,2,1,2,1,1,1,2,2,2,1,1,1,2,2,2,1,2,2,1,2,2,2,2,1,2,1,1,2,1,2,2,2,1,2,1,1,2,1,2,2,1,2,2,2,1,2,1,1,2,2,2,2,2,2,2,2
"87",2,2,1,2,1,1,1,1,2,1,2,1,1,2,2,2,2,1,1,1,2,1,2,2,1,1,1,1,2,2,2,2,2,2,2,2,1,2,1,2,1,1,2,2,2,1,2,1,1,2,2,2,1,2,2,2,2
"88",1,1,1,1,2,2,1,2,1,2,1,1,1,2,1,1,1,1,2,1,1,1,2,1,1,2,1,2,2,1,2,1,2,1,2,1,2,2,1,2,2,1,1,2,2,1,2,1,2,1,2,1,2,1,2,2,2
"89",2,1,1,1,1,2,1,2,2,2,1,1,2,1,2,1,1,2,2,1,1,1,2,2,1,2,1,1,2,1,1,1,2,1,2,1,2,2,2,1,2,1,2,2,2,2,1,1,1,1,2,2,1,1,1,1,1
"90",1,1,2,2,1,2,2,2,1,2,1,1,2,1,2,1,1,1,2,1,2,2,2,2,1,2,2,1,1,1,1,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,1,2,2
"91",2,2,1,2,1,2,2,2,2,2,1,1,2,2,1,2,2,1,1,1,2,1,2,2,2,2,2,1,1,2,2,1,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,1,1,2,1,2,2,1,2,1,1
"92",2,2,2,1,1,1,1,2,2,2,1,1,1,1,1,2,2,2,2,1,1,2,1,1,2,1,2,1,1,1,2,1,2,1,2,1,2,2,2,2,1,1,1,2,2,2,1,1,2,1,1,2,2,2,2,2,2
"93",1,1,2,1,1,1,1,2,1,2,1,2,2,1,2,1,2,1,1,1,2,2,1,2,2,1,2,1,1,1,1,2,2,2,2,2,1,2,2,1,1,2,2,1,2,1,1,1,2,1,1,1,2,2,1,2,1
"94",2,1,2,1,1,2,2,2,2,2,1,1,2,1,2,1,1,1,1,1,1,1,1,2,2,2,1,1,2,1,2,2,1,2,1,2,1,2,2,2,2,1,2,2,2,1,1,1,1,1,2,1,2,2,1,2,2
"95",2,1,NA,1,2,1,2,1,2,1,1,1,2,1,2,1,1,1,1,2,1,1,2,2,1,2,1,1,2,1,1,2,2,1,2,2,2,1,1,2,1,1,2,1,2,2,2,1,1,1,2,2,1,1,2,1,2
"96",1,1,2,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,2,1,2,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,2,2,1,1,1,2,2
"97",1,1,1,1,1,1,1,2,2,2,2,1,1,1,2,1,1,1,1,2,1,1,2,2,1,1,1,2,2,1,2,2,2,2,2,2,1,2,1,1,2,1,2,2,2,1,1,1,1,1,2,1,2,1,2,2,2
"98",2,1,2,2,1,1,1,2,1,2,2,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,2,1,1,1,2,1,2,1,2,1,1,2,1,1,1,1,2,1,1,1,2,1,1,1,1
"99",1,1,2,1,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2
"100",1,1,2,2,1,1,2,2,2,2,1,1,1,1,2,2,1,1,1,1,2,1,2,1,1,2,2,1,1,2,1,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2
"101",2,1,2,1,1,1,2,2,2,2,1,2,1,1,2,2,1,1,2,1,1,2,2,2,1,2,1,1,2,1,2,2,2,2,2,2,1,2,1,2,2,1,2,2,2,1,1,1,1,2,2,2,1,2,2,2,2
"102",1,2,2,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,1,2,1,2,2,2,1,2,2,2,1,1,1,2,1,2,2,2,2,2,1,1,1,2,1,2,1,1,1,2
"103",1,2,1,1,2,2,1,1,1,1,2,1,1,1,2,1,1,1,1,2,1,1,2,2,1,2,1,1,2,1,2,2,1,2,2,2,2,2,1,2,2,1,2,2,2,1,2,1,1,1,1,2,1,1,2,1,2
"104",1,1,2,2,1,1,1,2,2,2,1,2,2,1,1,2,2,1,1,1,1,1,2,2,2,1,2,2,2,1,1,2,2,1,2,2,2,2,2,1,2,1,2,2,2,1,1,1,1,2,1,2,2,1,1,2,2
"105",1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,2,1,1,1,2,1,1,2,2,1,2,1,1,2,1,2,2,2,2,2,2,2,2,1,1,2,1,2,1,2,1,2,1,1,2,2,1,2,1,1,1,2
"106",1,1,2,2,1,1,2,2,2,2,1,1,1,1,2,2,1,2,2,2,2,1,2,1,1,1,1,1,2,1,2,2,2,1,2,1,1,1,2,1,2,2,2,2,2,1,1,1,1,1,2,2,2,1,2,2,2
"107",1,2,1,1,1,1,1,1,1,2,1,1,2,1,2,2,2,2,1,1,1,2,1,1,1,2,1,1,2,1,1,2,2,1,2,1,1,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,2,1,1,2,2
"108",2,1,1,2,1,2,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,2,2,1,2,1,2,2,2,1,1,2,2,1,2,2,2,2,2,1,1,2,2,2,1,1,1,1,2
"109",1,2,2,1,1,1,2,2,2,2,2,1,2,1,2,2,1,1,1,2,2,1,2,1,1,2,1,2,2,1,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,1,1,2,2,2,2,1,2,1,2
"110",1,1,1,2,1,1,2,2,2,2,2,2,1,2,2,2,2,1,1,1,1,2,2,1,1,2,1,1,1,1,1,2,2,2,2,2,1,1,1,2,2,1,2,2,2,1,2,1,1,2,2,2,2,2,2,2,2
"111",1,1,2,1,1,1,1,2,1,2,1,1,2,1,2,1,1,2,1,2,2,1,2,1,1,1,1,1,2,1,2,2,2,1,2,2,1,1,2,2,2,2,2,1,2,1,1,1,1,1,2,2,1,1,2,2,2
"112",2,1,1,2,2,1,2,1,2,1,1,1,1,1,1,2,1,1,2,1,1,2,2,2,1,1,1,1,2,1,1,2,2,2,2,2,1,2,1,2,2,1,2,2,1,2,2,1,1,1,2,2,2,1,1,1,2
"113",2,2,1,1,1,2,2,2,2,2,1,1,1,2,2,1,1,2,2,1,1,1,2,1,1,2,1,2,2,2,2,2,2,1,2,1,1,2,1,2,2,1,2,2,2,1,2,1,1,1,2,2,2,1,2,2,2
"114",2,1,1,1,2,2,1,2,1,2,1,1,2,1,1,1,2,1,1,1,1,2,2,2,2,2,1,2,2,1,2,2,2,2,2,1,1,2,2,1,1,1,2,2,2,1,2,1,1,1,1,1,1,2,1,2,2
