"","reason.4","reason.16","reason.17","reason.19","letter.7","letter.33","letter.34","letter.58","matrix.45","matrix.46","matrix.47","matrix.55","rotate.3","rotate.4","rotate.6","rotate.8"
"93",NA,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0
"95",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
"96",0,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0
"97",1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0
"98",NA,0,1,1,1,1,0,1,0,0,0,1,NA,0,0,0
"100",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"101",1,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0
"102",0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
"103",0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0
"104",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"105",1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0
"106",1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,0
"107",1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,0
"108",1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
"109",1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1
"110",1,1,1,0,1,0,1,1,0,1,1,1,0,0,0,0
"111",0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0
"112",1,0,1,1,1,0,1,1,1,1,0,0,0,0,1,0
"113",1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0
"114",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"115",1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0
"116",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"117",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"118",1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0
"119",1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,0
"120",1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0
"121",0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0
"122",0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
"123",0,0,0,0,0,1,NA,0,0,0,0,0,0,0,0,0
"124",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
"125",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
"126",1,0,0,0,0,NA,0,0,0,0,0,1,0,0,1,1
"127",1,1,1,1,0,1,0,0,0,1,1,0,0,0,1,0
"128",1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1
"129",1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0
"130",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"131",1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0
"132",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133",1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0
"134",1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0
"135",1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0
"137",1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"139",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
"140",1,1,NA,0,1,1,1,0,1,1,1,0,0,1,1,0
"141",1,1,NA,0,1,0,0,0,1,1,0,0,0,0,0,0
"142",0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0
"143",1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1
"144",1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1
"145",1,0,1,1,1,0,1,1,0,1,1,1,0,0,0,0
"146",1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,0
"148",1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0
"149",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"150",0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"151",1,1,0,1,0,0,1,1,1,0,1,1,0,0,0,0
"152",1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,1
"153",1,1,1,1,0,1,0,0,0,1,0,NA,0,0,NA,1
"155",NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA
"156",1,0,1,1,1,NA,1,0,1,1,0,1,0,0,0,NA
"157",0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0
"158",1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0
"159",1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0
"160",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"161",1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
"162",1,1,1,1,1,0,0,1,1,0,1,1,0,0,0,0
"163",1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0
"164",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"165",1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
"166",1,0,1,0,1,1,0,1,0,0,1,1,0,NA,1,0
"167",1,1,0,1,0,1,1,0,1,1,1,0,0,0,0,1
"168",0,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0
"169",NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,0,0,NA,0,NA
"170",0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0
"171",0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0
"172",1,0,1,1,0,1,0,1,0,0,0,NA,0,0,0,0
"173",0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0
"174",1,0,1,0,0,1,1,0,0,1,1,1,1,0,1,0
"175",0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
"176",1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1
"177",0,0,0,0,1,0,NA,0,0,1,0,1,0,0,0,0
"178",1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0
"180",0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0
"181",1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0
"182",0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"183",0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0
"184",0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0
"185",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"186",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"187",0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
"188",0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0
"189",1,1,1,1,1,NA,1,1,1,0,1,0,1,1,1,1
"190",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
"191",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"193",1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,0
"195",0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1
"196",1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0
"197",NA,1,1,1,0,0,1,0,1,1,1,0,0,0,1,0
"198",0,1,1,0,0,1,NA,1,1,1,1,0,0,0,0,0
"201",1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,1
"202",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"203",1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0
"204",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"205",0,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0
"206",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"207",0,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0
"208",0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
"209",1,1,1,0,1,1,1,0,0,1,1,0,1,1,1,1
"210",0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
"211",0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
"212",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"214",0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0
"215",1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0
"217",1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0
"218",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"219",0,1,NA,1,1,0,0,1,0,0,0,0,0,0,0,0
"220",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
"221",0,1,1,1,1,1,1,0,0,0,1,1,0,0,1,0
"222",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"223",1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0
"224",0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1
"225",1,1,1,1,0,1,1,0,1,1,1,0,1,0,1,0
"226",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"228",1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0
"229",1,0,1,0,1,0,1,0,1,1,1,1,0,0,1,1
"230",1,1,1,1,0,1,1,1,0,0,1,0,1,1,0,0
"231",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"232",0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0
"233",1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1
"235",1,0,NA,0,1,1,1,0,0,1,1,0,0,0,0,0
"236",1,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0
"238",0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0
"239",1,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0
"241",0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
"242",1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0
"243",0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0
"245",1,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0
"246",0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0
"247",1,1,1,1,NA,1,1,0,1,1,1,0,0,0,0,0
"248",0,1,0,0,NA,NA,1,0,0,0,1,0,0,0,1,0
"249",NA,1,NA,1,1,1,1,1,1,1,1,0,0,0,0,0
"251",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"252",0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
"253",0,0,0,0,0,0,NA,0,1,0,1,1,0,0,0,0
"254",0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0
"255",1,1,1,1,1,0,1,1,0,1,0,1,0,0,1,0
"256",1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1
"257",1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0
"258",1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0
"259",1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0
"260",1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0
"261",1,1,1,1,0,1,0,0,1,1,1,1,0,0,0,0
"262",1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0
"263",0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0
"269",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"270",0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0
"272",NA,NA,NA,0,NA,NA,0,0,NA,1,NA,0,0,NA,NA,NA
"275",0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
"287",0,1,1,0,0,1,1,NA,0,1,1,0,0,0,0,0
"293",0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0
"294",0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0
"295",1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0
"296",0,1,1,0,0,0,0,1,0,0,0,1,0,1,1,0
"297",0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,1
"298",1,1,1,0,1,1,1,0,1,0,1,1,0,0,0,0
"299",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
"300",1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0
"303",1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0
"305",1,1,0,1,1,0,1,1,1,1,0,0,1,0,0,0
"306",1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
"307",0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0
"308",1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"309",1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0
"311",1,1,1,0,1,1,0,0,1,1,1,0,0,0,1,0
"312",0,1,1,0,0,0,1,1,1,1,1,0,0,1,1,0
"313",1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0
"314",1,0,1,0,1,1,1,0,0,1,1,0,0,0,1,0
"315",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"316",0,0,1,0,0,0,0,0,NA,NA,1,NA,0,0,0,0
"317",0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0
"319",0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0
"320",1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0
"321",1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1
"322",0,0,NA,1,0,1,1,0,1,0,1,0,0,0,0,0
"323",1,0,1,0,1,1,1,1,0,1,0,0,0,0,1,0
"324",1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
"325",0,0,1,0,NA,0,0,0,0,0,0,0,0,0,0,0
"326",1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
"327",1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0
"328",0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
"330",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"331",1,1,1,0,0,1,0,0,1,1,1,1,0,0,0,0
"332",0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0
"333",1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0
"335",1,0,1,1,1,1,1,NA,1,1,0,0,0,0,0,0
"336",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"337",1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0
"338",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
"339",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"340",1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
"341",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"342",0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
"343",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
"345",1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1
"347",0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1
"348",1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
"349",0,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0
"350",1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0
"352",1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0
"353",1,1,1,1,1,1,1,1,0,0,NA,1,1,NA,0,NA
"354",1,1,0,0,1,0,0,1,1,1,1,0,1,1,1,1
"357",1,1,1,0,1,NA,NA,NA,1,1,1,0,0,0,0,0
"358",1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"359",1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,0
"360",1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1
"361",1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0
"363",1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1
"364",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"365",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"366",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
"367",1,1,0,0,1,1,1,0,0,0,1,1,NA,0,0,0
"368",1,1,1,1,0,1,1,0,1,1,1,0,0,1,0,0
"369",1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"370",1,1,1,1,NA,1,1,0,1,1,1,0,0,0,1,1
"371",1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1
"372",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"373",1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0
"374",1,NA,1,NA,1,0,NA,1,NA,NA,1,NA,0,NA,0,NA
"375",1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0
"376",1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0
"377",1,1,1,1,1,1,1,0,NA,1,1,NA,0,0,1,0
"379",0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"380",1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0
"381",1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"382",0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0
"383",1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1
"384",1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1
"385",1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0
"388",1,1,NA,0,1,NA,1,NA,1,NA,0,0,0,0,0,0
"389",1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0
"390",0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"391",1,0,1,1,0,0,0,0,0,0,NA,0,NA,0,0,0
"392",0,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0
"393",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"394",NA,1,0,0,0,0,1,1,NA,0,1,NA,NA,NA,0,0
"395",1,0,1,1,1,0,0,0,1,0,1,1,0,0,1,1
"396",1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0
"397",1,0,1,1,1,0,0,1,1,0,1,1,0,0,1,0
"399",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"400",0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
"401",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"402",0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0
"403",0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0
"404",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"405",1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0
"406",0,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0
"407",1,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0
"408",1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0
"409",1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
"410",1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0
"411",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1
"412",0,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0
"413",1,0,1,1,1,0,1,0,1,1,1,1,0,0,1,0
"414",1,1,0,0,1,0,1,1,1,0,1,0,0,1,1,0
"416",1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0
"417",1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0
"418",1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0
"419",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"420",1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
"422",0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0
"425",0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0
"426",1,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0
"428",1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1
"430",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"431",1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0
"432",0,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0
"433",1,0,1,0,1,1,0,1,1,0,0,0,0,1,1,0
"434",1,1,1,1,1,1,0,NA,1,1,1,0,0,0,0,0
"435",1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0
"436",0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
"437",0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0
"438",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"439",1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1
"441",1,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0
"442",1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0
"444",1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0
"445",1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA
"446",1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
"447",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
"448",1,0,1,1,0,0,0,0,1,1,1,1,1,0,1,1
"449",0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0
"451",1,NA,1,0,0,0,0,0,1,1,0,0,0,0,0,0
"452",NA,1,NA,NA,1,NA,1,NA,0,1,1,NA,0,0,0,0
"454",0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0
"455",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"456",0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0
"457",1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"458",1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0
"459",1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0
"460",0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0
"461",1,0,1,1,1,0,1,0,0,1,1,0,1,1,1,0
"463",1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
"464",1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0
"466",1,0,0,0,1,1,1,1,0,1,1,0,1,1,1,1
"467",1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"468",0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"469",1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,NA
"470",0,0,1,1,0,0,0,NA,0,0,0,0,0,0,0,0
"471",0,1,1,1,1,0,NA,0,1,0,1,0,0,0,0,0
"472",1,0,NA,0,1,1,1,0,0,0,1,0,0,NA,NA,0
"473",0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0
"474",0,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0
"476",1,1,1,0,1,1,1,0,0,1,1,0,0,0,1,0
"477",1,1,1,1,0,0,1,1,1,1,0,1,1,0,0,1
"479",1,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0
"480",NA,1,0,NA,NA,NA,NA,0,1,NA,NA,NA,0,0,NA,NA
"481",1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1
"482",1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0
"483",1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0
"484",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
"485",0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0
