"","Study","Film","ext","neur","imp","soc","lie","traitanx","state1","EA1","TA1","PA1","NA1","EA2","TA2","PA2","NA2","state2","MEQ","BDI"
"67","maps",4,6,14,3,2,4,42,43,7,13,3,1,17,11,16,1,NA,NA,7
"68","maps",4,18,2,7,9,3,29,32,26,11,27,2,29,12,20,0,NA,NA,26
"69","maps",2,12,18,4,7,1,50,36,0,7,4,6,10,8,12,4,NA,NA,0
"70","maps",2,18,13,5,11,3,38,46,12,14,7,5,8,15,2,3,NA,NA,12
"71","maps",2,17,13,6,10,1,40,51,14,19,20,4,14,16,17,4,NA,NA,14
"72","maps",2,17,13,6,9,1,51,27,20,13,18,0,24,19,16,1,NA,NA,20
"73","maps",2,12,5,5,4,0,30,27,23,11,22,0,21,21,17,8,NA,NA,23
"74","maps",3,6,3,2,2,6,37,27,16,8,10,2,14,6,10,2,NA,NA,16
"75","maps",3,18,6,7,8,1,35,32,23,13,19,0,23,11,20,0,NA,NA,23
"76","maps",3,12,16,2,9,0,60,68,8,24,8,23,1,20,9,18,NA,NA,8
"77","maps",4,17,7,6,10,4,35,61,1,17,0,7,4,15,8,1,NA,NA,1
"78","maps",3,19,10,8,10,2,38,42,9,12,3,1,6,18,3,0,NA,NA,9
"79","maps",4,13,18,6,6,2,56,61,16,24,13,8,23,16,15,3,NA,NA,16
"80","maps",4,13,10,5,8,2,38,40,11,11,9,3,16,12,13,0,NA,NA,11
"81","maps",4,11,8,3,6,2,42,40,22,16,16,1,21,15,8,1,NA,NA,22
"82","maps",4,17,13,7,9,0,37,34,20,12,12,3,20,15,16,0,NA,NA,20
"83","maps",4,19,8,7,9,2,29,26,11,9,12,1,17,14,15,0,NA,NA,11
"84","maps",1,15,12,6,8,2,30,34,0,10,1,4,14,22,6,10,NA,NA,0
"85","maps",3,16,0,4,12,5,25,27,14,6,8,0,15,7,13,0,NA,NA,14
"86","maps",1,13,3,4,8,4,23,35,12,11,5,0,11,21,3,6,NA,NA,12
"87","maps",1,16,4,6,9,3,44,40,16,16,14,3,12,16,11,7,NA,NA,16
"88","maps",2,14,10,7,7,2,37,32,10,10,6,1,11,19,6,7,NA,NA,10
"89","maps",3,13,14,3,8,2,39,63,2,22,8,13,0,22,6,15,NA,NA,2
"90","maps",3,10,8,2,6,2,39,43,2,10,10,2,1,9,8,1,NA,NA,2
"91","maps",3,6,5,2,1,1,34,27,1,3,1,0,0,3,5,0,NA,NA,1
"92","maps",3,2,11,1,1,5,36,36,8,8,9,2,7,6,9,3,NA,NA,8
"93","maps",2,6,18,1,4,4,71,48,0,10,2,1,23,30,14,14,NA,NA,0
"94","maps",2,11,15,2,7,1,47,53,0,15,0,3,3,21,0,3,NA,NA,0
"95","maps",2,19,11,6,11,1,30,40,12,5,13,4,18,13,17,7,NA,NA,12
"96","maps",2,17,18,8,8,2,71,79,0,25,9,28,12,25,12,30,NA,NA,0
"97","maps",4,17,12,6,10,1,46,54,5,11,6,6,12,14,9,1,NA,NA,5
"98","maps",2,10,21,2,8,2,51,70,7,23,5,12,7,29,4,13,NA,NA,7
"99","maps",1,13,12,4,8,2,43,69,21,26,21,17,10,26,11,19,NA,NA,21
"100","maps",1,12,7,5,6,5,26,26,16,10,11,1,18,18,10,9,NA,NA,16
"101","maps",4,14,7,3,9,3,42,37,17,18,20,3,14,14,16,2,NA,NA,17
"102","maps",4,13,13,5,6,0,39,57,0,19,3,6,0,20,4,5,NA,NA,0
"103","maps",1,22,10,9,11,0,42,37,0,6,0,0,7,23,1,7,NA,NA,0
"104","maps",4,8,11,3,4,2,45,56,0,15,0,5,5,16,15,7,NA,NA,0
"105","maps",4,22,12,8,11,1,44,56,3,19,4,6,19,15,17,0,NA,NA,3
"106","maps",4,14,9,4,9,5,36,33,7,12,9,2,16,14,12,0,NA,NA,7
"107","maps",4,9,12,3,6,5,48,46,16,12,13,9,14,15,14,6,NA,NA,16
"108","maps",3,12,11,5,5,2,37,33,4,7,10,1,3,9,7,0,NA,NA,4
"109","maps",3,16,3,4,10,2,25,29,2,10,1,0,1,14,1,0,NA,NA,2
"110","maps",3,13,6,5,7,4,28,34,0,10,1,0,0,15,0,1,NA,NA,0
"111","maps",3,15,13,3,11,4,38,43,1,14,6,2,1,12,3,0,NA,NA,1
"112","maps",3,16,10,7,6,1,40,35,12,11,7,0,7,11,5,0,NA,NA,12
"113","maps",1,14,5,5,8,4,28,26,15,5,19,0,15,20,17,6,NA,NA,15
"114","maps",1,9,13,2,5,2,40,35,4,14,4,1,9,21,3,15,NA,NA,4
"115","maps",2,13,10,5,8,2,37,38,26,14,19,3,23,19,24,10,NA,NA,26
"116","maps",1,21,5,7,12,2,29,39,1,10,4,1,4,20,1,10,NA,NA,1
"117","maps",2,15,7,4,9,2,35,34,15,13,13,0,15,25,5,9,NA,NA,15
"118","maps",2,12,2,2,8,6,25,22,17,10,9,0,12,9,8,0,NA,NA,17
"119","maps",1,17,8,4,11,3,32,25,11,5,17,2,15,21,21,19,NA,NA,11
"120","maps",1,13,10,5,8,2,53,45,7,7,5,1,14,21,12,10,NA,NA,7
"121","maps",1,9,5,1,7,2,33,31,7,8,6,1,8,16,3,3,NA,NA,7
"122","maps",1,19,6,7,9,2,32,55,4,20,2,8,13,22,2,5,NA,NA,4
"123","maps",1,12,10,3,7,3,39,41,16,12,16,4,12,13,11,10,NA,NA,16
"124","maps",1,16,7,4,11,4,31,28,18,11,21,1,13,20,15,4,NA,NA,18
"125","maps",1,10,2,7,2,4,28,23,21,13,28,6,23,27,23,16,NA,NA,21
"126","maps",1,13,19,5,7,1,54,30,16,10,6,0,16,26,5,9,NA,NA,16
"127","maps",1,13,11,6,7,2,44,45,4,13,10,3,21,24,9,6,NA,NA,4
"128","maps",3,13,17,5,8,3,46,54,14,22,10,13,16,16,12,4,NA,NA,14
"129","maps",3,17,7,6,10,5,32,27,29,17,25,2,10,18,2,4,NA,NA,29
"130","maps",4,11,20,3,8,3,43,34,13,9,11,1,13,11,10,1,NA,NA,13
"131","maps",4,14,10,5,8,2,68,60,7,20,2,13,6,18,3,10,NA,NA,7
"132","maps",4,14,12,5,9,3,39,39,14,19,24,7,11,16,24,5,NA,NA,14
"133","maps",3,11,10,4,6,3,39,32,9,9,10,0,10,13,6,0,NA,NA,9
"134","maps",3,10,10,3,6,1,40,32,9,10,10,0,6,12,11,0,NA,NA,9
"135","maps",3,14,8,5,7,2,31,32,18,15,18,2,14,14,15,2,NA,NA,18
"136","maps",3,13,11,4,8,2,47,39,11,16,15,10,7,11,12,5,NA,NA,11
"137","maps",3,15,13,3,11,4,36,48,0,10,7,7,13,22,12,11,NA,NA,0
"138","maps",3,13,22,5,7,2,52,55,5,16,1,5,7,15,3,5,NA,NA,5
"139","maps",1,13,2,4,8,2,29,39,8,14,9,3,11,15,9,4,NA,NA,8
"140","maps",1,20,9,7,11,3,32,36,13,8,9,1,11,8,8,2,NA,NA,13
"141","maps",1,15,12,5,7,2,34,40,14,14,10,1,16,21,6,10,NA,NA,14
"142","maps",1,10,18,4,5,4,53,52,2,13,7,2,9,23,4,10,NA,NA,2
"143","maps",1,22,3,8,12,0,27,38,18,17,18,5,20,21,17,14,NA,NA,18
"144","maps",2,10,8,2,7,3,34,44,12,11,14,9,17,18,17,15,NA,NA,12
"145","maps",2,16,13,5,9,2,44,40,17,18,17,1,15,26,6,11,NA,NA,17
"146","maps",4,16,12,6,7,3,52,48,0,12,0,3,8,13,3,0,NA,NA,0
"147","maps",4,16,14,5,9,1,38,66,3,24,8,16,8,20,12,8,NA,NA,3
"148","maps",4,18,12,5,10,3,45,44,3,19,14,4,3,16,16,3,NA,NA,3
"149","maps",4,18,10,7,10,2,38,39,7,11,5,3,20,12,18,0,NA,NA,7
"150","maps",2,4,12,0,4,2,53,54,8,15,0,3,8,15,0,0,NA,NA,8
"151","maps",2,12,2,4,7,5,28,36,6,15,0,0,7,16,0,0,NA,NA,6
"152","maps",2,21,0,8,12,3,23,23,20,14,21,5,19,12,21,4,NA,NA,20
"153","maps",2,12,15,4,6,2,45,50,2,16,7,3,17,21,11,2,NA,NA,2
"154","maps",2,21,9,8,10,2,31,44,6,14,5,0,2,16,2,0,NA,NA,6
"155","maps",2,11,16,2,8,2,51,47,1,13,7,2,7,15,6,3,NA,NA,1
"156","maps",3,19,5,5,11,1,33,33,16,17,12,0,12,14,7,1,NA,NA,16
"157","maps",3,15,13,7,8,4,45,31,18,9,18,4,19,9,20,1,NA,NA,18
"158","maps",3,1,12,1,0,3,60,55,8,16,1,3,9,17,1,1,NA,NA,8
"159","maps",3,14,9,6,5,1,41,45,15,13,9,4,27,25,20,11,NA,NA,15
"160","maps",3,20,16,8,9,0,47,45,2,15,2,6,6,17,5,2,NA,NA,2
"161","flat",4,7,19,5,2,3,60,45,2,14,2,2,3,15,3,0,48,49,NA
"162","flat",1,10,16,3,4,1,52,53,3,18,0,3,7,17,0,2,55,43,NA
"163","flat",1,11,7,2,9,3,39,27,21,11,18,1,23,21,14.5,15,51,50,NA
"164","flat",1,10,22,4,4,1,53,68,7,22,6,14,14,21,12,20,71,49,NA
"165","flat",1,8,6,1,7,2,38,38,4,8,3,0,2,8,0,3,35,39,NA
"166","flat",4,17,14,6,10,1,50,51,1.3,9,0,9,0,17,0,0,37,21,NA
"167","flat",4,17,6,5,11,5,37,36,7,13,7,1,13,15,10,0,37,39,NA
"168","flat",4,18,5,5,11,1,30,31,15,13,14,0,20,16,15,0,28,49,NA
"169","flat",4,15.8,6.3,5,8.5,1,37,34,0,12,4,0,0,11,3,0,36,33,NA
"170","flat",4,7,12,2,4,0,41,45,3,15,4,7,10,14.6,7.5,0,36,26,NA
"171","flat",2,7,7,2,5,2,35,42,3,14,7,4,2,12,7,1,39,38,NA
"172","flat",3,10,11,2,8,3.2,47,24,20,8,21,0,19,8,16,0,26,44,NA
"173","flat",2,12,3,3,7,6,27,25,9,6,7,0,15,13,6,1,37,55,NA
"174","flat",3,19,11,7,11,1,41,41,6,13,11,6,14,18,12,2,49,26,NA
"175","flat",1,16,7,4,10,2,32,32,0,8,10,0,10,12,6,4,38,21,NA
"176","flat",2,5,21,2,2,3,56,51,0,17,1.5,5,7,22,5,6,52,47,NA
"177","flat",2,20,11,7,11,1,45,43,5,13,5,4,11,21,4,6,46,36,NA
"178","flat",2,12,14,5,7,1,52,42,8,14,5,5,15,20,14,6,45,28,NA
"179","flat",1,7,3,2,3,3,43,56,8,17,4,12,4,20,5,7,51,41,NA
"180","flat",1,16,13,6,8,2,40,45,0,14,1,3,6,19,0,12,60,41,NA
"181","flat",1,12,12,4,7,3,36,42,13,16,18,8,15,21,11,13,58,49,NA
"182","flat",2,12,8,3,8,3,36,34,6,10,9,1,7,21,5,6,39,50,NA
"183","flat",3,19,5,7,10,4,28,29,4,3,8,0,3,7,6,0,28,39,NA
"184","flat",3,18,7,7,9,1,30,35,16,7,11,2,6,14,6,5,46,33,NA
"185","flat",3,17,15,7,8,4,46,41,17,13,20,6,0,8,5,1,40,48,NA
"186","flat",3,15,12,4,10,0,37,44,11,11,7,9,7,12,5,4,40,43,NA
"187","flat",3,14,12,2,11,0,39,40,1,11,9,9,1,9,10,5.5,38,35,NA
"188","flat",2,14,9,5,8,1,43,40,0,11,0,3,7,22,8,4,44,41,NA
"189","flat",2,15,15,6,7,1,38,43,5,14,2,3,5,21,3,3,49,52,NA
"190","flat",2,13,18,3,8,0,49,30,9,10,7,0,1,15,2,4,50,45,NA
"191","flat",2,14,14,5,8,0,48,50,1,16,0,2,2.5,21.5,1,6,54,40,NA
"192","flat",1,18,17,8,8,1,44,41,9,15,10,7,9,12,3,8,47,49,NA
"193","flat",4,12,10,4,7,2,35,39,11,12,9,0.8,16,16,11,1,38,57,NA
"194","flat",4,21,13,8,12,0,46,50,18,16,13,9,9,16,9,5,48,52,NA
"195","flat",4,10,4,4,5,7,35,42,23,14,18,2,17,14,16,2,30,56,NA
"196","flat",4,13,2,3,8,0,35,40,9,10,12,5,13.5,10,14,2,35,28,NA
"197","flat",1,19,16,5,13,0,36,34,9,13,8,6,5,10,4,7,44,30,NA
"198","flat",1,12,10,4,7,1,34,51,12,18,12,7,9,17,10,7,52,47,NA
"199","flat",1,18.1,9.1,7.1,10,0,39,39,8,11,6,1,7,15,3,8,56,36,NA
"200","flat",1,7,13,2,3,4,48,62,27,26,18,8,11,16,2,7,60,37,NA
"201","flat",1,11,13,3,5,2,39,42,4,10,5,5,0,18,1,19,60,48,NA
"202","flat",3,7,20,3,3,2,46,37,8,9,7,1,1,16.4,7,1.9,38,38,NA
"203","flat",3,9,5,0,9,4,35,30.4,16,12,5,0,5,12,1,0,33,55,NA
"204","flat",3,4,17,1,1,3,53,76,1,24,12,23,17,11,23,7,29,33,NA
"205","flat",3,11,4,2,9,3,29,47,9,16,9,5,9,17,10,5,52,38,NA
"206","flat",3,11,10,5,6,3,42,46,7.1,16,10,4,13,14,8,2,43,30,NA
"207","flat",4,11,10,2,8,3,38,41,5,15,0,1,13,14,1,0,34,42,NA
"208","flat",4,20,1,6,11,2,29,27,22,15,22,1,20,16,16,0,26,20,NA
"209","flat",4,12,5,3,9,2.2,27,36,20,18.5,16,2,16,13.5,11,1,31,37,NA
"210","flat",4,19,0,7,11,2,28,43,19,15,13,0,14,9,9,0,26,35,NA
"211","flat",1,15,4,4,10,3,29,30,11,16,7,0,8,19,2,3,49,30,NA
"212","flat",1,19,5,7,10,3,28,30,1,10,6,0,4,16,0,3,44,23,NA
"213","flat",1,14,7,5,9,2,30,36,4,10,8,0,2,23,6,12,61,43,NA
"214","flat",1,9,11,3,6,3,43,42,4,10,4,0,7,10,2,2,39,32,NA
"215","flat",1,19,10,5,12,1,29,32,12,13,22,4,14,19,16,13,37,42,NA
"216","flat",3,9,16,3,5,0,56,50,5,10,12,8,17,20,19,12,57,37,NA
"217","flat",2,1,15,0,1,3,56,44,6,10,6,2,9,14,5,6,46,41,NA
"218","flat",2,10,12,4,5,1,42,56,1,15,8,8,0,19,2,10,56,36,NA
"219","flat",2,16,16,6,9,3,43,39,5,11,10,1,4,21,6,9,46.5,29,NA
"220","flat",4,15,17,5,9,2,41,41,2,9,2,3,14,14,5,0,35,43,NA
"221","flat",2,19,5,6,11,1,31,48,7,16,8,5,13,15,10,3,46,16,NA
"222","flat",2,5,9,0,3,1,34,36,0,8,0,0,0,9,0,0,41,29,NA
"223","flat",4,16,12,5,9,2,50,60,7,20,15,18,17,16,20,11,38,38,NA
"224","flat",3,4,16,3,1,2,55,59,8,19,0,12,9,14,1,0,43,48,NA
"225","flat",3,14,11,5,8,4,34,42,0,18,5,8,11,11,12,1,27,45,NA
"226","flat",3,11,6,2,8,3,44,49,5,13,3,3,1,9,4,5,51,44,NA
"227","flat",4,13,13,6,6,0,44,53,5,19,1,3.1,12,16,6,0,49,52,NA
"228","flat",3,12,9,3,9,3,43,40,7,13,6,1,6,14,3,0,43,37,NA
"229","flat",3,17,12,5,9,1,40,50,0,18,0,0,4,18,2,0,50,15,NA
"230","flat",2,13,8,3,8,2,33,34,5,11,4,1,10,11,12,2,30.6,31,NA
"231","flat",2,17,4,7,8,3,25,36,8,12.5,3,3,11,12.5,2,0,41,49,NA
"232","flat",2,13,11,3,9,0,49,54,3,18,6,7,6,23,7,8,57,36,NA
"233","flat",4,21,6,8,11,2,28,32,2,6,3,0,9,9,8,0,24,45,NA
"234","flat",1,6,8,2,4,4,46,49,7.6,12.9,7.5,3.8,1,18,7,12,56,32,NA
"235","flat",1,10,18,4,5,1,54,39,1,12,0,1,0,12,0,2,44,26,NA
"236","flat",1,19,11,6,10,2,36,33,13,15,7,4,13,16,8,3,34,35,NA
"237","flat",1,7,18,3,3,2,57,51,2,13.5,0,2,9,17.5,2,15,51,65,NA
"238","flat",1,8,9,3,3,1,41,36,0,8,1,2,3,10,1,4,42,22,NA
"239","flat",2,9,6,1,6,2,36,33,13,8,8,2,23,15,26,0,28,28,NA
"240","flat",2,10,6,2,6,3,38,59,17,16,12,16,14,23,10,18,65,57,NA
"241","flat",2,14,14,5,8,0,39,38,0,11,0,1,2,16,0,1,40,32,NA
"242","flat",2,11,4,3,6,2,29,47,17,12,13,5,24,25,10,7,49,32,NA
"243","flat",2,6,3,1,4,5,29,34,13,15,10,2,11,16,6,4,31,46,NA
"244","flat",2,10,11,3,5,2,45,51,1,14,0,3,4,20,2,4,48,48,NA
"245","flat",3,6,10,2,2,1,49,46,2,17,4,5,4,18,4,8,53,34,NA
"246","flat",3,10,11,2,7,3,36,44,0,17,5,8,6,11,11,3,42,24,NA
"247","flat",2,13,10,4,8,2,44,39,9,13,7,1,11,18,9,5,46.6,46,NA
"248","flat",2,13,9,3,10,1,29,45,10,15,11,3,13,20,15,9,53,41,NA
"249","flat",3,2,20,1,0,1,41,45,7,10,4,2,5,8,3,0,40,36,NA
"250","flat",3,11.7,3,4,6.7,6,27,38,12,12,3,3,15,14,11,0,31,17,NA
"251","flat",2,11,5,3,8,3,32,34,9,6,5,0,22,23,9,4,43,43,NA
"252","flat",2,11,12,4,6,2,51,48,1,15,1,4,7,20,0,2,50,32,NA
"253","flat",2,21,5,7,11,1,40,49,0,18,3,11,19,31,12,15,67,35,NA
"254","flat",3,2,22,2,0,4,71,65,3,24.5,0,11,0,14,0,0,50,38,NA
"255","flat",3,18,8,5,11,1,26,50,0,18,0,0,3,18,0,0,50,58,NA
"256","flat",3,18,17,7,8,2,43,28,17,14,18,4,19,10,14,1,24,30,NA
"257","flat",3,20,11,6,12,1,27,22,22,16.5,25,0,21,16.5,26,0,22,27,NA
"258","flat",4,19,5,6,11,2,35,36,6,12,6,1,15,14,10,0,27,30,NA
"259","flat",4,16,17,6,10,2,44,38,16,12,14,4,21,15,18,4,34,43,NA
"260","flat",4,14,13,5,7,2,37,50,0,15,3,6,6,15,10,4,50,35,NA
"261","flat",4,16,16,4,9,1,55,56,17,14,15,15,19,16,17,6,44,48,NA
"262","flat",4,9,6,1,7,2,38,39,2,5,4,1,5,10,8,0,39,47,NA
"263","flat",4,18,9,5,13,5,36,26,21,12,19,0,25,16,22,0,24,32,NA
"264","flat",3,10,10,3,5,1,35,37,13,11,11,0,0,8,3,0,37,44,NA
"265","flat",4,17,6,6,11,4,29,46,7,9,13,7,7,16,14,5,45,41,NA
"266","flat",4,15,16,7,7,3,50,36,19,10,25,8,16,15,22,12,44,37,NA
"267","flat",3,15,12,6,7,1,49,42,5,12,9,2,16,14,15,1,34,54,NA
"268","flat",3,7.7,13,3,3.7,4,37,35,17,12.5,11,2,18,13.5,14,0,32,29,NA
"269","flat",3,16,23,4,10,3,58,53,6,18,5,8,10,18,14,13,46,42,NA
"270","flat",1,10,4,2,7,3,30,31,8,14,15,4,8,14,10,7,33,23,NA
"271","flat",1,2,5,0,0,5,54,50,12,19,8,5,13,19,6,4,48,16,NA
"272","flat",1,13,1,2,11,5,24,20,29,10,29,0,23,12,20,1,23,65,NA
"273","flat",4,9,16,5,2,2,62,32,12,8,10,2,15,6,15,1,35,53,NA
"274","flat",4,16,11,5,9,2,32,38,3,10,2,1,11,15,10,1,31,46,NA
"275","flat",4,17,4,8,7,1,27,21,19,4,15,0,22,10,14,0,20,38,NA
"276","flat",4,15,16,5,8,4,36,54,0,13,13,5,4,12.7,12.8,3,49,48,NA
"277","flat",3,13,20,2,9,3,46,45,0,14,1,3,9,14.1,1,0.5,36,35,NA
"278","flat",4,17,23,6,10,2,38,41,19,18,13,6,10,18,12,6,46,46,NA
"279","flat",4,0,17,0,0,0,51,54,1,15,3,5,13,17,5,0,37.8,49,NA
"280","flat",4,10,21,5,5,2,58,42,5,15,6,3,6,10,7,1,40,41,NA
"281","flat",4,13,1,4,9,2,26,32,1,8,8,0,10,13,8,0,30,45,NA
"282","flat",3,16,8,3,12,2,35,41,11,14,11,9,3,11,8,8,40,21,NA
"283","flat",3,19,12,7,9,1,32,48,16,20,13,9,13,10,8,1,31,48,NA
"284","flat",3,16,14,5,11,4,39,60,5,15,4,4,6,14,10,0,37,32,NA
"285","flat",1,8,13,2,4,1,44,41,6,11,10,7,8,17,3,9,48,40,NA
"286","flat",1,10,11,2,6,2,40.6,46,3,14,0,4,0,20,1,8,63,27,NA
"287","flat",1,21,12,7,11,1,43,38,1,10,4,1,2,11,2,2,39,28,NA
"288","flat",1,12,12,2,9,2,35,43,3,15,11,6,2,17,7,11,50,29,NA
"289","flat",1,16,13,5,11,3,52,55,0,18,0,7,2,20,1.6,10.3,62,27,NA
"290","flat",2,14,10,4,9,2,53,44,5,10,7,6,10,13,9,5,42,38,NA
"291","flat",2,4,12,3,2,4,51,54,10,19,9,12,11,21,10,12,55.8,45,NA
"292","flat",1,18,12,7,9,2,37,31,23,13,25,1,15,17,12,14,45,46,NA
"293","flat",1,13,8,3,7,1,32,28,7,2.5,4,2,3,12.5,1,6,48,37,NA
"294","flat",1,5,4,0,3,0,34,43,0,11,1,7,11,17,11,20,65,43,NA
"295","flat",2,10,7,4,6,5,38,31,10,13,1,0,11,22,0,2,44,33,NA
"296","flat",2,17,11,7,8,5,32,33,15,12,21,6,22,18,24,7,25,39,NA
"297","flat",4,21,12,7,12,0,46,38,10,10,8,0,11,11,7,0,36,24,NA
"298","flat",2,3,7,1,1,7,36,46,11,14,15,2,8,18,3,9,56,58,NA
"299","flat",2,15,7,3,10,2,43,41,0,12,0,0,7,18,0,0,46,23,NA
"300","flat",2,19,9,7,11,2,47,48,0,15,0,1,3,16,0,5,51,27,NA
"301","flat",2,16,4,5,9,2,28,40,7,13,7,2,14,23,9,6,53,54,NA
