"","Country","Disp","Disp2","Eng.Rev","Front.Hd","Frt.Leg.Room","Frt.Shld","Gear.Ratio","Gear2","HP","HP.revs","Height","Length","Luggage","Mileage","Model2","Price","Rear.Hd","Rear.Seating","RearShld","Reliability","Rim","Sratio.m","Sratio.p","Steering","Tank","Tires","Trans1","Trans2","Turning","Type","Weight","Wheel.base","Width"
"Nissan Pulsar NX","Japan",97,1.6,3015,4,41,52,3.38,3.6,90,6000,46,167,7,NA,"",12249,0,21,49.5,"average","R13",NA,0.68,"power",13.2,"185/70","man.5","auto.3",38,"Sporty",2390,96,66
"Nissan Sentra","Japan/USA",97,1.6,2680,3,40,52.5,2.94,3.6,90,6000,49,172,12,33,"",7399,2,24.5,52.5,"Much better","R13",0.87,0.68,"both",13.2,"175/70","man.5","auto.3",37,"Small",2275,96,65
"Nissan Stanza","Japan",146,2.4,2395,3.5,40.5,55,2.75,2.53,138,5600,49.5,180,14,21,"",11650,2,26.5,54,"Much better","R14",NA,0.74,"power",16.4,"195/65","man.5","auto.4",39,"Compact",2920,100,67
"Nissan Van","Japan",146,2.4,NA,3.5,41,57,NA,3.17,106,4800,65.5,178,-2,19,"",14799,5,-1,58.5,NA,"R14",NA,0.74,"power",17.7,"195/75","","auto.4",38,"Van",3690,93,67
"Peugeot 405","France",116,2,2760,4,41,55.5,3.08,3.12,120,5200,51,175,14,24,"",15930,1.5,29,55,NA,"R14",NA,0.74,"power",17.2,"185/65","man.5","auto.4",37,"Compact",2575,105,68
"Peugeot 505","France",132,2.2,NA,2.5,42,55.5,NA,3.38,120,5000,52,181,11,NA,"",19945,1,29.5,54.5,NA,"R15",NA,0.8,"power",18,"185/65","","auto.4",39,"Medium",3000,108,68
"Plymouth Laser","USA",107,1.8,2810,3.5,41.5,54,3.27,3.27,92,5000,47,171,10,26,"Mitsubishi Eclipse",10855,0,23,52,NA,"R14",1.01,0.67,"both",15.9,"185/70","man.5","auto.4",39,"Sporty",2840,97,67
"Pontiac Bonneville",NA,231,3.8,NA,4,42,59,NA,1.99,165,4800,50.5,199,15,NA,"",NA,4,29.5,59,NA,"R15",NA,0.78,"power",18,"215/65","","auto.4",43,NA,3360,111,72
"Pontiac Grand Am","USA",138,2.3,2245,3.5,41.5,55,2.6,3.18,160,6200,48.5,180,13,23,"",10565,1,26.5,54,"worse","R14",NA,0.72,"power",13.6,"195/70","man.5","auto.3",39,"Compact",2770,103,67
"Pontiac LeMans","Korea",98,1.6,2295,5,41.5,53.5,2.64,3.43,74,5600,50,172,18,28,"",7254,2.5,25.5,53,"Much worse","R13",1.05,0.78,"both",13.2,"175/70","man.5","auto.3",35,"Small",2350,99,66
"Porsche 944","Germany",165,2.7,2380,3.5,43.5,55.5,2.84,3.45,165,5900,46,169,12,NA,"",41990,0,18,51.5,NA,"R15",NA,0.74,"power",21.1,"195/65","man.5","auto.3",36,"Sporty",2900,95,68
"Saab 900","Sweden",121,2,2575,3.5,41.5,53,3.03,3.62,128,6000,50.5,184,14,NA,"",16995,2,27.5,53,"worse","R15",NA,0.85,"power",18,"185/65","man.5","auto.3",37,"Compact",2775,99,67
"Saab 9000","Sweden",121,2,2615,2.5,42,57,3.12,3.1,130,6000,52,188,18,NA,"",25995,2.5,31,57,NA,"R15",NA,0.79,"power",17.9,"195/65","man.5","auto.4",40,"Medium",3065,105,69
"Sterling 827","England",163,2.7,2470,2,42,55,2.95,3.02,160,5900,50,189,12,NA,"",23550,1.5,29.5,54,NA,"R15",NA,0.96,"power",17,"195/60","man.5","auto.4",42,"Medium",3295,109,68
"Subaru Justy","Japan",73,1.2,2945,2.5,40.5,51,3.02,2.99,73,5600,50.5,146,9,34,"",5866,0.5,23.5,50.5,NA,"R13",0.86,NA,"manual",9.2,"165/65","man.5","auto.CVT",32,"Small",1900,90,60
"Subaru Legacy","Japan/USA",135,2.2,2390,2,41,54,2.74,2.57,130,5400,49,178,14,23,"",11499,2,27.5,53.5,"Much better","R14",NA,0.77,"power",15.9,"175/70","man.5","auto.4",37,"Compact",2935,102,67
"Subaru Loyale","Japan",109,1.8,2770,2.5,41,53.5,3.04,3.6,90,5200,49,175,15,25,"",9599,2,27.5,53.5,"Much better","R13",NA,0.82,"power",15.9,"175/70","man.5","auto.3",35,"Small",2295,97,65
"Subaru XT","Japan",109,1.8,2935,2,42,53,3.29,2.69,97,5200,46,178,10,28,"",13071,0,22.5,51,NA,"R13",NA,0.74,"power",15.9,"185/70","man.5","auto.4",36,"Sporty",2485,97,67
"Toyota Camry","Japan/USA",122,2,2350,3,42,54.5,2.73,2.74,115,5200,50.5,182,12,27,"",11588,2,28.5,53.5,"Much better","R14",NA,0.76,"power",15.9,"185/70","man.5","auto.4",39,"Compact",2920,102,67
"Toyota Celica","Japan",132,2.2,2215,2,42,51.5,2.49,3.52,130,5400,47,174,13,NA,"",12268,0,23,48,NA,"R15",NA,0.73,"power",15.9,"215/50","man.5","auto.4",39,"Sporty",2885,99,69
"Toyota Corolla","Japan/USA",97,1.6,2765,4,40.5,53,3.03,3.53,102,5800,49.5,170,11,29,"",8748,2,26,52.5,"Much better","R13",1.06,0.79,"both",13.2,"155/65","man.5","auto.3",36,"Small",2390,96,65
"Toyota Cressida","Japan",180,3,NA,2,41,55,NA,2.76,190,5600,50.5,190,12,23,"",21498,1.5,27.5,54.5,"average","R15",NA,0.88,"power",18.5,"195/65","","auto.4",36,"Medium",3480,106,67
"Toyota Supra","Japan",180,3,2840,2.5,42.5,52.5,3.3,3.03,200,6000,46.5,182,11,NA,"",22860,0,23,50.5,"better","R16",NA,0.72,"power",18.5,"225/50","man.5","auto.4",40,"Sporty",3470,102,69
"Toyota Tercel","Japan",89,1.5,2765,3,40.5,53,3.03,3.72,78,6000,49.5,167,13,35,"",6488,1.5,25,52.5,"Much better","R13",0.83,0.69,"both",11.9,"155","man.5","auto.3",35,"Small",2075,94,64
"Volkswagen Corrado","Germany",109,1.8,2685,2,42,53.5,2.94,NA,158,5600,47,159,19,NA,"",17900,0,26,51,NA,"R15",NA,0.71,"power",14.5,"195/50","man.5","",34,"Sporty",2680,97,66
"Volkswagen Fox","Brazil",109,1.8,2765,3,42,51.5,3.03,NA,81,5500,49.5,163,10,NA,"",7225,2,26,51,NA,"R13",0.82,NA,"manual",12.4,"175/70","man.4","",34,"Small",2190,93,63
"Volkswagen GTI","Mexico",109,1.8,3000,3.5,41.5,53,3.26,NA,105,5400,50.5,158,18,NA,"",9995,2,27,54,NA,"R14",NA,0.75,"power",14.5,"185/60","man.5","",35,"Sporty",2270,97,66
"Volkswagen Golf","Mexico",109,1.8,2980,3,41,53,3.27,3.41,100,5400,51,158,18,NA,"",8695,2,27,53,"average","R13",0.87,0.7,"both",14.5,"175/70","man.5","auto.3",35,"Small",2215,97,66
"Volkswagen Jetta","Germany",109,1.8,2510,3.5,41,53,2.75,3.41,100,5400,51,172,17,26,"",9995,2.5,28,53.5,"average","R13",0.87,0.7,"both",14.5,"175/70","man.5","auto.3",35,"Small",2330,97,66
"Volkswagen Vanagon","Germany",129,2.1,3370,5,39,61.5,4.11,4.09,90,4800,70.5,180,-2,NA,"",14080,9,37,39.5,NA,"R14",NA,0.88,"power",15.9,"185","man.4","auto.3",37,"Van",3460,97,73
"Volvo 240","Sweden",141,2.3,2330,3.5,41.5,54,2.71,2.57,114,5400,52.5,190,14,23,"",18450,2,29.5,53,"average","R14",NA,0.75,"power",15.8,"185/70","man.5","auto.4",37,"Compact",2985,104,67
"Volvo 740","Sweden",141,2.3,2305,2.5,42,56.5,2.71,2.83,114,5400,50.5,188,17,NA,"",21700,3,29.5,56.5,"average","R15",NA,0.77,"power",15.8,"185/65","man.5","auto.4",37,"Medium",3140,109,69
