"","Price","Country","Reliability","Mileage","Type"
"Audi 90 5",23990,"Germany",NA,NA,"Compact"
"BMW 325i 6",24650,"Germany","better",NA,"Compact"
"Buick Skylark 4",10565,"USA","worse",23,"Compact"
"Chevrolet Beretta 4",10320,"USA","Much worse",26,"Compact"
"Chevrolet Cavalier 4",8620,"USA","Much worse",NA,"Compact"
"Chrysler Le Baron V6",10945,"USA","better",25,"Compact"
"Dodge Shadow Turbo 4",8845,"USA","average",NA,"Compact"
"Ford Tempo 4",9483,"USA","worse",24,"Compact"
"Honda Accord 4",12145,"Japan/USA","Much better",26,"Compact"
"Mazda 626 4",12459,"Japan/USA","better",24,"Compact"
"Mercedes-Benz 190E 6",31600,"Germany","average",NA,"Compact"
"Mitsubishi Galant 4",10989,"Japan","Much better",25,"Compact"
"Mitsubishi Sigma V6",17879,"Japan","better",21,"Compact"
"Nissan Stanza 4",11650,"Japan","Much better",21,"Compact"
"Oldsmobile Calais 4",9995,"USA","worse",23,"Compact"
"Peugeot 405 4",15930,"France",NA,24,"Compact"
"Saab 900 4",16995,"Sweden","worse",NA,"Compact"
"Saab 900 Turbo 4",26945,"Sweden","worse",NA,"Compact"
"Subaru Legacy 4",11499,"Japan/USA","Much better",23,"Compact"
"Toyota Camry 4",11588,"Japan/USA","Much better",27,"Compact"
"Volvo 240 4",18450,"Sweden","average",23,"Compact"
"Acura Legend V6",24760,"Japan","Much better",20,"Medium"
"Audi 100 5",26900,"Germany",NA,NA,"Medium"
"BMW 535i 6",33200,"Germany",NA,NA,"Medium"
"Buick Century 4",13150,"USA","average",21,"Medium"
"Buick Riviera V6",23040,"USA","average",NA,"Medium"
"Cadillac Eldorado V8",28855,"USA","average",NA,"Medium"
"Chevrolet Lumina 4",12140,"USA",NA,NA,"Medium"
"Chrysler Imperial V6",25495,"USA","average",NA,"Medium"
"Chrysler Le Baron Coupe",12495,"USA","worse",22,"Medium"
"Chrysler New Yorker V6",16342,"USA","average",22,"Medium"
"Dodge Dynasty 4",12995,"USA","average",NA,"Medium"
"Eagle Premier V6",15350,"USA","worse",22,"Medium"
"Ford Taurus 4",12640,"USA","Much worse",NA,"Medium"
"Ford Taurus V6",13195,"USA","average",22,"Medium"
"Ford Thunderbird V6",14980,"USA","Much worse",23,"Medium"
"Hyundai Sonata 4",9999,"Korea",NA,23,"Medium"
"Infiniti Q45 V8",38000,"Japan",NA,NA,"Medium"
"Lexus LS 400 V8",35000,"Japan",NA,NA,"Medium"
"Lincoln Continental V6",29422,"USA","worse",NA,"Medium"
"Lincoln Mark VII V8",29246,"USA","Much worse",NA,"Medium"
"Mazda 929 V6",23300,"Japan","Much better",21,"Medium"
"Mercedes-Benz 300E 6",39950,"Germany","Much worse",NA,"Medium"
"Nissan Maxima V6",17899,"Japan","Much better",22,"Medium"
"Oldsmobile Cutlass Ciera 4",13150,"USA","worse",21,"Medium"
"Oldsmobile Cutlass Supreme V6",14495,"USA",NA,21,"Medium"
"Peugeot 505 4",19945,"France",NA,NA,"Medium"
"Saab 9000S 4",25995,"Sweden",NA,NA,"Medium"
"Sterling 827 V6",23550,"England",NA,NA,"Medium"
"Toyota Cressida 6",21498,"Japan","average",23,"Medium"
"Volvo 740 GL 4",21700,"Sweden","average",NA,"Medium"
"Buick Electra V6",20225,"USA","average",NA,"Large"
"Buick Le Sabre V6",16145,"USA","average",23,"Large"
"Cadillac Brougham V8",27400,"USA","Much worse",NA,"Large"
"Cadillac De Ville V8",26960,"USA","average",NA,"Large"
"Chevrolet Caprice V8",14525,"USA","Much worse",18,"Large"
"Ford LTD Crown Victoria V8",17257,"USA","average",20,"Large"
"Lincoln Town Car V8",27986,"USA","average",NA,"Large"
"Chevrolet Astro V6",13790,"USA","Much worse",NA,"Van"
"Chevrolet Lumina APV V6",13995,"USA",NA,18,"Van"
"Dodge Caravan 4",11995,"USA","average",NA,"Van"
"Dodge Grand Caravan V6",15395,"USA","average",18,"Van"
"Ford Aerostar V6",12267,"USA","average",18,"Van"
"Mazda MPV V6",14944,"Japan","Much better",19,"Van"
"Mitsubishi Wagon 4",14929,"Japan",NA,20,"Van"
"Nissan Axxess 4",13949,"Japan",NA,20,"Van"
"Nissan Van 4",14799,"Japan",NA,19,"Van"
"Volkswagen Vanagon 4",14080,"Germany",NA,NA,"Van"
