"","y","state.abb","name","rep","state.name","gorevote"
"85",1,"TN","THOMPSON (R TN)",TRUE,"Tennessee",47.28
"86",1,"TX","GRAMM (R TX)",TRUE,"Texas",37.98
"87",1,"TX","HUTCHISON (R TX)",TRUE,"Texas",37.98
"88",1,"UT","BENNETT (R UT)",TRUE,"Utah",26.34
"89",1,"UT","HATCH (R UT)",TRUE,"Utah",26.34
"91",0,"VT","JEFFORDS (Indep VT)",FALSE,"Vermont",50.63
"92",0,"VT","LEAHY (D VT)",FALSE,"Vermont",50.63
"93",1,"VA","ALLEN (R VA)",TRUE,"Virginia",44.44
"94",1,"VA","WARNER (R VA)",TRUE,"Virginia",44.44
"95",1,"WA","CANTWELL (D WA)",FALSE,"Washington",50.13
"96",0,"WA","MURRAY (D WA)",FALSE,"Washington",50.13
"97",0,"WV","BYRD (D WV)",FALSE,"West Virginia",45.59
"98",1,"WV","ROCKEFELLER (D WV)",FALSE,"West Virginia",45.59
"99",0,"WI","FEINGOLD (D WI)",FALSE,"Wisconsin",47.83
"100",1,"WI","KOHL (D WI)",FALSE,"Wisconsin",47.83
"101",1,"WY","ENZI (R WY)",TRUE,"Wyoming",27.7
"102",1,"WY","THOMAS (R WY)",TRUE,"Wyoming",27.7
