Total number of billionaires,2004,2005,2006,2007
Northern Cyprus,0,0,0,0
Northern Mariana Islands,0,0,0,0
Norway,4,4,4,4
Oman,0,0,0,1
Pakistan,0,0,0,0
Palau,0,0,0,0
Panama,0,0,0,0
Papua New Guinea,0,0,0,0
Paraguay,0,0,0,0
Peru,0,0,0,0
Philippines,2,3,3,3
Pitcairn,0,0,0,0
Poland,0,2,3,5
Portugal,2,1,1,1
Puerto Rico,0,0,0,0
Qatar,0,0,0,0
Reunion,0,0,0,0
Romania,0,0,0,1
Russia,25,27,33,53
Rwanda,0,0,0,0
Saint Barthélemy,0,0,0,0
Saint Helena,0,0,0,0
Saint Kitts and Nevis,0,0,0,0
Saint Lucia,0,0,0,0
Saint Martin,0,0,0,0
Saint Vincent and the Grenadines,0,0,0,0
Saint-Pierre-et-Miquelon,0,0,0,0
Samoa,0,0,0,0
San Marino,0,0,0,0
Sao Tome and Principe,0,0,0,0
Saudi Arabia,8,7,11,13
Senegal,0,0,0,0
Serbia,0,0,0,1
Serbia and Montenegro,0,0,0,0
Serbia excluding Kosovo,0,0,0,0
Seychelles,0,0,0,0
Sierra Leone,0,0,0,0
Singapore,5,4,4,4
Slovak Republic,0,0,0,0
Slovenia,0,0,0,0
Solomon Islands,0,0,0,0
Somalia,0,0,0,0
Somaliland,0,0,0,0
South Africa,2,3,3,3
South Ossetia,0,0,0,0
Spain,8,10,10,20
Sri Lanka,0,0,0,0
Sudan,0,0,0,0
Suriname,0,0,0,0
Svalbard,0,0,0,0
Swaziland,0,0,0,0
Sweden,8,9,8,8
Switzerland,7,8,8,8
Syria,0,0,0,0
Taiwan,10,7,5,8
Tajikistan,0,0,0,0
Tanzania,0,0,0,0
Thailand,2,3,3,3
Timor-Leste,0,0,0,0
Togo,0,0,0,0
Tokelau,0,0,0,0
Tonga,0,0,0,0
Transnistria,0,0,0,0
Trinidad and Tobago,0,0,0,0
Tunisia,0,0,0,0
Turkey,6,8,21,25
Turkmenistan,0,0,0,0
Turks and Caicos Islands,0,0,0,0
Tuvalu,0,0,0,0
Uganda,0,0,0,0
Ukraine,0,3,3,7
United Arab Emirates,2,2,5,5
United Kingdom,17,24,24,29
United States,277,341,371,415
Uruguay,0,0,0,0
USSR,0,0,0,0
Uzbekistan,0,0,0,0
Wallis et Futuna,0,0,0,0
Vanuatu,0,0,0,0
Venezuela,2,2,2,2
West Bank and Gaza,0,0,0,0
West Germany,0,0,0,0
Western Sahara,0,0,0,0
Vietnam,0,0,0,0
Virgin Islands (U.S.),0,0,0,0
Yemen Arab Republic (Former),0,0,0,0
Yemen Democratic (Former),0,0,0,0
"Yemen, Rep.",0,0,0,0
Yugoslavia,0,0,0,0
Zambia,0,0,0,0
Zimbabwe,0,0,0,0
Åland,0,0,0,0
