"External debt stocks, total (DOD, current US$)",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Bhutan,,,,,,,,,,,,,,,,,,,,,,326000,1144000,1764000,2733000,8832000,20952000,40242000,67083000,73856000,83544000,86340000,89199000,96620000,104510000,105770000,113041000,119620000,171041000,183813000,203771000,265187000,377907000,485912000,593255000,649183000,713305000,775037000,692440000,
Bolivia,,,,,,,,,,,588300000,647530000,763195000,797363000,885132000,1012794000,1289494000,1733683000,2162254000,2556378000,2702381000,3218672000,3328491000,4069380000,4316995000,4804566000,5574869000,5836230000,4905000000,4132292000,4274968000,4061251000,4234735000,4306931000,4876588000,5272147000,5192706000,5234984000,5613984000,5548127000,5785173000,4692305000,5005660000,5801382000,6221623000,6907833000,5799012000,4992934000,5537321000,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2376550000,2773137000,2658573000,3140308000,4458544000,5588926000,6221961000,7242256000,8822674000,8316369000,
Botswana,,,,,,,,,,,17359000,33200000,74755000,114918000,134057000,147981000,166351000,185565000,125538000,130020000,135630000,159543000,204805000,228124000,266914000,345664000,407034000,543405000,532597000,549843000,552922000,612559000,606350000,663983000,700390000,717156000,626529000,574728000,532171000,504227000,452755000,399873000,488423000,513649000,510028000,447305000,382174000,413094000,437634000,
Brazil,,,,,,,,,,,5734466048,7441588224,11518048256,14670196736,22039957504,27331381248,33341771776,42040004608,54568177664,61332930560,71526932480,81454465024,93932339200,98524815360,1.04E11,1.04E11,1.09E11,1.20E11,1.17E11,1.14E11,1.20E11,1.21E11,1.29E11,1.44E11,1.52E11,1.60E11,1.81E11,1.98E11,2.41E11,2.44E11,2.42E11,2.29E11,2.31E11,2.35E11,2.19E11,1.87E11,1.94E11,2.37E11,2.56E11,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,772738000,1313091000,1738593000,2583927000,3851537000,5866002000,8265581000,8943894000,10137085000,10889630000,11741677000,11838557000,12177639000,9828535000,10378825000,10368634000,11099668000,11404851000,11019822000,11212252000,10496721000,11478872000,13351993000,15666480000,15699698000,20989576000,32967941000,38045050000,
Burkina Faso,,,,,,,,,,,20787000,23601000,20019000,31067000,47356000,62533000,85306000,164289000,262706000,295034000,330414000,328159000,351832000,397716000,409964000,512715000,639620000,827401000,845142000,717151000,832031000,964513000,1036277000,1114575000,1131310000,1270624000,1298254000,1301320000,1458619000,1583144000,1422156000,1492781000,1541246000,1729992000,1989641000,1994244000,1122793000,1455501000,1681310000,
Burundi,,,,,,,,,,,14970000,13628000,6895000,7780000,9438000,19380000,22364000,47222000,74680000,136188000,165720000,178613000,227433000,307725000,348005000,455098000,570431000,769580000,800692000,888853000,906937000,963470000,1026584000,1065650000,1127405000,1161955000,1130902000,1068958000,1121832000,1134931000,1108020000,1076433000,1213701000,1328099000,1390365000,1321825000,1411659000,1456101000,1444645000,
Cambodia,,,,,,,,,,,,,,,,,,,,,,1320000,9340000,9360000,5380000,7400000,31348000,42011000,39950000,1678760000,1845023000,1852344000,1830616000,1820522000,1908642000,2283525000,2353729000,2382836000,2464552000,2517355000,2627897000,2696505000,2900316000,3193356000,3439097000,3515326000,3526749000,3760908000,4214958000,
Cameroon,,,,,,,,,,,145920000,180104000,221564000,265900000,323576000,441410000,610921000,1112891000,1529109000,2172014000,2572796000,2642025000,2798831000,2891691000,2892258000,3154905000,4130236000,4580792000,4805872000,5357266000,6554781000,6762718000,7511117000,7667855000,9254339000,10941712000,11035442000,10650309000,11102722000,10554209000,10315913000,9512135000,9846962000,10882124000,10290072000,7259547000,3228530000,2946136000,2794458000,
Cape Verde,,,,,,,,,,,,,,,,,,,,,,39377000,59015000,71696000,76251000,94919000,113301000,129538000,124349000,126041000,133760000,134242000,141994000,147574000,175923000,213787000,201467000,204731000,244505000,325258000,316510000,343183000,384989000,438605000,461602000,475227000,522126000,578731000,624564000,
Central African Rep.,,,,,,,,,,,24141000,28420000,36812000,56155000,68577000,79157000,94577000,131978000,142361000,157824000,194662000,233489000,253473000,257905000,263621000,343526000,461863000,617836000,668831000,693534000,698507000,794177000,814197000,875128000,888056000,945981000,932750000,882963000,918738000,909171000,857777000,821851000,1070812000,1042311000,1065051000,1001911000,992138000,946133000,949429000,
Chad,,,,,,,,,,,35191000,46990000,36534000,47950000,76030000,143033000,155883000,206654000,280957000,308434000,284236000,259157000,220538000,219449000,193968000,216487000,263175000,347956000,395718000,398672000,514179000,616561000,641680000,692277000,784044000,843386000,948053000,958280000,1031523000,1098775000,1090821000,1086712000,1266703000,1528670000,1640799000,1585032000,1707292000,1797041000,1749440000,
Chile,,,,,,,,,,,2977238000,3047654000,3539966000,3854608000,5242520000,5518637000,5619765000,5883272000,7373840000,9361011000,12081264000,15663628000,17314678000,17928344000,19736984000,20383883000,21144484000,21489450000,19581776000,18032378000,19225816000,17946939000,19133692000,19993864000,22155436000,22038225000,27459444000,27043903000,33695023000,34794482000,37261012000,38602120000,41189229000,42789756000,43773850000,45446144000,48052041000,56541687000,64276507000,
China,,,,,,,,,,,,,,,,,,,,,,5797502000,8358097000,9609399000,12081920000,16695969000,23719324000,35339512000,42438956000,44932462000,55301411000,60259176000,72427953000,85927702000,1.00E11,1.18E11,1.29E11,1.47E11,1.44E11,1.52E11,1.46E11,1.85E11,1.86E11,2.08E11,2.48E11,2.84E11,3.25E11,3.74E11,3.78E11,
Colombia,,,,,,,,,,,2236453000,2513832000,2828208000,3175366000,3346624000,3757762000,3943854000,5052621000,5101654000,5869076000,6940527000,8716405000,10306425000,11412457000,12038669000,14248253000,15362473000,17024361000,17016359000,16885895000,17222122000,17200814000,17277066000,18941749000,21937871000,25044290000,28895541000,31937365000,33084910000,34426341000,33936564000,36244624000,33204588000,36997719000,37910899000,37720175000,38319845000,43956081000,46886786000,
Comoros,,,,,,,,,,,1172000,1238000,1507000,1693000,4292000,4722000,18516000,24523000,29351000,40110000,43977000,54853000,68942000,85801000,104791000,134215000,166564000,203347000,200008000,177011000,187760000,182428000,190698000,190243000,202666000,214532000,226445000,227636000,235277000,235926000,236550000,246994000,274569000,293139000,307446000,291191000,296094000,291014000,281295000,
"Congo, Dem. Rep.",,,,,,,,,,,341873000,403590000,669670000,1039843000,1532088000,2032464000,2915024000,3658603000,4489030000,4525864000,4772807000,5091453000,5078462000,5335604000,5289830000,6183381000,7190698000,8776429000,8562144000,9251488000,10258587000,10840413000,10972451000,11273219000,12321600000,13239366000,12829915000,12337154000,13202695000,12048070000,11692447000,11519017000,10059516000,11254401000,11433896000,10600348000,11243695000,12359464000,12198942000,
"Congo, Rep.",,,,,,,,,,,118820000,139976000,158184000,189110000,260489000,357186000,381344000,578774000,780701000,1044540000,1507745000,1429626000,1912961000,1983268000,2023061000,2996945000,3490272000,4271242000,4044516000,4230748000,4915697000,4776508000,4702045000,4984861000,5305487000,5892596000,5122020000,4953465000,5003569000,4923956000,4785560000,4391785000,5040673000,5398283000,6295621000,5812449000,7005094000,5961106000,5484770000,
Costa Rica,,,,,,,,,,,287059000,329509000,396161000,468587000,593487000,799445000,984644000,1317056000,1684598000,2114902000,2744103000,3304851000,3645030000,4186051000,3997173000,4398104000,4573996000,4718494000,4527188000,4585064000,3748438000,4010588000,3920283000,3844801000,3883469000,3773817000,3450244000,3429840000,3906448000,4152780000,4642113000,4835093000,5013109000,5602085000,5712393000,6486808000,6993940000,8341494000,8811617000,
Cote d'Ivoire,,,,,,,,,,,373533000,514359000,579842000,863196000,1066224000,1464556000,1827780000,2572850000,3835978000,4772168000,7462432000,8140841000,8961396000,8858430000,8545897000,9659034000,11449806000,13577092000,13342271000,14820649000,17251134000,18174033000,18546515000,19070885000,17395165000,18898529000,19523631000,15608684000,14851812000,13169983000,12137976000,11585694000,11779503000,12175924000,13199548000,11912204000,12764325000,13865150000,12560593000,
Djibouti,,,,,,,,,,,2595000,2637000,5369000,6286000,8216000,12234000,17255000,19237000,21045000,20524000,25820000,19836000,24411000,33566000,62017000,95976000,119265000,154397000,158288000,131250000,155289000,204847000,219981000,232492000,257656000,272438000,287625000,262660000,279005000,267713000,258160000,259134000,327999000,390278000,419818000,406808000,451765000,656866000,684986000,
Dominica,,,,,,,,,,,,,,,,,,,,,,14434000,20520000,34176000,46812000,54332000,57360000,71653000,73232000,77508000,87953000,95614000,95534000,96384000,98163000,103320000,114909000,103970000,113222000,115528000,164843000,214556000,227724000,286111000,304436000,273742000,253450000,289580000,303171000,
Dominican Rep.,,,,,,,,,,,359918000,403660000,440373000,470719000,577595000,673183000,813421000,1404923000,1337059000,1605806000,2001681000,2293338000,2520625000,2929610000,3111707000,3502281000,3687309000,3923187000,3969844000,4038552000,4372172000,4490654000,4612484000,4859707000,4274823000,4447481000,4330895000,4232649000,4403963000,4685657000,4541097000,5134659000,6253682000,6638930000,7290891000,7387275000,8795757000,10431245000,10484273000,
Ecuador,,,,,,,,,,,364311000,391060000,490401000,523569000,643022000,908754000,1111992000,2374149000,3976420000,4525757000,5997483000,7666112000,7705360000,7594944000,8305590000,8702830000,9334425000,10473473000,10742727000,11316447000,12107263000,12459209000,12204898000,14061294000,14960919000,13876925000,14326425000,15236540000,15426863000,15994389000,13243995000,14000445000,16099976000,16544031000,16944015000,16877327000,16889322000,17368703000,16851003000,
Egypt,,,,,,,,,,,1801616000,2049120000,1952426000,1991612000,2209482000,4835412000,6357335000,11733543000,12857845000,14905846000,19130728000,22077637000,27323182000,30212515000,32183491000,36113422000,39868341000,44122228000,46121736000,45658717000,32992023000,32625095000,31169003000,30651248000,32499137000,33475211000,31514912000,29951170000,32289089000,30884002000,29015017000,27971460000,28472878000,29215823000,31140843000,29655387000,29351382000,32829997000,32616433000,
El Salvador,,,,,,,,,,,182496000,206079000,251974000,244342000,360338000,412226000,480440000,723344000,910027000,886446000,911066000,1130048000,1442608000,1744769000,1831073000,1850791000,1862401000,1985669000,1997827000,2079994000,2144880000,2189305000,2268127000,1920347000,2096882000,2508728000,2816944000,3156807000,3267902000,3688721000,4466622000,5281332000,5706357000,8184517000,8516926000,8983637000,9842364000,9512789000,10110258000,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29057000,36689000,44287000,75455000,146135000,252558000,299945000,395747000,490142000,607568000,705703000,724544000,784932000,859772000,961966000,
Ethiopia,,,,,,,,,,,169292000,204419000,226991000,256402000,283127000,343671000,402643000,500729000,567286000,740068000,823664000,1841817000,3279544000,3845083000,4222338000,5212378000,6144334000,7377281000,7716889000,7855474000,8645160000,9133599000,9355551000,9717486000,10077757000,10322238000,10091745000,10090470000,10360374000,5556868000,5494874000,5737862000,6544303000,7290399000,6662672000,6204357000,2273444000,2620451000,2882260000,
Fiji,,,,,,,,,,,11666000,14812000,20722000,47199000,54508000,59301000,63897000,120597000,103214000,141677000,216320000,276433000,302392000,332406000,314557000,335680000,339616000,364679000,370909000,312164000,308385000,272741000,250497000,240077000,190999000,178249000,160816000,153997000,136898000,191604000,172597000,159436000,169244000,183791000,245936000,185722000,204195000,347287000,379483000,
Gabon,,,,,,,,,,,103816000,145537000,229642000,396229000,528007000,882648000,1234274000,1476400000,1512806000,1722579000,1514019000,1135599000,1000630000,914895000,919428000,1206161000,1943577000,2618911000,2844960000,3350490000,3982878000,4222973000,3849992000,3861395000,4171608000,4360765000,4311298000,4280153000,4428251000,3984685000,3901757000,3419214000,3509615000,3748989000,4060839000,3877406000,4187200000,2845811000,2366720000,
Gambia,,,,,,,,,,,5076000,5479000,7363000,8860000,12225000,13415000,15429000,38016000,49814000,81232000,136799000,176028000,207088000,211730000,230292000,245075000,270136000,326672000,325156000,337736000,369110000,383163000,403396000,425977000,422977000,426068000,451987000,424643000,459520000,464618000,483338000,487939000,576642000,635650000,673423000,669505000,728085000,726578000,452565000,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79312000,558987000,1450018000,1240357000,1361321000,1465765000,1648136000,1653456000,1637950000,1728568000,1838706000,1934712000,2064318000,1908737000,1969630000,2296311000,3379696000,
Ghana,,,,,,,,,,,571396000,545805000,604429000,755543000,758395000,734976000,712713000,1066621000,1278643000,1282473000,1401747000,1538843000,1484228000,1665925000,1959412000,2243294000,2746613000,3284443000,3056441000,3294417000,3734359000,4156472000,4238500000,4575184000,5101149000,5494878000,5787710000,5712283000,6310879000,6419889000,6115902000,6342650000,6961659000,7567904000,7053162000,6730809000,3187674000,4462940000,4970115000,
Grenada,,,,,,,,,,,14945000,7981000,7773000,7847000,8194000,9138000,8963000,12543000,17193000,20434000,19609000,32130000,43595000,56716000,53885000,58073000,62276000,76956000,87059000,88971000,110751000,122540000,115595000,147871000,129054000,127026000,139643000,115680000,171273000,135775000,201424000,239591000,366027000,376695000,432153000,406430000,492207000,524861000,519019000,
Guatemala,,,,,,,,,,,159279000,178197000,185736000,219900000,258083000,322334000,382442000,657319000,820964000,1050347000,1179906000,1278278000,1555463000,1823776000,2377190000,2676637000,2809038000,2790905000,2607734000,2601848000,2845203000,2805092000,2762695000,2886628000,3106124000,3281555000,3344431000,3444464000,3638244000,3781110000,3853281000,4288718000,4432521000,5082101000,9716394000,10981409000,12307789000,14569626000,15889157000,
Guinea,,,,,,,,,,,327810000,440690000,514088000,621602000,743571000,773951000,824068000,917661000,1040112000,1157975000,1133455000,1371004000,1365552000,1346343000,1256203000,1465027000,1764064000,2071684000,2264200000,2177664000,2478288000,2624528000,2650914000,2851544000,3111982000,3248400000,3243090000,3518768000,3550446000,3188094000,3066383000,2935161000,3101833000,3179564000,3136486000,2898268000,3046029000,3142962000,3092439000,
Guinea-Bissau,,,,,,,,,,,0,0,0,0,0,7904000,16173000,25849000,51399000,69510000,137332000,149446000,170158000,198811000,254000000,319397000,372966000,482398000,566147000,595501000,694508000,747551000,761631000,786804000,849841000,895069000,935794000,921085000,970399000,938716000,947255000,901582000,973719000,1061235000,1105206000,1043923000,1097574000,1157965000,1156759000,
Guyana,,,,,,,,,,,82702000,156518000,158272000,178347000,220850000,322366000,419529000,519516000,603820000,678435000,834492000,909849000,998781000,1245903000,1307824000,1520537000,1658281000,1761592000,1889934000,1656912000,1960249000,1974840000,1910855000,1965182000,2049402000,2116088000,1605037000,1588307000,1478778000,1412679000,1364461000,1309612000,1371663000,1432438000,1362718000,1215942000,1141167000,735566000,815513000,
Haiti,,,,,,,,,,,42813000,39882000,43442000,40985000,110162000,134394000,164050000,216414000,260996000,312482000,358149000,474332000,584476000,618646000,705893000,756723000,747890000,879966000,852459000,836027000,916816000,783374000,808325000,823414000,735188000,821057000,908996000,1056740000,1054154000,1189043000,1172709000,1255537000,1250620000,1345329000,1311044000,1326996000,1504652000,1580126000,1935265000,
Honduras,,,,,,,,,,,110566000,139837000,165229000,197291000,282380000,380828000,364865000,753716000,933846000,1184110000,1472531000,1705058000,1843757000,2126876000,2285667000,2730199000,2975162000,3300006000,3307950000,3386154000,3718083000,3396281000,3892528000,4359735000,4725832000,4850573000,4748198000,4883454000,5039785000,5363223000,5402399000,4951417000,5284899000,5481067000,6063838000,5225670000,4205453000,3306289000,3429573000,
India,,,,,,,,,,,8425113000,9328752000,10029275000,10965920000,12696942000,13873733000,14596505000,15477978000,16707468000,18453677000,21086978000,23192328000,27809954000,31899698000,33987018000,40630296000,47077907000,56181733000,61658930000,75941284000,85661435000,86864154000,89661738000,93055389000,99608172000,95173606000,94910351000,94700961000,98774220000,99128169000,1.00E11,98643035000,1.05E11,1.18E11,1.23E11,1.20E11,1.43E11,2.05E11,2.31E11,
Indonesia,,,,,,,,,,,4528073000,4982261000,5863064000,7270798000,9100923000,11497813000,14010055000,16470546000,18045709000,18623753000,20937702000,22761141000,25133287000,30229381000,32025592000,36715223000,42916420000,52535203000,54078461000,59401723000,69871527000,79547750000,88002163000,89171855000,1.08E11,1.24E11,1.29E11,1.36E11,1.51E11,1.51E11,1.43E11,1.32E11,1.28E11,1.33E11,1.37E11,1.46E11,1.33E11,1.43E11,1.51E11,
Iran,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,4500432000,3857188000,8235718000,7107051000,5159714000,6057012000,5826860000,6144204000,5830604000,6518455000,9020469000,11330038000,16084169000,23502325000,22241592000,21564992000,16465521000,11638952000,12214947000,9349945000,7718492000,7312994000,8684773000,16162838000,20923861000,21867122000,19375716000,21069275000,13937450000,
Jamaica,,,,,,,,,,,981948000,1013065000,1041104000,1206033000,1435244000,1614146000,1449575000,1678537000,1423309000,1705323000,1912607000,2314661000,2860301000,3472489000,3616246000,4129604000,4247126000,4755865000,4616800000,4640905000,4760954000,4585940000,4604373000,4387521000,4609852000,4581023000,4060526000,3774093000,3899270000,3926603000,4724163000,5382467000,5500874000,5655083000,6486388000,6561589000,7952542000,10088453000,10034046000,
Jordan,,,,,,,,,,,119092000,153349000,180465000,214802000,270699000,342815000,432464000,796334000,1111303000,1417948000,1866842000,2186349000,2648432000,3021412000,3286370000,3943827000,4831644000,6261594000,5918248000,7316082000,8332910000,9700260000,7966938000,7644546000,7553124000,7660562000,7385455000,7313840000,7560998000,8083091000,7354865000,7534261000,8108224000,8337366000,8066184000,7696176000,8054983000,8367576000,6576967000,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34979000,1727752000,2789564000,3750246000,2922217000,4077950000,6084480000,6129090000,12432603000,14887212000,17980760000,22766950000,32814702000,43478214000,74230184000,96346905000,1.08E11,
Kenya,,,,,,,,,,,477531000,497896000,581162000,844708000,1152689000,1290223000,1493329000,1658884000,2173736000,2720996000,3386807000,3228163000,3367820000,3628281000,3511512000,4180581000,4602807000,5782937000,5808995000,5888725000,7055136000,7453132000,6897911000,7111365000,7124215000,7309044000,6813620000,6465076000,6823973000,6474842000,6140753000,5512360000,6119064000,6859720000,6911667000,6421442000,6552095000,7377545000,7440676000,
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5527000,292084000,446759000,609470000,1136991000,1340945000,1505066000,1735906000,1827411000,1717367000,1850593000,2023696000,2111102000,2027290000,2366054000,2503867000,2463733000,
Laos,,,,,,,,,,,8345000,15633000,18802000,32603000,41034000,44232000,108234000,172944000,255343000,308167000,350244000,389953000,428586000,450512000,518192000,618658000,868261000,1161377000,1325483000,1471533000,1766034000,1870665000,1915007000,1984393000,2069069000,2154832000,2252889000,2320321000,2449958000,2532295000,2501285000,2492780000,3047031000,2323065000,2615627000,2843779000,3377020000,4388220000,4944014000,
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64564000,235799000,373755000,462628000,1231763000,2759293000,3114976000,4061318000,4855075000,5293394000,6808471000,8802929000,12708499000,14505211000,22792594000,39341994000,42107630000,
Lebanon,,,,,,,,,,,64232000,68095000,61560000,56394000,49285000,45669000,39041000,53178000,184819000,277531000,510290000,618642000,721410000,915223000,860905000,869541000,859278000,954972000,985391000,1023396000,1778680000,1554175000,1805915000,1346884000,2126883000,2965991000,3996409000,5028346000,6792623000,8201745000,9851253000,12446162000,17090000000,18616918000,23144458000,23363039000,25137572000,25638679000,24394684000,
Lesotho,,,,,,,,,,,8123000,8629000,9488000,8259000,10153000,14084000,16202000,24592000,34001000,53128000,71943000,84408000,122069000,128674000,138034000,175286000,197620000,258628000,287086000,328145000,395586000,447387000,494404000,542370000,622551000,684359000,701225000,673453000,688209000,682057000,671818000,597711000,654491000,703199000,766629000,661953000,649893000,677577000,682314000,
Liberia,,,,,,,,,,,162260000,162114000,159382000,159152000,161976000,178683000,208532000,292111000,443070000,596484000,685686000,813445000,902592000,1007602000,1080100000,1250204000,1549809000,1847224000,1842324000,1874058000,2055586000,2177344000,2163238000,2221488000,2347913000,2477614000,2435347000,2417664000,2572652000,2571111000,2820374000,3020931000,3276515000,3611904000,3838857000,3927808000,4141391000,3691712000,3483790000,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55543000,332845000,502727000,769482000,1426904000,3035951000,3473222000,4415415000,4723095000,5292564000,6170994000,7482758000,10490923000,11429292000,18564967000,29423945000,31719499000,
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1041777000,1103614000,1277120000,1818420000,1233574000,1489950000,1425305000,1469021000,1487471000,1684431000,1878155000,2816858000,2970599000,3284380000,4160820000,4678345000,
Madagascar,,,,,,,,,,,485141000,488440000,510141000,504983000,750848000,791022000,189939000,781573000,355900000,773089000,1238564000,1604349000,1924267000,2031851000,2138863000,2519876000,2994425000,3667528000,3667816000,3417605000,3688853000,3891883000,3895784000,3786904000,4075946000,4301656000,4127376000,4099131000,4383690000,4744624000,4691159000,4153265000,4511070000,4944461000,3788338000,3490069000,1487616000,1703446000,2085527000,
Malawi,,,,,,,,,,,135210000,152211000,175659000,214842000,242279000,269900000,309114000,458912000,593721000,668786000,829928000,821397000,864680000,892324000,879860000,1020743000,1157250000,1366741000,1358266000,1408654000,1556812000,1663579000,1707662000,1825150000,2020022000,2237771000,2310882000,2224729000,2438187000,2741322000,2704923000,2584374000,2886889000,3098242000,3427339000,3183173000,872378000,835798000,963134000,
Malaysia,,,,,,,,,,,501773000,701049000,939925000,1019657000,1278107000,2104263000,2712756000,3425066000,4166917000,4955504000,6610722000,9179631000,13353685000,17550169000,18733212000,20269082000,21879594000,22839037000,18566942000,16277841000,15328362000,17079755000,20017865000,26148472000,30335877000,34342562000,39673262000,47228241000,42409220000,41903340000,41873742000,45088939000,48272109000,48556965000,52155629000,51980691000,55025712000,61566813000,66182277000,
Maldives,,,,,,,,,,,,,,,,,,,8885000,12814000,25763000,38886000,65069000,77222000,82808000,83066000,68686000,72837000,71361000,66800000,77967000,81243000,94899000,112349000,123524000,154868000,168203000,171334000,193600000,218854000,206004000,234925000,271673000,294744000,365786000,389600000,484220000,576318000,986800000,
Mali,,,,,,,,,,,248973000,270908000,268461000,301153000,349030000,356082000,373792000,471755000,564050000,567286000,727064000,830266000,875178000,988421000,1237312000,1456138000,1743109000,2049083000,2019875000,2127519000,2468005000,2597678000,2899222000,2903153000,2694451000,2958109000,3006548000,3152236000,3204775000,3196103000,2980407000,2909929000,2827109000,3114334000,3319770000,3221563000,1642962000,1985336000,2189648000,
Mauritania,,,,,,,,,,,26314000,38922000,55904000,105096000,167766000,188224000,407018000,522569000,682624000,716483000,839481000,964087000,1136537000,1276239000,1320133000,1453900000,1745449000,2027747000,2050428000,1971750000,2113345000,2205393000,2104703000,2173772000,2259572000,2395697000,2456541000,2493427000,2390770000,2532266000,2377728000,2285246000,2265796000,2344668000,2323543000,2308186000,1618184000,1700217000,1959674000,
Mauritius,,,,,,,,,,,31738000,33286000,35860000,42350000,47814000,52179000,64922000,101516000,190057000,306193000,420230000,504757000,550036000,512033000,510117000,577757000,634221000,785231000,825731000,814433000,934020000,993262000,944767000,901987000,1099314000,1416028000,1399523000,1340050000,1281427000,1271348000,946251000,847522000,902952000,972107000,916043000,775790000,621863000,660059000,625724000,
Mexico,,,,,,,,,,,6968569000,7496491000,8208999000,10511016000,13951595000,18230544000,23966561000,31189002000,35712324000,42773917000,57377663000,78215200000,86080647000,92973873000,94829828000,96867306000,1.01E11,1.09E11,99215735000,93840632000,1.04E11,1.14E11,1.12E11,1.31E11,1.39E11,1.65E11,1.56E11,1.48E11,1.59E11,1.67E11,1.51E11,1.64E11,1.65E11,1.71E11,1.71E11,1.68E11,1.62E11,1.93E11,2.04E11,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38504000,277649000,502493000,695157000,840822000,1074040000,1061525000,1017882000,1689839000,1638127000,1801978000,1938618000,1943064000,2051056000,2437114000,3181513000,3787023000,
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297267000,375406000,461446000,519519000,529790000,581209000,698608000,893488000,885317000,873832000,994621000,1190255000,1350894000,1301681000,1394244000,1596177000,1721353000,
