New and relapse cases ,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Bangladesh,"39,774","42,644","49,870","52,961","45,679","41,802","45,599","45,355","44,280","45,191","48,673","56,052","31,400","54,001","48,276","56,437","63,471","63,420","72,256","79,339","75,557","76,302","81,963","88,156","98,336","123,118","145,186","147,342"
Barbados,64,3,30,17,14,12,7,3,4,5,5,5,6,,,3,3,5,7,2,3,6,5,,19,,5,16
Belarus,"5,954","6,198","5,468","5,509","5,065","4,873","4,128","3,911","3,769","3,708","3,039","3,745","2,414","4,134","4,348","4,854","5,598","5,985","6,150","7,339","6,799","5,505","5,139","5,106","5,443","5,308","5,142","5,351"
Belgium,"2,687","2,837","2,652","2,190","2,149","1,956","1,893","1,772","1,588","1,648","1,577","1,462","1,335","1,503","1,521","1,380","1,348","1,263","1,203","1,124","1,278","1,321","1,211","1,030","1,128","1,076","1,043",955
Belize,21,33,44,140,35,25,23,41,28,30,57,89,65,80,59,95,99,107,123,104,106,136,135,99,83,102,85,63
Benin,"1,835","1,862","1,793","1,804","1,913","2,041","2,162","1,901","2,027","1,941","2,084","2,162","2,420","2,340","2,119","2,332","2,284","2,255","2,316","2,552","2,706",,"2,830","2,932","3,116","3,270","3,619",
Bermuda,1,2,5,10,3,3,6,2,1,2,0,3,4,,,4,0,4,0,0,0,0,0,,6,,3,
Bhutan,"1,539","2,657",720,"1,017",904,"1,073","1,582",608,"1,126","1,525","1,154",996,140,108,"1,159","1,299","1,271","1,211","1,292","1,174","1,140","1,037","1,089","1,026",988,"1,007",917,999
Bolivia,"4,412","5,072","4,777","5,178","4,131","7,679","6,837","8,960","10,664","12,563","11,166","11,223","9,520","8,614","9,431","14,422","10,194","9,853","10,132","9,863","10,127","10,531","10,201","9,836","9,801","9,748","9,014","8,574"
Bosnia and Herzegovina,"4,421","4,376","4,678","4,468","4,691","4,666","4,605","4,522","4,093","4,176","4,073","3,546",600,680,"1,595","2,132","2,220","2,869","2,711","2,923","2,476","2,469","1,691","1,740","2,353","2,111","1,778","2,373"
Botswana,"2,662","2,605","2,705","2,883","3,101","2,706","2,627","3,173","2,740","2,532","2,938","3,274","4,179","4,654","4,756","5,665","6,636","7,287","7,960","8,647","9,292","9,618","10,204","9,862","10,131","10,058","8,413","7,622"
Brazil,"72,608","86,411","87,822","86,617","88,365","84,310","83,731","81,826","82,395","80,048","74,570","84,990","85,955",,"75,759","91,013","87,254","83,309","95,009","78,870","77,899","74,466","81,436","80,114","86,881","80,209","77,632","74,757"
British Virgin Islands,,,,,,,,,,,,,,,,,,3,,,1,1,1,1,2,0,,0
Brunei Darussalam,196,285,245,276,256,238,212,189,126,128,143,,180,160,,,,160,,272,307,216,230,206,176,163,202,207
Bulgaria,"3,280","3,007","2,999","2,892","2,856","2,555","2,530","2,352","2,387","2,301","2,256","2,606","3,096","3,213","5,296","3,245","3,109","3,437","4,117","3,530","3,349","3,862","3,335","3,069","3,025","3,225","3,136","2,848"
Burkina Faso,"2,577","2,391","2,265","3,061",877,"4,547","1,018","1,407",949,"1,616","1,497","1,488",,"1,443",861,"2,572","1,814","1,643","2,074","2,310","2,310","2,406","2,376","2,620","2,878","3,484","3,941","3,960"
Burundi,789,643,951,"1,053","1,904","2,317","2,569","2,739","3,745","4,608","4,575","4,883","4,464","4,677","3,840","3,326","3,796","5,335","6,546","6,365",,"6,478","6,371","6,871","7,164","6,585","6,114","6,284"
Cambodia,"2,576","1,980","8,158","7,572","10,241","10,145","10,325","9,106","10,691","7,906","6,501","10,903","16,148","13,270","15,172","14,603","14,857","15,629","16,946","19,266","18,891","19,170","24,610","28,216","30,838","35,535","34,660","35,601"
Cameroon,"2,434","2,236","3,765","3,445","3,338","3,393","2,138","3,878","4,982","5,521","5,892","6,814","6,803","7,064","7,312","3,292","3,049","3,952","5,022","7,660","5,251","11,307","11,057","15,964","17,655","21,499","23,483","24,062"
Canada,"2,762","2,526","2,473","2,355","2,356","2,144","2,145","1,972","1,947","2,035","1,968","2,012","2,107","2,011","2,066","1,921","1,849","1,969","1,773","1,791","1,667","1,657","1,602","1,574","1,533","1,484","1,434","1,476"
Cape Verde,516,344,393,230,285,259,,285,276,210,221,,,,,303,179,196,205,,,291,195,316,294,292,262,274
Cayman Islands,0,2,0,1,1,4,1,0,0,2,2,3,3,2,,2,0,0,3,2,5,1,0,0,1,,0,1
Central African Republic,651,758,"1,475","1,686",468,520,779,499,814,64,"2,124","2,045",,,,"3,339","3,623","4,459","4,875","5,003",,"2,550","4,837","3,932","3,908","3,210","6,045",
Chad,220,286,127,"1,977","1,430","1,486","1,285","1,086","2,977","2,572","2,591","2,912","2,684","2,871","3,303","3,186","1,936","2,180","2,784","4,710",,,"5,077","4,679","4,946","6,311",,"5,879"
Chile,"8,523","7,337","6,941","6,989","6,561","6,644","6,854","6,280","6,324","6,728","6,151","5,498","5,304","4,598","4,138","4,150","4,178","3,880","3,652","3,429","3,021","3,006","2,448","2,226","2,664","2,134","2,486","2,418"
China,,,"98,654","117,557","151,564","226,899","265,095","251,600","304,639","310,607","375,481","345,000","320,426","344,218","363,804","515,764","504,758","466,394","445,704","449,518","454,372","470,221","462,609","615,868","790,603","894,428","940,889","979,502"
Colombia,"11,589","11,483","12,126","13,716","12,792","12,024","11,639","11,437","11,469","11,329","12,447","12,263","11,199","11,043","8,901","9,912","9,702","8,042","9,155","10,999","11,630","11,480","11,376","11,640","11,242","10,360","11,128","10,950"
Comoros,,,,,,,,,212,139,140,119,108,129,115,123,138,134,132,153,120,138,111,73,89,111,112,
"Congo, Rep.",742,"1,214","3,716","4,156","2,776","2,648","3,120","3,473","3,878","4,363",591,618,"1,179","1,976","2,992","3,615","4,469","3,417","3,863","5,023","9,239","9,735","9,888","7,782","9,729","9,853","8,478","9,002"
Cook Islands,37,10,19,29,20,36,17,16,20,1,0,1,6,5,4,2,1,2,0,3,1,2,1,0,1,1,1,
Costa Rica,396,521,459,479,393,376,418,434,442,311,230,201,118,313,325,586,636,692,730,851,585,630,543,527,712,534,488,550
Croatia,"3,999","4,021","3,718","3,632","3,612","3,605","3,355","3,326","2,973","2,861","2,576","2,158","2,189","2,279","2,217","2,114","2,174","2,054","2,118","1,765","1,630","1,376","1,443","1,356","1,170","1,050","1,029",951
Cuba,"1,133",833,815,762,705,680,656,630,628,581,546,514,410,790,"1,681","1,553","1,465","1,346","1,234","1,135","1,183",926,898,840,784,770,765,762
Cyprus,69,69,86,73,39,61,48,35,39,23,29,43,39,37,37,36,24,47,45,39,33,40,20,35,30,34,36,41
Czech Republic,"4,962","4,312","4,146","4,016","3,653","3,117","2,553","2,196","2,047","1,905","1,937","2,079","1,986","1,864","1,960","1,834","1,969","1,834","1,805","1,605","1,414","1,291","1,156","1,101","1,027",973,941,790
Cote d'Ivoire,"4,197","4,418","5,000","6,000","6,062","5,729","6,072","6,422","6,556","6,982","7,841","8,021","9,093","9,563","14,000","11,988","13,104","13,802","14,841","15,056","12,943","16,533","16,071","17,739","20,084","19,681","20,746","23,033"
"Korea, Dem. Rep.",,,,,,,,,0,,,,,,,,,"11,050","1,152","12,287","34,131","29,284","40,159","41,810","44,602","42,722","44,558","58,802"
"Congo, Dem. Rep.","5,122","3,051","9,905","13,021","20,415","26,082","27,665","27,096","30,272","31,321","21,131","33,782","37,660","36,647","38,477","42,819","45,999","44,783","58,917","59,531","60,627","66,748","70,625","84,687","93,336","97,075","95,666","99,810"
Denmark,430,394,378,348,302,312,299,322,304,328,350,334,359,411,495,448,484,554,529,587,587,494,403,378,356,395,341,355
Djibouti,,"2,265",671,,"1,489","2,262","1,864","1,978","2,030","2,040","2,100","2,900","2,884","3,489","3,311",,"3,332","3,830","3,785","4,133","3,971","4,198","3,191","3,231","2,940","3,109","3,011","3,195"
Dominica,20,26,18,16,5,8,35,27,7,13,6,14,13,7,12,8,10,6,5,,,,2,,,,19,3
Dominican Republic,"2,174","1,778","2,457","2,959","3,100","2,335","2,634","2,459","3,081","3,145","2,597","1,837","3,490","4,033","4,337","4,053","6,302","5,381","5,114","5,767","5,291","4,766","4,040","4,696","4,549","5,003","4,561","4,150"
Ecuador,"3,950","3,966","3,880","3,985","4,301","4,798","5,687","5,867","5,497","5,480","8,243","6,879","7,313","7,050","9,685","7,893","8,397","9,435","7,164","5,756","6,908","6,015","5,829","6,442","6,122","4,416","4,594","4,877"
Egypt,"1,637","1,306","1,805","1,932","1,572","1,308","1,209","22,063","1,378","1,492","2,142","3,634","8,876","3,426","3,911","11,145","12,338","13,971","12,662","11,763","10,762","10,549","11,177","11,490","11,620","11,446","10,046","9,841"
El Salvador,"2,255","2,091","2,171","2,053","1,564","1,461","1,659","1,647","2,378",617,"2,367","2,304","2,495","3,347","3,901","2,422","1,686","1,662","1,700","1,623","1,485","1,458","1,550","1,383","1,406","1,794","1,644","1,666"
Equatorial Guinea,,,,,181,17,1,11,20,157,260,331,262,309,356,306,319,366,416,,,,,,536,,,
Eritrea,,,,,,,,,,,"3,699",,"4,386","11,664","15,505","21,453","5,220","8,321","7,789","6,037","6,652","2,743","2,805","4,708","4,239","3,549","3,026","3,641"
Estonia,614,560,563,587,546,541,522,446,471,422,423,406,403,532,623,624,683,744,820,754,791,708,620,557,537,479,422,456
Ethiopia,"40,096","42,423","52,403","56,824","65,045","71,731","80,846","85,867","95,521","80,795","88,634","60,006","60,006",,"99,329","26,034","41,889","59,105","69,472","72,095","91,101","94,957","110,289","117,600","123,127","124,262","122,198","128,844"
Fiji,210,180,163,185,165,230,199,173,162,218,226,247,240,183,225,203,200,171,166,192,144,183,148,185,134,132,114,94
Finland,"2,247","2,204","2,170","1,882","1,791","1,819","1,546","1,419","1,078",970,772,771,700,542,553,661,645,573,629,565,527,460,449,392,319,339,280,300
France,"17,199","16,459","15,425","13,831","12,302","11,290","10,535","10,241","9,191","9,027","9,030","8,510","8,605","9,551","9,093","8,723","7,656","6,832","5,981","6,052","6,122","5,814","5,709","5,740","5,004","4,887","4,817","5,314"
French Polynesia,76,66,65,78,80,78,85,80,63,73,59,49,83,78,89,,86,91,105,93,62,62,64,50,60,63,69,64
Gabon,865,796,761,752,654,855,769,864,721,912,917,906,926,972,"1,034","1,115",951,"1,434","1,380","1,598",,"2,504","2,086","2,208","2,588","2,512","3,051","3,766"
Gambia,239,58,,,,,,,,,,,,,,"1,023","1,242","1,357","1,558","1,514",,,"1,859","1,945","2,142","2,031","1,795","1,916"
Georgia,"2,098","2,124","2,168","1,881","1,855","1,822","1,833","1,810","1,598","1,609","1,537",,"2,130","3,741",,"1,625","3,522","8,446","6,302","4,793","4,397","4,006","4,490","4,212","4,011","4,501","4,554","4,310"
Germany,"29,991","27,083","25,397","22,977","20,243","20,074","17,906","17,102","16,282","15,385","14,653","13,474","14,113","14,161","12,982","12,198","11,814","11,163","10,440","9,974","9,064","6,959","6,931","6,526","6,007","5,539","5,021","4,609"
Ghana,"5,207","4,041","4,345","2,651","1,935","3,235","3,925","5,877","5,297","6,017","6,407","7,136","7,044","8,569","17,004","8,636","10,449","10,749","11,352","10,386","10,933","11,923","11,723","11,891","11,827","12,124","12,471","12,743"
Greece,"5,412","7,334","5,193","3,880","1,956","1,556","1,566","1,193",907,"1,068",877,762,920,,,939,945,767,"1,152",936,703,503,570,571,668,626,580,593
Grenada,17,1,1,6,4,2,1,2,0,4,0,1,3,0,3,4,0,2,2,5,0,,1,2,2,,1,3
Guam,55,41,49,48,54,37,49,34,41,75,,,60,70,94,,,,,,54,63,51,22,50,63,44,53
Guatemala,"5,624","6,641","7,277","6,013","6,586","6,570","4,806","5,700","5,739","4,900","3,813","2,631","2,517","2,474","2,508","3,119","3,232","2,948","2,755","2,820","2,913","2,419","2,909","2,642","3,313","3,365","3,626","3,140"
Guinea,,"1,884","1,469",832,"1,203","1,317","1,128","1,214","1,740","1,869","1,988","2,267","2,941","3,167","3,300","3,523","4,357","4,439","4,768","5,171","5,440","5,874","6,199","6,570","7,423","6,863","8,787","9,411"
Guinea-Bissau,645,465,205,376,368,530,"1,310",752,778,"1,362","1,163","1,246","1,059","1,558","1,647","1,613","1,678","1,445",846,"1,164","1,273",,"1,566","1,647","1,835","1,774","2,137",
Guyana,124,117,135,149,165,215,190,117,150,120,168,134,182,91,266,296,314,407,318,407,422,422,590,631,603,639,710,594
Haiti,"8,306","6,550","3,337","6,839","5,803","4,959","8,583","8,514","8,054","8,100",,"10,237",,,,"6,212","6,632","10,116","9,770","9,124","10,420","10,224","12,066","14,004","14,533","14,311","13,959","14,133"
Honduras,"1,674","1,696","1,714","1,935","2,120","3,377","4,213","4,227","3,962","4,026","3,647","4,560","4,155","3,745","4,291","4,984","4,176","4,030","4,916","4,568","6,406","5,048","4,485","3,858","3,594","3,333","3,197","2,772"
Hungary,"5,412","5,322","5,181","5,028","4,472","4,852","4,522","4,125","4,016","3,769","3,588","3,658","3,960","4,209","4,163","4,339","4,403","4,240","3,999","3,532","3,073","2,923","2,720","2,507","2,251","1,808","1,687","1,540"
Iceland,25,23,25,24,26,13,13,12,16,18,18,15,16,11,18,12,11,10,17,10,13,12,8,5,11,10,13,12
India,"705,600","769,540","923,095","1,075,098","1,109,310","1,168,804","1,279,536","1,403,122","1,457,288","1,510,500","1,519,182","1,555,353","1,121,120","1,081,279","1,114,374","1,218,183","1,290,343","1,132,859","1,102,002","1,218,743","1,115,718","1,085,075","1,060,951","1,073,282","1,136,182","1,156,248","1,228,827","1,295,943"
Indonesia,"25,235","32,461","33,000","31,809","32,432","17,681","16,750",,"97,505","105,516","74,470","60,808","98,458","62,966","49,647","35,529","24,647","22,184","40,497","69,064","84,591","92,792","155,188","174,174","210,229","254,601","277,589","275,193"
Iran,"42,717","11,728","9,509","8,589","10,493","8,728","8,032","10,034","9,967","12,005","9,255","14,246","14,121","20,569","13,021","15,936","14,189","12,659","11,794","12,062","11,850","11,783","11,464","10,900","10,171","9,192","9,361","9,316"
Iraq,"11,809","10,614","7,741","6,970","6,807","6,485","6,846","6,517","11,384","14,312","14,735","13,527","14,905","18,553","19,733","9,697","29,196","26,607","29,410","29,897","9,697","10,478","11,898","11,656","10,498","9,454","8,043","7,863"
Ireland,"1,152","1,018",975,924,837,804,602,581,534,672,624,640,604,598,544,458,434,416,424,455,386,393,375,354,380,387,416,425
Israel,249,227,232,222,257,368,239,184,226,160,234,505,345,419,395,398,369,422,656,490,557,546,485,505,497,402,384,392
Italy,"3,311","3,182","3,850","4,253","3,472","4,113","4,077","3,278","3,610","3,996","4,246","3,719","4,685","4,734","5,816","5,627","4,155","4,596","5,727","4,429","3,501","4,287","3,925","4,234","3,968","3,828","4,145","2,695"
Jamaica,176,178,153,157,160,130,88,133,65,86,123,121,111,115,109,109,121,118,121,115,127,121,106,120,116,90,95,104
Japan,"70,916","65,867","63,940","62,021","61,521","58,567","56,690","56,496","54,357","53,112","51,821","50,612","48,956","48,461","44,425","43,078","42,122","42,190","44,016","40,800","39,384","35,489","32,828","31,638","29,736","27,194","25,304","24,779"
Jordan,298,646,860,856,672,769,592,537,553,484,439,390,504,427,443,498,468,397,380,373,306,342,312,310,324,367,359,336
Kazakhstan,"14,442","13,876","13,808","13,357","12,563","12,423","13,090","13,286","13,501","13,307","10,969","10,821","10,920","10,425","10,519","11,310","13,944","16,109","20,623","24,979","25,843","26,224","27,546","26,936","26,493","25,739","23,728","24,777"
Kenya,"11,049","10,027",,"11,966",,"10,460","10,022","10,515","10,957","12,592","11,788","12,320","14,599","20,451","22,930","28,142","34,980","39,738","48,936","57,266","64,159","73,017","80,183","91,522","100,573","102,680","108,342","106,438"
Kiribati,146,187,193,127,111,103,129,110,208,121,68,91,100,99,253,,327,464,276,255,252,189,196,284,310,332,378,334
Kuwait,847,819,880,855,812,717,611,540,480,468,277,330,282,217,237,336,400,528,564,515,513,496,585,566,557,517,644,646
Kyrgyzstan,"1,973","2,085","2,051","1,981","2,022","2,094","2,122","2,088","2,159","2,132","2,306","2,515","2,582","2,427","2,726","3,393","4,093","5,189","5,706","6,376","6,205","6,654","6,613","6,172","6,104","6,329","6,174","6,098"
Laos,"7,630",,"4,706","4,700","6,528","4,258","1,514","3,468","7,279","2,952","1,826","1,951",994,"2,093","1,135",830,"1,440","1,923","2,149","2,420","2,227","2,418","2,621","2,748","3,162","3,777","3,958","3,905"
Latvia,"1,194","1,140","1,077","1,072","1,054","1,223",982,948,938,857,906,943,955,994,"1,131","1,541","1,761","2,003","2,182","1,891","1,982","2,000","1,803","1,686","1,579","1,409","1,290","1,227"
Lebanon,,67,75,284,410,"1,943","2,257","2,478",,,,884,884,,940,983,836,701,640,679,571,516,437,380,393,391,375,476
Lesotho,"4,082","3,830","4,932","3,443","2,923","2,927",21,225,"2,346","2,463","2,525","2,994","3,327","3,384","4,334","5,181","5,598","6,447","7,806","8,552","9,746",,"10,111","12,007","11,404","10,802","12,073","2,319"
Liberia,774,"1,002",835,885,,425,232,384,894,,,,"1,948","1,766","1,764","1,393",840,,"1,753",,"1,500","1,751","3,419","2,511","4,337","3,432","4,447",
Libyan Arab Jamahiriya,718,481,512,610,357,325,276,331,416,265,442,239,"1,164",,,"1,440","1,282",,"1,575","1,615","1,341",,"1,824","1,917","1,653","2,098","2,022","2,119"
Lithuania,"1,636","1,599","1,495","1,477","1,420","1,453","1,412","1,372","1,339","1,381","1,471","1,556","1,598","1,895","2,135","2,362","2,608","2,926","3,016","2,800","2,657","2,598","2,414","2,586","2,036","2,114","2,365","2,235"
Luxembourg,71,45,41,41,46,42,45,48,16,45,48,48,25,35,33,32,41,38,44,37,44,31,31,54,31,37,33,39
Madagascar,"9,082","7,464","3,573","3,588","8,673","3,220","3,717","4,007","4,393","5,417","6,261","6,015","8,126","9,855","10,671","21,616","12,718",,"14,661",,,"16,447","16,718","19,309","20,001","18,993","21,966","21,857"
Malawi,"4,758","5,033","4,411","4,707","4,404","5,335","6,260","7,581","8,359","9,431","12,395","14,743","14,237","17,105","19,496","19,155","20,630","20,676","22,674","24,396","23,604","26,094","24,595","25,841","27,030","25,491","25,054","24,461"
Malaysia,"11,218","10,970","11,944","11,634","10,577","10,569","10,735","11,068","10,944","10,686","11,702","11,059","11,420","12,285","11,708","11,778","12,691","13,539","14,115","14,908","15,057","14,830","14,389","15,671","14,986","15,342","16,051","16,129"
Maldives,73,112,111,143,123,91,111,115,85,203,152,123,92,175,249,231,212,173,176,153,132,139,125,137,119,122,99,127
Mali,839,933,187,532,"1,872","1,621","1,851","2,534","2,578","1,626","2,933","2,631","3,113","3,204","3,075","3,087","3,655","5,022","4,142","4,466","4,216",,"4,457","4,496","4,525","4,697","4,989","5,166"
Malta,24,26,13,24,15,11,14,14,12,16,13,26,30,26,25,11,28,11,16,22,16,16,24,6,18,21,30,38
Mauritania,"7,576","9,427","2,327","2,333","3,977","4,406","2,257","3,722","3,928","4,040","5,284","3,064","4,316","3,996",,"3,849","3,837","3,788","3,617","3,649","3,067",,,,"3,326","2,162","2,694","2,969"
Mauritius,132,157,121,152,118,111,119,117,114,129,119,134,130,159,149,131,116,121,120,154,160,123,139,137,137,125,114,106
Mexico,"31,247","32,572","24,853","22,795","14,531","15,017","13,180","14,631","15,371","15,489","14,437","15,216","14,446","15,145","16,353","11,329","20,722","23,575","21,514","19,802","18,434","18,879","17,790","17,078","15,101","18,524","17,887","18,324"
"Micronesia, Fed. Sts.",,,67,73,75,66,60,98,77,68,367,350,111,151,173,172,126,107,123,,91,104,127,99,118,98,104,137
Monaco,1,0,0,0,0,1,2,2,1,1,1,0,1,,1,1,0,0,0,3,0,0,0,,,,,
Mongolia,"1,160","1,094","1,325","1,514","1,652","2,994","2,819","2,433","2,538","2,233","1,659","1,611","1,516","1,418","1,730","2,780","4,062","3,592","2,915","3,348","3,109","3,526","3,829","3,918","4,542","4,601","5,049","4,654"
Montserrat,1,0,0,1,7,9,5,13,6,5,1,1,0,,0,,,,1,2,0,0,0,1,0,1,0,2
Morocco,"24,878","28,637","28,095","26,944","22,279","26,790","27,553","27,159","25,717","26,756","27,658","27,638","25,403","27,626","30,316","29,829","31,771","30,227","29,087","29,854","28,852","28,285","29,804","26,789","25,909","26,269","26,099","25,562"
Mozambique,"7,457","6,984","5,787","5,937","5,204","5,645","8,263","10,996","13,863","15,958","15,899","16,609","15,085","16,588","17,158","17,882","18,443","18,842","19,672","20,574","21,158","22,098","25,544","28,602","31,150","33,231","35,257","37,651"
Myanmar,"12,744","12,461","12,069","11,012","11,045","10,506","10,840","11,986","9,348","10,940","12,416","14,905","17,000","19,009","15,583","18,229","22,201","17,122","14,756","19,626","30,840","42,838","57,012","75,744","96,662","107,009","122,472","129,081"
Namibia,,,,,,"4,840","4,427","3,640","2,815","3,703","2,671","2,500","1,756","5,500",,"1,540","9,625","9,947","11,147","10,035","10,799","13,064","13,282","14,490","15,026","14,920","14,673","15,205"
Nauru,0,2,8,0,0,0,8,6,8,0,7,,,,4,,,,,2,4,3,5,3,,11,12,3
Nepal,"1,020",337,"1,459",700,190,52,252,"1,012","1,603","11,003","10,142","8,983",,"13,161","15,572","19,804","22,970","24,158","24,135","27,356","29,519","29,519","30,359","30,925","31,979","33,448","32,670","32,940"
Netherlands,"1,701","1,734","1,514","1,423","1,400","1,362","1,238","1,227","1,341","1,317","1,369","1,345","1,465","1,587","1,811","1,619","1,678","1,486","1,341","1,398","1,244","1,408","1,355","1,282","1,316","1,127","1,002",930
Netherlands Antilles,,,,,,,,,,,,,,,,,5,14,7,4,5,9,15,9,11,,5,
New Caledonia,108,128,120,171,144,104,98,74,111,128,143,140,140,104,97,87,104,88,90,78,94,61,65,38,61,47,48,47
New Zealand,474,448,437,415,404,359,320,296,295,303,348,335,317,274,352,391,352,321,365,447,344,377,329,386,371,332,344,274
Nicaragua,"1,300","3,723","3,082","2,773","2,705","2,604","2,617","2,983","2,737","3,106","2,944","2,797","2,885","2,798","2,750","2,842","3,003","2,806","2,604","2,558","2,402","2,447","2,092","2,283","2,220","1,907","1,997","2,303"
Niger,717,"2,871",754,673,665,698,570,556,631,608,"5,200",,,626,"3,784","1,980",,"4,021","5,046","3,900","4,701","5,115","5,185","7,078","6,822","7,873","8,474","9,276"
Nigeria,"9,877","10,838","10,949","10,212","11,439","14,937","14,071","19,723","25,700","13,342","20,122","19,626","14,802","11,601","8,449","13,423","15,020","16,660","20,249","24,157","25,821","45,842","38,628","44,184","57,246","62,598","70,734","82,417"
Niue,1,0,2,3,1,0,5,0,3,,0,,2,1,2,0,2,0,0,1,0,0,4,0,0,0,0,0
Northern Mariana Islands,,26,75,74,58,64,16,56,27,28,28,,67,,46,48,51,93,97,66,75,58,53,45,53,57,51,44
Norway,499,461,448,396,373,374,343,307,294,255,285,290,288,256,242,236,217,205,244,213,221,276,243,320,278,269,276,282
Oman,"1,872",928,897,802,843,861,"1,265",616,477,478,482,442,367,281,304,276,300,298,287,249,321,292,290,255,292,261,339,328
Pakistan,"316,340","324,576","326,492","117,739","91,572","111,419","149,004","179,480","194,323","170,562","156,759","194,323",,"73,175",,"13,142","4,307",,"89,599","20,936","11,050","34,066","52,762","70,485","94,327","142,211","176,678","230,468"
Palau,17,10,17,14,20,26,13,38,17,3,,6,4,25,41,19,5,15,,32,,,11,9,5,10,12,11
Panama,643,580,580,429,413,614,709,765,770,672,846,863,750,"1,146",827,"1,300","1,314","1,473","1,422","1,387","1,169","1,711","1,575","1,620","1,701","1,637","1,636","1,596"
Papua New Guinea,"2,525","2,508","2,742","2,955","3,505","3,453","2,877","2,251","4,261","3,396","2,497","3,401","2,540","7,451","5,335","8,041","3,195","7,977","11,291","13,003","10,520","12,658","11,197","12,798","12,743","12,564","12,620","15,002"
Paraguay,"1,354","1,388","1,415","1,800","1,718","1,931","1,628","1,502","1,438","2,270","2,167","2,283","1,927","2,037","1,850","1,745","2,072","1,946","1,831","2,115","1,950","2,073","2,107","2,175","2,298","2,075","2,447","2,269"
Peru,"16,011","21,925","21,579","22,753","22,792","24,438","24,702","30,571","36,908","35,687","37,905","40,580","52,552","51,675","48,601","45,310","41,739","42,062","43,723","40,345","38,661","37,197","36,092","31,273","33,082","33,421","34,311","32,407"
Philippines,"112,307","116,821","104,715","106,300","151,863","151,028","153,129","163,740","183,113","217,272","317,008","207,371","236,172","178,134","180,044","119,186","165,453","195,767","162,360","145,807","119,914","107,133","118,408","132,759","130,530","137,100","147,305","140,588"
Poland,"25,807","24,087","23,685","23,411","22,527","21,650","20,603","19,757","18,537","16,185","16,136","16,496","16,551","16,828","16,653","15,958","15,358","13,967","13,302","12,168","10,931","10,153","10,069","9,677","8,698","8,203","8,017","8,019"
Portugal,"6,873","7,249","7,309","7,052","6,908","6,889","6,624","7,099","6,363","6,664","6,214","5,980","5,927","5,447","5,619","5,577","5,248","5,110","5,260","4,599","4,227","4,320","4,381","3,861","3,600","3,303","3,218","2,952"
Puerto Rico,686,521,473,452,418,338,363,303,275,314,159,241,,256,274,262,222,257,201,200,174,121,129,115,123,113,112,98
