"Nuclear production, per person (toe)",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Canada,0,0,0,0.0004216412177,0.0006724031439,0.0005593056266,0.000736589226,0.0006416797059,0.003771013897,0.002131221714,0.004105840838,0.01664045658,0.02774935141,0.05799809312,0.05523659103,0.04670351517,0.06395202824,0.09558916955,0.1119006288,0.1250589666,0.1333874377,0.1390861072,0.1317709649,0.1654219307,0.1757812187,0.201367963,0.2340386578,0.2501738014,0.2644536316,0.2512872638,0.2264923917,0.2603285723,0.2440909347,0.281388729,0.3196264884,0.287114983,0.2696391848,0.2377243942,0.2041855923,0.2079754271,0.2041123283,0.2129535544,0.207599378,0.203728119,0.2433001241,0.2451418466,0.2581645663,0.2437694025,0.2423890738,0.2300345827,0.2291608349,0.2276303496
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001160264333,0.001055983172,0.0009089386751,0.001005473843,0.001001514712,0.0009706663037,0.001020568585,0.001133956334,0.001175614148,0.001680127789,0.002881359848,0.003336700442,0.003490952197,0.003587186886,0.004042596624,0.004427413847,0.004517490942,0.004735980053,
Christmas Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cocos Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Dem. Rep.",,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Congo, Rep.",,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cook Is,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cote d'Ivoire,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cuba,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cyprus,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Czech Republic,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.001669168238,0.01034138155,0.02000854504,0.05132955816,0.08933334184,0.0986428766,0.1036597548,0.1050320138,0.1012080211,0.1021276831,0.1052068479,0.1080953798,0.1019048718,0.1071677404,0.1043407437,0.1102379941,0.1119354554,0.1140820281,0.1240194415,0.1578116448,0.2181116042,0.2218797189,0.2080325396,0.2183056258,0.2181976512,0.2199957681,0.2240925556,0.2294295098,0.2308555741
Czechoslovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
East Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Egypt,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
El Salvador,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Eritrea and Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiopia,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falkland Is (Malvinas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04826293699,0.05908493122,0.1217156478,0.1263280333,0.2626498516,0.2988867873,0.3139452631,0.3324844963,0.3342941973,0.3330017808,0.3421526139,0.339549337,0.3304349508,0.3313542845,0.3349152401,0.3289252984,0.3385430121,0.3284114174,0.3234813311,0.3267466793,0.3495759444,0.3647856769,0.3826831344,0.3736145081,0.3776388741,0.3688498049,0.3751038389,0.3737465325,0.3815437341,0.3740192587,0.3806902457,0.3713146454,0.3787053192,0.3654451131,0.3702522354
France,0.0002747674907,0.0005034886722,0.0008668206417,0.00084227763,0.00116860206,0.001857082193,0.002804523709,0.005058106946,0.006082757985,0.008457203667,0.009673493664,0.01569049594,0.02432844182,0.02438429925,0.02413245205,0.02977777942,0.02560998924,0.0290618019,0.04905511232,0.06404728087,0.09774729078,0.1672909072,0.1721290835,0.2267859275,0.2990287225,0.3485640541,0.3932219855,0.4086313391,0.4218189339,0.4629998312,0.4762287699,0.5002121509,0.5088516736,0.5514237038,0.537105382,0.5607452213,0.5884691744,0.5835794149,0.5703134623,0.5769868115,0.6045527432,0.6096241789,0.6282709298,0.6301552998,0.6360378404,0.6365037628,0.6306725098,0.6123608648,0.6084799717,0.5641938377,0.5868400004,0.6025750882
French Guiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Germany,0,0.00002810515206,0.0001160874684,0.00006443876733,0.000118657051,0.0001324341648,0.0002977822473,0.001367459448,0.001959903637,0.005452118507,0.007143259359,0.006817496483,0.01042323442,0.01323734468,0.01580287341,0.02638109217,0.03228759237,0.04513070299,0.04803977405,0.05708439022,0.06105352556,0.07212624969,0.08210263548,0.08629259741,0.1154589964,0.1534530399,0.1442470857,0.1562834234,0.1722982757,0.1767760247,0.1657421508,0.158934248,0.170081944,0.1628567395,0.1590047818,0.1606682093,0.1673825263,0.1778972429,0.1687772117,0.1775253648,0.1770936646,0.178791184,0.1719460432,0.1720647184,0.174069902,0.1698580184,0.1742575494,0.1464407561,0.1548133344,0.1407925762,0.1468442116,0.1129935622
Ghana,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guadeloupe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Guernsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haiti,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Holy See,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Hong Kong, China",,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Hungary,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02000911109,0.03059401896,0.05285079405,0.06077933791,0.0902705325,0.1108462107,0.1148505803,0.1137834495,0.1139120559,0.1159782913,0.1146318053,0.1168001051,0.1167333146,0.1182142099,0.1167031291,0.1168436641,0.118392876,0.1194118956,0.119259456,0.1180932973,0.0934378938,0.1013319254,0.1179257892,0.1150045856,0.1256645052,0.1271336212,0.1326099274,0.1357422128,0.1353252601
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,,,,,,,,,,,,0.0001805723369,0.0001680036627,0.0003471098079,0.0003121787468,0.0003629586241,0.0004389716142,0.0002994987489,0.0003565966603,0.0003617384309,0.0003685970811,0.0003625424541,0.000237141493,0.0004065166459,0.0004567403905,0.0005460546739,0.0005383870097,0.0005280947118,0.0005970779082,0.0004647364733,0.0006043027567,0.0005326371411,0.0006354844637,0.0005000338587,0.000513159637,0.0007116001142,0.000793815099,0.0008664983081,0.00100651598,0.001099348035,0.001378985686,0.001562991232,0.001531412664,0.001382425714,0.001302488146,0.001306613915,0.001397257697,0.001241971713,0.00107778161,0.001326852641,0.001844229172,
Indonesia,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Iran,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Iraq,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,0,0,0,0.0005483559236,0.0040436745,0.005865599011,0.006407456585,0.005190514655,0.004212213997,0.002726343981,0.005121200413,0.005388031448,0.005765796781,0.004962758387,0.005352315966,0.005930449705,0.00591114905,0.005232234012,0.006817258817,0.004031812781,0.003376909853,0.00412870066,0.0103527974,0.008781884479,0.01044224734,0.01063823343,0.01325588535,0.000263294817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamaica,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Japan,0,0,0,0,0,0,0.0005237854407,0.000517393484,0.000851408603,0.0009243290346,0.003813785655,0.006542110446,0.007661361478,0.007721879933,0.01546877204,0.01949642066,0.02616394945,0.02407496546,0.04471423004,0.05263403841,0.06126529643,0.06463709089,0.07482209666,0.08289253289,0.09675275556,0.1143526596,0.1200427035,0.1333978235,0.1265034769,0.1290612027,0.142266609,0.1495827624,0.1558467303,0.1733244484,0.1864714657,0.201172716,0.2081843184,0.2193935338,0.2280168665,0.2168702665,0.2202605876,0.2184609262,0.2012998468,0.1635498867,0.1922862491,0.2073233853,0.2063020072,0.1793098168,0.1753927539,0.1900738536,0.1958599503,0.06917044952
Jersey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Kenya,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Korea,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
South Korea,,,,,,,,,,,,0,0,0,0,0,0,0.0001703334795,0.005495093044,0.00734516249,0.007981098154,0.006545782714,0.008397417612,0.01961274943,0.02539841124,0.03554216862,0.05927674915,0.08127058297,0.08192149371,0.09571002982,0.1058032768,0.1116345456,0.1111544654,0.1134652821,0.1136703491,0.1290456792,0.1414098467,0.1465515997,0.1695093578,0.1937071429,0.2037334553,0.2086471955,0.2206123082,0.2391383167,0.2400021169,0.2682741363,0.2705886441,0.2587481123,0.2719249364,0.2649078333,0.2651723904,0.2668182591
"United Korea (former)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,
Kuwait,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Lao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Lebanon,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Libya,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3962710948,0.395267533,0.3411005115,0.2869578962,0.181412178,0.2800991728,0.3326253,0.2890245756,0.3283083466,0.2406480867,0.2068279732,0.2807650221,0.3511992892,0.3862253242,0.3783553502,0.2602129935,0.2189155658,0.2502145763,0.2532088582,0.2792807396,0,
Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Macao, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
