RTI 0-14 all age adj,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Chile,,,,,,2.551578,3.20246,2.762002,4.490895,3.017633,5.708862,4.616997,2.887424,3.356,3.284094,2.78946,8.918685,4.489278,10.58407,7.822276,7.233102,8.194439,7.594956,5.926503,5.25673,4.047434,4.35156,4.617784,4.061002,5.450068,5.598584,6.048229,4.362184,3.454665,2.330769,2.902605,2.620115,2.862313,2.5111,2.687037,2.658924,3.345147,3.963305,3.632632,4.162083,3.320317,3.699499,3.256485,3.344712,2.747979,3.541601,3.516266,2.942576,3.030264,3.654795,2.711932,,,
Colombia,,,,4.820483,4.222512,4.686244,4.804283,5.099988,5.028885,4.790591,4.562138,4.936005,6.62967,7.184925,7.621019,7.948767,7.444566,6.926817,6.646159,5.97513,,,6.770413,,7.88895,7.092927,7.428484,7.063994,,,,,,,7.003482,6.51501,6.172184,5.536312,5.252092,5.374879,5.101706,5.853006,6.078384,5.603989,5.801056,5.481737,5.205788,4.879672,5.751893,4.78075,4.36782,4.574834,4.379896,,3.973194,3.535568,3.492799,,
Costa Rica,,,,,,,,,,,,,2.176294,2.91816,3.443067,4.977791,5.562959,3.864823,3.21957,4.929491,6.070094,4.487761,3.859309,4.748294,7.3636,5.551058,7.066092,10.16619,7.484628,8.433479,6.59801,3.600534,3.605823,2.905373,3.771705,3.72275,5.290185,5.713177,4.508631,4.671299,3.21265,3.650334,3.847297,3.065796,4.608025,4.24736,3.979043,4.443978,4.936554,5.348686,4.285697,4.779235,3.536253,3.347264,3.316508,3.407905,3.111436,,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.426103,7.291871,6.917138,5.973688,5.446354,6.469384,5.487808,6.215181,3.306273,3.899405,5.391876,3.525053,3.122005,3.160483,2.201962,3.11081,3.473404,2.200633,3.113396,4.29128,2.337519,3.484801,2.97332,1.878519
Cuba,,,,,,,,,,,,,,,3.192469,,,,3.691251,3.558255,4.643685,4.104134,3.324581,3.286533,3.365782,4.868651,3.978921,5.121278,,,,,,,,,,,,,,,5.276935,6.085456,5.955419,5.726308,6.019907,4.932406,4.715336,4.246187,4.526272,4.025369,3.792041,2.52386,2.571468,2.949291,2.287935,1.822894,
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.703541,2.072453,,,,0,2.401846,0.6164055,3.660401,
Czech Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.227357,3.357059,3.502849,2.90345,3.076497,3.99833,4.260908,3.687049,4.578271,3.42172,2.826745,3.652709,2.518941,1.933335,2.777057,2.319696,1.825025,1.854397,1.555619,2.128791,1.581564,1.310562,1.272002
Denmark,,6.825874,8.696856,8.268226,7.482408,7.227584,7.468374,6.343202,8.11777,8.894438,9.497646,9.65749,10.21887,10.37469,11.07696,11.91478,12.8185,13.79139,15.4963,15.00642,14.67427,14.50094,11.5224,13.09218,8.414923,9.676077,8.587584,9.340221,7.659004,7.573116,4.479064,6.486403,5.547743,5.068661,5.804293,7.271274,4.79109,5.022344,5.369259,5.223952,5.224982,5.18421,3.66548,3.435265,2.54145,2.712633,3.878189,2.36083,1.986584,3.494084,2.47135,2.014308,1.514065,2.185027,1.470815,1.29365,1.077941,,
Egypt,,,,,,,,,,,,,,,,,,,,,1.526807,1.592621,1.735282,1.364162,1.377692,1.434537,1.574773,1.426361,1.649698,2.679187,3.832177,,,,,,,4.443705,,,,,,,,,,,,,4.493535,,,,,,,,5.558217
El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.669632,5.873327,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.250026,7.546228,,,4.114898,4.69166,6.961117,5.803173,11.76271,12.09452,6.931893,4.830976,8.051348,6.752608,6.891514,7.872525,6.318342,4.537812,5.695739,2.292063,5.549424,5.607907,2.66439,3.520317,6.347632,3.84341,2.498625,2.538986
Finland,,,5.718764,7.104397,5.923228,7.410903,8.033815,9.316471,8.116125,8.298832,10.60658,9.980972,9.920058,11.15754,11.83815,12.14191,14.02722,13.10058,11.10268,13.95443,12.50832,13.597,14.42342,13.20031,9.444217,8.619254,7.11241,7.047467,6.176873,5.635862,4.041144,4.747703,4.687634,5.777357,4.526107,5.596587,3.585032,3.55106,4.999376,4.551744,4.317448,3.611232,4.31059,2.783318,3.669703,2.868386,2.749794,3.421705,1.43895,2.791078,2.003122,1.982533,1.697435,2.482565,1.43495,2.533232,0.5306522,1.418689,1.008989
France,3.334325,,3.378406,4.232498,4.963371,4.84913,4.883108,4.955918,4.905944,5.015637,5.350841,6.122843,6.692255,6.389432,7.763013,7.657804,7.293068,8.610035,9.792244,7.075281,7.945914,8.230009,7.964556,7.687319,6.516832,6.410339,6.362331,6.493765,6.190869,6.071149,5.932052,6.17354,5.96244,5.591822,5.571606,4.868494,5.039958,4.562271,4.913461,4.772629,4.288231,4.231134,3.659614,3.428355,3.644617,3.417067,3.042969,3.007409,3.281232,2.986613,2.804754,2.553413,2.240013,2.008421,1.55561,1.278783,1.136422,1.333323,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.24145,0.9986148,,,1.743127,2.699364,2.931457,2.994516,3.965348,2.862184,1.016976,2.76363,,0.7577919,3.06428,1.280518,1.588424,0.2201647,1.520892,0.5695935,1.718579,,,,,,,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.108114,3.860437,3.576199,3.279624,3.07717,3.044479,2.688471,2.276551,2.168504,2.295804,1.791672,1.677243,1.568114,1.590327,1.181088,1.288108,1.037224,,
Greece,,,,,,,,,,,,3.434983,3.016926,2.845773,4.452218,4.482995,5.319304,5.329699,4.617452,4.409125,4.296238,4.314753,4.451483,5.377592,5.305366,5.851325,6.352526,6.626901,6.780936,6.165288,6.400465,5.035525,6.185209,5.598724,5.941547,6.081261,5.596611,4.437331,5.190543,4.941051,5.596523,4.691384,5.032034,3.889776,4.23002,4.285944,4.191864,4.326805,3.029261,3.736948,2.794426,2.446128,3.733265,3.019738,2.989565,3.132944,2.047349,2.988859,2.413436
Guatemala,,,,,,,,,,,,,,4.079383,3.06592,3.316326,2.446373,2.303482,2.899089,3.484005,3.562034,3.278661,,,0.9317619,,,1.345286,,5.713781,5.372398,3.918447,,,0.4813043,,1.85829,2.41919,1.813414,1.706837,1.317379,1.657505,1.769721,1.78843,1.509633,1.540979,1.389147,1.429894,1.507792,1.070355,1.302601,1.040883,0.8806669,0.8781347,1.015377,0.8373011,0.720667,,
Hungary,,,,,,2.219496,2.298233,2.969548,1.959544,2.216181,1.987813,2.695124,2.804291,2.832193,2.916642,2.960644,2.546589,3.568488,4.330218,5.018796,6.280201,5.811449,5.87699,5.558484,4.616908,4.629243,4.166751,4.470343,6.200095,4.105463,4.653574,3.733905,4.484249,3.878646,3.882981,4.585727,3.485459,4.40083,3.76731,5.679206,5.391177,4.804915,4.317475,4.678666,3.919497,4.047268,3.032921,2.811009,2.339383,2.660992,2.316468,2.44746,3.443575,2.077523,2.529052,2.452178,2.959439,2.641834,1.659711
Ireland,4.352059,3.917171,3.145696,4.652341,3.635493,4.915253,4.661192,4.649887,3.094028,4.571828,4.678401,5.141651,5.775474,4.69865,4.445307,5.404098,5.557035,5.946985,5.903434,6.872693,7.493653,9.213789,10.37555,6.904713,8.141684,7.952842,5.600129,7.811171,8.46262,7.836435,8.127687,7.475721,6.4439,5.111813,5.742922,5.522431,5.733232,4.59507,5.079667,4.006057,4.217966,4.697537,3.420913,4.188611,2.975292,3.527364,3.0034,3.813727,4.074776,2.74478,2.268183,3.364762,2.741639,1.677241,1.186484,1.17657,1.165672,0.8993611,1.962036
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,6.596953,5.054033,7.803329,6.890561,6.4944,5.450986,4.675457,3.251757,5.261972,4.117296,4.153206,3.081911,4.622725,4.651605,3.694777,2.796839,2.096163,2.630461,3.507784,3.351553,4.119348,2.804941,3.756815,1.693423,1.362585,1.051421,1.473508,0.8168011,1.308816,1.322601,1.310764,1.331885,,
Italy,,4.173496,3.834069,4.695994,5.004683,5.757959,5.580719,5.222608,5.834449,5.183407,5.765613,5.89488,6.599872,7.154988,7.179282,7.235781,7.014068,7.508433,7.757388,7.713359,8.533167,8.577817,9.325954,8.811105,7.646834,7.502908,7.240502,6.518608,6.127693,6.342181,6.168878,5.509825,5.021777,4.617015,4.074918,3.866429,3.643077,3.769197,3.346283,3.058545,3.397271,3.397465,3.069098,3.175884,3.091441,3.040868,2.686979,2.415443,2.229777,2.312871,1.957991,2.146742,1.977724,1.67714,,,1.225142,1.454587,
Japan,3.612458,4.004043,4.455929,4.758934,5.337521,5.095222,5.34873,6.016615,6.560856,7.60355,8.345823,8.565308,7.399973,8.08159,8.038232,7.93782,8.542609,7.755346,8.249918,8.754262,9.009819,8.368959,8.515089,8.07844,6.111013,6.175536,5.233179,5.149218,5.088893,4.542347,4.046936,3.72369,3.840034,3.530854,3.158915,2.940342,2.823806,2.982615,2.765534,3.086503,3.057825,2.834538,2.800491,2.534739,2.611274,2.338089,2.053026,1.950665,2.149142,1.747486,1.474934,1.79839,1.793158,1.404554,1.489097,1.218714,1.01134,0.8943998,0.9109223
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.001481,6.37178,,,4.874833,5.955914,6.55257,7.645031,8.076506,8.087263,7.788009,7.241751,6.331553,4.53913,4.979902,5.596036,4.084927,4.198394,3.99288,4.296849,4.503679,4.024067,4.902462,6.809656,7.071568,9.223065,9.253782,7.070301
"Korea, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.568107,8.505167,9.597215,9.915078,13.31538,13.65737,12.97294,11.31067,10.96304,11.94543,12.32492,12.13966,9.426118,7.662634,7.020535,7.011287,6.044137,5.865621,4.984267,4.000946,3.678803,3.532091,,
Kuwait,,,,,,,,,,,,,,,,,,,,,,,23.65369,,,22.82275,19.68519,20.55433,19.13195,23.8991,21.9392,23.48787,24.25947,18.30004,14.00064,18.1104,12.10301,13.36415,,,,,,11.59463,11.76541,9.881239,10.25425,10.1589,6.263126,6.616731,6.854828,7.173381,5.647782,,,,,,5.536728
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.77119,8.594394,,,8.143303,7.996452,7.985635,8.53854,8.986692,8.143373,10.04287,6.2828,5.03704,4.182336,3.911726,4.222162,3.589017,2.697554,2.508311,2.624188,2.498587,3.628625,3.485218,3.725949,2.506632,3.939579,3.71427,
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.49517,9.188759,8.734111,6.97245,7.64058,8.187243,7.652584,9.555732,9.079884,9.693048,11.18785,12.56086,8.534915,8.510713,9.154368,7.103945,6.522602,4.039669,6.838035,4.886523,4.554358,5.104378,6.166937,4.374306,1.767699,3.854723,3.617393,3.113859,3.861682
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.09878,9.007259,,,7.257104,7.492744,6.115114,7.728109,8.243432,7.923268,10.14974,7.85142,6.660459,7.81111,4.91566,6.299158,4.157005,6.625331,5.231575,4.937089,5.166938,4.04805,3.992077,2.292079,6.044153,5.798888,5.966777,3.643264
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.990791,2.383296,3.830481,2.249177,2.062927,2.889726,2.755962,2.589872,1.729871,1.781783,1.789832,2.26877,1.644019,,,,,
Mauritius,,,,,,,,,,,,8.148314,7.946565,5.489464,5.538585,8.207436,3.91721,7.154673,6.228962,5.764059,10.0117,6.160833,7.586078,7.598724,7.860076,10.095,6.824225,5.948177,5.180673,9.424343,1.967305,1.564719,0.6250378,0,0,0.6020628,1.031645,3.14062,3.677863,3.549755,3.789876,5.543766,2.224943,3.05434,2.322174,5.724847,4.161607,6.915328,3.073158,5.074409,4.752288,4.006712,4.689844,3.665931,3.070317,2.89941,1.992198,3.941803,1.676089
Mexico,,,,,,1.060593,1.194444,1.386657,1.575621,1.665636,1.522959,1.479423,1.476834,2.878785,3.285281,3.0383,3.1686,2.887959,3.256215,2.728462,3.128636,3.685108,3.622706,3.450351,6.718094,7.466553,8.310205,9.134839,8.929206,9.019498,8.94588,9.765415,8.345893,6.857304,6.766867,6.053118,5.933755,6.182275,5.904026,6.518713,6.22752,6.190766,5.703053,6.013697,5.332273,5.250442,5.062703,5.542561,3.835227,4.061233,3.366242,3.554959,3.858293,3.587818,3.451205,3.519287,3.956075,3.267002,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.68592,12.84739,,,9.453101,10.18069,8.90638,8.193011,11.30585,9.630524,8.108541,8.256682,5.999204,6.229946,6.319696,7.395167,7.414639,4.736803,4.381752,4.399778,6.484235,5.585698,4.226902,4.628611,4.679278,3.077177,4.354191,3.896199
Netherlands,7.394179,7.785866,8.03582,8.344714,7.865857,8.15719,9.051467,9.186382,8.744673,9.588789,9.967169,8.893609,10.11462,9.858437,11.07654,10.75456,11.0819,12.24336,11.91588,13.01011,12.63402,12.42674,12.34057,9.782159,8.655788,8.695384,8.68847,8.439128,8.117277,5.798528,5.923144,5.462438,5.518969,5.803105,4.446485,3.480958,3.350013,4.342318,3.389859,4.124291,3.71198,3.068778,3.111679,3.193485,2.968238,2.521169,2.351005,2.148368,1.491743,2.490823,1.821739,1.50505,1.222756,1.989294,1.149686,0.9249868,1.176148,1.10508,0.8554518
New Zealand,3.685716,5.260554,6.073395,5.563824,6.36409,7.7934,6.188367,5.265708,6.818421,3.735291,6.746899,7.345486,7.379689,7.272801,7.521426,7.65802,7.597258,9.439512,8.050963,7.334646,8.841169,10.67712,10.319,9.40289,11.57513,10.16165,7.480131,9.101299,8.14705,8.353017,8.329938,7.322231,7.748533,6.7642,8.249706,8.342154,7.96004,8.754203,5.290316,6.842037,6.946042,6.842174,6.663176,4.941926,5.254929,6.587261,5.748253,4.952724,6.059295,3.414949,4.100905,3.170391,3.717662,3.049534,2.074905,3.244638,2.700755,,
Norway,,7.22726,6.931633,6.567552,6.131911,7.74543,8.990906,7.65631,7.051251,8.772009,6.057124,8.256233,7.395134,7.298982,9.259877,10.52758,9.598883,9.532632,9.9174,11.04363,10.62484,9.128703,6.702529,10.05032,7.627505,9.360648,7.1462,7.973269,6.76614,6.106891,4.279178,5.053231,4.969343,4.266003,4.160152,3.863929,5.381498,3.234573,2.923127,3.514805,1.978583,2.963993,1.976629,2.432184,2.07894,2.173514,1.752986,2.142465,1.949884,2.264096,1.987526,0.6603179,1.641425,2.089914,0.9875461,0.7910301,0.8991135,0.9726711,
Panama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.150799,4.703299,4.113919,4.505488,4.984043,3.690516,,,,,,,4.772388,3.995299,4.364316,4.203645,3.454355,3.163936,4.167924,2.813447,2.171047,,3.23484,,
Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.078147,2.700738,2.689151,3.069845,3.348511,3.165592,2.020735,3.396019,1.641862,2.690815,2.417183,2.999642,2.188416,,
Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.74012,3.247278,,,,3.643141,3.380208,3.332658,3.268658,3.322153,3.267984,3.026725,,,,,
Poland,,,,,,,,,,2.220734,2.372687,3.513287,3.08023,2.942067,3.3379,3.956925,4.174481,4.549686,5.105585,5.110338,5.035191,5.911571,,,,,,,,,,,,5.432411,4.919937,4.784225,4.680888,4.145519,4.208315,5.741926,5.784078,6.033923,5.331518,5.044569,4.516582,4.98939,4.685034,,,3.885099,3.202245,3.420604,3.488355,3.163337,3.467393,2.739428,2.359693,2.713422,2.533419
Portugal,,,,,,5.240338,4.910765,4.607499,4.869431,6.460573,6.196103,7.322672,6.272765,6.591506,8.227859,8.278797,8.816735,8.358784,8.665457,9.600313,10.8045,12.96501,12.47422,13.03265,13.6837,13.4784,14.12409,11.17775,11.36536,12.21269,12.12318,12.74563,12.61509,11.9724,10.12611,8.900162,9.90486,9.454406,8.647801,7.372373,8.38933,9.737453,8.479555,7.401064,6.800514,7.888123,6.603049,6.405541,5.394095,3.830915,2.957475,4.420693,5.506723,4.34582,,,,,
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.953727,10.4946,8.749344,7.215139,7.601957,8.691948,8.412082,8.314193,6.713815,7.752906,5.542184,4.824518,4.9062,4.59734,3.273614,4.609932,3.920671,4.197648,3.504287,3.785148
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.236226,6.949431,6.516794,6.141079,5.731923,5.477906,5.54314,5.221417,6.235969,6.945184,7.702444,7.948853,7.598479,7.530139,6.997309,6.411775,5.759317,5.325254,5.489744,6.567736,6.256045,6.728483,6.274823,6.669192,6.087275,5.956855,5.81903,,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.78274,2.817705,2.718254,3.817149,2.576126,1.901605,2.224522,1.543434,2.879671,2.489336,2.056074
Singapore,,,,,,,,,,,,,,4.267519,3.536614,5.257335,3.761827,3.900635,3.271844,4.714999,4.026981,5.544204,5.888337,4.494715,4.117177,3.417402,4.862828,3.32257,3.199728,2.664798,2.724123,3.356711,1.504341,2.76854,2.685853,1.095073,1.725202,2.406359,2.12374,2.31601,1.949987,1.463686,1.88044,0.8807426,1.524384,0.9286981,1.6587,1.029517,0.7423885,0.7138231,0.5545878,1.141912,0.9149109,0.654993,0.5040544,0.2624514,,,
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.000255,4.101475,3.222293,4.360257,4.313554,3.714699,3.771427,4.947906,4.230764,4.029991,3.66165,2.870458,3.648427,2.652641,,,
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.958237,4.379149,5.674656,6.928042,6.475448,7.684797,4.549341,5.670455,5.056464,9.256303,4.800228,3.102412,3.732377,3.26504,2.57023,1.83448,1.881304,0.9652034,1.445416,2.969538,3.962287,2.856441,2.822969,1.447144
Spain,,1.45911,1.175411,0.8581496,1.180582,1.340007,1.477752,1.770172,1.865032,1.616804,2.163266,2.517871,2.563567,3.659059,3.551908,4.185215,5.282967,4.574183,4.865906,5.597638,4.921926,3.87066,4.130325,4.77827,4.773239,5.721873,5.897256,6.546024,6.217146,6.558193,5.705849,5.062129,4.157254,4.312084,4.167618,4.916026,4.682244,4.331957,4.587861,5.164177,4.791471,4.358398,4.473367,3.593641,3.540285,3.660214,2.993655,3.095731,3.62251,3.30552,3.422348,2.488107,2.723336,2.708258,2.111194,1.826984,,,
Sri Lanka,1.040105,1.211448,1.246516,1.345794,1.308107,1.220231,1.143737,1.391365,0.790804,1.007889,0.9838039,0.4198338,1.117179,0.8471379,0.8207734,0.4836224,0.7383885,0.4131868,0.473553,,,,,,,,,1.43758,,,1.474612,1.147058,,1.703378,1.880948,1.224846,0.8572275,,,,,,,,,,,,,,,,,,,,,,
Sweden,,7.470907,7.108943,8.875675,5.630095,7.120389,8.382251,8.034375,7.749538,7.137013,7.708002,7.622691,7.548569,8.199156,7.758416,7.710294,7.927378,6.135203,6.251508,7.595779,8.340923,6.092131,5.891997,5.811749,5.689878,6.329873,5.686522,4.690438,5.094567,4.22201,4.780681,3.39826,2.917215,3.119192,3.502854,2.88211,3.185244,2.998238,3.201296,3.951106,2.362202,2.821237,2.3621,1.749915,2.05655,2.015227,1.48,1.535875,2.011337,2.230929,1.066285,1.194251,1.008938,1.05427,0.8199679,0.5184586,1.137013,0.5730144,
Switzerland,,8.540545,9.517863,8.989943,7.653779,8.525696,8.597293,10.44549,11.35229,10.11334,10.99239,10.87068,12.21306,12.0506,11.045,10.98591,11.2092,13.95992,13.1433,11.41386,12.36343,14.01449,12.27425,10.64162,9.078845,9.449175,8.700214,9.734103,8.734204,8.165268,6.26382,7.870305,6.87031,6.206325,5.133287,5.490541,6.264982,4.104748,4.01295,3.717306,4.449317,4.881689,3.01462,3.623257,3.875649,3.61013,2.955697,2.873773,2.948959,3.352439,2.413162,2.13032,1.769248,1.768293,1.468156,1.429559,1.354104,1.374389,
Trinidad and Tobago,,0,0.6883308,5.625729,5.491259,3.914876,5.669281,9.000251,5.137474,,6.106767,6.002098,7.649693,4.520385,,,,6.254325,5.327174,,8.570038,6.178455,8.114944,8.51284,9.591781,7.041117,10.71275,8.005078,5.757411,8.863701,9.280772,7.163083,8.294215,6.772224,5.806509,3.345893,6.798316,3.750334,2.975484,2.477766,4.38508,5.626552,4.783473,3.968246,3.40453,1.117278,3.894996,4.754594,3.658978,4.210939,2.852829,3.477268,2.044149,,,,,,
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.237651,5.26252,,,5.466028,6.633215,5.384035,6.683826,6.363436,7.636085,9.253494,6.714965,7.721989,5.689596,4.620918,3.71105,4.425622,3.994877,,,,,,,,,,
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.517846,5.820217,,,4.381115,5.1401,4.936418,5.253669,6.408344,7.215298,6.769993,5.486037,4.807748,4.591562,4.494998,3.636897,3.062447,3.32485,2.704336,3.165804,3.423338,3.656093,3.508477,3.603973,4.681023,4.489136,,
United Kingdom,7.650489,8.224601,7.086982,7.249427,5.880153,6.688583,6.247815,5.604458,5.966106,5.977102,6.549818,6.578768,6.500066,6.688085,7.131694,7.273243,7.226014,7.020983,7.21099,6.96303,6.764315,7.443368,6.938175,6.851575,5.677563,5.472986,4.957872,5.054051,5.960339,5.249131,4.763165,3.452276,4.378725,5.171642,4.961066,4.771826,4.085823,4.054592,4.136659,4.044789,3.646634,3.365718,2.887831,2.47681,2.528187,2.02756,1.960265,2.075691,1.768662,1.627159,1.421113,1.534269,1.342801,1.12395,1.213914,1.104254,1.286077,1.134715,
United States,9.512575,9.70848,9.496608,9.490639,8.777165,8.668492,8.730056,8.40099,8.433721,8.309517,8.47879,8.100149,8.436947,8.53667,9.143132,9.297606,10.06529,9.862781,10.21759,10.38483,10.32675,10.71727,10.86919,11.06219,8.958961,9.01012,8.880531,8.82077,9.056584,8.023913,7.522159,6.941252,6.475298,6.188271,6.111613,6.291699,6.321542,6.410077,6.439257,6.101985,5.558524,5.246349,4.870822,5.043478,5.172154,4.959492,4.863592,4.687006,4.467675,4.230749,4.007446,3.751642,3.610411,3.589305,3.605272,3.265709,,,
