"Mobile cellular subscriptions, total number",1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Bahrain,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,618,1712,2886,4251,5147,7354,9683,11360,17616,27600,40080,58543,92063,133468,205727,299587,388990,443109,649764,767103,907433,1115979,1440782,1401974,1567000,1693650
Bangladesh,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,500,1104,2500,4000,26000,75000,149000,279000,520000,1075000,1365000,2781560,9000000,19130983,34370000,44640000,52430000,68650000,85000000
Barbados,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,486,796,1560,2967,4614,6283,8013,12000,20309,28467,53111,97193,140000,200138,206190,237119,257596,288662,337061,350061,347917
Belarus,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324,1724,5897,6548,8167,12155,23457,49353,138329,462630,1118000,2239287,4099500,5960000,6960000,8128000,9686200,10332900,10694900
Belgium,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,3798,7223,19154,30791,42880,51420,61460,67771,128071,235258,478172,974494,1756287,3186602,5629000,7697000,8101777,8605834,9131705,9604695,9847375,10738121,11341704,11775240,12154041,12540603
Belize,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,832,1547,2184,2544,3535,6591,16812,39155,51729,60403,75000,96000,118000,118314,160032,161783,194201,203050
Benin,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1050,2707,4295,6286,7269,55476,125000,218770,236175,459322,596267,1055727,2051776,3625366,5033349,7074914,7765206
Bermuda,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,745,1112,1440,1936,3400,5127,6324,7980,10276,12572,12800,13000,13333,30000,40000,49000,52720,60100,69000,79000,85000,88200,
Bhutan,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2255,19138,36000,82078,149439,253429,338938,394316,484189
Bolivia,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295,1551,2659,4056,7229,33400,118433,239272,420344,582620,779917,1023333,1278844,1800789,2421402,2876143,3254410,5038600,6464390,7179293,8353273
Bosnia and Herzegovina,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,9000,25181,52607,93386,444711,748780,1074790,1407441,1594367,1887820,2450425,3179036,3257239,3110233,3171283
Botswana,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15190,92000,222190,332264,332264,444978,522840,563782,823070,1151761,1485791,1874101,2363411,2900263
Brazil,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,667,6700,32000,182000,574009,1285533,2498154,4550000,7368218,15032698,23188171,28745769,34880964,46373266,65605000,86210336,99918621,120980103,150641403,173959368,202944033,242231503
British Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1772,3025,4103,8304,15623,35881,43524,45000,49129,66000,95000,143004,153647,177365,202454,232900,301400,366138,398857,412882,435104,443161
Bulgaria,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,6500,20920,26588,70000,127000,350000,738000,1550000,2597548,3500869,4729731,6244922,8253416,9897477,10429012,10454822,10199942,10475083
Burkina Faso,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,525,1503,2730,5036,25245,76186,111013,238094,395939,633554,1016605,1858038,3024150,3823625,5707850,7682100
Burundi,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,353,378,564,561,619,620,800,16320,33416,52000,64000,100560,153000,200000,270000,480584,838414,1150500,1240000
Cambodia,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4810,10239,14100,23098,33556,61345,89117,130547,223458,380000,498388,861500,1062000,1721650,2583318,4237000,6268000,8150764,10000000
Cameroon,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1600,2800,3500,4200,5000,6000,103279,417295,701507,1077000,1530868,2252508,3135946,4536000,6160893,8004120,8636652,10486614
Canada,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,12000,60000,98364,202633,345178,583766,775831,1026611,1332982,1865779,2589780,3497779,4195000,5346000,6911038,8727000,10649000,11872000,13291000,15020000,17016600,18749100,20277400,22092500,23811900,24037372,25858318
Cape Verde,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1020,8068,19729,31507,42949,53342,65780,81721,108858,152212,277670,290621,371871,396429
Cayman Islands,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,559,988,1260,1813,2534,,4109,5170,8410,10700,17000,19000,21040,33800,80945,92559,101497,98313,108699,99891,95120
Central African Republic,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,1071,1370,1633,4162,4967,11000,12600,40000,60000,100000,110000,200000,250000,679652,979232,1123560
Chad,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5500,22000,34200,65000,123000,210000,466088,918356,1600000,2281320,2875304,3665661
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4886,13921,36136,64438,85186,115691,197314,319474,409740,964248,2260687,3401525,5100783,6244310,7268281,9261385,10569572,12450801,13955202,14796593,16450223,19852242,22399969
China,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,700,3227,9805,18319,47544,176943,638000,1568000,3629000,6853000,13233000,23863000,43296000,85260000,144820000,206005000,269953000,334824000,393406000,461058000,547306000,641245000,747214000,859003000,986253000
Christmas Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cocos Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86805,274590,522857,1264763,1800229,1966535,2256801,3265261,4596594,6186206,10400578,21849993,29762715,33941118,41364753,42159613,44477653,46200421
Comoros,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,8378,15523,36877,62104,91741,122596,165278,216438
"Congo, Dem. Rep.",0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,8500,7200,8900,10000,12000,15000,150000,560000,1246225,1990722,2746094,4415470,6592000,9937622,9458557,11820348,15673123
"Congo, Rep.",0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,,3390,5000,70000,150000,221800,330000,383653,558192,917499,1287631,1807000,2171000,3798619,3884757
Cook Is,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3008,4533,6985,18750,46531,64387,108770,138178,211614,326944,502478,778299,923084,1101305,1443717,1508219,1886570,1950318,3035007,4358127
Cote d'Ivoire,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13549,36000,91212,257134,472952,728545,1027058,1280696,1674332,2349439,4065421,7467708,10449036,13184308,15599044,17416379
Croatia,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,2019,6320,11382,21664,33688,64943,120420,182500,295000,1033000,1755000,2312600,2537300,2835500,3649700,4395200,5034582,4554777,4675017,4928352,5115140
Cuba,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,500,1152,1939,2427,2994,4056,5136,6536,8579,17851,35356,75797,135534,152715,198252,331736,621156,1003015,1315141
Cyprus,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,168,1348,3156,5131,9739,15288,22938,44453,70781,91968,116429,151649,218324,314355,417933,551752,658234,782503,867785,988312,1016739,977521,1034071,1090944
Czech Republic,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1242,4651,14043,30429,48900,200315,526339,965476,1944553,4346009,6947151,8610177,9708683,10782567,11775878,12406199,13228631,13780165,14258404,12775068,12810000
Czechoslovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,0,,,,,0,,,,,0,0,0,0,0,0,0,7200,16100,30600,46100,57604,77432,101479,123792,148220,175943,211063,357589,503500,822264,1316592,1444016,1931101,2628585,3363552,3960165,4477752,4767100,5166912,5449206,5828157,6308000,6556988,6833683,6981000,7047000
Djibouti,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,203,220,280,230,3000,15000,23000,34482,44053,44817,69539,112848,128776,165613,193049
Dominica,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461,556,650,800,1200,7710,12173,23786,41838,52000,71500,89000,91000,98500,105567,111000
Dominican Republic,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,3166,5605,7190,10364,20990,55979,82547,141592,209384,424434,705431,1270082,1700609,2091914,2534063,3623289,4605659,5512859,7210483,8629815,8892783,8770780
East Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18920,54380,59779,126505,242812,383185,482213,859152,1560861,2398161,3544174,6246332,8485050,9939977,11684479,13241758,14780730,15332715
Egypt,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,2627,3021,3619,4000,4500,4913,6877,7371,7368,7369,65378,90786,480974,1359900,2793800,4494700,5797530,7643060,13629602,18001106,30093673,41286662,55352233,70661005,83425145
El Salvador,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1632,4868,13475,23270,40163,137114,511365,743628,857782,888818,1149790,1832579,2411753,3851611,6137381,6950703,7566245,7700336,7837000
Equatorial Guinea,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,300,297,600,5000,15000,32000,41500,61900,96900,120000,150000,180000,200000,399290,426000
Eritrea,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,40438,61996,84348,108631,141130,185275,241939
Eritrea and Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,570,2498,7224,13774,30452,69500,144200,247000,387000,557000,651200,881000,1050241,1255731,1445300,1658700,1681849,1624465,1570538,1652809,1863120
Ethiopia,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6740,17757,27500,50369,51324,155534,410630,866700,1208498,1954527,4051703,6854000,14126659
Faeroe Islands,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1429,1718,1605,1960,2558,3265,4701,6516,10761,16971,24487,34737,38026,41298,42032,49965,52169,54860,56993,59446,
Falkland Is (Malvinas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1100,2200,3700,5200,8000,23380,55057,80933,89900,109882,142190,205000,284661,530048,600000,640000,697920,727000
Finland,0,,,,,0,,,,,0,0,0,0,0,23482,28278,33880,42226,52010,67639,85300,105860,138160,190031,257872,319137,386021,489174,675565,1039126,1502003,2162574,2845985,3273433,3728625,4175587,4516772,4747126,4988000,5270000,5670000,6080000,6830000,7700000,8390000,8940000
France,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,9055,39234,98332,178400,283200,375000,436700,572000,883000,1302496,2462700,5817300,11210100,21433500,29052360,36997400,38585300,41702000,44544000,48088000,51662000,55358100,57972000,59600000,63200000,66300000
French Guiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Polynesia,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1150,2719,5427,11060,21929,39900,67300,52250,60100,96000,120000,152000,174847,187146,208261,215890,222827
Gabon,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,1200,2581,4000,6800,9500,9694,8891,120000,150000,279289,300000,489367,736690,897987,1169000,1300000,1373000,1610000,1800000
Gambia,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,457,812,1442,3096,4734,5048,5307,5600,55085,100000,149300,175000,247478,404345,800371,1166136,1312874,1478347,1581000
Georgia,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,2300,30000,60000,133243,194741,301327,503619,711224,840645,1174308,1703888,2599714,2755087,2837000,3980000,4430613
Germany,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,1080,23800,48747,98763,163619,272609,532251,971890,1774378,2490500,3725000,5512000,8276000,13913000,23446000,48202000,56126000,59128000,64800000,71322000,79271000,85652000,96232925,105523065,105000000,104560000,108700000
Ghana,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,1742,3336,6200,12766,21866,41753,70026,130045,243797,386775,795529,1695000,2874560,5207242,7604053,11570430,15108916,17436949,21165843
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48000,153000,273000,532000,937700,2047000,3904000,5932403,7963742,9314260,8936202,9324335,10260396,10979826,12294912,13799340,13295093,12292716,12127985
Greenland,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,438,964,2052,4122,6481,8899,13521,15114,15882,19924,29749,39033,46480,53900,66400,55816,53468,57349,58742
Grenada,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,147,181,282,350,400,570,976,1410,2012,4300,6414,7553,42293,43313,46858,46193,51381,60022,114424,121946,
Guadeloupe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guam,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,867,1301,1907,4098,4965,5803,5673,12837,20000,27200,32600,70500,79800,98000,,,,,,,
Guatemala,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293,1221,2141,2990,10462,29999,43421,64194,111445,337800,856831,1146441,1577085,2034776,3168256,4510067,7178745,11897563,14948640,17307459,18067970,20715677
Guernsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,812,950,950,2868,21567,25182,42112,55670,90772,111500,154900,189000,,2000000,2750000,3489000,4000000,4500000
Guinea-Bissau,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1275,39451,98825,157330,296223,500156,560345,,401880
Guyana,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,841,1029,1251,1243,1200,1400,1454,2815,39830,75320,79400,137955,171656,281368,400000,538774,447769,513533,555397,518757
Haiti,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,25000,55000,91500,140000,320000,400000,500200,1200000,2500000,3200000,3648000,4000000,4200000
Holy See,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2311,14427,34896,78588,155271,237629,326508,379362,707201,1281462,2240756,4184834,6210711,8390755,9505071,8062229
"Hong Kong, China",0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,1000,4400,10000,28060,51280,89193,133912,189664,233324,290843,484823,798373,1361861,2229862,3174369,4275048,5447346,5776360,6395725,7349202,8213959,8544255,9444140,10751622,11580149,12597171,13793729,14930948
Hungary,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2645,8477,23292,45712,143000,265000,473100,705786,1070154,1628153,3076279,4967430,6886111,7944586,8727188,9320000,9965720,11029930,12224163,11792475,12011823,11689937
Iceland,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,2642,5008,6519,7893,10010,12889,15251,17409,21845,30883,46805,65368,104280,172614,214896,248131,260438,279670,290068,283108,301922,326098,336922,339715,341077,344085
India,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76680,327967,881839,1195400,1884311,3577095,6540000,13000000,33690000,52220000,90140000,166050000,233620000,346890000,525090000,752190000,893862478
Indonesia,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,1750,2029,4531,6321,9008,12928,18096,24528,35546,53438,78024,210643,562517,916173,1065820,2220969,3669327,6520947,11700000,18495251,30336607,46909972,63803015,93386881,140578243,163676961,211290235,236799493
Iran,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9200,15902,59967,238942,389974,490478,962595,2087353,2279143,3449876,5075678,8510513,15385289,29770000,43000000,52555000,54051764,56043006
Iraq,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,80000,574000,1533000,9345371,14021232,17529000,20116876,23264408,25519000
Ireland,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,300,1500,3475,6300,13579,25000,32000,44000,61100,88000,158000,288600,545000,946000,1677000,2461000,2970000,3000000,3500000,3860000,4270000,4690135,4970719,5048127,4704497,4701474,4906352
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,15240,23000,36104,64484,133425,445456,1047582,1672442,2147000,2880000,4400000,5500621,6300008,6618367,7221955,7757000,8403765,8902000,8982000,9022000,9111000,9200000
Italy,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,6415,9044,16534,33609,66070,266000,568000,783000,1207175,2240000,3923000,6422000,11737904,20489000,30296000,42246000,51246000,54200000,56770000,62750000,71500000,80418000,89801000,90341000,88024000,90600000,92300000
Jamaica,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2447,7628,15221,26106,45138,54640,65995,78624,144388,366952,597826,1244976,1576360,1837552,1981464,2274650,2684331,2723323,2956061,3181995,2974715
Japan,0,,,,,0,,,,,0,0,0,0,0,0,13275,19804,27198,40392,61800,95131,150773,242888,489558,868078,1378108,1712545,2131367,4331369,11712137,26906511,38253893,47307592,56845594,66784374,74819158,81118324,86655000,91474000,96484000,99826000,107339000,110394996,116295378,123287125,129868418
Jersey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1439,1462,1462,1456,1446,11840,24113,45037,82429,118417,388949,865627,1219597,1325313,1624110,3137700,4343100,4771641,5313564,6014366,6620000,7482561
Kazakhstan,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,4600,9798,11202,29700,49500,197300,582000,1027000,1330730,2447000,5398000,7775737,12322676,14910573,17063200,19402600,23102700
Kenya,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1100,1162,1990,2279,2826,6767,10756,23757,127404,600000,1187122,1590785,2546157,4611970,7340317,11349412,16303573,19364559,24968891,26980771
Kiribati,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,200,300,395,495,526,615,650,700,750,1000,9907,10595,13788
North Korea,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69261,431919,1000000
South Korea,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,,,7090,10255,20353,39718,80005,166108,271927,471784,960258,1641293,3180989,6878786,14018612,23442724,26816398,29045596,32342493,33591758,36586052,38342323,40197115,44369165,45606984,47944222,50767241,52506793
"United Korea (former)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,8200,14300,17500,22500,20735,43000,51000,64311,85195,117609,151063,210000,250000,300000,476000,877920,1227000,1420000,2000000,2277000,2530000,2773688,2907000,3876000,4400000,
Kyrgyz Republic,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1350,2574,9000,27000,53084,138279,263375,541652,1261757,2168329,3394016,4487123,5275477,5653000
Lao,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,340,625,1539,3790,4915,6453,12078,12681,29545,55160,112275,204191,657528,1009565,1478409,2022133,3234642,4003395,5480851
Latvia,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1027,3800,8364,15003,28500,77100,167460,274344,401272,656835,917196,1219550,1536712,1871602,2183696,2217008,2298610,2303600,2306100,2309000
Lebanon,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120000,198000,373900,505300,627000,743000,766754,775104,795460,884445,993557,1106431,1260000,1427000,2390317,2874766,3350000
Lesotho,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1262,3500,9831,12000,21600,57000,137953,125950,196213,249786,357913,456000,593216,661000,987448,1051000
Liberia,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,2000,5000,47250,94370,160000,280000,563000,854627,1085062,1571308,2029926
Libya,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,20000,30000,40000,50000,70000,127000,500000,2000000,3927562,4500000,7379115,9534091,10900000,10000000
