Total population female,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
"Less Developed Regions, Excluding China",(575533566),(587026558),(599159569),(611923102),(625306103),(639295978),(653878391),(669037453),(684756226),(701017514),(717806409),(735112861),(752934082),(771275442),(790147752),(809558909),(829516853),(850019590),(871054665),(892604340),(914660899),(937218304),(960295670),(983941292),(1008219581),(1033177757),(1058816169),(1085121897),(1112109567),(1139793260),(1168170861),(1197237553),(1226952724),(1257230613),(1287959758),(1319046618),(1350445095),(1382129248),(1414049773),(1446159446),(1478416073),(1510790604),(1543254451),(1575770228),(1608300668),(1640820126),(1673304110),(1705754478),(1738206891),(1770715910),(1803322056),(1836029730),(1868827461),(1901720537),(1934712075),(1967801078),(2000979975),(2034237990),(2067564479),(2100946132),(2134364621),(2167804878),(2201238740),(2234616930),(2267879627),(2300975003),(2333872335),(2366549487),(2398973978),(2431114304),(2462942033),(2494433815),(2525569060),(2556327249),(2586689858),(2616641514),(2646168497),(2675262070),(2703919688),(2732142944),(2759933490),(2787280135),(2814179313),(2840649492),(2866716994),(2892397128),(2917689217),(2942574676),(2967027772),(2991013800),(3014501992),(3037469964),(3059902125),(3081786075),(3103108447),(3123851031),(3143989476),(3163492525),(3182321706),(3200431672),(3217770151)
"Less Developed Regions, Excluding Least Developed Countries",(739222353),(755256271),(771054388),(786924476),(803110665),(819793481),(837087051),(855041884),(873653050),(892873827),(912656695),(932997009),(953971265),(975753467),(998568715),(1022556610),(1047776498),(1074119271),(1101342424),(1129106045),(1157144439),(1185403800),(1213896448),(1242507096),(1271118676),(1299664168),(1328061833),(1356360320),(1384790556),(1413677554),(1443259020),(1473553877),(1504491163),(1536100099),(1568393966),(1601341638),(1634985905),(1669216714),(1703656970),(1737808920),(1771306870),(1803992132),(1835925874),(1867236580),(1898153564),(1928846146),(1959336613),(1989561961),(2019511819),(2049160444),(2078496252),(2107522768),(2136274001),(2164804700),(2193185062),(2221467429),(2249659704),(2277753489),(2305761682),(2333693995),(2361547108),(2389316831),(2416970529),(2444437243),(2471624543),(2498453127),(2524887859),(2550902684),(2576438349),(2601431458),(2625830674),(2649603902),(2672734929),(2695211244),(2717028944),(2738186735),(2758675070),(2778491973),(2797656072),(2816195038),(2834132657),(2851469563),(2868209950),(2884385245),(2900034263),(2915182976),(2929840747),(2943995432),(2957623262),(2970688780),(2983161702),(2995022670),(3006261214),(3016871038),(3026844595),(3036168068),(3044819629),(3052768477),(3059974445),(3066388387),(3071952164)
Middle Africa,(13562700),(13805487),(14055572),(14316612),(14591199),(14880855),(15185967),(15505857),(15838957),(16183094),(16536408),(16898280),(17270181),(17656017),(18061124),(18489298),(18942760),(19420481),(19919101),(20433532),(20960456),(21499209),(22052211),(22623002),(23216537),(23836728),(24485236),(25162174),(25868077),(26603019),(27367345),(28163698),(28993816),(29856194),(30748347),(31669746),(32613019),(33581282),(34596400),(35687926),(36873306),(38168772),(39558589),(40989651),(42388676),(43705753),(44916550),(46043553),(47140890),(48287423),(49539202),(50915385),(52395795),(53949631),(55529134),(57099888),(58652952),(60200758),(61755560),(63337206),(64959739),(66625192),(68326896),(70059907),(71816551),(73590788),(75380820),(77186957),(79007608),(80841436),(82687047),(84542855),(86407154),(88278321),(90154761),(92034996),(93917755),(95801895),(97686295),(99569909),(101451794),(103330841),(105206235),(107077702),(108945214),(110808527),(112666836),(114519110),(116364588),(118202468),(120031840),(121851660),(123660762),(125457864),(127241615),(129010602),(130763356),(132498363),(134214066),(135908856),(137581082)
More Developed Regions,(425117991),(429904248),(434889963),(439997137),(445164674),(450348383),(455521760),(460675201),(465813549),(470952064),(476104171),(481268501),(486417504),(491492550),(496417783),(501140721),(505634120),(509916180),(514036643),(518070045),(522070940),(526054444),(530004934),(533909509),(537744708),(541493583),(545161936),(548759271),(552276868),(555703365),(559034603),(562257744),(565385309),(568468784),(571577545),(574757626),(578028048),(581363448),(584710077),(587990492),(591145780),(594168578),(597068711),(599826395),(602422215),(604848305),(607087229),(609156034),(611124859),(613089443),(615118650),(617237226),(619426192),(621656261),(623878880),(626056356),(628183419),(630266392),(632292007),(634246254),(636118403),(637899351),(639586905),(641186301),(642707353),(644156633),(645535232),(646838172),(648059006),(649188933),(650221983),(651156621),(651995940),(652744504),(653409047),(653995253),(654505463),(654940807),(655304412),(655599527),(655829261),(655995483),(656100666),(656149136),(656145804),(656094327),(655997861),(655856677),(655667941),(655426979),(655130815),(654779395),(654375139),(653921951),(653424114),(652885187),(652307693),(651692873),(651040646),(650349650),(649617276)
Northern Africa,(26461123),(27098120),(27732564),(28380855),(29054640),(29760816),(30501268),(31273133),(32069542),(32880872),(33698519),(34518896),(35346950),(36197656),(37091770),(38043286),(39060534),(40136994),(41253851),(42384060),(43509219),(44623900),(45737725),(46865870),(48030508),(49248785),(50521176),(51845258),(53231336),(54691283),(56231184),(57855403),(59555136),(61306376),(63076323),(64839588),(66587460),(68320778),(70035529),(71730272),(73404138),(75053793),(76677646),(78279591),(79865866),(81441840),(83009835),(84571160),(86129325),(87688149),(89251511),(90819870),(92396311),(93990221),(95613239),(97273078),(98973085),(100709490),(102473688),(104253054),(106037411),(107823038),(109609259),(111392331),(113168824),(114935424),(116689574),(118428224),(120147228),(121842142),(123509630),(125147288),(126754781),(128333633),(129886684),(131416074),(132921786),(134403060),(135860515),(137294859),(138706583),(140095687),(141462003),(142805558),(144126328),(145424068),(146698343),(147948407),(149173221),(150371514),(151542000),(152683443),(153794641),(154874355),(155921250),(156933825),(157910395),(158849075),(159747775),(160604210),(161415896)
Northern America,(85783791),(87252975),(88827348),(90488503),(92217949),(93997087),(95807121),(97629155),(99444511),(101235259),(102985778),(104684450),(106325123),(107907742),(109436567),(110914916),(112344340),(113723064),(115048417),(116316987),(117529293),(118682489),(119786038),(120867904),(121964870),(123103485),(124300411),(125550796),(126833557),(128115961),(129376856),(130607661),(131824012),(133057840),(134353469),(135741969),(137234671),(138819851),(140477041),(142174982),(143890031),(145612871),(147347258),(149097626),(150872983),(152677465),(154513072),(156369323),(158223200),(160044477),(161812022),(163514987),(165160122),(166765711),(168359422),(169961164),(171576407),(173198168),(174819018),(176426908),(178013086),(179575391),(181116980),(182640575),(184150620),(185649990),(187139213),(188615940),(190076728),(191516842),(192932733),(194322955),(195687956),(197028397),(198345688),(199640781),(200913628),(202163419),(203389487),(204590955),(205767210),(206917804),(208042903),(209143244),(210219921),(211273638),(212305260),(213314409),(214299114),(215256618),(216185289),(217085248),(217958152),(218806660),(219633830),(220442537),(221235300),(222014161),(222780643),(223535793),(224280185)
Northern Europe,(40230112),(40387306),(40558101),(40738166),(40924763),(41116753),(41314698),(41520763),(41738375),(41971720),(42224105),(42496269),(42784873),(43081872),(43376315),(43659710),(43929040),(44184481),(44424664),(44649115),(44857495),(45049233),(45223788),(45381286),(45522199),(45647499),(45757490),(45853927),(45941191),(46024877),(46109503),(46196256),(46285698),(46380832),(46484876),(46599767),(46727340),(46866344),(47011654),(47156008),(47294015),(47425155),(47550750),(47669649),(47780926),(47884715),(47979570),(48067625),(48157087),(48258923),(48381004),(48525977),(48691671),(48875040),(49070927),(49275032),(49487123),(49707086),(49930767),(50153081),(50370326),(50580313),(50783503),(50982213),(51180232),(51380258),(51582557),(51785878),(51989593),(52192681),(52394258),(52594105),(52792055),(52987273),(53178775),(53365749),(53547923),(53725101),(53896688),(54062039),(54220770),(54372634),(54517909),(54657419),(54792350),(54923662),(55051682),(55176499),(55298560),(55418310),(55536110),(55652223),(55766815),(55879974),(55991741),(56102126),(56211128),(56318722),(56424880),(56529549),(56632676)
Oceania,(6287729),(6421205),(6561184),(6705603),(6853140),(7003223),(7156035),(7312509),(7474168),(7642899),(7820252),(8006698),(8200977),(8399821),(8598745),(8794358),(8985451),(9172430),(9355548),(9535637),(9713329),(9888938),(10062192),(10232551),(10399302),(10562269),(10721088),(10876980),(11033354),(11194689),(11364252),(11543283),(11731064),(11926448),(12127411),(12332335),(12541038),(12753684),(12969312),(13186813),(13405296),(13624463),(13844208),(14064137),(14283880),(14503298),(14721704),(14939319),(15157999),(15380316),(15607916),(15841680),(16080534),(16321820),(16561784),(16797726),(17028643),(17255334),(17479119),(17702097),(17925813),(18150544),(18375715),(18600995),(18825783),(19049648),(19272458),(19494353),(19715460),(19935995),(20156049),(20375592),(20594384),(20812053),(21028096),(21242120),(21453923),(21663414),(21870413),(22074743),(22276266),(22474850),(22670387),(22862772),(23051921),(23237761),(23420236),(23599336),(23775108),(23947644),(24117021),(24283288),(24446462),(24606566),(24763614),(24917647),(25068739),(25216989),(25362525),(25505512),(25646141)
South America,(56179434),(57733811),(59351420),(61018195),(62724748),(64466347),(66243211),(68060217),(69926095),(71852029),(73847522),(75915997),(78050924),(80234168),(82440681),(84652287),(86863715),(89079846),(91305364),(93548895),(95817843),(98111211),(100429360),(102782986),(105185742),(107647092),(110169560),(112749485),(115382032),(118059451),(120774462),(123524700),(126306739),(129110490),(131923720),(134736338),(137544212),(140344828),(143132061),(145899785),(148643884),(151358628),(154044330),(156710526),(159371224),(162035700),(164705508),(167374500),(170034657),(172674530),(175284598),(177862822),(180407836),(182911611),(185364861),(187761029),(190095947),(192370739),(194590998),(196765517),(198900929),(200998119),(203055524),(205074462),(207056019),(209000738),(210909323),(212781172),(214613745),(216403478),(218147491),(219844830),(221495266),(223097526),(224650369),(226152811),(227603769),(229002843),(230350607),(231648157),(232896139),(234094884),(235243635),(236340684),(237383737),(238371281),(239302374),(240177826),(240999979),(241772203),(242496835),(243174527),(243804469),(244384961),(244914057),(245390166),(245812260),(246179993),(246493739),(246754548),(246964158)
South-Central Asia,(246278229),(250702103),(255340945),(260191730),(265252239),(270521075),(275997668),(281682264),(287575867),(293680152),(299997208),(306529235),(313278320),(320246307),(327435116),(334847621),(342487755),(350360838),(358473209),(366832149),(375445031),(384313026),(393441784),(402848215),(412553229),(422571080),(432902913),(443542142),(454484349),(465721909),(477244545),(489044714),(501108352),(513409125),(525914693),(538596013),(551431801),(564406003),(577500420),(590697947),(603979770),(617337756),(630750794),(644172771),(657547867),(670836871),(684013638),(697086544),(710094310),(723096107),(736133914),(749218021),(762331052),(775454148),(788558022),(801620712),(814630977),(827592533),(840515320),(853415594),(866301136),(879167635),(891996555),(904763263),(917435983),(929986659),(942401810),(954669519),(966764999),(978661040),(990335220),(1001773874),(1012969167),(1023912800),(1034599199),(1045024374),(1055185640),(1065081481),(1074712177),(1084079709),(1093188562),(1102034642),(1110625427),(1118991203),(1127171778),(1135195032),(1143070685),(1150788989),(1158333566),(1165678687),(1172803129),(1179694908),(1186349596),(1192766446),(1198943964),(1204875741),(1210549070),(1215944112),(1221033624),(1225783239),(1230151453)
South-Eastern Asia,(88325073),(90028546),(91845681),(93777154),(95822667),(97980957),(100249751),(102625813),(105105059),(107682787),(110354308),(113115634),(115964077),(118898499),(121918596),(125022752),(128209994),(131475288),(134808145),(138195392),(141627347),(145101141),(148618337),(152179640),(155787512),(159445074),(163144601),(166887348),(170695817),(174600352),(178619125),(182760578),(187007497),(191320386),(195644758),(199939431),(204187184),(208392138),(212560279),(216705948),(220838093),(224957872),(229054975),(233114187),(237115542),(241046177),(244897921),(248678418),(252410120),(256124830),(259845220),(263578511),(267317015),(271050164),(274761066),(278436730),(282074108),(285675266),(289238088),(292761198),(296243036),(299681987),(303075595),(306420685),(309713750),(312952303),(316133739),(319258182),(322329272),(325352505),(328331447),(331266404),(334154611),(336992747),(339776173),(342500919),(345165015),(347767287),(350305400),(352776985),(355179723),(357511665),(359770722),(361954302),(364059677),(366084456),(368026931),(369885753),(371659448),(373346711),(374946441),(376457753),(377879985),(379212663),(380455519),(381608458),(382671551),(383645048),(384529365),(385325088),(386032980)
Southern Africa,(7854672),(8023742),(8205402),(8395742),(8592157),(8793347),(8999387),(9211654),(9432613),(9665456),(9913003),(10176553),(10454864),(10743714),(11037139),(11331061),(11623592),(11916587),(12214244),(12522682),(12846209),(13186525),(13541988),(13909544),(14284591),(14663930),(15046145),(15432624),(15826293),(16231421),(16650841),(17086258),(17536093),(17995991),(18459798),(18923413),(19382666),(19839334),(20302216),(20783755),(21291505),(21829343),(22390400),(22958343),(23510670),(24031029),(24512909),(24960205),(25379739),(25782945),(26178078),(26565735),(26942334),(27307066),(27658278),(27994400),(28316788),(28625184),(28914487),(29177924),(29411268),(29612750),(29785624),(29936990),(30076795),(30212722),(30347182),(30479707),(30611584),(30743405),(30875559),(31009295),(31145107),(31281503),(31416137),(31547219),(31674406),(31798005),(31917609),(32032877),(32143563),(32249441),(32350462),(32446820),(32538859),(32626888),(32711077),(32791536),(32868468),(32942090),(33012670),(33080531),(33146055),(33209667),(33271824),(33333018),(33393756),(33454572),(33516013),(33578653),(33643082)
Southern Europe,(55747168),(56222592),(56717664),(57214270),(57700057),(58168437),(58618883),(59056627),(59491737),(59937575),(60406180),(60903338),(61424274),(61951798),(62461549),(62937387),(63371061),(63771696),(64161580),(64572401),(65026385),(65528461),(66069284),(66638946),(67221814),(67804395),(68385950),(68964162),(69521783),(70037523),(70496375),(70890834),(71224744),(71508975),(71760599),(71992835),(72209082),(72407706),(72591211),(72761348),(72920020),(73073151),(73224293),(73370339),(73505944),(73629652),(73736536),(73834859),(73951886),(74123820),(74374849),(74715010),(75131898),(75599076),(76078144),(76539558),(76974888),(77387107),(77771733),(78126762),(78450610),(78739015),(78989365),(79204515),(79389570),(79548581),(79682655),(79791388),(79875797),(79936814),(79975715),(79993533),(79992377),(79975970),(79948793),(79914448),(79874877),(79830760),(79782765),(79731050),(79675812),(79617575),(79557049),(79494704),(79430940),(79365878),(79299642),(79231715),(79160702),(79084711),(79002182),(78912145),(78814125),(78707924),(78593356),(78470009),(78337159),(78193724),(78038259),(77868951),(77683637)
Sub- Saharan Africa,(92991939),(94900812),(96893880),(98970527),(101130899),(103375871),(105707111),(108127026),(110638691),(113245659),(115951557),(118759524),(121671842),(124689698),(127813755),(131045655),(134390191),(137852354),(141434704),(145139501),(148970925),(152928769),(157020825),(161268733),(165700098),(170334345),(175182271),(180238702),(185487171),(190902469),(196466487),(202171962),(208025001),(214036514),(220223159),(226595467),(233156174),(239896306),(246800442),(253847318),(261020848),(268316109),(275735064),(283277074),(290943597),(298736234),(306655878),(314703095),(322879582),(331187610),(339630729),(348207645),(356923562),(365796333),(374848999),(384097576),(393545169),(403185334),(413011814),(423014223),(433181700),(443509892),(453990644),(464603708),(475324214),(486131249),(497014602),(507967729),(518978216),(530033882),(541125124),(552242467),(563382266),(574548524),(585749517),(596990497),(608269238),(619579731),(630918956),(642283185),(653668434),(665070408),(676484805),(687907173),(699332849),(710756389),(722172348),(733573630),(744950853),(756293365),(767591260),(778836077),(790020550),(801138050),(812181926),(823144907),(834018890),(844794824),(855462668),(866011437),(876429197)
Western Africa,(34224482),(34884890),(35580191),(36308077),(37066708),(37854710),(38671187),(39515707),(40388279),(41289277),(42219287),(43178912),(44168619),(45188668),(46239301),(47321321),(48437294),(49589730),(50779700),(52008084),(53277172),(54585584),(55938141),(57350633),(58843514),(60430711),(62119057),(63902871),(65767894),(67693045),(69662518),(71671356),(73722581),(75817864),(77961428),(80155956),(82402589),(84698555),(87038399),(89414859),(91823743),(94262366),(96735114),(99253594),(101833743),(104487229),(107219599),(110028584),(112908562),(115850253),(118847509),(121896817),(125002113),(128173294),(131424140),(134763322),(138192988),(141706099),(145290567),(148929529),(152609360),(156325078),(160075363),(163854584),(167657456),(171479540),(175317326),(179168386),(183031144),(186904851),(190789142),(194682453),(198584553),(202498302),(206427890),(210376482),(214344142),(218330158),(222335898),(226362859),(230411624),(234481588),(238570845),(242676748),(246795863),(250924671),(255060910),(259201648),(263341696),(267475015),(271596266),(275701370),(279787298),(283851652),(287892144),(291906132),(295890468),(299841403),(303754544),(307624898),(311446875)
