Total population female,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Guyana,216500,222157,228057,234428,241399,248997,257141,265648,274252,282633,290500,297689,304239,310434,316696,323300,330410,337846,345134,351612,356839,360556,362992,364779,366819,369731,373773,378656,383788,388303,391582,393488,394246,394047,393211,392011,390427,388477,386530,385051,384354,384597,385654,387203,388762,389966,390768,391229,391220,390607,389325,387277,384547,381474,378526,376047,374154,372769,371795,371056,370415,369864,369435,369074,368715,368310,367824,367248,366594,365888,365146,364359,363506,362571,361539,360392,359125,357727,356176,354446,352518,350383,348041,345494,342748,339809,336677,333358,329865,326220,322438,318531,314506,310368,306119,301768,297322,292795,288201,283559,278892
Haiti,1649438,1676719,1704852,1733935,1764049,1795261,1827618,1861154,1895883,1931807,1968910,2007164,2046528,2086949,2128358,2170673,2214018,2258324,2303092,2347662,2391638,2434850,2477666,2520913,2565730,2612998,2662868,2715260,2770526,2829014,2890886,2956386,3025255,3096501,3168764,3241037,3312948,3384675,3456428,3528638,3601628,3675301,3749504,3824448,3900409,3977540,4055952,4135466,4215594,4295666,4375194,4453979,4532129,4609841,4687450,4765196,4843115,4921099,4999089,5076984,5154713,5232251,5309625,5386878,5464076,5541258,5618409,5695487,5772463,5849302,5925958,6002399,6078567,6154352,6229624,6304268,6378212,6451409,6523801,6595340,6665974,6735661,6804343,6871942,6938368,7003554,7067457,7130070,7191409,7251511,7310404,7368100,7424593,7479873,7533933,7586774,7638416,7688891,7738252,7786566,7833915
Holy See,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,739320,757900,779380,802824,827544,853103,879327,906292,934287,963746,995061,1028373,1063395,1099332,1135102,1169975,1203680,1236585,1269405,1303180,1338713,1376194,1415537,1456932,1500529,1546420,1594743,1645487,1698386,1753051,1809182,1866642,1925450,1985639,2047297,2110452,2175001,2240769,2307620,2375398,2443927,2513206,2583066,2652972,2722245,2790424,2857278,2922981,2987992,3052992,3118502,3184688,3251481,3318889,3386857,3455366,3524371,3593971,3664452,3736182,3809373,3884122,3960197,4037068,4114006,4190448,4266164,4341167,4415425,4488987,4561869,4633976,4705176,4775403,4844604,4912722,4979699,5045481,5110023,5173287,5235236,5295868,5355152,5412981,5469228,5523817,5576693,5627923,5677706,5726318,5773961,5820717,5866561,5911406,5955149,5997716,6039078,6079260,6118343,6156459,6193798
Hungary,4848000,4912642,4967364,5012881,5050075,5079995,5103869,5123091,5139177,5153688,5168002,5183075,5199229,5216060,5232696,5248550,5263641,5278463,5293436,5309115,5325880,5343529,5361824,5381012,5401401,5422975,5446114,5470080,5492376,5509693,5519726,5521790,5516768,5505923,5491245,5474451,5455454,5434510,5414099,5397332,5386292,5382240,5384301,5389743,5394580,5395901,5392897,5386385,5377059,5366189,5354760,5342774,5329981,5316847,5303927,5291619,5280154,5269470,5259300,5249210,5238873,5228232,5217369,5206247,5194853,5183172,5171161,5158793,5146098,5133131,5119924,5106483,5092779,5078774,5064419,5049674,5034547,5019049,5003150,4986816,4970034,4952806,4935180,4917256,4899164,4881011,4862848,4844700,4826622,4808667,4790881,4773302,4755960,4738881,4722083,4705584,4689396,4673528,4657988,4642779,4627903
Iceland,71996,72630,73617,74885,76365,78000,79739,81540,83368,85195,86999,88760,90457,92073,93589,94999,96280,97441,98545,99678,100899,102241,103681,105155,106569,107860,109003,110030,111004,112016,113129,114363,115697,117101,118532,119955,121366,122774,124169,125544,126893,128209,129494,130768,132054,133372,134744,136166,137603,139005,140344,141584,142760,143997,145467,147280,149490,152032,154756,157449,159953,162217,164277,166167,167954,169689,171371,172977,174512,175980,177383,178727,180013,181236,182386,183458,184451,185371,186229,187040,187814,188557,189268,189948,190596,191213,191800,192358,192890,193394,193873,194325,194752,195151,195523,195866,196180,196462,196712,196927,197106
India,178748400,181771485,184923456,188203584,191611608,195147738,198812669,202607564,206534019,210593987,214789579,219122840,223595560,228209191,232965079,237865153,242914060,248115758,253471093,258980183,264645575,270462323,276437449,282599303,288985112,295618859,302510525,309644666,316987764,324492151,332120801,339860550,347712921,355673064,363740010,371911768,380175808,388523147,396959666,405495908,414135263,422878501,431708895,440591026,449478728,458337475,467147887,475912426,484645124,493370850,502105282,510849267,519587272,528299169,536957926,545542905,554042638,562457573,570793261,579060737,587265898,595405465,603468027,611441383,619310068,627060461,634684545,642176172,649525652,656723092,663759309,670628749,677324826,683836622,690152151,696262680,702166369,707864299,713355415,718639898,723720778,728594463,733268514,737770983,742138841,746398516,750560365,754617268,758556130,762355576,765998761,769477726,772791861,775944319,778937912,781771275,784437577,786923758,789210270,791271335,793074943
Indonesia,38880410,39425731,40025427,40681365,41393907,42161916,42982658,43851898,44764188,45713341,46693867,47702501,48739539,49809412,50919059,52073158,53271888,54512141,55791247,57105375,58451064,59827195,61232365,62662375,64112249,65578077,67055817,68544503,70046942,71567884,73109603,74672306,76250846,77835603,79413939,80976207,82519174,84043405,85547920,87032954,88499176,89945499,91372535,92785100,94189782,95591790,96991914,98390107,99789574,101193854,102604930,104023383,105447019,106871261,108289756,109696910,111090862,112469673,113827492,115157525,116454516,117716434,118942910,120132750,121285391,122401083,123478677,124519661,125530407,126519502,127493439,128454276,129401301,130334741,131253930,132158085,133047334,133921343,134778023,135614573,136428454,137218421,137983257,138720417,139427038,140100680,140739943,141343803,141910759,142439389,142928614,143377779,143786626,144155216,144483858,144773024,145023326,145235503,145410413,145549040,145652492
Iran,8326992,8529808,8735918,8947244,9165376,9391573,9626748,9871483,10126071,10390587,10665097,10949887,11245659,11553615,11875217,12211485,12564140,12933160,13315799,13708098,14107850,14516112,14936220,15371342,15825624,16303495,16801312,17321807,17882950,18508209,19211910,20000657,20862351,21769051,22681860,23570901,24425928,25249008,26037596,26792747,27515085,28201257,28847907,29456538,30030197,30571694,31083054,31565462,32020358,32449174,32854439,33236201,33599014,33955312,34320941,34707241,35119799,35556099,36009170,36467828,36923735,37374253,37821449,38267039,38714231,39164647,39618737,40073267,40521810,40955902,41369448,41760081,42129291,42479713,42815774,43140984,43455739,43759668,44054718,44343136,44626602,44905809,45180706,45451187,45716787,45976938,46231521,46480029,46720916,46952200,47172184,47379706,47574051,47754747,47921336,48073151,48209251,48328370,48428909,48508945,48566235
Iraq,2866852,2973156,3068067,3154771,3236088,3314469,3391991,3470363,3550954,3634842,3722945,3816172,3915547,4022270,4137554,4262174,4396899,4541457,4694216,4852803,5015449,5181455,5351142,5524971,5703794,5888130,6077823,6272216,6470718,6672564,6877064,7085125,7296691,7509091,7718790,7923909,8123010,8318710,8518182,8731177,8964791,9220905,9497720,9793971,10107024,10434324,10775819,11130487,11493393,11858251,12220190,12578743,12934142,13283392,13623213,13952279,14267282,14571233,14876884,15201567,15557233,15949260,16372821,16817071,17265909,17707575,18138217,18561083,18979977,19401390,19829758,20265818,20706775,21149401,21589137,22022699,22448789,22868336,23282992,23695401,24107427,24519392,24930399,25339644,25745902,26148236,26546379,26940456,27330369,27716110,28097636,28474837,28847545,29215569,29578729,29936898,30290004,30638046,30981089,31319268,31652782
Ireland,1458001,1459296,1459119,1456924,1452507,1446006,1437924,1429104,1420669,1413916,1409996,1409578,1412551,1417901,1424064,1429992,1435164,1440169,1446367,1455687,1469403,1487948,1510549,1535787,1561637,1586554,1609932,1631913,1652590,1672311,1691247,1709633,1727090,1742512,1754441,1762018,1764713,1763358,1760144,1758094,1759430,1765121,1774747,1787445,1801735,1816615,1831775,1847852,1865879,1887301,1913075,1943406,1977689,2015045,2054213,2094134,2134596,2175437,2215707,2254301,2290435,2323600,2353928,2382099,2409180,2435957,2462620,2488949,2514838,2540067,2564489,2588140,2611156,2633600,2655557,2677100,2698261,2719079,2739642,2760050,2780382,2800669,2820917,2841141,2861346,2881526,2901680,2921782,2941764,2961534,2981013,3000142,3018881,3037198,3055062,3072426,3089232,3105401,3120841,3135440,3149069
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,611189,666402,720299,771071,817652,859720,897745,932938,967130,1002548,1041170,1084034,1130632,1178649,1224700,1266490,1302995,1335391,1366232,1399185,1436801,1479952,1527540,1577740,1627821,1675757,1721191,1764640,1806017,1845426,1883055,1919272,1954395,1988622,2022171,2055578,2088028,2120506,2157444,2204671,2265949,2343309,2434451,2533419,2631759,2723247,2805885,2881092,2950237,3015964,3080277,3143100,3203722,3262850,3321330,3379768,3438535,3497535,3556306,3614117,3670431,3725193,3778591,3830626,3881343,3930808,3978999,4025980,4072024,4117490,4162654,4207621,4252386,4296974,4341374,4385572,4429586,4473425,4517050,4560400,4603413,4646060,4688292,4730000,4771053,4811339,4850803,4889407,4927085,4963771,4999413,5033979,5067452,5099832,5131126,5161346,5190510,5218639,5245757,5271892,5297074
Italy,23795290,24009550,24211771,24400169,24574527,24736194,24888191,25035106,25182770,25337720,25505591,25689393,25888011,26095560,26303209,26504554,26697026,26882486,27064169,27247184,27434764,27627448,27822368,28015219,28200097,28372430,28531101,28676360,28806744,28920969,29018395,29098558,29162284,29212042,29251277,29282972,29307331,29325061,29340198,29357678,29380764,29413986,29456423,29499420,29530632,29542527,29530026,29499603,29469210,29463630,29500037,29584179,29708830,29862034,30025726,30185764,30338968,30486397,30623071,30744127,30845979,30925920,30983495,31020564,31040583,31046501,31038572,31017036,30985016,30946381,30904169,30859980,30814152,30766869,30717770,30666683,30614095,30560733,30506855,30452656,30398277,30343848,30289422,30234938,30180257,30125221,30069745,30013684,29956717,29898448,29838513,29776619,29712528,29646028,29576898,29504879,29429656,29350859,29268056,29180756,29088411
Jamaica,720398,734707,749982,765037,779077,791701,802922,813149,823117,833783,846002,860181,875979,892175,907036,919395,928674,935466,941193,947897,957001,969114,983669,999498,1014867,1028566,1040085,1049934,1059142,1069222,1081198,1095492,1111561,1128306,1144147,1157969,1169392,1178839,1186977,1194830,1203154,1212148,1221609,1231420,1241341,1251207,1260937,1270636,1280538,1290960,1302078,1314045,1326647,1339247,1350974,1361221,1369733,1376726,1382643,1388160,1393776,1399604,1405508,1411439,1417274,1422919,1428384,1433702,1438824,1443688,1448238,1452451,1456309,1459777,1462817,1465398,1467498,1469106,1470213,1470817,1470916,1470507,1469585,1468153,1466216,1463781,1460848,1457426,1453538,1449215,1444481,1439348,1433820,1427892,1421560,1414821,1407676,1400132,1392198,1383889,1375225
Japan,42198949,42992908,43680260,44281155,44814130,45296111,45742409,46166721,46581152,46996239,47421036,47863201,48329078,48823724,49350822,49912398,50509865,51142009,51803987,52488624,53188679,53903534,54628607,55347742,56040645,56692592,57294977,57849949,58366977,58861368,59343768,59818269,60279712,60718764,61121970,61480677,61790878,62058653,62297687,62527130,62760724,63003950,63252809,63500001,63733921,63946279,64134384,64301483,64452140,64593278,64729374,64862371,64989065,65102624,65193530,65255094,65284547,65284296,65259158,65216446,65161439,65095687,65017409,64924592,64813971,64683257,64532343,64362448,64174208,63968616,63746616,63508587,63255020,62987165,62706518,62414359,62111438,61798265,61475567,61144023,60804230,60456826,60102259,59740676,59372070,58996529,58614504,58226483,57832648,57433128,57028186,56618285,56204063,55786282,55365768,54943355,54519866,54096102,53672838,53250826,52830798
Jordan,227294,253691,272342,287681,302968,320290,340506,363301,387364,410679,431406,448813,464099,480743,503508,535520,578328,630101,686422,741007,789300,830055,864590,894074,920626,946003,970175,993097,1016577,1042871,1073607,1110144,1152308,1198339,1245554,1292292,1336880,1380595,1428161,1486097,1558497,1647934,1751416,1860697,1964271,2054049,2126994,2186069,2236567,2286585,2342146,2403903,2470172,2541789,2619282,2702555,2793058,2889761,2987010,3077152,3154900,3217871,3268152,3310448,3351765,3397236,3448240,3503331,3561423,3620478,3678973,3736874,3794753,3852342,3909368,3965616,4020906,4075170,4128455,4180880,4232527,4283386,4333381,4382461,4430559,4477635,4523639,4568595,4612625,4655896,4698520,4740509,4781794,4822251,4861739,4900129,4937319,4973237,5007845,5041136,5073133
Kazakhstan,3459249,3528791,3640433,3784585,3953025,4138896,4336760,4542545,4753403,4967469,5183145,5398326,5609734,5812628,6001619,6173069,6324278,6456317,6574161,6685202,6794894,6905138,7014642,7121892,7224182,7319774,7408265,7491183,7570975,7650963,7733457,7817887,7903037,7989549,8078111,8168233,8261649,8355551,8439417,8499319,8525697,8516074,8474713,8407497,8323448,8230559,8129326,8021833,7919693,7837299,7784792,7767297,7782223,7822135,7875385,7933030,7993093,8056980,8123009,8189953,8256739,8321885,8384327,8444084,8501665,8557383,8610981,8661907,8709911,8754744,8796267,8834398,8869264,8901218,8930755,8958303,8984000,9007958,9030558,9052232,9073317,9093967,9114222,9134145,9153747,9173005,9191935,9210466,9228365,9245317,9261044,9275349,9288098,9299189,9308512,9315916,9321194,9324077,9324232,9321267,9314724
Kenya,3012235,3095416,3182920,3274597,3370390,3470332,3574552,3683271,3796790,3915472,4039688,4169758,4305901,4448211,4596721,4751584,4912983,5081398,5257647,5442739,5637485,5842368,6057557,6283156,6519137,6765544,7022288,7289634,7568353,7859432,8163444,8480570,8810197,9151093,9501558,9860210,10226021,10598697,10978408,11365662,11760456,12163311,12572942,12985437,13395671,13800222,14197822,14590250,14981011,15375221,15776966,16187164,16605839,17035119,17477278,17933915,18405711,18892382,19393170,19906741,20431715,20967858,21514271,22068006,22625351,23183408,23740984,24297909,24853639,25407980,25960877,26511745,27060547,27608554,28157592,28709035,29263148,29819670,30378793,30940601,31505058,32072155,32641635,33212841,33784901,34357023,34928845,35499987,36069590,36636675,37200440,37760360,38316152,38867693,39414924,39957755,40496044,41029570,41558035,42081063,42598206
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,61800,69313,73798,76370,77997,79505,81572,84731,89381,95802,104201,114765,127704,143270,161700,183067,207551,234856,263959,293480,322393,350353,377520,404001,430088,456040,481795,507343,533084,559543,587115,614770,642212,671303,704576,743137,789999,842932,891615,922063,925302,896064,840131,773129,717069,687631,690406,720222,768811,823134,873507,917944,959123,997472,1034546,1071449,1107683,1142289,1175520,1207808,1239490,1270604,1301092,1331093,1360761,1390217,1419546,1448771,1477866,1506768,1535436,1563885,1592158,1620273,1648251,1676111,1703858,1731501,1759071,1786604,1814124,1841632,1869116,1896565,1923961,1951284,1978521,2005644,2032597,2059306,2085713,2111776,2137470,2162781,2187697,2212199,2236259,2259842,2282899,2305373,2327199
Kyrgyzstan,911184,925763,942413,960783,980684,1002093,1025165,1050219,1077702,1108128,1141895,1179089,1219311,1261606,1304671,1347465,1389737,1431444,1472015,1510851,1547572,1581896,1614007,1644615,1674749,1705218,1736145,1767489,1799692,1833238,1868422,1905280,1943577,1982954,2022892,2062857,2103231,2143741,2182448,2216824,2245299,2266653,2282001,2294969,2310626,2332513,2362183,2398292,2437955,2476851,2511915,2542190,2568858,2593554,2618796,2646389,2676720,2709088,2742907,2777222,2811293,2844977,2878394,2911356,2943694,2975257,3005922,3035585,3064155,3091556,3117737,3142659,3166316,3188735,3209971,3230089,3249080,3266996,3284038,3300464,3316462,3332103,3347355,3362174,3376471,3390170,3403264,3415743,3427516,3438469,3448509,3457581,3465662,3472748,3478841,3483933,3488005,3491019,3492923,3493647,3493107
Laos,845347,868194,891006,913839,936750,959800,983051,1006569,1030419,1054667,1079380,1104616,1130426,1156854,1183936,1211713,1239917,1268532,1298114,1329420,1362817,1399068,1437598,1475863,1510402,1538979,1560446,1576230,1589844,1606253,1629070,1659486,1696551,1739124,1785208,1833290,1883116,1935084,1989047,2044937,2102615,2161828,2222203,2283342,2344798,2406166,2467392,2528271,2588092,2645990,2701426,2754036,2804173,2852919,2901804,2951966,3003791,3057065,3111590,3166951,3222844,3279257,3336347,3394162,3452773,3512205,3572417,3633296,3694691,3756417,3818294,3880240,3942145,4003777,4064865,4125193,4184654,4243207,4300793,4357378,4412948,4467448,4520881,4573366,4625075,4676139,4726583,4776388,4825580,4874181,4922197,4969619,5016420,5062561,5107990,5152648,5196465,5239363,5281258,5322056,5361656
Latvia,1106342,1105369,1107983,1113501,1121302,1130838,1141624,1153245,1165348,1177641,1189881,1201855,1213375,1224267,1234390,1243675,1251914,1259163,1265952,1273024,1280883,1289784,1299498,1309469,1318884,1327178,1334171,1340105,1345355,1350480,1355899,1361388,1366779,1372584,1379465,1387701,1397901,1409419,1419771,1425604,1424658,1415898,1400419,1380733,1360492,1342390,1327270,1314509,1303572,1293402,1283240,1273075,1263310,1254047,1245449,1237614,1230555,1224165,1218275,1212656,1207131,1201624,1196131,1190634,1185140,1179646,1174134,1168565,1162896,1157075,1151073,1144859,1138452,1131929,1125401,1118947,1112607,1106357,1100137,1093855,1087450,1080907,1074268,1067602,1061006,1054551,1048258,1042117,1036131,1030297,1024607,1019057,1013640,1008349,1003171,998087,993071,988090,983103,978061,972910
Lebanon,716671,725395,739142,756923,777879,801285,826553,853226,880968,909545,938760,968395,998151,1027624,1056373,1084124,1110313,1135008,1159325,1184838,1212510,1243071,1275716,1308022,1336644,1359299,1374968,1384691,1390770,1396572,1404539,1415973,1430271,1445735,1459751,1470751,1477503,1481502,1487129,1500380,1525230,1563672,1613544,1669567,1724185,1771951,1810826,1842403,1869264,1895558,1924208,1955963,1989472,2023097,2054398,2081680,2104432,2123449,2139928,2155641,2171893,2189059,2206813,2224918,2242905,2260432,2277494,2294266,2310777,2327081,2343202,2359131,2374810,2390151,2405041,2419387,2433154,2446321,2458829,2470611,2481623,2491837,2501252,2509890,2517787,2524977,2531466,2537265,2542420,2546991,2551025,2554552,2557585,2560126,2562176,2563741,2564831,2565467,2565675,2565492,2564961
Lesotho,389709,394628,400093,405953,412107,418497,425119,432013,439261,446972,455240,464107,473526,483342,493339,503371,513391,523472,533727,544328,555408,566999,579096,591747,605002,618895,633352,648352,664036,680590,698082,716625,735991,755493,774214,791501,807146,821354,834412,846795,858900,870637,882015,893645,906310,920504,936560,954154,972305,989632,1005138,1018487,1029970,1039993,1049226,1058173,1066912,1075311,1083434,1091315,1098987,1106503,1113901,1121168,1128269,1135175,1141902,1148462,1154807,1160877,1166631,1172051,1177162,1182026,1186730,1191336,1195869,1200318,1204667,1208890,1212968,1216903,1220709,1224393,1227961,1231421,1234778,1238036,1241200,1244276,1247270,1250188,1253039,1255829,1258567,1261261,1263920,1266554,1269170,1271779,1274389
Liberia,416100,422620,430574,439917,450586,462499,475553,489624,504576,520261,536546,553332,570575,588292,606539,625342,644770,664763,685082,705403,725543,745345,764999,785083,806396,829497,854090,879858,907242,936803,968622,1003140,1039310,1073901,1102630,1122443,1133708,1137631,1133305,1119811,1097584,1064029,1022099,984436,967878,983731,1038163,1125881,1232605,1337661,1426244,1492914,1542466,1582666,1625721,1680219,1748396,1826341,1909218,1989787,2062890,2127061,2184256,2236855,2288588,2342202,2398280,2455986,2514974,2574506,2634044,2693631,2753554,2813771,2874236,2934905,2995743,3056721,3117805,3178964,3240166,3301378,3362567,3423706,3484767,3545721,3606539,3667189,3727636,3787846,3847783,3907417,3966719,4025662,4084219,4142362,4200064,4257296,4314028,4370230,4425870
Libya,498260,503287,511059,521655,535037,551048,569399,589684,611401,633998,657004,680167,703577,727715,753311,780903,810665,842468,876183,911577,948501,987098,1027547,1069799,1113771,1159500,1206359,1254536,1305804,1362562,1426196,1497687,1575598,1655934,1733210,1803500,1865357,1919929,1969097,2015904,2062665,2109810,2156845,2204112,2251833,2300212,2349538,2400064,2451866,2504949,2559307,2614972,2671973,2730264,2789769,2850381,2912015,2974526,3037658,3101101,3164567,3227896,3290916,3353304,3414704,3474820,3533502,3590657,3646138,3699815,3751606,3801464,3849419,3895589,3940150,3983275,4025027,4065507,4104990,4143806,4182226,4220348,4258227,4296020,4333885,4371917,4410168,4448583,4487001,4525186,4562930,4600084,4636547,4672236,4707058,4740877,4773506,4804699,4834150,4861497,4886319
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,1409408,1405979,1406766,1411198,1418737,1428875,1441137,1455080,1470292,1486402,1503079,1520049,1537099,1554081,1570903,1587498,1603669,1619352,1634799,1650384,1666348,1682842,1699688,1716400,1732304,1746951,1760146,1772129,1783417,1794756,1806695,1819122,1831844,1845189,1859556,1875055,1892049,1909993,1926978,1940449,1948619,1950826,1947716,1940458,1930853,1920319,1908977,1896681,1884262,1872672,1862512,1854464,1848246,1842301,1834417,1823091,1807731,1789091,1768666,1748624,1730552,1714927,1701326,1689341,1678233,1667446,1656933,1646884,1637242,1627969,1619022,1610346,1601872,1593524,1585224,1576909,1568533,1560075,1551534,1542923,1534251,1525513,1516695,1507786,1498775,1489660,1480437,1471123,1461757,1452394,1443077,1433827,1424650,1415540,1406490,1397498,1388570,1379721,1370977,1362372,1353951
Luxembourg,148000,148098,148720,149669,150796,152001,153235,154498,155833,157313,159002,160919,163004,165099,166997,168556,169694,170476,171089,171802,172804,174159,175788,177567,179306,180865,182227,183431,184467,185333,186041,186582,186983,187341,187782,188405,189235,190273,191557,193128,195006,197214,199730,202463,205292,208119,210916,213689,216426,219124,221784,224390,226936,229448,231963,234509,237095,239714,242359,245017,247678,250343,253019,255713,258433,261186,263975,266799,269664,272572,275526,278526,281571,284659,287789,290959,294167,297408,300668,303932,307186,310424,313645,316842,320013,323154,326262,329335,332375,335386,338368,341324,344256,347162,350046,352907,355750,358579,361399,364218,367043
Madagascar,1983564,2026148,2070888,2117645,2166320,2216850,2269213,2323427,2379542,2437638,2497805,2560120,2624633,2691355,2760286,2831470,2904899,2980732,3059380,3141375,3227100,3316627,3409849,3506718,3607121,3710901,3818418,3929571,4043208,4157790,4272387,4386569,4501186,4618176,4740227,4869373,5006292,5150760,5302800,5462145,5628574,5802138,5982952,6170869,6365670,6567074,6775046,6989267,7208819,7432543,7659566,7889437,8122206,8358137,8597739,8841364,9088957,9340270,9595241,9853787,10115810,10381220,10649906,10921710,11196450,11473944,11754040,12036576,12321342,12608112,12896666,13186819,13478391,13771181,14064985,14359605,14654856,14950557,15246523,15542570,15838518,16134197,16429441,16724090,17017987,17310978,17602906,17893623,18182997,18470901,18757208,19041781,19324477,19605149,19883652,20159843,20433587,20704752,20973214,21238856,21501564
Malawi,1491202,1518174,1547499,1578672,1611319,1645199,1680207,1716372,1753836,1792832,1833601,1876305,1920954,1967369,2015282,2064595,2115202,2167472,2222361,2281135,2344706,2413377,2486911,2564991,2647065,2732659,2823111,2918675,3016631,3113271,3206727,3292391,3372694,3461019,3575651,3727941,3926582,4163167,4411262,4634060,4806332,4916934,4977030,5010984,5054540,5133454,5255660,5412852,5594936,5785412,5972203,6153353,6333138,6512940,6695644,6883391,7075960,7272332,7473019,7678654,7889687,8106207,8328081,8555232,8787494,9024639,9266587,9513053,9763328,10016510,10271860,10528970,10787658,11047685,11308882,11571065,11834016,12097456,12361080,12624566,12887661,13150193,13412102,13673405,13934187,14194518,14454352,14713653,14972527,15231116,15489525,15747787,16005877,16263735,16521289,16778483,17035282,17291679,17547696,17803383,18058815
Malaysia,2965600,3048091,3137050,3231190,3329592,3431698,3537339,3646709,3760302,3878810,4002800,4132382,4266909,4404850,4544153,4683299,4821681,4959541,5097265,5235598,5375099,5516212,5658817,5802312,5945825,6089003,6231634,6374781,6520950,6673457,6834784,7005676,7185789,7375104,7573233,7779700,7994810,8218280,8448262,8682297,8918571,9155689,9393800,9634457,9880076,10132040,10391022,10655306,10921006,11182873,11437157,11682184,11918987,12149855,12378398,12607213,12836858,13066340,13294881,13521198,13744345,13964077,14180690,14394394,14605564,14814409,15020913,15224757,15425477,15622466,15815242,16003726,16187909,16367478,16542088,16711557,16875682,17034675,17189289,17340569,17489280,17635672,17779579,17920834,18059111,18194144,18325905,18454426,18579551,18701097,18818901,18932838,19042816,19148761,19250600,19348248,19441599,19530524,19614874,19694475,19769133
Maldives,37793,38502,39240,40003,40790,41600,42433,43289,44168,45071,46001,46958,47945,48963,50014,51100,52225,53392,54607,55874,57200,58589,60047,61580,63195,64899,66697,68594,70601,72733,74998,77392,79913,82579,85412,88420,91603,94937,98371,101840,105291,108706,112075,115356,118505,121491,124297,126928,129404,131757,134014,136181,138264,140300,142335,144403,146520,148687,150905,153170,155477,157828,160224,162658,165116,167589,170072,172558,175036,177491,179911,182289,184621,186898,189114,191262,193338,195343,197278,199147,200956,202704,204393,206031,207628,209191,210724,212225,213699,215145,216566,217960,219325,220657,221954,223209,224418,225574,226670,227699,228653
Mali,2082036,2113418,2147257,2183480,2221956,2262496,2304852,2348720,2393751,2439579,2485888,2532487,2579376,2626774,2675038,2724432,2774980,2826591,2879282,2933052,2987892,3043902,3101079,3159180,3217873,3276962,3336395,3396381,3457316,3519742,3584094,3650484,3718933,3789663,3862903,3938800,4017477,4098885,4182772,4268770,4356592,4446485,4538544,4632185,4726635,4821530,4916417,5011979,5110376,5214520,5326459,5447070,5575661,5710772,5850165,5992186,6136336,6283036,6432629,6585761,6742841,6903818,7068255,7235722,7405648,7577571,7751262,7926635,8103543,8281872,8461505,8642346,8824246,9006986,9190322,9374086,9558156,9742571,9927537,10113363,10300280,10488304,10677374,10867541,11058852,11251315,11444912,11639558,11835100,12031340,12228089,12425193,12622523,12819958,13017368,13214594,13411442,13607682,13803043,13997217,14189860
Malta,157997,159441,160503,161249,161733,162000,162085,162013,161801,161460,161000,160439,159809,159158,158540,158000,157580,157287,157083,156910,156735,156526,156330,156283,156572,157318,158575,160277,162277,164363,166377,168275,170085,171805,173454,175050,176567,177995,179388,180823,182349,183996,185736,187491,189149,190634,191907,193000,193996,195016,196140,197405,198770,200151,201429,202517,203387,204075,204635,205154,205692,206266,206858,207459,208049,208612,209150,209667,210161,210627,211062,211463,211828,212156,212443,212690,212894,213055,213169,213232,213240,213194,213097,212949,212756,212522,212248,211937,211597,211234,210856,210467,210071,209669,209263,208856,208451,208052,207663,207292,206944
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martinique,116003,117245,119329,121934,124815,127806,130819,133843,136933,140188,143698,147477,151412,155242,158618,161300,163167,164306,164947,165429,165999,166765,167654,168524,169151,169397,169205,168695,168115,167804,168005,168800,170113,171822,173737,175709,177723,179800,181867,183837,185655,187270,188699,190046,191457,193037,194809,196728,198748,200796,202812,204794,206737,208575,210227,211637,212775,213661,214356,214953,215521,216079,216614,217126,217608,218054,218469,218861,219227,219565,219871,220144,220383,220586,220745,220858,220922,220935,220896,220801,220649,220438,220168,219837,219446,218995,218483,217911,217280,216592,215849,215053,214204,213304,212355,211357,210313,209225,208096,206930,205729
