"TC female (mmol/L), age standardized mean",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Kazakhstan,5.388937,5.373461,5.358781,5.343357,5.327767,5.313005,5.298076,5.280383,5.263572,5.246129,5.227331,5.205798,5.181864,5.149375,5.111668,5.071009,5.03266,5.001386,4.978094,4.9619,4.948657,4.938188,4.930286,4.925199,4.924453,4.925134,4.925387,4.927901,4.927793
Kenya,4.619324,4.608913,4.59941,4.5892,4.579998,4.568622,4.558863,4.551356,4.545754,4.538871,4.533938,4.527105,4.517309,4.507004,4.49402,4.481083,4.468598,4.456967,4.444643,4.434631,4.423704,4.415283,4.405716,4.398811,4.392137,4.385108,4.380217,4.376915,4.373413
Kiribati,4.754667,4.722659,4.694074,4.66583,4.641808,4.62066,4.603163,4.588173,4.580795,4.574456,4.569582,4.566648,4.564542,4.565421,4.569662,4.574656,4.582262,4.592479,4.607903,4.627694,4.64592,4.663255,4.679334,4.69277,4.70297,4.711168,4.718172,4.723565,4.728397
"Korea, Dem. Rep.",4.738088,4.725491,4.715618,4.705108,4.693253,4.681144,4.667778,4.655118,4.642392,4.629124,4.612704,4.597557,4.580308,4.565953,4.544424,4.519895,4.494494,4.469253,4.448657,4.433255,4.421524,4.41381,4.409142,4.40735,4.407206,4.4073,4.407555,4.409544,4.411664
"Korea, Rep.",4.938093,4.919551,4.902509,4.887688,4.872947,4.858812,4.844932,4.835413,4.827841,4.820725,4.817397,4.813095,4.807292,4.800209,4.791849,4.783103,4.776629,4.76896,4.759871,4.756321,4.755857,4.758723,4.768481,4.782302,4.793812,4.806056,4.82066,4.837075,4.854001
Kuwait,5.615275,5.603639,5.591384,5.576735,5.56693,5.551228,5.53826,5.522378,5.502494,5.486742,5.462083,5.446054,5.437547,5.442315,5.452323,5.457207,5.458066,5.455187,5.443439,5.42524,5.404373,5.379502,5.345846,5.314976,5.28787,5.265441,5.237989,5.21514,5.193239
Kyrgyzstan,5.173862,5.157492,5.139959,5.122627,5.104777,5.087513,5.070219,5.050999,5.032474,5.011663,4.989961,4.961748,4.927859,4.891205,4.846879,4.802032,4.762573,4.726027,4.69744,4.667907,4.642494,4.621459,4.603777,4.586974,4.5724,4.555721,4.536712,4.521282,4.507095
Laos,4.413819,4.412373,4.409671,4.407274,4.405343,4.401808,4.39917,4.395687,4.391309,4.388603,4.385521,4.383339,4.382994,4.385095,4.388983,4.394639,4.400636,4.408295,4.416511,4.427793,4.437544,4.449338,4.461412,4.474876,4.487696,4.500071,4.513863,4.528431,4.543645
Latvia,5.643903,5.632692,5.620735,5.608513,5.596465,5.584554,5.571316,5.559744,5.550665,5.544883,5.537051,5.525819,5.503002,5.471834,5.437751,5.407174,5.370385,5.334778,5.303803,5.276709,5.25452,5.233573,5.220083,5.206741,5.197833,5.192207,5.192189,5.189873,5.183279
Lebanon,5.102923,5.105122,5.098907,5.095295,5.095404,5.096026,5.091479,5.080087,5.066362,5.040587,5.019118,5.006451,5.000403,4.99803,4.997218,4.997532,4.998031,5.000397,5.001427,5.002703,5.001678,4.997503,4.99548,4.991846,4.989576,4.986423,4.980775,4.976174,4.971714
Lesotho,4.55928,4.543568,4.52745,4.508574,4.489573,4.469073,4.449024,4.428758,4.408124,4.387324,4.366304,4.346191,4.327997,4.313704,4.300075,4.290091,4.281575,4.27605,4.271165,4.267872,4.265616,4.263599,4.260839,4.260206,4.26019,4.259877,4.261252,4.264288,4.267026
Liberia,4.68032,4.658676,4.635998,4.614577,4.593376,4.572271,4.55055,4.529356,4.507201,4.477345,4.445683,4.415001,4.381839,4.348793,4.318589,4.291368,4.266318,4.246105,4.227202,4.211555,4.198326,4.186701,4.176063,4.152568,4.130486,4.108594,4.088791,4.070311,4.052964
Libya,5.315252,5.311112,5.302015,5.292274,5.278682,5.261093,5.238542,5.21278,5.186984,5.159871,5.130089,5.104664,5.07925,5.054556,5.029781,5.005488,4.982149,4.960172,4.937945,4.913835,4.888825,4.865459,4.838883,4.813217,4.788566,4.763889,4.739785,4.716628,4.693183
Lithuania,5.827088,5.829214,5.83143,5.834303,5.836689,5.835479,5.831071,5.827949,5.821202,5.812649,5.801707,5.787746,5.761434,5.717394,5.668386,5.620347,5.565365,5.509135,5.455953,5.407928,5.365407,5.32763,5.293031,5.264085,5.243639,5.221937,5.197571,5.173752,5.14751
Luxembourg,6.20045,6.168092,6.136495,6.106194,6.076242,6.048637,6.021687,5.994146,5.963708,5.934108,5.904198,5.875933,5.845148,5.814849,5.783919,5.751462,5.716566,5.683918,5.658298,5.633826,5.607431,5.582907,5.558764,5.534275,5.5136,5.494252,5.47901,5.465592,5.451582
"Macao, China",5.167311,5.161029,5.153801,5.145581,5.137642,5.127517,5.118614,5.111905,5.105739,5.10013,5.096567,5.093369,5.094696,5.096266,5.098771,5.102477,5.103059,5.103349,5.102602,5.099553,5.098774,5.098081,5.101844,5.108573,5.121821,5.134681,5.15004,5.170425,5.191792
"Macedonia, FYR",5.362913,5.354578,5.345585,5.337502,5.325522,5.315079,5.303926,5.286367,5.266274,5.242914,5.216199,5.184989,5.149718,5.120112,5.09554,5.071815,5.047634,5.023359,5.004504,4.984248,4.966338,4.948735,4.937957,4.922827,4.908191,4.896472,4.885722,4.881212,4.875673
Madagascar,4.650977,4.634243,4.617363,4.599119,4.581129,4.563802,4.547113,4.530977,4.516904,4.503865,4.49226,4.479325,4.466115,4.453396,4.441649,4.430267,4.419337,4.409321,4.398941,4.389801,4.38084,4.371089,4.356253,4.344056,4.332444,4.322906,4.314251,4.307356,4.302161
Malawi,4.507028,4.492998,4.477339,4.46317,4.449668,4.436292,4.423838,4.410714,4.395163,4.381367,4.368622,4.358915,4.347875,4.339994,4.33369,4.331042,4.330169,4.330521,4.331693,4.332565,4.334089,4.332662,4.331791,4.332659,4.334908,4.337251,4.342044,4.348781,4.358058
Malaysia,4.878081,4.882982,4.8853,4.888326,4.891223,4.892288,4.891939,4.893291,4.896725,4.901542,4.909842,4.920834,4.933356,4.948806,4.965829,4.98441,5.002383,5.020013,5.030912,5.039414,5.048961,5.058446,5.06707,5.078138,5.086882,5.094143,5.102008,5.109076,5.118313
Maldives,4.558868,4.562429,4.561972,4.567327,4.579385,4.59291,4.605703,4.618231,4.631322,4.637817,4.646435,4.654056,4.665674,4.67849,4.691209,4.700649,4.71039,4.722003,4.736436,4.751419,4.768318,4.786646,4.80615,4.825569,4.844666,4.861814,4.877282,4.894025,4.909875
Mali,4.557852,4.54587,4.527191,4.509016,4.488833,4.462493,4.439643,4.41689,4.392987,4.374172,4.356152,4.337532,4.31976,4.302994,4.28726,4.273045,4.259851,4.247283,4.236623,4.226364,4.214757,4.205727,4.195883,4.186003,4.174969,4.164781,4.155694,4.146084,4.136197
Malta,6.127351,6.090006,6.048441,6.004103,5.956245,5.910777,5.861141,5.813479,5.765524,5.723516,5.677027,5.640512,5.606766,5.572114,5.536703,5.507113,5.477124,5.451554,5.428403,5.407825,5.384804,5.364789,5.341468,5.321956,5.303409,5.282793,5.267976,5.25369,5.241376
Marshall Islands,4.946098,4.936325,4.927053,4.92122,4.915771,4.908513,4.906775,4.911499,4.918191,4.925235,4.933749,4.94199,4.949484,4.956959,4.965213,4.974218,4.975204,4.975654,4.976143,4.978448,4.982195,4.988097,4.993848,4.999955,5.005771,5.011784,5.016446,5.020329,5.023653
Mauritania,4.807733,4.791484,4.77289,4.754433,4.736325,4.718334,4.699522,4.678491,4.65766,4.636508,4.615588,4.594069,4.569874,4.54477,4.518827,4.495583,4.473405,4.451148,4.430644,4.413584,4.400365,4.387111,4.372733,4.358248,4.341643,4.324004,4.308386,4.291312,4.273787
Mauritius,5.006346,4.996322,4.985489,4.97312,4.961814,4.950509,4.94179,4.935685,4.935318,4.935329,4.935462,4.937173,4.937995,4.938547,4.938509,4.935901,4.933238,4.93124,4.930255,4.931229,4.932846,4.9342,4.934729,4.93471,4.933014,4.93021,4.926866,4.921509,4.917174
Mexico,5.023827,5.009868,4.994089,4.974715,4.958682,4.940792,4.920624,4.90277,4.887125,4.874362,4.864974,4.858303,4.856818,4.859575,4.867347,4.87244,4.880819,4.893149,4.910455,4.930769,4.954725,4.978918,5.003826,5.027386,5.052055,5.077758,5.103214,5.127466,5.150444
"Micronesia, Fed. Sts.",4.773089,4.771528,4.768576,4.766529,4.764441,4.766119,4.769196,4.772908,4.777139,4.783154,4.791081,4.800174,4.81177,4.825478,4.842076,4.85876,4.87259,4.884255,4.895912,4.906353,4.918778,4.930851,4.943106,4.951616,4.957171,4.9612,4.962713,4.963439,4.963486
Moldova,5.418612,5.406987,5.396265,5.385723,5.375476,5.363631,5.349833,5.333617,5.31549,5.293632,5.267666,5.23216,5.183084,5.128811,5.06863,5.012328,4.961253,4.914972,4.868788,4.825138,4.786619,4.755439,4.732658,4.711061,4.695792,4.683698,4.674982,4.672067,4.669449
Mongolia,5.247711,5.235177,5.222446,5.208374,5.193878,5.178606,5.165217,5.150108,5.133083,5.117085,5.10254,5.085377,5.060637,5.041189,5.021783,5.000552,4.970161,4.94392,4.923285,4.904819,4.883113,4.858678,4.831112,4.804237,4.783185,4.760979,4.73846,4.72336,4.714133
Montenegro,5.365568,5.359057,5.349208,5.341365,5.332519,5.323692,5.314654,5.304915,5.296727,5.288218,5.280137,5.268301,5.248508,5.210209,5.178496,5.155174,5.14127,5.128976,5.118392,5.105565,5.096615,5.085233,5.075547,5.063801,5.049517,5.035809,5.022957,5.010678,5.000105
Morocco,4.800119,4.798952,4.798685,4.795601,4.791856,4.787626,4.784186,4.779749,4.778021,4.777557,4.776285,4.776818,4.780475,4.783953,4.78766,4.788355,4.787009,4.783041,4.777625,4.772243,4.766574,4.758208,4.749074,4.739427,4.72872,4.719237,4.707465,4.699471,4.691267
Mozambique,4.632225,4.617279,4.601321,4.582217,4.562017,4.537867,4.517416,4.500365,4.485669,4.475165,4.464624,4.456471,4.445727,4.437246,4.429853,4.42098,4.411325,4.402959,4.397814,4.39284,4.388051,4.386549,4.385706,4.384043,4.382565,4.381163,4.378332,4.375926,4.373212
Myanmar,4.368102,4.3633,4.35818,4.353848,4.348245,4.344251,4.338479,4.330303,4.318715,4.310859,4.306087,4.302068,4.301222,4.301339,4.303837,4.3076,4.313369,4.320672,4.329851,4.341365,4.356855,4.375117,4.393833,4.415779,4.438745,4.462811,4.488135,4.513438,4.536208
Namibia,5.003751,4.978106,4.950707,4.921681,4.892796,4.864268,4.836565,4.808245,4.780162,4.754053,4.727267,4.704998,4.683612,4.662417,4.6435,4.625955,4.609707,4.600879,4.593892,4.59157,4.595466,4.594412,4.592049,4.591708,4.59232,4.593635,4.595876,4.59901,4.601398
Nauru,5.163181,5.162617,5.160298,5.158923,5.157568,5.155691,5.155902,5.155095,5.154548,5.152559,5.14866,5.14277,5.135793,5.127292,5.117547,5.106234,5.093922,5.082302,5.072679,5.065715,5.061174,5.059601,5.060301,5.061959,5.064216,5.065032,5.066987,5.069099,5.071714
Nepal,4.535075,4.525452,4.518553,4.507837,4.498889,4.490925,4.483397,4.472271,4.460286,4.447788,4.437634,4.427784,4.418377,4.410276,4.401309,4.392622,4.384962,4.377846,4.370488,4.364057,4.358037,4.351227,4.342687,4.332142,4.318973,4.305414,4.292443,4.280017,4.268116
Netherlands,5.886708,5.865216,5.841859,5.817139,5.794738,5.771903,5.748242,5.721964,5.695754,5.66813,5.643932,5.619541,5.593436,5.571789,5.546024,5.526644,5.504662,5.483139,5.464942,5.445956,5.426839,5.40903,5.389425,5.36504,5.3429,5.324666,5.307952,5.29128,5.276072
Netherlands Antilles,5.504266,5.508856,5.507906,5.498673,5.481486,5.458565,5.431606,5.406991,5.382063,5.361522,5.337376,5.316596,5.300244,5.290363,5.283047,5.281668,5.280923,5.281929,5.284804,5.287626,5.290768,5.287702,5.28265,5.274951,5.269459,5.268893,5.261715,5.256748,5.250655
New Zealand,6.034421,6.021743,6.007078,5.992361,5.983306,5.969419,5.957153,5.939443,5.917553,5.892201,5.862443,5.827146,5.786324,5.748252,5.704937,5.665711,5.624347,5.583214,5.535649,5.492619,5.451156,5.415484,5.380087,5.348334,5.315696,5.284395,5.252008,5.222264,5.190179
Nicaragua,4.950845,4.919157,4.893853,4.869599,4.845071,4.821929,4.798872,4.77694,4.749331,4.725856,4.706589,4.684485,4.666868,4.649011,4.634636,4.622683,4.613157,4.605871,4.600537,4.59791,4.59691,4.593816,4.589401,4.584704,4.58223,4.576887,4.572134,4.569098,4.566396
Niger,4.542932,4.530795,4.51535,4.500387,4.476896,4.454135,4.431315,4.405296,4.379992,4.354479,4.330166,4.308002,4.28442,4.263416,4.242022,4.220367,4.200277,4.183038,4.163772,4.143315,4.123308,4.107021,4.089284,4.072594,4.057757,4.039278,4.019423,3.995235,3.97411
Nigeria,4.660777,4.627766,4.59313,4.556051,4.515988,4.477251,4.437213,4.398845,4.363184,4.328802,4.297339,4.267907,4.240463,4.214599,4.1913,4.169899,4.153387,4.14054,4.130917,4.122383,4.116198,4.112573,4.110205,4.110734,4.112232,4.114125,4.116285,4.118842,4.122205
Norway,5.949876,5.927097,5.904408,5.879426,5.858339,5.838368,5.814585,5.788272,5.758562,5.728718,5.695971,5.668695,5.639742,5.613163,5.588908,5.563794,5.541868,5.519959,5.498357,5.474011,5.451538,5.431139,5.410416,5.389157,5.373211,5.358339,5.346477,5.333928,5.321925
Oman,5.043815,5.048502,5.055173,5.061906,5.07263,5.083677,5.09255,5.099391,5.105426,5.111831,5.117203,5.121661,5.127213,5.132301,5.136505,5.139778,5.141175,5.140477,5.13809,5.132881,5.125487,5.118981,5.110034,5.098451,5.0873,5.076116,5.065794,5.057235,5.049156
Pakistan,4.712901,4.70906,4.704161,4.698877,4.694413,4.690989,4.688414,4.685615,4.683553,4.677539,4.671776,4.667871,4.663881,4.658253,4.651892,4.645745,4.638925,4.631738,4.62373,4.616036,4.608161,4.600095,4.591925,4.583596,4.575954,4.568452,4.563312,4.556271,4.54985
Palau,5.243968,5.215406,5.187356,5.161163,5.138791,5.116559,5.097852,5.082514,5.075213,5.073555,5.07518,5.076466,5.078969,5.080564,5.083341,5.089904,5.098673,5.10638,5.113212,5.117958,5.122595,5.127782,5.134156,5.138749,5.144753,5.150917,5.158831,5.166787,5.175145
Panama,5.017401,5.011858,5.007493,5.001198,4.99386,4.985169,4.976316,4.968818,4.95119,4.936481,4.924421,4.917937,4.912889,4.909951,4.908876,4.905496,4.902206,4.903883,4.906672,4.910827,4.913621,4.913839,4.912917,4.911452,4.911513,4.913184,4.916403,4.921504,4.927357
Papua New Guinea,4.548227,4.545482,4.539968,4.535071,4.528705,4.525483,4.524127,4.526216,4.530474,4.536827,4.540962,4.549115,4.559983,4.578252,4.597613,4.614699,4.630746,4.644997,4.65809,4.671802,4.684223,4.694609,4.705356,4.715353,4.724511,4.73331,4.741354,4.751343,4.762067
Paraguay,4.888345,4.89502,4.898649,4.897285,4.89501,4.890662,4.883242,4.874307,4.868259,4.863698,4.861087,4.865687,4.871581,4.876638,4.880451,4.885314,4.885908,4.885677,4.883458,4.878679,4.867662,4.856256,4.846562,4.834477,4.8204,4.806715,4.79643,4.786146,4.778292
Peru,4.951047,4.949328,4.946093,4.938254,4.933616,4.930642,4.929085,4.930339,4.926377,4.914389,4.900396,4.886126,4.872833,4.861274,4.855837,4.853924,4.851116,4.849301,4.845068,4.8416,4.837232,4.830835,4.82459,4.815106,4.803551,4.78974,4.776449,4.763721,4.75293
Philippines,4.766933,4.763499,4.759303,4.75842,4.753316,4.744344,4.736902,4.732464,4.730775,4.732218,4.735729,4.740036,4.74431,4.750653,4.758354,4.767519,4.77701,4.788908,4.800155,4.812281,4.827823,4.842275,4.85752,4.872027,4.88528,4.895831,4.906889,4.916833,4.926803
Poland,5.353488,5.351287,5.342289,5.338047,5.333551,5.332979,5.334448,5.336182,5.338058,5.338064,5.331256,5.319695,5.306904,5.291014,5.274254,5.259007,5.246015,5.235477,5.228465,5.223073,5.218443,5.212046,5.206347,5.199244,5.190757,5.180856,5.171999,5.163099,5.153638
Portugal,5.550205,5.5356,5.518414,5.499013,5.476704,5.455356,5.433673,5.415465,5.399094,5.385622,5.373744,5.361876,5.351195,5.341558,5.332178,5.321249,5.309128,5.296017,5.283888,5.273787,5.2614,5.24956,5.236896,5.222571,5.206138,5.19203,5.180174,5.171025,5.160739
Puerto Rico,5.163689,5.151193,5.13703,5.124634,5.112271,5.102155,5.09116,5.082349,5.074007,5.067059,5.060499,5.055532,5.050915,5.046996,5.044475,5.042671,5.039573,5.036254,5.032497,5.029077,5.025476,5.020544,5.012723,5.005108,4.995393,4.985256,4.973389,4.960286,4.947782
Qatar,5.557971,5.542155,5.523334,5.499874,5.478015,5.452272,5.428127,5.405077,5.384984,5.368643,5.353834,5.340701,5.332571,5.324111,5.316262,5.309362,5.301759,5.300075,5.300382,5.300224,5.298728,5.294172,5.287628,5.282073,5.277421,5.271262,5.264998,5.259596,5.252399
Romania,5.325935,5.326309,5.322603,5.316788,5.312492,5.310341,5.305245,5.298407,5.285229,5.265742,5.250481,5.232762,5.206702,5.177751,5.151989,5.129663,5.107653,5.082982,5.059464,5.032919,5.00743,4.985442,4.968129,4.95135,4.934814,4.922036,4.911917,4.906662,4.902695
Russia,5.774069,5.758139,5.739533,5.720879,5.701313,5.680609,5.660058,5.63616,5.613497,5.589,5.562563,5.531544,5.49551,5.460798,5.420655,5.379402,5.33449,5.293161,5.252576,5.220582,5.190301,5.164956,5.144249,5.128931,5.117838,5.10919,5.101319,5.096086,5.090908
Rwanda,4.488676,4.483527,4.476406,4.469067,4.457825,4.445159,4.435408,4.423641,4.413157,4.402412,4.390969,4.379399,4.370693,4.357599,4.328798,4.31505,4.307083,4.299433,4.294577,4.291905,4.288855,4.286747,4.285954,4.288053,4.292068,4.295272,4.294569,4.294243,4.294538
Saint Kitts and Nevis,4.985146,4.979414,4.969097,4.958702,4.948905,4.942113,4.93495,4.93014,4.922972,4.914535,4.909985,4.904281,4.900164,4.89777,4.899452,4.904034,4.907526,4.911138,4.912358,4.915554,4.920524,4.921492,4.92404,4.923369,4.920792,4.916384,4.909974,4.901639,4.895157
Saint Lucia,4.883365,4.870118,4.856158,4.844247,4.838743,4.831692,4.830573,4.827913,4.827235,4.829061,4.834332,4.841692,4.847624,4.855742,4.857914,4.862647,4.858757,4.851778,4.849895,4.847693,4.842025,4.836562,4.826605,4.827207,4.821477,4.817289,4.811053,4.805914,4.800034
Saint Vincent and the Grenadines,4.802831,4.792748,4.786023,4.779738,4.777539,4.775522,4.773804,4.773432,4.772894,4.774726,4.778287,4.779132,4.7832,4.784453,4.782432,4.781578,4.779479,4.77867,4.776244,4.774505,4.772526,4.770191,4.771538,4.770576,4.772224,4.772816,4.778143,4.779788,4.781622
Samoa,4.782056,4.76521,4.748576,4.728885,4.709779,4.701671,4.690133,4.685015,4.675052,4.669342,4.66135,4.651591,4.646556,4.643161,4.632184,4.621519,4.615291,4.6047,4.598299,4.594568,4.597834,4.607661,4.617674,4.630536,4.643203,4.657559,4.671742,4.68322,4.69397
Sao Tome and Principe,4.712322,4.694324,4.682226,4.666065,4.644336,4.625644,4.606147,4.585681,4.567254,4.546985,4.526495,4.505211,4.481756,4.459664,4.439479,4.420333,4.40152,4.38296,4.364213,4.34541,4.325279,4.304965,4.284854,4.265338,4.245463,4.225412,4.205841,4.187187,4.168835
Saudi Arabia,5.374227,5.373884,5.366333,5.352937,5.338102,5.320608,5.304969,5.288368,5.270008,5.250997,5.23383,5.222704,5.208521,5.191435,5.173542,5.155848,5.138319,5.117678,5.094882,5.073267,5.049289,5.02159,4.991571,4.964495,4.937582,4.911606,4.88555,4.862876,4.840003
Senegal,4.699569,4.678828,4.662381,4.64669,4.626379,4.602662,4.583189,4.568224,4.552856,4.536787,4.520083,4.502504,4.48669,4.467575,4.449122,4.430561,4.413688,4.398409,4.384033,4.36957,4.356884,4.344535,4.330656,4.316322,4.301402,4.285608,4.268786,4.252324,4.235801
Serbia,5.226304,5.209078,5.188857,5.170686,5.151684,5.133773,5.116896,5.10113,5.088943,5.079329,5.073269,5.067513,5.054632,5.028851,5.012277,5.004095,5.002008,5.004447,5.010774,5.011713,5.018242,5.025369,5.034988,5.042727,5.049712,5.058561,5.068624,5.079289,5.0918
Seychelles,5.175287,5.192756,5.205198,5.217811,5.230778,5.246162,5.256811,5.268049,5.278108,5.288716,5.299721,5.307312,5.319643,5.328561,5.334209,5.336412,5.336681,5.335988,5.334424,5.329688,5.321522,5.315506,5.305575,5.292547,5.267197,5.244428,5.221098,5.200776,5.180202
Sierra Leone,4.607027,4.590841,4.574063,4.556608,4.538916,4.520371,4.499975,4.480612,4.459294,4.437065,4.415156,4.39124,4.36455,4.339439,4.316051,4.292077,4.266079,4.235314,4.2057,4.175022,4.148556,4.126712,4.110871,4.097188,4.085031,4.07538,4.067906,4.060806,4.053246
Singapore,6.007173,5.895113,5.781542,5.668236,5.554073,5.438469,5.326357,5.219562,5.120873,5.030069,4.947371,4.874618,4.811224,4.761575,4.722603,4.690797,4.668898,4.659401,4.663696,4.685401,4.724829,4.77489,4.835357,4.904466,4.979309,5.05766,5.137197,5.219116,5.300409
Slovak Republic,5.409871,5.405665,5.400036,5.392823,5.387059,5.37949,5.373438,5.365319,5.361799,5.357579,5.352256,5.34191,5.329954,5.318286,5.301184,5.286927,5.272193,5.262708,5.249916,5.234446,5.213109,5.193064,5.177031,5.158083,5.13634,5.121299,5.110064,5.102282,5.094684
Slovenia,5.459622,5.454783,5.447853,5.440448,5.434275,5.425698,5.41715,5.409056,5.402035,5.395451,5.387538,5.37506,5.360417,5.354437,5.34877,5.34224,5.334233,5.328834,5.31764,5.305863,5.295237,5.287176,5.274947,5.261922,5.246678,5.232023,5.218611,5.207856,5.19576
Solomon Islands,4.710244,4.705794,4.700145,4.689789,4.68064,4.670902,4.661331,4.652258,4.643703,4.640411,4.638759,4.638285,4.641923,4.647264,4.651639,4.656504,4.662789,4.667778,4.671804,4.675044,4.672127,4.666162,4.660989,4.657778,4.657118,4.658178,4.66118,4.665851,4.673255
Somalia,4.656466,4.639612,4.625574,4.608193,4.590647,4.573129,4.557443,4.543594,4.531359,4.519062,4.507885,4.495808,4.481707,4.470472,4.454301,4.43991,4.42782,4.414409,4.40193,4.391586,4.38078,4.371292,4.362204,4.354545,4.348447,4.341782,4.336408,4.331,4.325979
South Africa,5.220204,5.17476,5.127366,5.079372,5.032748,4.983803,4.934241,4.886166,4.840278,4.795662,4.752285,4.707447,4.663803,4.623362,4.589713,4.562869,4.544671,4.534283,4.528884,4.529659,4.536913,4.547615,4.563033,4.581481,4.602709,4.625622,4.651542,4.678453,4.704981
Spain,5.646017,5.621256,5.594529,5.568743,5.541408,5.512672,5.486045,5.461705,5.439009,5.416301,5.394948,5.373998,5.352985,5.335045,5.318089,5.302964,5.284301,5.264939,5.248436,5.232596,5.217752,5.203881,5.19105,5.178652,5.165144,5.152404,5.141659,5.133383,5.123906
Sri Lanka,4.599309,4.594586,4.588945,4.582359,4.576423,4.572938,4.56891,4.566065,4.562638,4.56152,4.560672,4.560555,4.561892,4.566166,4.570192,4.575192,4.581056,4.587587,4.595088,4.601244,4.610894,4.618412,4.627639,4.636883,4.646194,4.653431,4.663607,4.674214,4.685689
Sudan,4.699345,4.689583,4.681437,4.669603,4.653033,4.634368,4.616334,4.600646,4.585372,4.57402,4.561218,4.549368,4.540318,4.53328,4.527458,4.52294,4.519285,4.517288,4.515829,4.513611,4.515203,4.517323,4.520633,4.524953,4.528874,4.533252,4.536263,4.539572,4.543214
Suriname,5.025165,5.012702,4.998402,4.981844,4.959327,4.939623,4.9175,4.889353,4.867794,4.85142,4.837159,4.824838,4.811055,4.794221,4.777269,4.760848,4.751432,4.749528,4.748128,4.747619,4.742476,4.742158,4.742089,4.742803,4.74398,4.745233,4.744792,4.745698,4.747954
Swaziland,4.893919,4.878997,4.8622,4.844295,4.822263,4.800797,4.777748,4.756818,4.734742,4.715357,4.694224,4.674244,4.655901,4.639059,4.62262,4.608552,4.593653,4.586627,4.579787,4.576836,4.577754,4.57554,4.571466,4.567418,4.566077,4.562532,4.557267,4.551081,4.545904
Sweden,6.088787,6.062966,6.035291,6.006854,5.977625,5.948185,5.918455,5.886529,5.852752,5.817004,5.776061,5.731658,5.684787,5.636811,5.59017,5.541498,5.489879,5.437829,5.386416,5.334051,5.283096,5.232845,5.18503,5.140797,5.098036,5.060668,5.024565,4.990461,4.957592
Switzerland,5.969375,5.946067,5.921776,5.899327,5.8765,5.855144,5.831514,5.808134,5.782418,5.757312,5.731022,5.702825,5.672822,5.642288,5.608811,5.575786,5.540892,5.505349,5.470773,5.436317,5.403825,5.376063,5.349241,5.325865,5.303205,5.284521,5.268922,5.255342,5.243272
Syria,4.942081,4.948554,4.952725,4.955489,4.953756,4.95047,4.941941,4.932312,4.925907,4.916286,4.909468,4.906124,4.903901,4.90411,4.906981,4.910174,4.913265,4.915346,4.916291,4.913335,4.907833,4.898258,4.885778,4.872738,4.861485,4.850636,4.842229,4.835564,4.82789
Taiwan,4.87933,4.876998,4.873853,4.872158,4.871143,4.868781,4.869136,4.870493,4.870985,4.871227,4.870853,4.870909,4.872591,4.874138,4.876784,4.878237,4.879882,4.881129,4.881087,4.881366,4.880671,4.877543,4.873886,4.869762,4.8651,4.857912,4.850946,4.842994,4.834631
Tajikistan,5.162329,5.146799,5.130256,5.115884,5.100646,5.084744,5.068964,5.048169,5.026822,4.999382,4.967272,4.928327,4.875238,4.817277,4.755459,4.69361,4.629499,4.569955,4.517957,4.472507,4.435433,4.407623,4.386023,4.368457,4.355314,4.345597,4.336115,4.328313,4.320241
Tanzania,4.465838,4.43684,4.408518,4.377713,4.347678,4.318388,4.29318,4.268328,4.247374,4.227864,4.214711,4.204762,4.199712,4.197052,4.195876,4.19733,4.198905,4.206816,4.214647,4.222509,4.230287,4.240301,4.250212,4.259467,4.272247,4.285199,4.296697,4.310175,4.32427
Thailand,4.723409,4.730783,4.738255,4.744659,4.751677,4.760907,4.769007,4.781046,4.793844,4.810636,4.829719,4.849501,4.870457,4.892724,4.915238,4.938259,4.96055,4.979908,4.991778,5.002956,5.014557,5.026499,5.039856,5.053216,5.066259,5.077614,5.090642,5.104347,5.117439
Timor-Leste,4.414148,4.403918,4.394039,4.385314,4.377599,4.37282,4.369651,4.367175,4.365325,4.364439,4.367238,4.369471,4.374464,4.3805,4.386415,4.392671,4.399744,4.411944,4.426213,4.423914,4.423069,4.424573,4.422486,4.419917,4.414457,4.408937,4.401989,4.399426,4.401453
Togo,4.625217,4.604917,4.582444,4.557432,4.533031,4.508101,4.485078,4.461612,4.440942,4.420342,4.398613,4.378444,4.356878,4.329923,4.308946,4.290033,4.271516,4.253806,4.238415,4.221982,4.205166,4.187593,4.169999,4.154942,4.138307,4.120536,4.105002,4.089709,4.074214
Tonga,4.647895,4.652162,4.657958,4.662101,4.667304,4.67508,4.685198,4.694434,4.701601,4.708689,4.715135,4.723066,4.731162,4.740291,4.750626,4.762614,4.774391,4.785949,4.800137,4.814511,4.829789,4.845853,4.861333,4.873204,4.882336,4.889909,4.897576,4.904772,4.911098
Trinidad and Tobago,5.035254,5.029675,5.023187,5.012494,4.999942,4.98364,4.961477,4.93573,4.90577,4.876405,4.848134,4.825767,4.806363,4.789381,4.77689,4.765202,4.756612,4.751322,4.74814,4.748143,4.75032,4.753378,4.756425,4.763604,4.772474,4.77972,4.78921,4.79996,4.808126
