"TB prevalence, all forms in HIV+ (per year)",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Honduras,371,417,426,419,404,388,371,354,337,321,305,290,276,263,250,239,228,220
Hungary,3,4,6,8,10,13,16,18,18,18,17,17,16,15,14,13,11,10
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,"1,141","2,337","4,677","8,947","16,212","26,457","37,867","47,309","53,552","56,493","57,678","57,710","57,378","56,995","55,877","54,505","52,951","51,534"
Indonesia,0,0,0,0,0,0,0,13,103,669,"2,098","3,232","3,955","4,709","5,499","6,305","7,144","7,998"
Iran,4,7,11,16,25,37,54,69,91,118,151,182,209,226,231,236,241,243
Iraq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ireland,0,1,1,2,3,5,6,7,8,8,8,8,8,8,8,8,9,9
Israel,5,5,6,6,7,7,8,8,9,9,9,10,10,10,11,11,12,12
Italy,229,218,209,197,189,180,174,169,163,155,150,146,146,142,141,141,141,141
Jamaica,3,4,6,7,9,10,12,13,15,16,17,17,18,19,19,19,20,20
Japan,52,56,61,64,66,67,70,77,81,84,82,80,77,75,72,68,66,63
Jordan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Kazakhstan,1,1,1,2,3,4,7,13,24,40,62,90,124,162,199,230,260,282
Kenya,"5,162","6,372","8,716","11,547","14,993","18,543","22,341","26,949","31,314","35,147","37,466","37,751","38,596","39,850","39,899","36,430","33,178","31,672"
Kiribati,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Kuwait,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Kyrgyzstan,0,0,0,0,0,0,0,3,5,10,16,26,38,51,64,76,86,93
Laos,0,1,2,3,4,5,7,10,14,19,25,34,45,59,76,96,120,147
Latvia,0,0,0,0,0,0,1,2,3,7,12,20,28,33,35,35,33,31
Lebanon,6,7,8,9,10,11,11,10,10,10,10,9,8,8,8,8,9,10
Lesotho,104,222,434,773,"1,224","1,721","2,166","2,627","3,099","3,597","3,918","4,148","4,467","4,674","4,773","4,779","4,804","4,827"
Liberia,104,147,194,241,288,336,388,446,507,564,612,652,685,719,761,821,904,"1,013"
Libyan Arab Jamahiriya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Lithuania,0,0,0,0,1,1,2,4,7,11,15,18,22,22,23,24,25,26
Luxembourg,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Madagascar,3,5,8,14,23,38,61,95,141,197,258,319,377,429,476,518,559,598
Malawi,"2,836","4,750","7,025","9,325","11,438","12,954","13,681","14,732","15,723","16,476","17,262","17,269","17,735","17,859","17,999","17,747","17,088","16,396"
Malaysia,55,80,115,163,230,319,436,582,754,945,"1,145","1,344","1,529","1,693","1,835","1,954","2,086","2,217"
Maldives,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Mali,239,344,486,669,893,"1,150","1,428","1,711","1,980","2,224","2,441","2,629","2,791","2,934","3,063","3,184","3,304","3,420"
Malta,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Mauritania,0,1,2,5,10,20,40,74,128,195,263,322,370,409,442,473,503,533
Mauritius,0,0,0,0,0,0,0,0,0,1,1,1,2,3,5,7,9,9
Mexico,536,601,655,697,724,739,743,739,728,711,689,664,637,609,581,555,529,509
"Micronesia, Fed. Sts.",,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Monaco,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Mongolia,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,4
Montserrat,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Morocco,11,13,16,19,22,25,30,34,38,42,47,52,56,60,63,66,69,71
Mozambique,955,"1,393","1,943","2,685","3,615","4,757","6,021","7,563","9,320","11,301","13,526","15,829","18,060","19,916","21,070","21,641","21,796","21,838"
Myanmar,"1,872","2,402","2,911","3,402","3,866","4,285","4,644","4,936","5,154","5,298","5,369","5,375","5,325","5,226","5,089","4,926","4,746","4,557"
Namibia,245,402,611,890,"1,227","1,615","2,014","2,457","2,918","3,403","3,915","4,413","4,865","5,200","5,366","5,405","5,367","5,347"
Nauru,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Nepal,37,59,91,135,192,257,322,382,433,472,502,523,540,552,563,572,580,588
Netherlands,14,15,17,17,18,18,19,19,19,18,18,18,18,18,18,18,18,18
Netherlands Antilles,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
New Caledonia,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
New Zealand,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Nicaragua,6,8,10,12,14,17,20,23,26,30,33,36,39,41,43,45,46,47
Niger,49,66,90,122,167,228,305,396,493,589,678,761,837,908,975,"1,040","1,102","1,162"
Nigeria,"4,185","6,176","8,546","11,503","14,958","18,856","22,816","27,357","32,245","37,549","43,365","49,157","54,656","58,920","61,236","62,053","61,929","61,678"
Niue,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Northern Mariana Islands,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Norway,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3
Oman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Pakistan,175,217,280,345,453,547,692,847,"1,035","1,236","1,471","1,698","1,960","2,209","2,442","2,659","2,885","3,119"
Palau,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Panama,32,41,50,58,65,71,76,80,84,87,90,93,95,98,100,103,105,109
Papua New Guinea,12,16,22,30,40,54,73,98,132,177,236,314,416,548,717,933,"1,206","1,465"
Paraguay,6,8,11,14,19,24,31,40,49,60,72,84,96,107,119,129,138,147
Peru,472,559,653,749,846,937,"1,023","1,096","1,157","1,202","1,234","1,252","1,257","1,252","1,239","1,222","1,198","1,178"
Philippines,0,0,0,0,0,0,0,0,2,7,20,52,115,213,314,380,418,437
Poland,6,9,14,20,28,38,49,60,70,78,82,87,91,92,91,88,89,88
Portugal,233,271,307,346,381,413,430,446,447,435,418,420,415,398,367,349,331,312
Puerto Rico,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Qatar,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
"Korea, Rep.",0,0,0,0,30,31,32,32,32,38,77,93,120,131,158,174,190,206
Moldova,0,0,0,0,0,0,0,1,1,2,5,9,16,28,44,64,83,99
Romania,12,40,78,117,162,208,237,264,291,327,353,380,392,396,381,360,331,299
Russian Federation,0,0,2,5,13,39,109,280,689,"1,610","3,444","5,960","8,376","10,138","11,319","11,977","12,495","12,857"
Rwanda,"3,680","3,901","3,850","3,743","3,699","3,814","4,098","4,654","5,382","6,176","6,942","7,552","7,978","8,124","7,996","7,727","7,414","7,235"
Saint Kitts and Nevis,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Saint Lucia,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Saint Vincent and the Grenadines,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Samoa,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
San Marino,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Sao Tome and Principe,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Saudi Arabia,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Senegal,63,79,99,125,157,197,247,309,385,478,590,723,879,"1,060","1,270","1,512","1,789","2,101"
Seychelles,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Sierra Leone,92,174,291,430,562,675,772,865,970,"1,103","1,277","1,502","1,777","2,087","2,413","2,737","3,049","3,350"
Singapore,0,1,2,2,4,6,8,11,14,17,17,19,19,20,20,19,20,20
Slovakia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Slovenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Solomon Islands,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Somalia,29,43,63,90,125,171,226,289,356,422,483,536,582,622,656,686,714,741
South Africa,"4,467","6,955","10,554","15,387","21,363","28,222","35,823","44,664","55,801","70,602","89,364","110,105","129,289","144,222","154,544","161,199","165,288","167,799"
Spain,618,649,655,636,625,605,592,580,563,538,523,514,521,512,514,518,520,522
Sri Lanka,1,1,2,2,2,2,3,3,3,3,4,4,4,4,4,4,5,5
Sudan,"1,216","1,756","2,099","2,306","2,458","2,595","2,744","2,908","3,092","3,292","3,501","3,715","3,925","4,134","4,339","4,541","4,747","4,963"
Suriname,2,2,2,3,4,5,7,10,15,18,21,24,28,34,40,47,55,63
Swaziland,101,171,273,425,643,930,"1,282","1,687","2,122","2,753","3,306","3,881","4,296","4,726","5,018","5,141","5,317","5,490"
Sweden,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,7
Switzerland,35,37,36,35,34,33,31,30,30,28,25,23,24,24,23,22,21,20
Syrian Arab Republic,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Tajikistan,0,0,0,0,1,2,4,7,11,17,27,44,68,97,137,182,241,307
Thailand,"4,462","6,237","7,457","8,343","8,880","9,154","9,249","9,207","9,083","8,870","8,608","8,297","8,047","7,844","7,757","7,735","7,687","7,741"
"Macedonia, FYR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Timor-Leste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Togo,397,609,891,"1,211","1,530","1,820","2,080","2,317","2,535","2,734","2,915","3,079","3,229","3,372","3,514","3,658","3,811","3,985"
Tokelau,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Tonga,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Trinidad and Tobago,2,3,4,5,6,8,9,10,10,11,11,12,12,12,13,13,13,13
Tunisia,2,3,3,4,5,6,6,7,8,9,9,10,10,11,13,14,16,17
Turkey,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Turkmenistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Turks and Caicos Islands,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Tuvalu,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Uganda,"8,598","13,767","15,480","17,278","18,175","19,212","19,083","19,499","19,920","19,764","20,697","21,821","23,341","23,836","23,085","22,108","20,842","19,688"
Ukraine,0,14,15,16,17,54,278,702,"1,158","1,466","1,851","2,295","2,773","3,238","3,697","4,358","4,546","4,745"
United Arab Emirates,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
United Kingdom,16,19,23,27,31,35,40,46,52,58,64,74,82,95,109,127,141,155
Tanzania,"8,531","10,734","12,942","15,164","17,589","20,189","22,473","24,585","25,990","27,301","28,886","29,973","30,879","30,667","30,437","29,737","28,921","28,116"
Virgin Islands (U.S.),,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
United States of America,"1,057","1,178","1,218","1,214","1,167","1,113","1,049",984,931,882,852,819,803,786,778,767,753,741
Uruguay,8,10,12,14,16,19,22,25,29,32,36,39,42,45,48,51,53,56
Uzbekistan,0,0,0,0,0,0,1,2,3,6,12,25,49,86,138,208,271,323
Vanuatu,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Venezuela,48,61,76,94,115,140,168,200,235,272,312,353,393,434,474,512,547,580
Viet Nam,44,72,111,179,298,469,726,"1,090","1,583","2,198","2,894","3,603","4,261","4,809","5,252","5,588","5,843","6,026"
Wallis et Futuna,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
West Bank and Gaza,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Yemen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Zambia,"6,392","8,781","11,426","13,652","15,531","17,191","18,289","19,498","20,253","21,434","21,837","23,193","23,797","25,004","24,287","23,342","22,140","20,977"
Zimbabwe,"10,364","12,854","15,002","17,231","19,388","21,600","23,555","25,922","28,459","31,211","34,208","37,003","39,355","40,670","40,570","39,458","37,739","35,980"
