Billionaires per million inhabitants,2004,2005,2006,2007
"Macao, China",0,0,0,0
"Macedonia, FYR",0,0,0,0
Madagascar,0,0,0,0
Malawi,0,0,0,0
Malaysia,0.2125626029,0.2504891218,0.3280589922,0.3625920107
Maldives,0,0,0,0
Mali,0,0,0,0
Malta,0,0,0,0
Marshall Islands,0,0,0,0
Martinique,0,0,0,0
Mauritania,0,0,0,0
Mauritius,0,0,0,0
Mayotte,0,0,0,0
Mexico,0.1048022347,0.0941593847,0.093066954,0.09199556607
"Micronesia, Fed. Sts.",0,0,0,0
Moldova,0,0,0,0
Monaco,0,30.85562652,30.7285745,30.60818463
Mongolia,0,0,0,0
Montenegro,0,0,0,0
Montserrat,0,0,0,0
Morocco,0,0,0,0
Mozambique,0,0,0,0
Myanmar,0,0,0,0
Namibia,0,0,0,0
Nauru,0,0,0,0
Nepal,0,0,0,0
Netherlands,0.2451250901,0.243791083,0.2425497656,0.2413911905
Netherlands Antilles,0,0,0,0
New Caledonia,0,0,0,0
New Zealand,0,0,0.4906602815,0.7289035274
Ngorno-Karabakh,0,0,0,0
Nicaragua,0,0,0,0
Niger,0,0,0,0
Nigeria,0,0,0,0
Niue,0,0,0,0
Norfolk Island,0,0,0,0
Northern Cyprus,0,0,0,0
Northern Mariana Islands,0,0,0,0
Norway,0.8744010353,0.8708827115,0.8675246485,0.8643180552
Oman,0,0,0,0.3120225081
Pakistan,0,0,0,0
Palau,0,0,0,0
Panama,0,0,0,0
Papua New Guinea,0,0,0,0
Paraguay,0,0,0,0
Peru,0,0,0,0
Philippines,0.02319063828,0.03414621315,0.03353128827,0.03293905757
Pitcairn,0,0,0,0
Poland,0,0.05186993179,0.0778475283,0.1298086276
Portugal,0.1900391908,0.09464129624,0.09428740877,0.0939599182
Puerto Rico,0,0,0,0
Qatar,0,0,0,0
Reunion,0,0,0,0
Romania,0,0,0,0.04489125005
Russia,0.1736423921,0.1882578568,0.2309411608,0.3722707854
Rwanda,0,0,0,0
Saint Barthélemy,0,0,0,0
Saint Helena,0,0,0,0
Saint Kitts and Nevis,0,0,0,0
Saint Lucia,0,0,0,0
Saint Martin,0,0,0,0
Saint Vincent and the Grenadines,0,0,0,0
Saint-Pierre-et-Miquelon,0,0,0,0
Samoa,0,0,0,0
San Marino,0,0,0,0
Sao Tome and Principe,0,0,0,0
Saudi Arabia,0.3101263462,0.2649748753,0.4071099005,0.4709967792
Senegal,0,0,0,0
Serbia,0,0,0,0.0985195953
Serbia and Montenegro,0,0,0,0
Serbia excluding Kosovo,0,0,0,0
Seychelles,0,0,0,0
Sierra Leone,0,0,0,0
Singapore,1.148397538,0.903807742,0.8904422159,0.8785398843
Slovak Republic,0,0,0,0
Slovenia,0,0,0,0
Solomon Islands,0,0,0,0
Somalia,0,0,0,0
Somaliland,0,0,0,0
South Africa,0.04499592449,0.06765268806,0.06789229304,0.06818518405
South Ossetia,0,0,0,0
Spain,0.198605886,0.2478839265,0.2475379749,0.4944596904
Sri Lanka,0,0,0,0
Sudan,0,0,0,0
Suriname,0,0,0,0
Svalbard,0,0,0,0
Swaziland,0,0,0,0
Sweden,0.8902341316,0.9998029277,0.8872527947,0.8858290385
Switzerland,0.9394879817,1.068180635,1.063273548,1.058948906
Syria,0,0,0,0
Taiwan,0.4395635696,0.3057518385,0.2170507517,0.3452100849
Tajikistan,0,0,0,0
Tanzania,0,0,0,0
Thailand,0.03138168687,0.04673952694,0.04641692658,0.04610550701
Timor-Leste,0,0,0,0
Togo,0,0,0,0
Tokelau,0,0,0,0
Tonga,0,0,0,0
Transnistria,0,0,0,0
Trinidad and Tobago,0,0,0,0
Tunisia,0,0,0,0
Turkey,0.08709041631,0.1148426041,0.2982363241,0.3513276468
Turkmenistan,0,0,0,0
Turks and Caicos Islands,0,0,0,0
Tuvalu,0,0,0,0
Uganda,0,0,0,0
Ukraine,0,0.06383418093,0.06422495381,0.150745407
United Arab Emirates,0.792419713,0.7802710037,1.921072358,1.89210033
United Kingdom,0.2820607317,0.397078449,0.3959797953,0.4771601691
United States,0.9453035394,1.153062703,1.243113391,1.378096809
Uruguay,0,0,0,0
USSR,0,0,0,0
Uzbekistan,0,0,0,0
Wallis et Futuna,0,0,0,0
Vanuatu,0,0,0,0
Venezuela,0.07994440027,0.07881686118,0.07772896183,0.0766734106
West Bank and Gaza,0,0,0,0
West Germany,0,0,0,0
Western Sahara,0,0,0,0
Vietnam,0,0,0,0
Virgin Islands (U.S.),0,0,0,0
Yemen Arab Republic (Former),0,0,0,0
Yemen Democratic (Former),0,0,0,0
"Yemen, Rep.",0,0,0,0
Yugoslavia,0,0,0,0
Zambia,0,0,0,0
Zimbabwe,0,0,0,0
Åland,0,0,0,0
