"TB incidence, all forms in HIV+ (per year)",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Guyana,27,43,47,73,95,128,144,141,145,142,152,172,196,217,222,232,232,233
Haiti,"2,670","3,355","3,894","4,328","4,659","4,888","5,063","5,201","5,364","5,538","5,687","5,838","5,982","6,113","6,235","6,384","6,539","6,713"
Honduras,741,835,853,837,809,775,742,708,675,642,610,581,552,525,500,477,456,440
Hungary,6,8,12,16,21,26,32,35,37,36,35,34,33,31,28,25,22,20
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,"2,282","4,674","9,353","17,894","32,424","52,913","75,734","94,617","107,104","112,987","115,355","115,419","114,756","113,989","111,753","109,009","105,902","103,068"
Indonesia,0,0,0,0,0,0,0,26,207,"1,338","4,196","6,465","7,910","9,417","10,997","12,611","14,289","15,996"
Iran,8,13,22,32,50,74,108,139,181,236,302,365,418,452,462,471,482,485
Iraq,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Ireland,1,1,3,4,7,9,11,13,15,16,16,15,15,15,16,17,17,18
Israel,9,10,11,12,13,14,16,17,18,18,19,19,21,21,22,22,23,24
Italy,458,436,418,394,379,361,348,338,327,310,299,292,292,285,283,283,282,282
Jamaica,7,9,11,14,18,21,24,27,29,31,33,35,36,37,38,39,39,40
Japan,103,112,122,128,132,134,141,153,162,168,165,160,154,149,144,137,132,126
Jordan,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Kazakhstan,1,2,2,3,5,8,15,27,48,81,124,180,248,325,399,460,519,563
Kenya,"10,324","12,743","17,432","23,094","29,985","37,086","44,683","53,898","62,627","70,293","74,933","75,502","77,193","79,700","79,798","72,859","66,355","63,345"
Kiribati,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Kuwait,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Kyrgyzstan,0,0,0,0,0,0,0,6,11,19,33,52,76,102,127,152,171,186
Laos,0,3,4,6,8,11,15,20,27,37,50,68,90,117,152,193,241,295
Latvia,0,0,0,0,0,1,1,3,7,13,24,40,56,66,70,70,67,62
Lebanon,12,13,15,17,20,22,21,20,20,20,20,18,17,16,16,16,18,20
Lesotho,208,444,867,"1,546","2,449","3,442","4,333","5,253","6,199","7,194","7,835","8,296","8,933","9,347","9,545","9,558","9,608","9,653"
Liberia,208,294,387,482,575,671,777,893,"1,014","1,127","1,224","1,304","1,371","1,438","1,522","1,642","1,807","2,025"
Libyan Arab Jamahiriya,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Lithuania,0,0,0,1,1,2,5,9,15,22,29,36,43,45,46,47,50,53
Luxembourg,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2
Madagascar,5,9,16,27,46,76,123,191,282,393,516,638,753,858,951,"1,036","1,118","1,196"
Malawi,"5,671","9,499","14,049","18,650","22,876","25,908","27,361","29,464","31,446","32,952","34,524","34,537","35,470","35,718","35,997","35,494","34,176","32,791"
Malaysia,110,159,229,327,460,637,872,"1,164","1,508","1,891","2,291","2,689","3,057","3,387","3,670","3,908","4,172","4,433"
Maldives,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
Mali,477,688,973,"1,338","1,785","2,299","2,855","3,422","3,960","4,448","4,882","5,257","5,581","5,868","6,126","6,369","6,609","6,840"
Malta,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2
Mauritania,1,2,4,9,19,40,79,149,255,389,526,644,740,817,885,947,"1,005","1,065"
Mauritius,0,0,0,0,0,0,0,0,1,1,2,3,4,7,10,14,18,18
Mexico,"1,071","1,202","1,311","1,393","1,449","1,478","1,486","1,478","1,455","1,422","1,379","1,329","1,274","1,218","1,162","1,109","1,058","1,017"
"Micronesia, Fed. Sts.",,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Monaco,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Mongolia,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,6,8
Montserrat,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Morocco,22,26,32,38,43,51,59,68,76,85,94,104,111,120,127,132,137,141
Mozambique,"1,911","2,785","3,886","5,370","7,229","9,513","12,042","15,126","18,639","22,603","27,053","31,658","36,120","39,831","42,141","43,282","43,591","43,676"
Myanmar,"3,745","4,804","5,822","6,803","7,732","8,570","9,289","9,871","10,307","10,595","10,739","10,749","10,650","10,452","10,177","9,852","9,492","9,114"
Namibia,490,804,"1,222","1,780","2,455","3,231","4,028","4,913","5,836","6,805","7,831","8,826","9,731","10,400","10,731","10,810","10,734","10,695"
Nauru,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Nepal,74,119,183,270,384,513,644,764,865,944,"1,003","1,047","1,079","1,105","1,127","1,145","1,160","1,175"
Netherlands,28,31,33,34,36,36,37,38,37,36,36,36,36,35,35,36,36,36
Netherlands Antilles,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
New Caledonia,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
New Zealand,4,4,4,4,4,5,4,4,5,5,5,4,4,4,4,4,4,4
Nicaragua,13,16,19,23,28,33,39,46,53,59,66,72,78,83,87,90,93,94
Niger,98,132,179,244,334,455,610,792,986,"1,178","1,357","1,522","1,674","1,817","1,951","2,080","2,203","2,324"
Nigeria,"8,370","12,352","17,092","23,006","29,917","37,712","45,631","54,713","64,490","75,098","86,730","98,315","109,311","117,840","122,472","124,106","123,859","123,356"
Niue,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Northern Mariana Islands,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Norway,4,4,4,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6
Oman,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Pakistan,350,435,560,691,906,"1,094","1,383","1,693","2,070","2,472","2,943","3,395","3,919","4,417","4,885","5,318","5,770","6,238"
Palau,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Panama,65,82,99,115,129,141,151,160,167,174,180,186,191,196,200,205,210,218
Papua New Guinea,23,32,44,60,81,108,146,197,264,353,472,628,832,"1,095","1,434","1,865","2,411","2,930"
Paraguay,12,16,22,29,38,49,63,79,99,120,143,167,192,215,237,257,276,293
Peru,944,"1,119","1,306","1,499","1,691","1,875","2,046","2,193","2,313","2,405","2,467","2,504","2,514","2,504","2,478","2,443","2,397","2,356"
Philippines,0,0,0,0,0,0,0,0,5,15,39,104,229,426,627,761,837,874
Poland,12,18,28,40,57,76,97,120,139,155,165,173,181,184,181,177,177,177
Portugal,465,543,614,692,762,826,860,892,894,871,835,839,830,795,733,699,662,625
Puerto Rico,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Qatar,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
"Korea, Rep.",0,0,0,0,60,63,64,63,65,75,154,185,240,262,315,348,380,413
Moldova,0,0,0,0,0,0,1,1,2,5,10,18,33,56,88,128,167,198
Romania,25,81,157,235,324,416,474,527,581,653,705,760,784,791,763,720,661,598
Russian Federation,1,1,3,9,26,78,219,560,"1,377","3,220","6,888","11,921","16,752","20,276","22,638","23,954","24,991","25,715"
Rwanda,"7,359","7,803","7,700","7,487","7,397","7,627","8,195","9,309","10,765","12,353","13,884","15,103","15,956","16,247","15,992","15,454","14,829","14,469"
Saint Kitts and Nevis,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Saint Lucia,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Saint Vincent and the Grenadines,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Samoa,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
San Marino,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Sao Tome and Principe,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Saudi Arabia,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Senegal,125,157,198,250,314,394,494,618,771,956,"1,181","1,446","1,758","2,120","2,540","3,025","3,578","4,203"
Seychelles,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Sierra Leone,184,347,582,859,"1,123","1,349","1,544","1,730","1,939","2,207","2,554","3,005","3,554","4,174","4,826","5,474","6,097","6,700"
Singapore,0,2,3,5,8,11,16,23,29,34,35,37,39,40,40,39,39,40
Slovakia,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Slovenia,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Solomon Islands,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Somalia,58,86,125,179,250,341,452,578,712,844,965,"1,072","1,164","1,243","1,311","1,373","1,428","1,481"
South Africa,"8,934","13,911","21,107","30,775","42,725","56,444","71,646","89,329","111,601","141,204","178,727","220,209","258,579","288,443","309,089","322,398","330,576","335,598"
Spain,"1,237","1,298","1,310","1,273","1,250","1,211","1,185","1,159","1,126","1,075","1,046","1,028","1,042","1,025","1,028","1,035","1,039","1,044"
Sri Lanka,2,3,3,4,4,5,5,6,6,7,7,8,8,8,9,9,9,9
Sudan,"2,431","3,513","4,199","4,613","4,916","5,190","5,488","5,816","6,183","6,584","7,003","7,430","7,849","8,268","8,677","9,082","9,494","9,927"
Suriname,4,5,5,6,8,10,14,20,29,37,42,48,56,68,79,94,110,125
Swaziland,201,343,546,850,"1,286","1,859","2,564","3,373","4,243","5,506","6,612","7,762","8,592","9,452","10,036","10,282","10,634","10,980"
Sweden,7,8,9,10,11,10,10,10,10,10,10,9,9,9,11,12,13,13
Switzerland,70,75,72,70,68,65,61,60,60,56,51,47,47,48,46,44,42,39
Syrian Arab Republic,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Tajikistan,0,0,0,0,3,5,9,14,22,35,55,88,136,195,275,364,483,614
Thailand,"8,924","12,475","14,914","16,687","17,760","18,308","18,498","18,413","18,167","17,740","17,216","16,595","16,094","15,688","15,513","15,469","15,374","15,481"
"Macedonia, FYR",,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Timor-Leste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Togo,794,"1,219","1,782","2,422","3,060","3,640","4,161","4,633","5,070","5,468","5,829","6,157","6,458","6,744","7,028","7,317","7,621","7,970"
Tokelau,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Tonga,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Trinidad and Tobago,4,5,7,10,13,15,18,19,21,22,23,24,24,25,25,25,26,26
Tunisia,5,5,7,8,10,11,13,14,16,17,18,19,21,23,26,28,31,34
Turkey,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Turkmenistan,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Turks and Caicos Islands,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Tuvalu,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Uganda,"17,197","27,534","30,959","34,555","36,350","38,423","38,167","38,998","39,840","39,527","41,394","43,642","46,681","47,672","46,169","44,215","41,685","39,377"
Ukraine,0,27,30,32,35,108,557,"1,405","2,316","2,931","3,702","4,590","5,546","6,476","7,394","8,715","9,093","9,491"
United Arab Emirates,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
United Kingdom,32,38,46,54,61,70,80,92,103,116,128,148,164,189,218,255,282,311
Tanzania,"17,063","21,469","25,883","30,329","35,177","40,377","44,946","49,170","51,981","54,602","57,773","59,946","61,758","61,335","60,874","59,475","57,842","56,233"
Virgin Islands (U.S.),,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
United States of America,"2,115","2,356","2,435","2,428","2,335","2,226","2,098","1,969","1,862","1,765","1,704","1,639","1,606","1,573","1,556","1,535","1,507","1,483"
Uruguay,17,20,24,28,33,38,44,51,57,64,71,78,85,91,96,102,107,111
Uzbekistan,0,0,0,0,0,1,2,3,6,13,25,50,97,172,275,417,542,646
Vanuatu,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Venezuela,97,122,152,188,230,279,336,400,470,545,624,705,787,867,947,"1,023","1,093","1,160"
Viet Nam,88,144,222,358,595,938,"1,451","2,179","3,166","4,395","5,788","7,206","8,521","9,619","10,504","11,176","11,686","12,052"
Wallis et Futuna,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
West Bank and Gaza,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Yemen,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Zambia,"12,783","17,562","22,853","27,304","31,062","34,381","36,579","38,997","40,505","42,868","43,675","46,386","47,594","50,007","48,575","46,684","44,281","41,954"
Zimbabwe,"20,727","25,709","30,004","34,463","38,775","43,200","47,110","51,844","56,918","62,423","68,416","74,006","78,710","81,341","81,141","78,916","75,477","71,961"
