One-year-olds immunized with three doses of diphtheria tetanus toxoid and pertussis (DTP3) (%),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Togo,,9,14,18,11,24,37,61,54,72,77,73,69,66,62,58,50,42,42,57,64,50,59,72,71,82,84,82,81,78,81,81
Tokelau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tonga,40,37,52,63,51,92,75,99,92,93,94,88,99,96,89,95,99,96,97,94,95,94,90,98,99,99,99,99,99,99,99,99
Transnistria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,26,62,54,60,65,75,70,79,82,77,82,82,87,81,85,89,89,90,91,90,90,91,96,91,94,95,92,88,90,90,90,90
Tunisia,,,,62,66,70,72,84,91,93,93,93,95,94,93,94,95,96,96,99,97,98,96,95,97,98,99,98,99,99,98,98
Turkey,42,64,58,56,56,55,45,86,86,79,84,72,77,76,87,67,72,79,81,79,85,88,78,68,85,90,90,96,96,96,97,97
Turkmenistan,,,,,,,,,,,,,84,73,90,93,97,98,99,98,97,95,98,83,97,99,98,98,96,96,96,97
Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuvalu,36,49,72,79,37,52,73,59,89,85,99,74,70,80,99,87,97,77,94,83,82,96,98,93,98,93,97,97,99,88,89,96
Uganda,,9,12,14,14,14,21,30,38,42,45,49,53,56,60,59,57,56,48,50,52,55,57,59,62,64,64,73,71,79,80,82
Ukraine,,,,,,,,,,,,,88,93,97,98,99,99,98,99,99,99,99,97,99,96,98,98,90,71,52,50
United Arab Emirates,11,45,43,50,59,76,78,80,82,84,85,85,86,90,90,90,90,92,94,94,94,94,94,94,94,94,92,92,92,93,94,94
United Kingdom,41,46,53,59,65,65,67,73,75,78,84,88,92,93,93,94,94,92,91,92,91,91,91,91,92,91,92,92,92,93,94,95
United States,96,96,96,97,97,96,97,97,97,94,90,86,83,88,94,95,95,96,96,96,94,94,94,96,96,96,95,95,95,94,94,94
Uruguay,53,57,67,73,62,63,70,85,82,88,97,96,93,92,91,91,91,91,91,93,90,94,95,91,94,96,95,94,94,95,95,95
USSR,95,95,92,89,89,85,79,75,72,68,68,79,,,,,,,,,,,,,,,,,,,,
Uzbekistan,,,,,,,,,,,,,90,45,67,87,95,96,99,99,99,99,99,98,99,99,96,96,98,98,99,99
Wallis et Futuna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vanuatu,,,22,27,28,30,31,56,58,61,76,83,77,86,74,73,67,72,72,71,71,70,70,69,69,68,68,68,68,68,68,68
Venezuela,56,54,53,58,33,49,58,57,56,57,63,64,67,67,63,68,57,60,39,76,77,70,65,68,86,87,71,62,50,84,78,78
West Bank and Gaza,,,,,,,,,,,,,,94,98,99,97,96,98,89,93,97,97,98,96,96,96,99,96,97,99,99
West Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Sahara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vietnam,,,,4,5,42,43,50,70,88,88,88,88,91,94,93,94,95,94,93,96,96,75,99,96,95,94,92,93,96,93,95
Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Yemen (former),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Yemen (former),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yemen,1,3,4,5,7,12,13,18,36,56,84,47,50,54,33,44,47,40,68,72,76,76,69,66,78,85,85,87,87,86,87,81
Yugoslavia,,90,88,85,89,89,90,90,91,90,84,79,,,,,,,,,,,,,,,,,,,,
Zambia,,,,49,59,66,66,83,83,83,91,79,83,86,90,86,84,83,84,84,85,85,84,83,83,82,81,80,87,94,83,81
Zimbabwe,,39,46,53,60,63,75,84,85,87,88,87,86,85,87,88,90,86,84,81,79,76,73,70,68,65,68,72,75,84,94,99
Åland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46
Christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coastline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curaçao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sint Maarten (Dutch part),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Martin (French part),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antarctica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Virgin Islands, British",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawaiian Trade Zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. Pacific Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wake Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
