Oil Consumption per capita (tonnes per year),1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Saudi Arabia,4.089589522,3.982744198,3.876355303,3.768478124,3.656578746,3.539422223,3.417493726,3.489031496,3.523857498,3.508113104,2.499646681,2.772021714,3.053829616,3.100757877,3.550388689,3.053804657,3.436022558,3.574507238,3.717571664,3.667098359,3.460388689,3.187296862,3.212732988,3.14495269,2.992648417,3.081106122,3.221488799,2.890159418,2.836947927,3.082711589,2.86291887,2.978179133,3.025930254,3.188343102,3.240166683,3.396804265,3.352720702,3.288043343,3.381980267,3.423536215,3.451934885,3.526032769,3.768907884,3.982363765,4.37164911,4.572267808
Singapore,2.03717783,2.327839071,2.861440483,3.504865784,3.377709767,3.627599261,3.133122692,3.832496223,3.516927695,3.409236208,3.276103188,3.803769646,3.750028583,3.798615777,4.037947955,3.938186744,4.435569156,4.22853783,4.354257227,4.496102886,4.445038429,5.122830098,5.223144641,5.931670873,6.62852958,7.707954322,7.642931925,7.740640588,8.134038243,9.050103885,9.180354048,8.464053357,8.828578146,8.853409081,8.209498132,8.539024826,9.14956106,8.805081671,8.303373674,9.169122904,9.578061317,9.985712553,10.34192721,10.46453283,11.34331316,12.22864499
Slovak Republic,0.5289663151,0.579511275,0.6400010874,0.7010674179,0.7473599426,0.8901473067,0.9718341863,1.055296075,1.176443639,1.195882414,1.306460046,1.367068913,1.414499985,1.448113743,1.457119237,1.34391942,1.31323556,1.18874889,1.155432334,1.216839938,1.201895027,1.153948352,1.128938298,1.096512642,1.080260208,0.9423021166,0.8224392721,0.7375562316,0.6080008337,0.6253540731,0.6036625048,0.6316896332,0.6295113356,0.7013742859,0.6352115675,0.6309154102,0.5896011592,0.6543812852,0.6159896265,0.588394111,0.7066758059,0.7284970718,0.7615576874,0.7864475133,0.67865402,0.6773927847
South Africa,0.2829322317,0.2997759577,0.3177459659,0.3368920253,0.3611693879,0.3813831347,0.4062911246,0.4314076752,0.4635362298,0.4397242872,0.4546546928,0.4481682815,0.4330681943,0.4439850861,0.4107783732,0.4121100302,0.4351145888,0.4294182012,0.4224472062,0.4486260594,0.4279729369,0.403831583,0.4178536101,0.4512047531,0.4576514484,0.4518139376,0.4435815901,0.4473132647,0.4538559044,0.4636668963,0.4845129751,0.4907323499,0.4887417838,0.4883695679,0.4937089324,0.5031235213,0.5067022325,0.5134802139,0.5193714685,0.5250489607,0.5183432387,0.5225787992,0.5280534998,0.5331282969,0.4964674133,0.5046594529
Spain,0.4425299533,0.5178602929,0.6206789538,0.6527877612,0.735731585,0.8305574841,0.9043583263,0.9417384289,1.1198571,1.162240166,1.193443938,1.338316657,1.246726378,1.258563612,1.321262828,1.390920216,1.333721918,1.257364971,1.251402966,1.167948422,1.114456676,1.10720498,1.15654162,1.181513152,1.239337687,1.253202756,1.266495263,1.351623272,1.308969702,1.359433735,1.429128192,1.485089339,1.565365062,1.672067872,1.711435932,1.737520005,1.784334932,1.783838723,1.796844895,1.816901452,1.816412005,1.774528614,1.767247811,1.707494783,1.658701358,1.616859122
Sweden,2.450089559,2.755492997,2.673757344,2.996317599,3.354559856,3.630558811,3.389006631,3.449183609,3.548407416,3.207586554,3.149195326,3.528438545,3.395461384,3.191265217,3.291296366,2.984188494,2.692545232,2.463681869,2.21002916,2.099971608,2.197501626,2.23410018,2.03122372,1.923476931,1.934455648,1.915799463,1.801031459,1.889462851,1.844169296,1.934590038,1.822826891,1.968822327,1.815803009,1.830412362,1.820957207,1.720399185,1.713187148,1.702234068,1.779664507,1.701098189,1.666921244,1.706467935,1.606221949,1.573368127,1.56801928,1.545893802
Switzerland,1.378597248,1.445214196,1.546019663,1.697443844,1.826313901,2.02994785,2.13473092,2.171017554,2.321258721,2.055097623,1.968392751,2.044528004,2.058988052,2.123126129,2.041600767,2.037965233,1.878702183,1.767675493,1.922994891,1.842896502,1.862169123,2.029538424,1.898089615,1.891627547,1.80162211,1.911522448,1.924747749,1.928331118,1.786609311,1.828987644,1.68079511,1.729934005,1.81031391,1.82807466,1.765792224,1.70328637,1.814514926,1.708620636,1.650728239,1.632335679,1.650613277,1.680595312,1.503683319,1.592699867,1.613916738,1.487412187
Taiwan,0.1667437201,0.1924780422,0.2234595941,0.2609225039,0.3059095365,0.3599123168,0.5042230862,0.5351372652,0.6655287904,0.5923281092,0.6702642352,0.8381762918,0.9169496574,1.043536699,1.031919771,1.10281264,0.9913627111,0.9418950327,0.921289156,0.8977624063,0.8742824637,0.9690120679,1.005516753,1.162144573,1.288796516,1.38839639,1.378669822,1.437741819,1.511286364,1.601346892,1.711181071,1.686874872,1.767858404,1.788928964,2.144384451,2.214936528,2.124005955,2.121033362,2.256213769,2.269027451,2.261967314,2.269503248,2.296677545,2.186952271,1.919561243,2.006514658
Thailand,0.07234355337,0.08296806837,0.08950665224,0.1147438621,0.120791376,0.1368805542,0.1480352491,0.1810298558,0.1864524157,0.1852641545,0.1945803316,0.2001463459,0.2198331889,0.241326283,0.2387708188,0.2439207101,0.2278566684,0.2022762134,0.2222319792,0.2268522129,0.210649372,0.212224419,0.2349702585,0.2612581286,0.3021588018,0.344213976,0.3699781321,0.4049052408,0.456544446,0.5035120349,0.5723874289,0.6073207105,0.6007343845,0.5350599266,0.534701614,0.5024619655,0.4793354826,0.5116878132,0.5364823527,0.5919584208,0.6053601699,0.5835767954,0.5633780299,0.5382537161,0.7262817133,0.7262496753
Turkey,0.1577046346,0.13969649,0.1681796422,0.1874514028,0.2034215675,0.2176561397,0.2469806396,0.2703339608,0.3280993177,0.3226667075,0.3395912895,0.3805499327,0.4023835921,0.3627428802,0.3412267265,0.3362414096,0.3416130571,0.3568983585,0.3436343124,0.3511530514,0.3393952546,0.3631814857,0.4082443111,0.4258347203,0.3902760714,0.408791621,0.4009524072,0.4193914569,0.4731391446,0.4455436509,0.4821739445,0.4973088653,0.4933105137,0.4798464025,0.4698160945,0.4880251988,0.4625616203,0.4680029762,0.4671881956,0.4615323739,0.4430534845,0.4267093006,0.4356549108,0.4560127055,0.3925050356,0.3944891108
Turkmenistan,,,,,,,,,,,,,,,,,,,,,1.486298649,1.057080856,1.031294589,1.005723339,0.9799588748,1.199563795,1.325433748,1.344161848,0.7492640754,0.7288466009,0.6463690392,0.6975670679,0.7050291387,0.7701420588,0.8072949618,0.7893066609,0.809800742,0.834548345,0.9068588218,0.8969992363,0.9261055398,1.095203575,1.109415348,1.117902056,1.084408772,1.11067147
Ukraine,,,,,,,,,,,,,,,,,,,,,1.236521814,1.238064123,1.284589459,1.177714493,1.124583754,1.219868427,1.112934485,0.8249783458,0.4811174403,0.3853832015,0.3697058562,0.2796744267,0.2741204221,0.286702049,0.2572615308,0.2454399708,0.2621352793,0.2725245609,0.2837965935,0.2934543128,0.2962639721,0.3224066889,0.33163916,0.3364504036,0.2909328905,0.2552349064
United Arab Emirates,,,,0.3151643831,0.4719136845,0.8759287866,0.8586242198,0.9973115948,1.224057293,1.605185985,2.039156299,2.573711943,3.275910604,3.227994949,3.151781517,5.289167392,5.414992222,5.490194723,5.155210962,4.506610582,5.324684952,6.088377002,6.055583466,7.082668997,6.855710635,7.042853146,8.650589692,8.372991344,8.156180127,8.169799998,7.646881742,7.244593031,6.809209645,5.223740037,4.736216784,4.213956791,4.648445438,4.869893947,4.801586847,4.74297452,4.487204219,4.183602389,3.821264144,3.692346063,4.294681441,4.299964455
United Kingdom,1.365651112,1.453773614,1.551368995,1.637083117,1.755332281,1.861250321,1.868021066,1.975120137,2.018974008,1.873895443,1.636778298,1.623512758,1.634801416,1.670342776,1.679414491,1.435109749,1.325697251,1.341111924,1.284743963,1.587830287,1.370014793,1.366654189,1.324319923,1.405431903,1.432432826,1.448654409,1.438217423,1.452643776,1.456303972,1.433679338,1.412188621,1.443096896,1.394542419,1.378966013,1.352907591,1.334542308,1.327323363,1.315116922,1.325926782,1.364110218,1.378840281,1.359754527,1.30125267,1.284173505,1.206767337,1.188028094
United States,2.752199035,2.854667071,2.924442078,3.089630374,3.21712463,3.316037351,3.403123637,3.638169862,3.801889062,3.604353027,3.495517045,3.718348147,3.877978126,3.942795224,3.813412098,3.455263712,3.215013785,3.011770082,2.980372697,3.028862409,2.986760715,3.077408266,3.10989309,3.207721803,3.170358475,3.086065326,2.99278353,3.028718303,3.026599495,3.073545876,3.032887968,3.105292419,3.110374906,3.129708662,3.182570371,3.177531759,3.138106756,3.110778848,3.131791065,3.22635885,3.205218824,3.150582247,3.117270453,2.900202094,2.707949097,2.738543683
Uzbekistan,,,,,,,,,,,,,,,,,,,,,0.6273198136,0.6277758002,0.5813359783,0.7003155893,0.6538413466,0.6141773183,0.5236757621,0.3945104902,0.3446877636,0.3031130377,0.29485993,0.2846134987,0.2980836505,0.2934834286,0.2838642929,0.2690952917,0.260516736,0.2490600604,0.2805077481,0.253849085,0.2111193046,0.1950504638,0.2044904222,0.2057788061,0.1769385452,0.1821845251
Venezuela,1.030054089,1.007717228,0.9812028014,1.003075204,0.969296451,0.9733464486,0.984703999,1.028699455,1.098862913,1.034667654,0.9630931021,1.027798051,1.240965029,1.283132234,1.29464678,1.296863924,1.241530726,1.20391844,1.140957345,1.029471529,0.9973754618,1.023274492,0.9954174796,1.012087006,0.9344779069,0.9330878762,0.9224934403,0.9529332671,0.9169055202,0.9069675582,0.9068791707,0.8454060331,0.8865867113,0.9209651944,0.8922301748,0.9239247218,0.9996497075,1.067013868,0.8556366077,0.9237470054,0.9729072647,1.010225915,1.087567702,1.159424517,1.181630533,1.214636773
