Adult (15+) literacy rate (%). Female,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Cook Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,,,,,,,,,,92.57712932,,,,,,,,,,,,,,,,95.08079104,,,,,,,,,,,96.47886
Cote d'Ivoire,,,,,,,,,,,,,,23.43378229,,,,,,,,,,28.47667066,,38.61451337,,,,,,,,,,,47.58359
Croatia,,,,,,,,,,,,,,,,,94.81722196,,,,,,,,,,97.08389765,,,,,,,,,,98.31105
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.79092216,,,,,,,,,99.82679
Cyprus,,,,,,,,,,,,,,,,,,91.00178087,,,,,,,,,95.0796648,,,,,,,,,,98.11622934
Czech Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Rep.,,,,,,,72.53608468,,,,,,,,,,,,,,,,,,,,,87.17709312,,,,,88.27717104,,,89.69729694,90.2255199
Ecuador,,,,,,,,80.40522699,,,,,,,,86.19333329,,,,,,,,,,,89.69708694,,,,,,81.6805873,,81.45119516,90.47010639,90.22082476
Egypt,,22.43800821,,,,,,,,,,31.4041908,,,,,,,,,,43.59530593,,,,,,,,,59.35557642,57.81191434,,,,63.51581301,64.63623457
El Salvador,,,,,,,,,,,,,,,,,,71.28053245,,,,,,,,,,,,78.35865,,81.00382462,79.66212821,81.35950218,81.81794588,82.30802314,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,81.62299854,,,,,,,,,,,91.07868
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.22442274,,,,,,,,,59.03992
Estonia,,,,,,,,,,,,,,,99.60148305,,,,,,,,,,,99.76006093,,,,,,,,,,,99.81971
Ethiopia,,,,,,,,,,,,,,,,,,,,18.51498096,,,,,,,,,,22.8,17.97719723,,28.9216362,,,,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,,,,,,,,,,,,,,,,,,,65.32631038,,,,,,,,,,,79.30927,,,,,,,85.63833
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,25.06154604,,,,,,,,,,,41.88712
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.5528538,,,,,,,,,99.68613
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,49.79196237,,,,,,,,,,65.29468624,
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,,,,,,,85.31998732,,,,,,,,,,89.35329573,,,,,,,,,,94.23941152,,,,,,,,,,96.27898
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,,,,,,,,,,,,,,,,,,,,57.29266109,,,,,,,,63.34138102,,,,,,,,,71.08082
Guinea,,,,,,,,,,,,,,,,,,,,,,9.743069501,,,,,,,18.23868313,,,,,,,12.19197046,
Guinea-Bissau,,,,,8.588262247,,,,,,,,,,,,,,,,,,,,,27.49421232,,,,,,,,,,,42.06704
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.2519769,,
Haiti,,,,,,,,32.52495639,,,,,,,,,,,,,,,,,,,,,54.86146763,,,44.59945429,,,,,
Holy See,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,80.22360168,,,,,,83.45277365,,,84.72503375,84.93034973
"Hong Kong, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,,,,,,98.45412959,,,,,,,,,,,,,,98.7131,,,,,,,,,,98.85411,,,,,,,98.9387
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,,,,,,,25.67625204,,,,,,,,,,33.72952676,,,,,,,,,,47.84209864,,,,,50.82375647,,,,,
Indonesia,,,,,,57.69462777,,,,,,,,,,75.27011869,,,,,,,,,,,,,,86.79958907,,88.78698384,,89.10139087,89.67711674,,90.0686972
Iran,,24.42308303,,,,,,,,,,41.03394984,,,,,56.1564167,,,,,66.06776395,,,,,,70.4,,,76.80263795,77.2400182,,80.65532206,,,
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,64.16950155,,,,,,,,,,,71.20716
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,,,,,,,,,88.67471703,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,,,,,,,95.53666911,,,,,,,,,,,,,,,,,,,,98.04215287,,,,,,,,,,98.74161
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,85.87208224,,,,,,,,,,,,91.76553
Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,,,,,52.11061309,,,,,,,,,,,,,,,,,,,,,,,,84.71392483,,87.00580895,,88.90331226,,,89.20774406,93.93345666
Kazakhstan,,,,,,,,,,,,,,,96.13877101,,,,,,,,,,99.28989538,,,,,,,,,,99.68429045,,
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,77.89297953,,,,,,,66.8631175,,,,
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.99761526,,,
"Korea, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,48.01521406,,,,,59.11050188,,,,,68.84936643,,,,,,,,,,74.14871697,,,,,,,,,,91.04250008,90.82863391,91.50349488,91.79302112,,,
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,98.13062719,,,,,,,,,,98.98121339,,
Laos,,,,,,,,,,,,,,,,,,,,,47.90236178,,,,,58.46069869,60.90252023,,,,63.2269857,,,,,,
Latvia,,,,,,,,,,,,,,,99.20255072,,,,,,,,,,,99.70973117,,,,,,,,,,,99.79728
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.96778157,,,,
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,92.04645262,,,,,,,,,84.96395949,,
Liberia,,,,,,,,,,19.30279135,,,,,,,,,,32.01852,,,,,,,,,,47.87633,,,27.03490666,,,,
Libya,,,,,,,,,,42.3135536,,,,,,,,,,64.95931,,,,,,,,,,78.19782,,,,,,,83.32303
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,,,,,,,,,,,,,,,97.78158807,,,,,,,,,,,,99.6479433,,,,,,,,,,99.72063
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Macao, China",,,,,,,86.21588437,,,,,,,,,,,,,,,,,,,,87.77497196,,,,,90.72358913,,,,,93.73190617
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,90.92802395,,,,,,,,94.0560678,,,,,,,,,96.04252
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,65.27857225,,,,,,,,,61.64140614,,
Malawi,,,,,,,,,,,,,33.52302231,,,,,,,,,,,53.9971156,,,,,,,,,,,,51.25196546,
Malaysia,,,,,,61.24849567,,,,,,,,,,,77.28308751,,,,,,,,,85.35422367,,,,,,,,,,90.74768179,
Maldives,,,82.17816299,,,,,,,,92.359012,,,,,96.14601112,,,,,96.44298052,,,,,96.44298052,,,,,,98.42984716,,,,,
Mali,,5.735281169,,,,,,,,,,,,,,,,,,,,,,11.89342843,,,,,15.9,,,18.19091253,,,,20.28793181,24.56741433
Malta,,,,,,,,,,,88.29274645,,,,,,,,,,89.24264447,,,,,,,,,,93.50425142,,,,,,
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,43.41735886,,,,,,,,,,,51.97767
Mauritius,,,,,,,,,,,,,,,,74.6608867,,,,,,,,,,80.50002915,,,,,,,,,,,86.66407
Mexico,,,,,,79.89099894,,,,,,,,,,84.95590652,,,,,,,,,,88.68203981,,88.72863023,,89.63102019,90.21041285,89.83451086,91.35555126,91.45360799,92.11624557,91.85342175,92.33828183
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,,,,,,,,,,,,,,,94.44447759,,,,,,,,,,,95.4922984,,,,,,,,,,,98.48289
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,97.52879989,,,,,,,,,,,97.87714
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.58914
Montserrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,,,,,,,,17.51486676,,,,,,,,,,,,28.72541879,,,,,,,,,,39.61955649,,,,42.58784817,43.92108025,,57.63999129
Mozambique,,,,,,12.14631527,,,,,,,,,,,,,,,,,24.96420389,,,,,,33.19395906,,,,,,36.45228236,,
Myanmar,,,,,,,,,71.63087445,,,,,,,,,,,,,,,,,86.41518216,,,,,,,,,,,90.37064
Namibia,,,,,,,,,,,,,,,,,73.98659708,,,,,,,,,,83.49008829,,,,,,78.35097848,,,,
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,,,,,,,9.153116043,,,,,,,,,,17.38179314,,,,,,,,,,34.88676388,,,,,,,,,,46.70609809
Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands Antilles,,,,,,,,,,,,,,,,,,95.01091174,,,,,,,,,,,,,,,,,,,96.53381
New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,76.60165643,,,,77.91604202,,,,,,
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,9.398723768,,,,15.08413845,,,,,,
Nigeria,,,,,,,,,,,,,,,,,43.72919707,,,,,,,,,,,,43.32205414,,,,,41.38675572,,,
Niue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.53171422,,,,,80.87225816,,81.80322701,
Pakistan,,,,,,,14.77155238,,,,,,,,,,,,,,,,,29.04383911,,,,,,,35.36751977,39.61323361,,40.08117943,40.31461918,,
Palau,,,,,,90.50323753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panama,,,,,,88.04652803,,,,,,,,,,88.21484615,,,,,,,,,,91.2471788,,,,,,,,,,93.48526249,
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,50.91773558,,,,,,,,,,,59.40146
Paraguay,,,,,,,,75.85298224,,,,,,,,,,88.55871199,,,,,,,,,,,,,,,93.45326956,92.49442837,93.14401351,92.92574462,
Peru,,,,,,,73.85833702,,,,,,,,,,,,81.65875305,,,,,,,,,,,82.06262044,82.45436715,83.45486529,84.64687778,,,,
Philippines,,,,,,82.76214755,,,,,,,,,,93.18072455,,,,,,,,,,92.65490651,,,93.56453343,,,,,95.82563256,,,
Poland,,,,98.25197995,,,,,,,,,,,,,,,,99.11849,,,,,,,,,,99.42229,,,,,,,99.58486
Portugal,,,,,,,74.60798985,,,,,,,,,,84.65821434,,,,,,,,,,,,,,,,,,,,93.95712
Puerto Rico,,,,,,85.85033854,,,,,,,,,,89.73096126,,,,,,,,,,,,,,90.95798,,,,,,,90.91396
Qatar,,,,,,,,,,,,72.45894737,,,,,,,,,,,80.88868293,,,,,,,88.60921941,,,90.43612089,92.66382484,92.91017814,95.40185625,
Romania,,,,,,,,,,,,,,,,,,94.98269099,,,,,,,,,,96.26631634,,,,,,,,,97.14531
Russia,,,,,,,,,,,,,,,96.75817017,,,,,,,,,,,,,99.22835701,,,,,,,,99.64777601,
Rwanda,,,,26.57357667,,,,,,,,,,,,,,,,,,,,,,59.75033738,,,,,,,,,,61.54861274,
Saint Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Lucia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samoa,,,,,,,,,,,,,,,,,97.42173913,,,,,,,,,,,,,98.24641,,,,,,,98.61721
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,,,,,,,42.36338335,,,,,,,,,,61.92047825,,,,,,,,,,77.94923459,,,,,,,60.08302621,,,
Saudi Arabia,,,,,,,,,,,,,,,,,,57.27784128,,,,,,,,69.29119279,,,,76.33515525,,,,,,,82.23673
Senegal,,,,,,,,,,,,,,17.86326604,,,,,,,,,,,,,,29.24734264,,,,32.98758499,,,38.66624901,,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.87049
Seychelles,,,,,,,,,,,,,85.48930399,,,,,,,88.58659846,,,,,,,,92.25897952,,,,,,,,,92.25897952
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.15892694,,,,,,,32.62891
Singapore,,,,,,73.96853679,,,,,,,,,,83.02684811,,,,,,,,,,88.64517516,,,,,,,,,,93.77481392,
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,,,,,,,,,,,,,,,,,99.45375207,,,,,,,,,,,,,99.61597,,,,,,,99.67143
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,,,,,,74.80718864,,,,,,,,,,,,,,,,80.92862924,,,,,,,,,,,87.04310202,,,,92.18371416
Spain,,,,,,,89.93692194,,,,,,,,,,95.05099633,,,,,,,,,,,,,,96.92515484,,97.26032273,96.88683915,96.92596791,97.00450393,
Sri Lanka,,,,,,,82.02197427,,,,,,,,,,,,,,,,,,,,89.13576427,,,,,89.09135232,,89.07347232,,89.95867849,
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,52.14639651,,,,,,,,,,,63.16023
Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.19743629,,,,93.76537147,,94.00354115,
Swaziland,,53.66595915,,,,,,,,,,65.2228822,,,,,,,,,,,,,,80.32875215,,,,,,,,,,,87.32746
Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syria,,,,,,,37.05915883,,,,,,,,,,,,,,,,,,,,,74.24044023,,73.62656104,,,,,,,77.74985
Tajikistan,,,,,,,,,,,,,,,96.64180262,,,,,,,,,,,99.22173558,,,,,,,,,,,99.61533
Tanzania,,,,,,,,,,,,,,48.08802414,,,,,,,,,,,,,,62.17231759,,,,,,,,60.75261831,
Thailand,,,,,,83.89335419,,,,,,,,,,,,,,,,,,,,90.51601685,,,,,91.52954868,,,,,,
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,42.5,,,52.95899972,
Togo,,,,,,,,,,,,,,,,,,,,,,,,,,38.4532925,,,,,,44.37662579,,,43.60689787,,47.97738662
Tokelau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tonga,,99.52553485,,,,,,,,,,,,,,,,,,,,98.97554979,,,,,,,,,,99.08251076,,,,,
Trinidad and Tobago,,,,,,93.4641653,,,,,,,,,,95.66179413,,,,,,,,,,,,,,97.8103,,,,,,,98.4869
Tunisia,,,,,,,,,,35.76756687,,,,,,,,,,48.24096,,,,,,,,,,65.34785933,,,68.50937859,70.96417657,,71.08821165,
Turkey,45.0989206,,,,,49.80640665,,,,,64.23172409,,,,,68.51965519,,,,,,,,,,,,,,79.58169311,80.54895346,80.38516132,81.26382688,,85.34715677,88.07317072,90.3101047
Turkmenistan,,,,,,,,,,,,,,,,,,,,,98.26176549,,,,,,,,,,,,,,,,99.49422
Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uganda,,,,,,,,,,,,,,,,,44.82669228,,,,,,,,,,,58.90988298,,,,62.07896868,,,,64.59145071,
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,99.17157238,,,,,,,,,,99.6604
United Arab Emirates,38.12486993,,,,,,,,,,68.66128298,,,,,,,,,,,,,,,,,,,,91.47474889,,,,,,
United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uruguay,94.30452204,,,,,,,,,,95.88153756,,,,,,,,,,,97.27095974,,,,,,,,,,98.08435937,98.2419335,98.46366049,98.60601614,98.49095304,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,98.13858403,,,,,,,,,,,99.23196
Vanuatu,,,,,47.78259185,,,,,,,,,,,,,,,65.45371,,,,,,,,,,76.04636,,,,,,,81.55354
Venezuela,,,,,,,83.00466393,,,,,,,,,89.0048547,,,,,,,,,,,92.71597866,,,,,,94.92964339,,95.3503981,,
West Bank and Gaza,,,,,,,,,,,,,,,,,,,,,,,79.72662244,,,,,,,87.95173642,,89.7569184,90.46518353,90.90285441,91.7045323,92.17279584,92.61617969
Vietnam,,,,,78.14039022,,,,,,,,,,82.82939153,,,,,,,,,,86.92008019,86.61011311,,,,,,,,,,,91.38346
"Yemen, Rep.",,,,,,,,,,,,,,,,,,,,17.05956466,,,,,,,,,,35.48549,,,,,,,48.53905
Zambia,,,,,,,,,,,,,,,,57.35772212,,,,,,,,,59.80284591,,,61.83927804,,,,,51.78696654,,,,
Zimbabwe,,,,,,,,71.85392806,,,,,,,,,,78.51701786,,,,,,,,,,,,,,,,,,,80.06565934
Abkhazia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christmas Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cocos Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czechoslovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea and Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falkland Islands (Malvinas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Guiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guadeloupe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guernsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jersey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, United",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martinique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mayotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Caledonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ngorno-Karabakh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norfolk Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pitcairn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reunion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Barthélemy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Helena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint-Pierre-et-Miquelon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia and Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia excluding Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Somaliland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Ossetia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Svalbard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transnistria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USSR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
