Average age of billionaires,2004,2005,2006,2007
Mozambique,0,0,0,0
Myanmar,0,0,0,0
Namibia,0,0,0,0
Nauru,0,0,0,0
Nepal,0,0,0,0
Netherlands,56,58.5,59.5,60.5
Netherlands Antilles,0,0,0,0
New Caledonia,0,0,0,0
New Zealand,0,0,50,50
Ngorno-Karabakh,0,0,0,0
Nicaragua,0,0,0,0
Niger,0,0,0,0
Nigeria,0,0,0,0
Niue,0,0,0,0
Norfolk Island,0,0,0,0
Northern Cyprus,0,0,0,0
Northern Mariana Islands,0,0,0,0
Norway,65,65.75,66.75,64.25
Oman,0,0,0,58
Pakistan,0,0,0,0
Palau,0,0,0,0
Panama,0,0,0,0
Papua New Guinea,0,0,0,0
Paraguay,0,0,0,0
Peru,0,0,0,0
Philippines,74,73.33333333,74.33333333,75.33333333
Pitcairn,0,0,0,0
Poland,0,51.5,49.66666667,50.4
Portugal,75,67,68,69
Puerto Rico,0,0,0,0
Qatar,0,0,0,0
Reunion,0,0,0,0
Romania,0,0,0,67
Russia,44.88,44.40740741,45.54545455,46.05660377
Rwanda,0,0,0,0
Saint Barthélemy,0,0,0,0
Saint Helena,0,0,0,0
Saint Kitts and Nevis,0,0,0,0
Saint Lucia,0,0,0,0
Saint Martin,0,0,0,0
Saint Vincent and the Grenadines,0,0,0,0
Saint-Pierre-et-Miquelon,0,0,0,0
Samoa,0,0,0,0
San Marino,0,0,0,0
Sao Tome and Principe,0,0,0,0
Saudi Arabia,63,62.71428571,59.25,58.2
Senegal,0,0,0,0
Serbia,0,0,0,61
Serbia and Montenegro,0,0,0,0
Serbia excluding Kosovo,0,0,0,0
Seychelles,0,0,0,0
Sierra Leone,0,0,0,0
Singapore,75.8,74,75,67.5
Slovak Republic,0,0,0,0
Slovenia,0,0,0,0
Solomon Islands,0,0,0,0
Somalia,0,0,0,0
Somaliland,0,0,0,0
South Africa,55.5,62.33333333,63.33333333,64.33333333
South Ossetia,0,0,0,0
Spain,61.85714286,64.8,65.8,62.15
Sri Lanka,0,0,0,0
Sudan,0,0,0,0
Suriname,0,0,0,0
Svalbard,0,0,0,0
Swaziland,0,0,0,0
Sweden,66.85714286,67.75,69,70
Switzerland,66,67,63.85714286,64.85714286
Syria,0,0,0,0
Taiwan,77.16666667,71.16666667,69,62.625
Tajikistan,0,0,0,0
Tanzania,0,0,0,0
Thailand,64,66,67,68
Timor-Leste,0,0,0,0
Togo,0,0,0,0
Tokelau,0,0,0,0
Tonga,0,0,0,0
Transnistria,0,0,0,0
Trinidad and Tobago,0,0,0,0
Tunisia,0,0,0,0
Turkey,60.2,60.85714286,62.52631579,61.28
Turkmenistan,0,0,0,0
Turks and Caicos Islands,0,0,0,0
Tuvalu,0,0,0,0
Uganda,0,0,0,0
Ukraine,0,44,45,44.16666667
United Arab Emirates,50,51,62.5,61.33333333
United Kingdom,59,59.71428571,58.38095238,59.59259259
United States,64.38181818,64.75294118,65.12702703,65.2746988
Uruguay,0,0,0,0
USSR,0,0,0,0
Uzbekistan,0,0,0,0
Wallis et Futuna,0,0,0,0
Vanuatu,0,0,0,0
Venezuela,48,49,50,51
West Bank and Gaza,0,0,0,0
West Germany,0,0,0,0
Western Sahara,0,0,0,0
Vietnam,0,0,0,0
Virgin Islands (U.S.),0,0,0,0
Yemen Arab Republic (Former),0,0,0,0
Yemen Democratic (Former),0,0,0,0
"Yemen, Rep.",0,0,0,0
Yugoslavia,0,0,0,0
Zambia,0,0,0,0
Zimbabwe,0,0,0,0
Åland,0,0,0,0
