"GDP per capity, 2005 ppp, WB data",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
"Hong Kong, China",13945.11231,14890.60632,15089.38473,15748.50054,17141.84026,17072.57729,18732.43079,20994.21517,22617.01748,22881.33587,23697.09532,24839.70001,26132.85313,27240.14059,28235.099,28316.31882,28222.68462,29403.88746,27402.18218,27835.43104,29785.02407,29713.36025,30126.66792,31093.59919,33464.15978,35677.91851,37937.97965,39961.01924,40579.14795,39352.89484,41714.04004,43844.14751
Hungary,11346.53823,11671.02348,12009.68547,12114.69895,12461.62393,12452.71194,12665.44088,13200.67898,13212.29917,13455.32925,13119.68617,11560.14296,11210.3058,11158.43961,11503.03101,11690.63597,11729.57479,12120.77382,12643.89418,13085.22024,13673.57493,14213.73177,14896.57579,15514.53226,16294.83651,16974.55981,17663.56947,17711.2456,17900.92761,16709.77564,16958.29498,17295.38614
Iceland,21846.81565,22520.25122,22700.01738,21919.54888,22583.15086,23143.76245,24415.47991,26213.23322,25782.72075,25531.2102,25629.6753,25277.67564,24119.82377,24189.40993,24846.06061,24740.45334,25784.70799,26830.85922,28221.86924,29024.21522,29867.65584,30629.07739,30399.08392,30924.23038,33055.9041,34889.18754,35684.53328,36875.3715,36655.50825,34043.94826,32721.12505,33618.14827
India,879.404517,910.8402687,921.0834682,965.9773743,980.5128015,1009.215043,1034.268565,1052.001713,1128.643212,1170.60352,1209.819106,1197.759994,1238.222525,1271.669945,1330.340682,1404.231347,1482.473877,1514.754156,1580.143535,1684.453317,1722.097304,1777.762135,1817.841602,1931.746558,2051.631494,2208.58735,2377.742962,2573.136284,2635.33685,2812.582452,3038.807989,3203.002804
Indonesia,1322.896063,1398.644313,1382.865997,1467.282673,1539.472714,1560.675425,1621.422902,1675.168127,1749.213679,1874.520726,2008.364554,2151.420114,2269.704573,2396.447655,2538.281364,2711.225107,2877.217914,2971.21621,2546.719474,2533.089171,2623.037745,2683.297509,2767.892764,2863.434288,2970.435858,3102.28377,3235.708534,3403.369257,3569.809055,3696.297262,3885.09842,4094.062146
Iran,7187.733097,6569.588766,7149.000936,7752.244678,7347.424601,7223.931207,6322.125489,6009.795484,5440.141574,5600.361947,6200.669417,6832.06917,6998.1839,6784.149683,6660.562164,6728.725861,7081.076586,7186.048491,7245.310635,7253.832733,7502.715158,7664.122346,8129.875425,8599.682968,8927.808727,9228.236095,9654.448362,10285.52564,10397.81859,10462.27084,,
Iraq,,,,,,,,,,,,,,,,,,3138.390838,4104.632265,4970.112081,4614.827308,4202.381213,3777.630295,2161.974978,3088.029092,2989.673351,3081.850202,3036.273228,3227.14329,3263.993192,3194.948651,3412.155513
Ireland,,,,,,,,,,,,,,,,,,,,,33424.40788,34473.06392,35887.81123,36776.57951,37738.05592,38896.38661,39996.86359,41136.9735,39294.28654,36273.2475,35993.08389,35640.41671
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,15027.81909,15489.87493,15476.64674,15731.21475,15667.28804,15924.13437,16430.94103,17329.76756,17389.98374,17246.05685,17863.46023,18115.3717,18484.96199,19000.32933,19798.08049,20535.163,21103.10111,21276.33384,21651.51869,21815.46594,23212.92287,22621.5247,22042.87281,21975.8204,22636.70982,23339.95407,24213.78554,25095.07358,25646.27855,25250.15386,25994.53786,26719.96676
Italy,18814.44221,18950.51435,19014.79923,19230.14015,19846.03981,20395.4539,20977.61498,21645.00318,22541.98122,23288.31511,23746.44062,24093.96162,24263.7079,24042.08278,24554.23095,25262.67019,25542.14237,26004.99966,26374.00506,26752.216,27717.07423,28215.94285,28253.9674,28021.54093,28226.87466,28279.87053,28737.7242,29007.90948,28453.5621,26729.15091,27080.68577,27069.15162
Jamaica,5250.293968,5315.851439,5332.62701,5335.724622,5163.333641,4943.690447,4983.498385,5340.880026,5539.474324,5890.590889,6099.247223,6351.709871,6430.481066,6984.220114,7026.211888,7133.336252,7040.276174,6893.668148,6672.926237,6696.974594,6716.426747,6766.514946,6799.011073,7118.861215,7184.083793,7224.370255,7419.995492,7429.087052,7271.811687,7060.67341,7000.908388,7073.596851
Japan,17834.50575,18442.66317,18936.47173,19383.51556,20120.72182,21264.6354,21733.82511,22515.51639,24021.92566,25208.5258,26522.55036,27319.33144,27474.79757,27453.95133,27596.85877,28025.68089,28683.53627,29064.95181,28410.86069,28300.49637,28889.19617,28928.27,28944.64887,29369.48615,30052.70233,30441.34813,30960.81029,31635.87641,31322.69952,29625.39008,30965.40566,30660.40345
Jordan,3931.311011,3959.790475,4085.52331,4003.722147,4187.015575,4179.86371,4310.034036,4275.891924,4051.493448,3382.561766,3292.670809,2998.065112,3378.480147,3378.429444,3411.575678,3506.790048,3472.351154,3479.343799,3476.351075,3530.420335,3590.517884,3687.477922,3807.526998,3869.824311,4100.978089,4334.477445,4579.703496,4844.754866,5082.931437,5245.625616,5249.496595,5268.577149
Kazakhstan,,,,,,,,,,,7089.126992,6270.010807,5941.819588,5431.076142,4816.131131,4499.362002,4590.866285,4743.264027,4734.156788,4908.511169,5405.767845,6145.990077,6748.018706,7350.814011,8000.700902,8699.098081,9528.585609,10258.61278,10468.81902,10318.29707,10915.66313,11567.68059
Kenya,1374.92893,1373.420856,1341.903197,1308.754248,1282.491664,1288.834965,1331.711626,1360.932397,1395.206416,1410.933198,1421.067692,1394.353657,1338.895382,1301.822956,1296.156436,1314.640549,1331.960903,1303.462357,1312.272331,1308.777508,1283.280647,1297.638283,1270.98763,1274.302379,1304.731285,1346.397519,1395.338795,1455.310412,1440.271211,1440.646851,1481.195574,1507.04012
Kiribati,2088.434803,1973.44207,2060.472345,2194.417192,2118.343517,1975.922771,1962.927146,1861.932225,2155.030621,1929.53347,1943.441272,1826.031416,1856.245217,1880.516053,1948.458061,1898.001577,1982.094519,2057.001539,2244.115632,2235.727178,2355.213953,2241.728191,2336.889793,2397.277275,2375.692205,2341.633415,2346.666309,2318.813867,2257.966016,2209.004791,2214.452321,2219.815302
"Korea, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Rep.",5543.572247,5794.185902,6123.261148,6683.780237,7136.626582,7547.382421,8272.198951,9104.317976,9977.136669,10548.26701,11382.64233,12337.00931,12943.72887,13615.12291,14645.4064,15761.31639,16704.35997,17318.07737,16014.96635,17410.07384,18730.4251,19331.15488,20598.07327,21070.52959,21961.18457,22783.27005,23847.22189,24948.2577,25338.65356,25299.18491,26774.03745,27541.34348
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,39982.68189,30834.86446,25817.63363,27241.48381,27362.35457,24962.3967,25716.74704,26353.72809,22643.40861,27749.20004,,,,,,41617.70288,41864.16806,41604.24452,41052.20872,38287.49574,38358.90213,37315.68578,37316.761,42607.29296,45608.66448,48782.64549,49411.28064,49541.50994,49952.16482,45626.18071,45622.71886,47935.03986
Kyrgyzstan,,,,,,,2144.770616,2173.798048,2417.689927,2433.732753,2523.4891,2287.650623,1947.326796,1645.809392,1315.712041,1231.989611,1299.88736,1408.08592,1416.072613,1446.189344,1506.616321,1571.807003,1557.175146,1649.266553,1743.926646,1721.340925,1755.775083,1887.68196,2026.925697,2060.403444,2008.327256,2125.848499
Laos,,,,,859.4686478,879.0088916,897.1650219,860.2593593,819.7551939,910.1187292,944.1180337,957.2969051,982.6700892,1012.761281,1067.114417,1114.246556,1164.050441,1217.109707,1239.634185,1304.709019,1355.407271,1409.021548,1468.582535,1533.870362,1606.912235,1695.311974,1813.622418,1921.852117,2041.053238,2161.80882,2312.56476,2463.838753
Latvia,8271.766525,8595.37436,8756.86385,9159.891573,9626.307604,9527.593298,9895.532146,10024.00193,10428.27459,10965.29919,10108.6831,8877.373006,6109.628352,5920.797278,6152.584138,6181.974808,6489.008016,7096.866463,7502.445171,7919.189185,8529.143493,9285.517512,9955.800694,10733.17214,11727.73413,13040.3715,14716.00021,16268.55122,15646.97259,12901.66675,12948.22878,13773.42603
Lebanon,,,,,,,,,8051.673917,4604.831792,5736.762558,7724.70221,7802.29216,8042.563059,8389.119664,8684.208612,8933.787851,8588.228949,8782.46595,8634.015515,8627.787432,8826.028735,8969.089084,9102.007878,9629.502981,9595.290945,9546.819538,10170.0469,11027.60739,11879.21496,12618.73651,12900.23856
Lesotho,833.1756077,816.8778356,815.8491003,769.6465734,829.0054044,850.5245736,837.0825198,761.8384287,813.4794599,852.8934416,891.6080005,896.1685361,945.1133942,958.9712527,995.1496616,994.2295134,1020.948843,1035.661502,1071.968905,1057.438328,1100.487226,1131.855098,1131.852911,1170.149151,1185.987379,1207.008899,1247.041965,1293.316073,1349.454756,1374.010045,1436.293632,1503.875887
Liberia,1263.084194,1194.831615,1125.826388,1069.686196,1021.672557,998.3804644,977.2729057,971.27112,961.3705453,714.9678365,355.4080006,310.0606083,204.916332,138.9398058,108.2060095,100.886012,107.5088014,207.0468677,249.4814104,287.3710112,343.9300405,406.7798192,526.3436373,348.7233874,324.986589,345.7583054,364.5448938,401.9072321,422.2262647,455.2933593,482.2561436,506.1277859
Libya,,,,,,,,,,,,,,,,,,,,12401.96751,12622.6984,11853.06148,11477.27154,12719.41511,13016.59103,14015.36563,14529.92846,15071.04902,15321.78064,15361.15753,,
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,,,,,,,,,,,12499.66255,11770.18372,9278.033035,7809.436882,7095.838122,7385.930219,7828.012682,8474.998781,9187.860603,9153.969997,9518.255249,10212.61875,10952.01407,12126.19313,13088.09233,14197.22208,15402.19279,17010.27493,17599.49749,15088.86981,15534.43224,16876.69028
Luxembourg,27608.30492,27375.3825,27662.3572,28481.64808,30212.72006,30996.21022,33938.23849,35051.23191,37742.85314,41039.80902,42685.42789,45758.09943,45975.94336,47268.42765,48410.73068,48419.10582,48489.34666,50729.26218,53353.7477,57068.77143,61061.16607,61857.3667,63725.40389,63930.23909,65800.17593,68319.63721,70581.76916,74113.93931,73349.64076,68188.42718,68748.10462,68458.69447
"Macao, China",,,16955.11399,17912.46801,18613.05647,17949.3452,18346.63436,20097.62808,20807.87135,21063.7306,22036.34115,22246.58394,24645.55798,25435.29689,26074.59631,26494.28209,25972.28017,25501.14446,23955.97432,23003.16916,23887.87314,24111.74917,25720.62788,28327.94812,35127.93987,37236.34819,41584.19088,46394.1324,46759.89196,46426.25642,57626.20183,68066.09164
"Macedonia, FYR",,,,,,,,,,,8522.627684,7940.907951,7375.509745,6789.218414,6637.325785,6531.225681,6575.791176,6637.826332,6829.693555,7094.804868,7388.335521,7029.552251,7067.883168,7247.00974,7562.882049,7872.399054,8248.268749,8734.78988,9146.609187,9043.73178,9187.353899,9451.191872
Madagascar,1288.760935,1134.137167,1085.865853,1068.496905,1059.308655,1043.696586,1035.569381,1018.869163,1023.833315,1035.061543,1036.519622,942.6991706,925.6816543,916.8538162,888.5114254,876.1150135,867.3257084,871.4181824,877.5010792,889.9287732,903.6433662,928.8744055,786.6978053,837.8553525,855.7139966,868.6750743,885.5252525,913.3522455,950.1313918,880.5982514,868.924802,852.7659792
Malawi,688.5191863,634.8791053,635.0949875,641.7177618,654.1712419,655.7561265,620.8016137,594.618576,578.7465599,558.3648776,569.4094145,606.0187541,555.8932774,607.2674184,542.2628343,625.8561116,659.159242,667.6804632,674.5211348,675.3205909,667.2406485,617.5154819,611.891653,628.9701635,646.1216696,644.8367236,674.8712035,693.3082659,728.8115708,770.5978846,795.4921217,805.4036692
Malaysia,4866.909762,5077.701576,5244.930651,5429.606023,5695.958707,5478.069423,5384.975405,5511.515994,5883.686506,6233.71763,6607.366559,7044.924419,7472.627019,8004.802576,8524.065601,9129.055558,9793.461606,10252.7396,9268.024193,9602.312467,10208.68074,10026.14469,10329.28809,10689.61861,11178.21325,11544.27732,11996.09127,12553.95806,12941.78426,12526.28391,13213.89747,13672.13251
Maldives,,,,,,,,,,,,,,,,3230.273824,3450.865017,3735.729202,4025.875316,4240.761767,4367.59872,4444.390381,4638.157154,5303.92058,5761.246869,5290.116145,6237.911937,6802.824545,7531.098995,7079.670238,7386.633511,7833.96214
Mali,750.0858623,702.5355891,655.9732911,673.1802038,688.8251323,599.6885046,639.9426693,627.4068133,627.5784593,690.3101176,665.0584112,661.4307974,699.5837737,667.2106983,655.6136953,677.8732781,681.093786,707.6113489,729.8126011,757.1491647,758.8539382,825.4999558,833.8464383,868.5262662,860.2580071,884.5543709,902.9191241,912.9975212,929.5296889,942.0530329,966.8625655,963.5209228
Malta,10430.60406,10697.09096,10709.26804,10494.71678,10591.40483,10676.01434,10907.02192,11277.43118,12126.36915,12991.13818,13674.03002,14385.07221,14912.58633,15433.64797,16162.36754,17071.84026,17609.55094,18409.37005,19236.0795,20046.10078,21290.84616,20338.74717,20755.27878,20646.44796,20405.04264,21018.44605,21349.95363,22119.76919,22922.47009,22204.42002,22696.67996,23007.11502
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,1967.318499,1977.446441,1876.625233,1892.26467,1780.789265,1784.588601,1836.635122,1822.795152,1806.166464,1843.198582,1762.782675,1746.254148,1730.755304,1782.219307,1679.986882,1793.764248,1845.306324,1721.247119,1748.615578,1830.358231,1770.757608,1754.786058,1716.008793,1767.068817,1816.609508,1925.810128,2228.700839,2206.374437,2226.73432,2145.919409,2203.613536,2254.992156
Mauritius,3728.907136,3895.296938,4061.224927,4035.871576,4190.198919,4451.75804,4844.065456,5233.48518,5545.519341,5748.507797,6104.291557,6306.597936,6629.523781,6884.338012,7069.411636,7309.402355,7639.307301,7973.329686,8368.904199,8478.921629,9153.884693,9287.674442,9403.116461,9646.421295,10113.22201,10157.50696,10478.88197,11026.71818,11560.17346,11850.35729,12283.21914,12737.23793
Mexico,10238.48762,10892.45906,10602.36615,9958.457473,10117.62771,10175.3658,9596.120334,9574.960214,9496.603237,9697.029244,9990.291863,10216.13772,10393.36701,10407.45532,10681.85197,9845.968069,10177.14873,10686.47333,11030.446,11281.85771,11852.71959,11674.11857,11621.00715,11634.28474,11959.30385,12191.06382,12658.26227,12905.14438,12892.77693,11936.46309,12440.93981,12776.38864
"Micronesia, Fed. Sts.",,,,,,,2587.804531,2558.148664,2566.263257,2598.451407,2633.694868,2759.685193,2797.625642,2953.482431,2880.92637,3052.703325,2939.720859,2763.734856,2848.010635,2904.298151,3038.218176,3083.052284,3085.961718,3122.783373,3004.870588,3053.999556,3048.380768,2975.055577,2896.36258,2907.596862,2987.985234,3016.833106
Moldova,3865.054928,3801.754412,4204.816082,4342.893029,4442.995614,4167.846755,4457.50932,4473.836644,4515.983276,4714.891714,4583.058443,3839.381156,2719.91947,2690.181684,1864.451026,1847.803322,1755.228389,1787.255678,1674.233379,1619.869113,1657.25404,1762.282099,1904.145142,2035.543771,2191.799395,2361.950703,2481.631234,2563.927394,2768.272819,2605.752291,2793.534963,2974.878449
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,,1995.215321,2107.995247,2175.402279,2245.406208,2310.54792,2456.789883,2469.42525,2524.443511,2566.037198,2434.804073,2189.268105,1964.218121,1885.751151,1911.579513,2017.808921,2045.842202,2107.213482,2158.01779,2203.823357,2208.274968,2251.863976,2335.10007,2472.198424,2703.027421,2861.679068,3062.287069,3324.184813,3561.74136,3459.256772,3620.244549,4178.290305
Montenegro,,,,,,,,,,,,,,,,,,7139.243545,7526.833427,6858.144392,7105.206093,7209.655675,7366.566175,7563.894472,7904.112391,8238.358534,8942.077713,9884.882039,10546.39905,9925.535271,10156.67699,10401.9566
Morocco,2334.625578,2210.484203,2358.798294,2283.830318,2321.87668,2408.374506,2547.692866,2428.038748,2624.623681,2632.963677,2686.816707,2819.801823,2659.221199,2588.793298,2811.740976,2586.831795,2860.437735,2757.395263,2928.326733,2905.460421,2914.650357,3096.742516,3161.870374,3323.292856,3444.205672,3508.299806,3740.414406,3801.652238,3972.795272,4119.175967,4226.75853,4373.322566
Mozambique,434.795778,445.668899,405.4799168,334.9339281,308.2686578,308.1826425,299.9823231,344.5742251,373.6395765,396.6803734,395.6497785,405.4490121,372.6397324,390.2692794,401.6712431,398.95123,415.9573741,446.32221,482.0627881,508.2517314,500.6794021,545.5435584,577.9197807,596.5450021,626.8779656,669.5233824,694.4282572,727.2224202,758.7450786,788.2588787,822.7075051,861.2752286
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Namibia,4928.434796,4867.570642,4746.513857,4553.932724,4418.613194,4298.466402,4330.380148,4294.78299,4144.491284,4044.722946,3987.041447,4164.632363,4324.425774,4113.730388,4288.605981,4336.615846,4344.629714,4396.317231,4413.349624,4442.755566,4489.079043,4446.928208,4572.416959,4683.350538,5168.024645,5205.412196,5471.776336,5658.134478,5738.916753,5607.903404,5870.143478,5986.410999
Nepal,566.5239721,599.435097,607.5349839,575.6496863,616.6026941,639.1763953,652.7342695,648.2841467,681.7955229,694.474437,709.2643466,736.1781756,747.7238932,757.4763008,799.5639486,806.9645562,829.1172634,849.7119122,854.1409544,870.4821255,902.6584507,924.0356581,904.069456,918.8527014,941.2017462,953.8109234,966.3603791,980.3034191,1021.020877,1048.180797,1079.352811,1101.913079
Netherlands,22271.48002,21945.88146,21574.42761,21937.65871,22519.75339,22993.32913,23503.3514,23805.72555,24466.34478,25395.01475,26275.76023,26705.35819,26956.39412,27105.81704,27740.67865,28464.13229,29298.27542,30394.91951,31393.27148,32645.87146,33690.78287,34081.38569,33890.38298,33844.06201,34480.9681,35104.48753,36237.75037,37576.67229,38105.94485,36569.69524,36997.3111,37250.7157
New Caledonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,17390.3488,17990.56283,17892.58906,18164.38585,18894.21457,18932.93011,19328.11292,19455.3599,19165.20085,18997.00943,18728.22615,18236.71878,18250.05462,19193.11671,19940.5499,20501.74911,20906.28907,20997.86097,20901.72308,21868.04834,22309.0963,22974.41087,23688.01118,24234.26442,24773.99585,25304.94062,25190.91538,25673.39725,25037.38953,24648.73193,24818.03156,
Nicaragua,2748.150165,2815.563112,2717.201233,2768.279791,2656.827528,2487.88322,2407.602911,2340.061989,2006.354606,1930.589803,1886.064558,1838.573891,1801.224803,1750.878389,1767.18181,1830.791542,1907.400453,1945.399473,1981.83281,2086.085446,2137.852247,2169.113827,2155.702447,2181.392828,2268.219565,2335.563655,2401.904502,2458.028567,2493.614416,2424.855233,2499.388393,2579.321682
Niger,940.953381,920.4692687,909.809901,843.0351692,682.1561773,714.799328,739.4242058,719.5275466,747.5354444,732.6973287,701.6685182,697.0313208,630.9205681,619.2728416,622.7940209,617.6527328,617.1655634,612.4954312,653.100371,627.0747467,597.0553099,617.660179,614.5522315,625.1150501,604.3639157,609.8370777,622.8578843,621.6127052,652.1094655,623.6988494,650.1588692,642.0560116
Nigeria,1645.404197,1391.439861,1352.966191,1249.75522,1160.314736,1241.22478,1240.21825,1200.098857,1285.231552,1342.982525,1417.028733,1448.279975,1454.771611,1451.533945,1418.895338,1420.497891,1447.326729,1452.227194,1445.478946,1427.494558,1469.252702,1478.739971,1465.469185,1577.120088,1701.680381,1749.651332,1812.556341,1882.030726,1945.77245,2030.464284,2134.945536,2220.6844
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,26204.78479,26518.91201,26454.71898,27386.87741,28919.35492,30376.59918,31490.54628,31901.4275,31675.43589,31859.61792,32361.91732,33208.28378,34180.4141,34924.37914,36480.27029,37810.65007,39537.98488,41444.78967,42304.01583,42866.46219,43974.79834,44623.55032,45050.22345,45227.21051,46741.64556,47626.27982,48402.63679,49175.28192,48583.24145,47174.5959,46905.79761,46981.55761
Oman,9818.094841,10861.77831,11460.19353,12666.92045,14050.4011,15282.09206,14938.61304,13877.69913,14175.02464,15262.7285,14661.58011,14921.22169,15505.0822,15803.9321,15895.8147,16320.71473,16618.94424,17561.48008,18053.39274,18059.35884,18994.75278,20281.42819,20588.20704,20357.42921,20674.59285,21047.46362,21660.2491,22495.77098,24646.04484,24226.47132,24559.00331,25329.76748
Pakistan,1224.007467,1276.744356,1314.331335,1356.0206,1376.851356,1432.194011,1461.384294,1505.338585,1569.050935,1597.006131,1620.134127,1655.866264,1737.519689,1723.949014,1743.831207,1784.018887,1821.972972,1792.219444,1790.549207,1810.717347,1845.256305,1843.12308,1866.511068,1922.047729,2027.658589,2144.795404,2236.855033,2321.8254,2316.665123,2356.994567,2410.852891,2423.664428
Palau,,,,,,,,,,,,14570.95901,13275.44728,11321.31931,11815.96004,12762.13807,13739.03668,13723.08666,13695.25842,12712.74334,12554.01839,12566.465,12020.69405,11789.13549,12301.23154,12910.64799,13228.19148,13434.15031,12706.40164,12367.42187,12537.12958,13176.10769
Panama,6558.364611,7000.05988,7211.506399,6738.62976,6774.100931,6959.91626,7059.217271,6789.97015,5762.267208,5733.859307,6072.548843,6509.381461,6899.804397,7128.102908,7182.478644,7160.804053,7214.400977,7527.555889,7920.910983,8071.200426,8131.939216,8025.229286,8053.103972,8240.257902,8703.041482,9166.563557,9778.378435,10779.28389,11675.38568,11855.63562,12638.74517,13765.7562
Papua New Guinea,1927.029133,1870.145769,1826.11958,1834.416281,1779.810946,1803.626559,1841.344173,1846.413398,1854.615717,1784.513807,1688.955571,1805.096379,2004.622244,2310.72378,2386.499869,2248.654461,2359.963422,2208.605777,2069.69887,2053.231241,1950.544302,1898.839546,1848.473167,1841.912605,1845.877706,1866.045884,1868.453579,1955.574649,2037.864744,2100.525555,2217.328341,2363.282603
Paraguay,4047.24349,4268.588854,3991.040436,3757.120918,3759.921587,3797.17333,3690.069023,3743.256687,3872.96041,3988.574138,4004.967556,3999.754814,4034.329629,4091.04008,4143.707966,4269.358515,4190.605485,4221.742847,4155.545202,4008.263542,3794.466517,3794.413424,3717.064107,3784.268806,3865.113456,3900.787361,3995.061969,4188.023192,4353.127575,4111.990884,4648.107014,4752.346003
Peru,6083.248546,6360.6715,6171.92688,5316.87006,5465.290264,5491.432022,5905.910905,6238.399733,5573.101135,4817.799109,4476.89533,4483.605782,4379.024286,4502.458308,4987.647783,5320.944107,5360.115544,5630.813787,5501.920485,5465.170258,5543.033552,5477.347311,5676.361013,5831.292659,6048.315079,6386.955259,6805.373976,7332.575781,7967.329574,7949.570574,8558.359098,9049.320988
Philippines,2826.968285,2843.08544,2864.998312,2838.863028,2559.456354,2308.516744,2323.589285,2359.642277,2453.369991,2539.276163,2551.585623,2475.837241,2426.091567,2420.729285,2469.866848,2527.473019,2615.700836,2690.717135,2616.893642,2639.48113,2697.438723,2717.3514,2758.228882,2836.793903,2967.555315,3050.826694,3152.921378,3303.284026,3382.448005,3364.209758,3560.49503,3630.939246
Poland,,,,,,,,,,,8182.094112,7581.136399,7748.002204,8017.220703,8423.762381,8997.150947,9551.206941,10221.33965,10726.69355,11212.92141,11753.35344,11958.98287,12137.23122,12615.1087,13297.13925,13784.16006,14651.8488,15654.51566,16454.80793,16711.31169,17348.1442,18087.44273
Portugal,12008.41427,12097.37278,12280.39316,12202.38784,11927.03137,12228.38042,12723.17476,13538.73824,14567.80463,15528.70736,16177.39255,16910.03807,17090.7112,16720.30582,16845.3659,17520.76387,18117.3432,18853.42288,19747.47667,20465.63156,21154.89624,21431.93042,21438.66723,21095.47803,21300.42179,21368.95879,21606.92228,22067.96874,22036.84801,21375.67528,21665.30354,21317.27548
Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,,,,,,,,,,,,,,,,,,,,,64828.60747,65102.12106,67945.32466,67161.07742,74163.56892,69512.33141,69182.18279,67787.28389,67334.35144,65894.00196,69797.94076,77987.07835
Romania,7624.352087,7623.604701,7893.298417,8347.576065,8813.881775,8766.63768,8936.325377,8972.496341,8885.804167,8332.942713,7852.608344,6899.295744,6346.449249,6451.139985,6717.022719,7212.532728,7523.321801,7084.557408,6759.249476,6688.629694,6837.936335,7329.26333,7819.235465,8248.958092,8965.424834,9361.297906,10122.69365,10750.36964,11781.85991,10797.07449,10920.97585,10905.38262
Russia,,,,,,,,,,13066.4145,12625.61963,11961.63224,10219.0094,9343.790602,8179.432344,7850.835818,7588.798928,7717.766162,7328.874682,7829.368262,8612.658286,9073.131172,9546.037536,10292.10332,11088.16108,11852.80594,12877.69003,14016.15479,14767.30437,13614.5467,14198.97165,14808.48399
Rwanda,815.2026287,833.1044311,823.6195639,847.2395203,784.9673996,789.6573853,796.7924434,758.8855813,760.2695568,742.3627597,726.1138397,732.4105136,825.7148203,818.1275358,431.2577586,591.3408912,639.8739887,671.3623552,662.8073029,652.990891,660.9516505,686.7220035,741.2764797,743.7736049,785.3543346,840.4746595,894.4991516,917.5422835,990.3670358,1000.258414,1040.713293,1097.273217
Saint Kitts and Nevis,5564.075626,5581.863549,5452.122969,5446.978104,6153.284378,6688.008594,7495.224478,8175.678112,8947.525944,9662.023746,9915.10724,10007.67159,10392.26678,11139.02683,11763.03129,12249.58479,13092.63702,14023.63737,14399.62104,14386.34039,14110.60771,13829.64177,13792.17402,13856.94265,14351.76315,14962.96799,15584.62494,14634.38566,15033.18341,14013.8684,13467.58889,13291.09955
Saint Lucia,4290.256051,4368.983001,3830.925591,3937.709507,4791.927391,4444.908563,5029.614827,5055.122892,5587.599712,6011.06972,7321.148921,7412.185267,7866.075544,7909.470895,7865.533027,7970.635675,8309.578944,8197.960946,8587.622279,8690.030297,8561.881142,8025.7132,8210.689999,8299.898071,8669.062842,8940.779941,9349.793424,9349.516614,9739.100554,7994.679994,8268.091183,8231.470508
Saint Vincent and the Grenadines,3291.001993,3462.86803,3599.882807,3729.76448,3920.811459,4131.420329,4376.468227,4545.047294,5177.44519,5279.196548,5523.217071,5541.450741,5947.603117,5951.399726,5770.634596,5828.550394,5908.739132,6697.448198,7048.754595,7361.842816,7492.65154,7652.542553,7934.535175,8162.986083,8682.782854,8852.103268,9681.169928,9970.323904,9900.245959,9664.703102,9481.779001,9482.434176
Samoa,,,2477.942312,2483.984487,2510.547933,2601.300697,2733.829271,2733.86419,2679.250681,2761.043474,2620.806016,2541.682531,2516.682962,2597.946432,2509.268096,2648.446955,2812.48684,2805.423984,2843.188614,2881.063766,3059.367249,3256.110231,3383.590691,3531.858884,3689.615038,3831.106528,3895.817482,4136.792062,3972.230071,3891.098542,3942.977632,4008.418035
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,1219.171782,1338.664611,1389.562412,1458.889305,1416.489881,1488.146587,1553.467258,1668.032974,1706.70372,1752.619623,1805.110198
Saudi Arabia,33902.94266,33319.76554,27796.31987,23981.70278,21934.05054,19908.75426,19953.60354,18354.85742,19103.3456,18435.71394,19304.47541,20391.37087,20690.62373,20121.66415,19765.63032,19404.90927,19746.91791,20009.47209,20324.46561,19840.29313,20321.40056,19804.00644,19107.35496,19768.30306,20021.16752,20405.80675,20406.5017,20242.88239,20564.72937,20091.27908,20534.46978,21430.21466
Senegal,1533.101758,1568.713591,1645.829937,1514.558376,1526.394913,1530.872267,1532.32858,1577.656557,1521.710591,1535.223882,1479.736268,1472.812709,1447.410597,1423.962462,1383.842563,1418.693595,1409.721148,1417.33205,1463.94603,1518.255378,1527.14584,1555.701318,1524.589175,1582.758517,1631.263558,1677.001149,1673.577934,1708.19171,1724.507002,1714.071107,1738.002772,1737.105815
Serbia,,,,,,,,,,,11601.81776,10453.57883,7563.759985,5220.070354,5326.130259,5647.849758,6112.161296,6781.610418,6902.974838,6152.070499,6501.292217,6857.642058,7143.601324,7353.719925,8056.39182,8516.986258,8858.360855,9374.645689,9772.39676,9468.25278,9597.083308,9809.000194
