Market capitalization of listed companies (% of GDP),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.96464879,10.49977824,10.96390013,,,,,,,,,,,
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.401256001,1.444491802,1.541175334,4.138418073,6.707855823,8.324219349,20.74189582,19.09964348,18.57782255,15.86181934,22.66101733,23.03875945,19.41108773,17.24834459,16.02726011,
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.620983213,7.115421633,6.273590586,8.687604549,8.337295483,6.79148791,11.85401295,13.94844226,18.7127693,15.82614305,21.02795784,29.03688291,25.74076158,25.93021138,23.17934276,35.86056874,47.69668727,26.50859147,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.715573274,10.43244603,3.550154072,10.50724916,11.59853514,22.67855621,34.60059647,19.19965842,25.8418875,29.32483972,19.06636017,38.84420796,35.07861295,33.64230051,24.55415458,42.45666591,49.76895412,53.80353589,65.29476593,102.7830853,37.41762707,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.465404456,0.070702636,0.019295739,7.788529053,5.455517775,4.899125561,3.712055284,4.700577316,8.781903681,11.37622373,18.70549903,32.61579443,55.10343789,17.75046833,
Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.57809794,52.38396281,41.52917818,44.63329943,41.93040495,57.92875337,55.80378361,62.0378055,79.22749909,89.03569041,88.10369257,121.1185663,116.0661207,97.9491095,78.310303,103.2426315,118.6724407,130.7380053,133.0090696,152.937169,66.75519115,
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.79929453,33.78540301,43.09398661,76.87203696,66.56480096,93.51282637,123.6532638,103.519027,87.02766684,87.002635,65.34414706,93.46839669,80.30894694,82.12209679,70.74098662,116.6263369,122.3852519,115.3879041,118.9293669,129.9203345,78.14824425,
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.534958544,4.329711944,9.216779934,7.778626135,5.776728582,13.28782025,21.66224916,22.69067163,30.52803161,48.47729908,39.54933518,31.8524667,41.51252836,33.12027438,34.91917506,91.28797097,184.0870059,64.56239689,
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.907237685,2.883160875,3.525824765,9.796346031,11.54132386,16.55982462,17.13388069,19.34317313,17.64020465,18.30818609,13.55860757,13.42994627,10.16402322,14.23046959,10.38934445,15.5486367,22.16937291,31.82736665,34.61996266,49.06787246,35.7033337,
Costa Rica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.540256167,4.502872676,,,6.594485699,6.391780562,9.279279955,14.58090913,18.33449599,18.54836403,15.35230265,12.65836138,7.576958244,7.404092952,8.631314102,7.748307041,6.361462619,
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.261247934,5.441995393,5.085197699,5.155984057,4.33067141,3.748274992,5.148173684,7.872647416,7.529269484,10.88532786,14.22248755,12.0587955,11.37812524,11.04429485,11.56245157,12.01187428,13.45266783,14.22304708,23.92575918,42.19548476,30.19880493,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.524180173,2.626300447,12.72353322,17.98066594,12.63719041,11.20472764,12.84659088,14.50437099,15.01431149,18.08288117,26.91666925,29.07374109,59.14942613,112.6690964,38.64009317,
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.3590773,17.06693615,14.88904027,17.95821094,27.18902414,25.18659322,22.58913804,27.39743044,71.05607479,46.70557952,63.92095117,47.26548248,36.05813286,30.84253097,38.73455052,86.3010923,137.4480293,31.93286083,
Czech Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.45596928,28.3475161,29.1514689,22.37863338,19.47558043,19.59801275,19.39714029,15.08866337,21.11256512,19.33347228,28.17904058,30.78730637,34.08180073,42.14338814,22.66848582,
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.67119341,36.52605823,28.78425321,32.77393943,21.70504614,29.71343352,35.41758063,30.89453974,38.86880504,55.01554643,56.94162033,60.53227549,67.25651136,55.06760408,44.16112424,57.19838385,61.84146062,69.09501286,84.3558017,89.58222514,38.54180414,
Dominican Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7145245,,,,,,,,,,,,
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.575155732,7.302555154,13.45394662,13.02108753,9.145510134,8.99889936,6.563182457,2.487006868,4.416985426,6.666258542,7.026531999,7.51898604,7.90580299,8.644109537,9.673653115,9.317554767,8.342442959,
Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.022166977,4.312905864,4.080647018,7.167866058,7.788704674,8.179716262,8.208411377,13.44431778,20.95676348,26.55648822,28.74141555,36.20053828,28.78786059,24.92537077,29.70242214,32.64768254,48.85005933,88.83482862,86.96857194,106.7570399,52.92337378,
El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.381737406,4.481479185,11.94995027,17.17844242,15.53845339,9.710018464,10.54638736,14.01669469,16.72698961,21.22382866,29.29600721,33.09837723,21.05482351,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.79459605,9.270893924,31.36051734,32.52413714,23.75960042,33.17521427,38.49885922,51.55381002,25.13844143,35.90982978,28.14900639,8.333115799,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.753150726,3.400415028,3.851091031,4.441272204,5.311492542,5.535774144,14.48004739,7.315655702,20.22708938,18.69677579,19.74882378,19.80251868,20.09965924,15.58413349,15.82922055,
Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0612061,26.13374551,16.26613648,11.34849142,11.0686042,26.97203871,38.16808005,33.79655017,49.09787808,59.5090338,118.6427057,267.3146045,241.0862584,152.2541688,102.5836676,103.4815497,97.2748354,107.2531582,126.7065389,150.1338725,56.60705167,
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.41681137,36.20467832,25.2318518,27.97275447,25.56907751,35.32848831,33.07682157,33.25214808,37.56499303,47.34421816,67.36961282,101.2352739,108.9362532,87.65939346,66.35174662,75.32852361,75.63638444,81.9311452,107.1624314,106.8675479,52.24219764,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.791508368,2.773733119,3.077350158,5.075945592,4.021960471,5.531772846,8.610422352,13.65437304,2.558816938,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.58417719,26.96115341,20.7061065,21.72947311,16.87566015,23.12223787,21.92239384,22.88594961,27.51682098,38.19478058,50.07874362,66.81182147,66.84712578,56.67716397,34.26631845,44.18232948,43.5145903,43.77706867,56.23566156,63.49278309,30.35920744,
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.151588723,1.309915965,1.977972669,34.37171453,25.53642874,21.543477,16.53102751,18.51748072,11.87870407,10.09364403,9.936980022,12.02032475,18.69883474,29.7975443,15.48998513,25.41097929,15.92929732,20.38257794,
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.832135329,8.374391682,16.13574855,12.94726656,8.485091414,11.76518929,13.2978415,12.95187889,17.35759887,25.14146702,58.59628306,151.9350609,88.27653988,66.04338845,46.63919464,55.22704736,54.27433524,58.99692618,77.86923537,84.83509319,25.40110706,
Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.846016883,1.064532198,0.781396811,0.886887217,,,,,,,,,,,
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.69563433,16.20506506,22.7113154,20.48564889,24.42242286,25.09305141,
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.303584637,,,7.866315571,8.642173461,,,8.803941055,,,,,,,,,,,
"Hong Kong, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.8299575,112.723066,108.4706422,137.3359995,165.3813305,321.1519348,198.8366121,210.5699686,282.6897299,234.426557,205.7372328,373.0270934,368.6102131,303.7780703,282.7465477,347.6252924,401.0265025,390.099381,471.3531062,561.439035,217.5921592,
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.51066277,1.50854406,2.10386221,3.853423818,5.372141557,11.67556686,32.75115533,29.81557629,33.96328825,25.10298756,19.49013486,19.7130665,19.8386582,28.12738703,29.56171246,37.10833205,34.34138392,12.01238668,
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.688879239,10.25918289,16.50532954,25.04380277,37.45902723,54.98364277,51.03958794,52.51997788,70.99370602,84.73272378,133.2131048,170.517396,216.9009322,199.7135136,33.36283209,
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.050487122,9.320034197,12.1587586,17.83020927,26.51157028,35.50244104,39.56648198,35.700073,31.57124306,31.26338726,25.27024212,40.97987523,32.1750568,23.10263756,25.83074031,46.55726536,55.33452672,68.26797716,89.50551072,154.5684139,55.68444701,
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.284949625,2.21772755,7.06130148,5.321140809,8.625878192,20.88517018,26.68292658,32.94133991,40.02996506,13.49022225,23.15875435,45.77614583,16.26108326,14.33847782,15.32826144,23.28171723,28.52029625,28.48445716,38.09588272,49.01056407,19.33714874,
Iran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1634824,4.126431531,7.213515816,15.39610248,14.39672237,14.49610295,20.88575841,7.25647437,8.406025768,12.32118756,25.43659928,28.79130361,20.16708267,17.02406534,15.93167299,,
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.54034924,46.95339725,60.83868545,75.57729868,71.32563079,84.76814055,71.92604522,49.28514243,54.05287775,61.67777551,56.59276351,73.44751803,55.20980646,18.46249543,
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.43948788,18.45300909,6.324975048,10.44443072,45.00448935,77.05658277,43.79285345,37.89004144,34.1031022,41.7640518,36.06263777,57.60398517,51.36758317,57.10301263,40.14796606,63.68077506,75.29372119,89.47209759,118.8298754,141.5420731,66.53259102,
Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.71498788,18.88791657,13.14620863,13.30249284,10.19118197,13.33539756,17.09183609,18.60695215,20.49534718,28.90703832,46.81105094,60.64792342,70.0203049,47.20029443,39.43073963,40.79437438,45.6988813,44.89789409,55.09269609,50.73102858,22.61559574,
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.79228631,21.72561779,19.83795068,25.08398293,91.36030627,30.05387988,35.43849813,21.84580925,28.90933797,27.4471883,24.46765577,28.65051375,39.76442708,51.65260884,60.32917218,90.43740516,142.2271565,116.8253084,102.3989312,95.99987741,51.40809022,
Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.0597696,149.3049825,96.74416295,90.68634447,63.70981087,69.37431683,78.14261721,69.88499492,66.63250248,52.05257167,64.71474964,104.0790245,67.64342304,54.98285047,54.25965244,71.89867911,79.85912896,104.0507573,108.3372503,101.6657213,65.57911039,
Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.86059035,52.32006071,49.74792939,59.85687882,63.26690943,87.23146383,73.5899231,69.41704521,65.68530008,75.13747022,73.7669036,71.47754074,58.40279471,70.32996219,73.94457774,107.5038452,161.0969314,298.0434454,200.3454117,242.3713513,168.7877153,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.054443536,8.269982637,13.42688394,7.338184389,5.435006075,5.442942927,7.863475884,9.132212265,18.41825828,53.93366008,39.46221233,23.2874867,
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.672990937,6.032595368,5.273221402,5.556846937,7.748714815,18.42905643,43.08811307,20.84822905,15.32479645,13.90696576,14.36150709,10.9287803,10.11001341,8.083766949,10.82243132,28.03483952,24.17335672,34.06989214,50.56403293,49.35258525,35.9632694,
"Korea, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.17849332,42.08100336,31.27990852,32.43545965,38.38339788,45.34352787,35.18635095,24.89349795,8.919915078,35.07401033,88.83358061,32.1694777,43.60921842,43.34538187,51.20149232,59.37167466,85.00550697,87.75072309,107.090549,53.23642341,
Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.03149993,40.84090985,,,,41.97333346,43.66463381,52.78451496,69.34888245,85.70882646,69.87924932,62.46163592,55.07183224,66.46783795,80.50788597,124.0896667,116.6976349,160.9939911,126.9580496,163.889466,72.39888819,
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.315655364,0.282910328,0.253259839,0.457838912,1.598862123,1.537393494,1.707141013,3.271467324,3.182377163,1.854150444,
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.190995707,2.703528819,5.502806352,5.773045838,5.362647837,7.19143469,8.384891095,7.67060185,10.19778156,12.02617183,15.7539904,13.56866669,10.81646336,4.762108785,
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.413320124,,18.43590928,13.82834801,11.04793379,9.171416795,7.043272071,7.316638092,7.451855078,10.65443191,22.54562198,36.89613603,43.3497976,32.94309583,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.060171647,10.99582464,16.93101586,9.611039272,10.42842166,13.88509909,9.864197759,10.32586311,18.86331738,28.6579503,31.51802591,33.86864198,26.05615381,7.657076731,
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,479.7424782,103.4905443,82.86998902,82.37981452,77.33699896,122.4591052,162.4387696,147.2356234,158.8386741,183.0337659,182.9247838,169.627365,167.824548,117.7430573,109.5424738,128.0362109,146.7495229,136.3017747,186.8706535,333.3076133,123.7473537,
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.216111659,0.214172192,0.224024173,0.208894583,0.197943397,1.338391528,4.802085321,7.812463264,7.695678626,11.10935496,17.2350113,34.25510218,8.648762054,
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.56594755,6.05810659,8.065956443,18.55990903,,41.47994479,
Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.05828333,102.4490855,110.3938799,119.266044,158.9145371,328.8763014,267.1828921,250.7293154,304.5845946,93.45021136,136.5522359,183.7622372,124.6776486,129.3407016,122.8337765,152.7882026,152.3136908,131.3742708,150.475531,174.4119622,84.35019526,
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.909110458,4.744356242,14.16039296,13.79080512,22.37784686,52.54426232,52.55698393,35.72413056,32.61654632,36.59070937,50.72904243,69.22394724,70.43189717,75.630137,,
Mauritius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.09992157,10.92096971,12.902162,24.2387932,42.43785951,32.94275535,37.90181246,39.76237254,44.34400519,38.26510406,29.04990449,23.42575838,27.85369332,34.85496882,37.25237713,41.65204011,55.29826204,75.25970909,36.93811292,
Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.535042736,10.13557237,12.44719537,31.22874416,38.22784966,49.85174413,30.82577223,31.63395642,32.00274127,39.00442102,21.78128577,32.01227444,21.5339113,20.29576022,15.88976291,17.49643789,22.64094216,28.23268926,36.71178379,38.88528517,21.37443048,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.772647914,3.782243408,3.049715473,3.245685455,30.43261764,23.63815707,23.57406529,25.61776475,22.08810136,,,,,
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.201251905,2.205285665,5.123425037,4.114681173,3.5453409,3.387837974,3.204603029,2.503805723,2.92717807,1.365875939,1.978167003,3.594762116,15.57844957,7.741157495,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.13683747,46.45556031,65.03840251,96.2482343,58.52577416,
Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.009154864,2.718057602,3.74118068,5.496368837,6.713383269,9.887666436,14.4310299,18.04088718,23.75898948,36.4419931,39.16875621,34.46667996,29.44079001,24.08770926,21.25530884,26.39817342,44.0126137,45.72949566,75.20140919,100.3565662,73.97139238,
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.740050587,0.983624769,6.180916238,5.395238982,13.15084773,18.95341065,12.62245908,20.42290327,7.962386728,4.243460259,5.083475021,6.236229895,6.696080996,5.710251727,6.78879581,7.943598222,7.001231097,
Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.491629531,5.544062963,4.578045341,4.066121713,5.498063787,7.659642274,14.37407622,8.828399489,6.896323992,7.625732604,11.72537884,16.530111,19.89422138,47.74515739,38.7963313,
Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.98919224,66.02630959,40.69574778,44.83046004,40.15296321,55.53546091,80.65458609,85.0852407,90.60736032,121.2665067,149.8036871,168.9629712,166.3200469,114.3682183,91.69893511,90.77389679,88.32529958,92.86109232,115.0994629,123.2368579,44.53553438,
New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.17488268,31.74823824,20.09508387,34.60459478,37.96387752,56.43388272,50.69243553,51.49165925,56.8562661,47.62904054,45.99068431,49.39652533,37.0669593,34.07863908,33.67656219,38.67334725,43.38177033,39.78891092,41.32256525,35.23381095,18.59743023,
Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.201730892,4.235953747,4.811665266,6.883080429,3.729704175,4.823732528,11.45229061,7.232603728,10.08522868,10.06365858,8.98150924,8.452888204,9.21393708,11.25786521,9.708958125,14.03221699,16.46576443,17.2435544,22.34626239,52.04097706,24.04563481,
Norway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.29184226,25.10655178,22.18925793,18.38582473,13.87384353,23.17033602,29.28784151,29.9402676,35.85390216,42.03116762,31.06011912,40.04897053,38.64457855,40.40068345,35.06541052,42.05890559,54.69466156,63.22663997,83.47295695,92.00642023,27.86878754,
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.512500189,8.724810483,13.15906014,14.33063242,17.42401632,44.88095861,31.18128234,27.38373507,17.43064637,13.06362611,19.93644205,23.27290329,25.63650791,49.40593607,43.90305271,55.38250536,,
Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.394137593,6.123817447,7.123143106,16.12691658,16.51066131,22.53374277,23.70179919,15.31431661,16.80191318,17.56433328,8.711737602,11.05962883,8.899470778,6.837211797,14.1061935,19.91548996,29.60077692,41.91310219,35.7001098,49.06477571,14.27663929,
Panama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.40289698,5.777158851,9.02520074,10.51087135,13.72008453,22.38000793,35.07980791,32.71911525,24.04715804,22.03768791,24.03360386,23.77601831,23.98566925,32.81058315,33.35267738,31.9136379,28.44722993,
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.34752729,47.42630279,66.14518313,74.92346755,64.63851232,118.3103451,,,
Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.349101462,0.662758416,1.785313211,4.379941617,4.384533433,3.94181599,5.803949101,,3.468164504,3.054910906,3.699173251,3.585955568,3.442599867,4.410236211,,,
Peru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.524546657,3.088113372,3.242196491,7.288547652,14.6692948,18.21420617,21.97522281,21.99688192,29.69460487,20.51921649,25.99934856,19.82030895,20.64214873,23.53767747,26.17041082,28.84883058,45.34191183,64.62046244,98.57467218,43.08396597,
Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.29720255,28.18541097,13.38250145,25.10045281,28.88080426,74.12423289,88.63292023,79.50594278,97.3773787,38.08450954,54.18622684,55.34448973,34.19358717,58.30666072,50.79988273,29.59187476,33.30010152,40.63147722,58.18076004,71.6623141,31.21501837,
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.188414611,0.263265774,3.156645574,3.106096094,3.281995837,5.354725854,7.721730291,11.8339049,17.60963004,18.26257524,13.66264983,14.50693772,17.14229652,28.12924099,30.88830805,43.62517293,48.74475469,17.09386218,
Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.30615935,18.29284764,12.22200219,11.26161543,8.951285115,13.66640009,17.04459986,16.25530245,20.96323419,34.79662854,53.10713152,54.64973394,53.86653693,40.04590189,33.61645778,37.26330977,39.25170644,36.11751566,53.43238417,59.2188423,28.21943729,
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.90711101,37.4140897,44.3955589,29.00918934,,,113.4600719,166.9434271,205.6291146,108.4430408,134.410978,,
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.172914742,0.281872321,0.161319182,1.776914305,2.412413822,2.453015653,2.885867523,5.286138774,9.954210141,9.384337243,15.61283266,20.81401667,26.73183845,26.53863344,9.957747807,
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.047901216,0.047370151,0.004137359,0.038219473,4.010583423,9.504203939,31.66179274,7.602053164,36.85705554,14.98673727,24.85235012,35.95034366,53.48613345,45.28276614,71.7536581,106.6305383,116.0687519,78.70467881,
Saint Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.55932133,62.56538135,62.19752718,62.33208104,85.93767229,109.5508204,
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.69978567,40.35093776,39.95417209,28.8102683,28.71519432,29.073216,35.99285482,29.19817697,37.55018793,35.64569372,39.99698524,39.70028906,73.30950148,122.3331649,204.7352401,91.65488495,134.1170579,52.54626847,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.638081861,6.968695771,13.3804293,20.64909555,35.98421244,59.6523229,24.30054872,
Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.40986747,119.2016322,93.09936476,110.2755592,98.15838735,228.2418293,190.3204242,175.5877649,162.3026139,110.9009257,114.6476372,240.1711067,164.831621,136.989267,115.3608205,246.0444167,252.5938609,261.8262402,198.5452516,211.7338265,98.9409843,
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.495828103,4.89297626,8.001924257,6.757493547,3.298202382,3.542205831,4.240306499,5.141057706,5.500052816,6.06723407,7.870778145,7.16758699,8.071548447,8.275344025,5.158219293,
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.136107659,1.494162532,3.155975,8.016159176,11.34639597,9.839174016,12.80822609,13.92528341,19.96628279,24.55127347,28.69413287,22.12911507,39.02888252,61.38690737,21.55440473,
South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.9178425,104.8769267,123.1989744,139.737607,79.68552313,131.8958217,166.4482501,185.639776,168.0704336,155.945519,126.7741126,197.0796921,154.2413739,117.9530421,166.5147522,160.6598071,210.8850031,232.8682139,277.4341893,293.766722,177.7138685,
Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.94314866,30.54339653,21.3064846,26.40990319,16.16105053,23.39340999,30.06096594,33.14415697,39.00510762,50.7097422,66.93644255,69.86280913,86.8335327,76.86701385,67.75963546,82.18518175,90.08086873,84.94297955,107.363496,125.1883914,58.97597397,
Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.749425629,6.111115522,11.41604928,21.55468719,14.8407531,24.1810375,24.57840313,15.33420089,13.29712756,13.88821631,10.7945738,10.11747954,6.577322129,8.456185847,9.829485886,14.35813833,17.69875576,23.43701947,27.47019762,23.33863556,10.66388656,
Swaziland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.524688291,2.331157983,8.633083936,21.85644039,23.80001807,19.9532901,29.18554221,7.507978727,5.441058669,6.18104013,4.903111601,9.879083621,12.22476816,9.577491533,9.849484372,7.795283597,7.486243151,6.884860883,,
Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.57805756,58.20545622,40.03355919,39.16207199,29.34430208,53.11811738,60.1678169,70.17945688,89.51160104,108.0573532,110.1189151,145.2076914,133.7033726,105.0213081,72.13458707,93.19656253,105.4843644,110.3657408,145.8070193,135.1147524,52.72709527,
