"TB incidence, all forms in HIV+ (per 100 000 population per year) ",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Estonia,0,0,0,0,0,0,0,0.1,0.3,0.8,1.9,4,5.9,6.9,7.1,6.8,6.6,6.3
Ethiopia,11,17.6,24.9,32.7,39.7,46,50.8,55.7,60.4,65.2,70.4,75.1,79.1,81.2,80.8,78.7,75.8,73.5
Fiji,0,0,0,0,0,0.1,0.1,0.1,0.2,0.2,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Finland,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
France,0.4,0.5,0.5,0.6,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
French Polynesia,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Gabon,12.1,15.3,19.4,24.6,30.8,35.2,44.4,52.1,65.4,73.4,93.5,103.7,112.4,113.9,120.7,133.8,151.8,169.6
Gambia,0.5,0.9,1.6,2.8,4.6,7.2,10.5,14.3,17.9,21,23.3,24.8,25.9,26.8,27.5,28.1,28.9,29.6
Georgia,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.4,0.7,1.1,1.6,2.3,2.9
Germany,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1
Ghana,0.9,2.4,5.7,11.8,20,27.6,32.8,35.4,36.4,36.5,36.2,35.6,34.9,34.2,33.5,32.8,32.1,31.6
Greece,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6
Grenada,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Guam,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Guatemala,0.3,0.5,0.8,1.2,1.8,2.6,3.6,4.5,5.4,6.1,6.5,6.7,6.7,6.7,6.6,6.4,6.3,6.1
Guinea,3.1,4.1,5.4,6.9,8.8,10.9,13.4,16.3,19.5,23.1,26.9,30.9,35,39.2,43.3,47.5,51.7,55.5
Guinea-Bissau,3.2,4.5,6.4,8.8,11.9,15.6,19.7,24,28.1,31.9,35.1,37.8,39.8,41.3,42.4,43.2,43.9,44.5
Guyana,3.7,5.9,6.4,9.9,12.9,17.4,19.5,19.1,19.7,19.4,20.7,23.4,26.6,29.4,30.1,31.4,31.4,31.6
Haiti,37.6,46.2,52.6,57.4,60.6,62.4,63.4,64,64.8,65.7,66.3,67,67.5,67.9,68.2,68.7,69.2,69.9
Honduras,15.2,16.6,16.5,15.8,14.9,13.9,13,12.2,11.3,10.6,9.8,9.2,8.6,8,7.5,7,6.5,6.2
Hungary,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2
Iceland,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
India,0.3,0.5,1,2,3.5,5.5,7.8,9.5,10.6,11,11,10.8,10.6,10.4,10,9.6,9.2,8.8
Indonesia,0,0,0,0,0,0,0,0,0.1,0.6,2,3,3.6,4.3,4.9,5.6,6.2,6.9
Iran,0,0,0,0.1,0.1,0.1,0.2,0.2,0.3,0.4,0.5,0.5,0.6,0.7,0.7,0.7,0.7,0.7
Iraq,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Ireland,0,0,0.1,0.1,0.2,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Israel,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Italy,0.8,0.8,0.7,0.7,0.7,0.6,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Jamaica,0.3,0.4,0.5,0.6,0.7,0.8,1,1.1,1.1,1.2,1.3,1.3,1.4,1.4,1.4,1.4,1.5,1.5
Japan,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Jordan,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Kazakhstan,0,0,0,0,0,0.1,0.1,0.2,0.3,0.5,0.8,1.2,1.7,2.2,2.6,3,3.4,3.7
Kenya,44,52.6,69.7,89.5,112.7,135.4,158.7,186.4,211,230.8,239.8,235.4,234.5,235.9,230.1,204.7,181.5,168.7
Kiribati,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Kuwait,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Kyrgyzstan,0,0,0,0,0,0,0,0.1,0.2,0.4,0.7,1,1.5,2,2.5,2.9,3.3,3.5
Laos,0,0.1,0.1,0.1,0.2,0.2,0.3,0.4,0.5,0.7,1,1.3,1.7,2.1,2.7,3.4,4.2,5
Latvia,0,0,0,0,0,0,0.1,0.1,0.3,0.6,1,1.7,2.4,2.8,3,3,2.9,2.7
Lebanon,0.4,0.4,0.5,0.5,0.6,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.5
Lesotho,13,27.4,52.7,92.6,144.5,199.9,247.1,293.9,340.1,387.6,415.5,434.2,462.4,479.4,485.6,482.5,481.6,480.8
Liberia,9.8,13.9,18.7,23.5,27.8,31.3,34,36.1,37.6,38.8,39.9,41,42.2,43.7,45.5,47.7,50.5,54
Libyan Arab Jamahiriya,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Lithuania,0,0,0,0,0,0.1,0.1,0.2,0.4,0.6,0.8,1,1.2,1.3,1.3,1.4,1.5,1.6
Luxembourg,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Madagascar,0,0.1,0.1,0.2,0.3,0.5,0.9,1.3,1.8,2.5,3.2,3.8,4.4,4.9,5.2,5.6,5.8,6.1
Malawi,60,98.2,143.4,189.1,230,256.7,265.2,277.8,287.4,291.9,297,289.1,289.3,284.1,279.2,268.4,251.8,235.5
Malaysia,0.6,0.9,1.2,1.7,2.3,3.1,4.1,5.4,6.8,8.3,9.8,11.3,12.6,13.7,14.6,15.2,16,16.7
Maldives,0,0,0,0,0,0,0,0.1,0.1,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.4,0.4
Mali,6.2,8.7,12,16.2,21,26.3,31.8,37.1,41.8,45.7,48.8,51.1,52.6,53.7,54.4,54.9,55.2,55.4
Malta,0.1,0.1,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Mauritania,0,0.1,0.2,0.4,0.9,1.8,3.5,6.3,10.5,15.6,20.5,24.4,27.2,29.2,30.7,31.9,33,34.1
Mauritius,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.2,0.4,0.5,0.8,1.1,1.5,1.5
Mexico,1.3,1.4,1.5,1.6,1.6,1.6,1.6,1.6,1.5,1.4,1.4,1.3,1.3,1.2,1.1,1.1,1,1
"Micronesia, Fed. Sts.",,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Monaco,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Mongolia,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.2,0.3
Montserrat,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Morocco,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.5
Mozambique,14.1,20.1,27.1,36.1,46.9,59.7,73.3,89.6,107.7,127.4,148.7,169.7,188.8,203.1,209.9,210.8,207.9,204.1
Myanmar,9.3,11.8,14.1,16.2,18.2,19.9,21.2,22.3,23,23.3,23.4,23.2,22.8,22.2,21.4,20.5,19.6,18.7
Namibia,34.6,54.7,80.4,113.7,152.4,195,236.3,280.5,324.6,369.7,416.7,461.4,501,528.3,538.2,535.2,524.5,515.6
Nauru,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Nepal,0.4,0.6,0.9,1.3,1.8,2.4,2.9,3.4,3.7,4,4.1,4.2,4.2,4.2,4.2,4.2,4.2,4.2
Netherlands,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Netherlands Antilles,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
New Caledonia,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
New Zealand,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Nicaragua,0.3,0.4,0.4,0.5,0.6,0.7,0.8,0.9,1.1,1.2,1.3,1.4,1.5,1.6,1.6,1.6,1.7,1.7
Niger,1.3,1.6,2.1,2.8,3.7,4.9,6.3,7.9,9.5,11,12.2,13.2,14,14.7,15.2,15.7,16,16.3
Nigeria,8.9,12.7,17.1,22.3,28.2,34.6,40.7,47.5,54.5,61.8,69.5,76.8,83.2,87.5,88.7,87.8,85.6,83.3
Niue,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Northern Mariana Islands,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Norway,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Oman,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Pakistan,0.3,0.4,0.5,0.6,0.7,0.9,1.1,1.3,1.5,1.8,2,2.3,2.6,2.9,3.1,3.4,3.6,3.8
Palau,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Panama,2.7,3.3,3.9,4.5,4.9,5.3,5.6,5.8,5.9,6,6.1,6.2,6.2,6.3,6.3,6.3,6.4,6.5
Papua New Guinea,0.6,0.8,1,1.3,1.8,2.3,3,4,5.2,6.7,8.8,11.4,14.7,18.9,24.2,30.7,38.9,46.3
Paraguay,0.3,0.4,0.5,0.6,0.8,1,1.3,1.6,1.9,2.3,2.7,3.1,3.4,3.8,4.1,4.4,4.6,4.8
Peru,4.3,5,5.8,6.5,7.2,7.9,8.4,8.9,9.3,9.5,9.6,9.6,9.5,9.4,9.2,9,8.7,8.4
Philippines,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.5,0.8,0.9,1,1
Poland,0,0,0.1,0.1,0.1,0.2,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Portugal,4.7,5.4,6.1,6.9,7.6,8.2,8.6,8.8,8.8,8.6,8.2,8.2,8,7.6,7,6.6,6.3,5.9
Puerto Rico,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Qatar,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
"Korea, Rep.",0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.7,0.8,0.9
Moldova,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.4,0.8,1.4,2.2,3.3,4.4,5.2
Romania,0.1,0.3,0.7,1,1.4,1.8,2.1,2.3,2.6,2.9,3.2,3.5,3.6,3.6,3.5,3.3,3.1,2.8
Russian Federation,0,0,0,0,0,0.1,0.1,0.4,0.9,2.2,4.7,8.1,11.5,13.9,15.6,16.6,17.4,18
Rwanda,100.9,110.7,116.6,122.6,128.8,135.1,139.6,146.3,153.4,161.3,169.8,177.1,182.1,182.3,176.7,167.4,156.7,148.8
Saint Kitts and Nevis,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Saint Lucia,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Saint Vincent and the Grenadines,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Samoa,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
San Marino,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Sao Tome and Principe,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Saudi Arabia,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Senegal,1.6,1.9,2.4,2.9,3.6,4.4,5.3,6.5,7.9,9.5,11.4,13.6,16.1,19,22.1,25.7,29.6,34
Seychelles,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Sierra Leone,4.5,8.4,14.1,20.8,27.2,32.6,37,41,45.3,50.3,56.5,63.9,72.2,80.8,89.5,98,106.2,114.2
Singapore,0,0.1,0.1,0.2,0.2,0.3,0.5,0.6,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
Slovakia,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Slovenia,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Solomon Islands,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Somalia,0.9,1.3,1.9,2.8,4,5.5,7.2,9,10.8,12.4,13.7,14.7,15.5,16.1,16.5,16.7,16.9,17
South Africa,24.4,37.1,54.8,77.9,105.4,136,169,206.6,253.6,315.7,393.7,478.5,555.1,612.6,650.2,672.5,684.7,690.9
Spain,3.2,3.3,3.4,3.2,3.2,3.1,3,2.9,2.8,2.7,2.6,2.5,2.5,2.4,2.4,2.4,2.4,2.4
Sri Lanka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sudan,9.4,13.2,15.4,16.5,17.1,17.6,18.1,18.7,19.4,20.2,21,21.8,22.6,23.3,24,24.6,25.2,25.7
Suriname,0.9,1.1,1.1,1.5,1.8,2.4,3.4,4.8,6.9,8.5,9.5,11,12.6,15.1,17.6,20.9,24.1,27.4
Swaziland,23.2,38.6,60.2,92,136.7,194,262.1,337.7,416.1,529.5,624.8,722.3,788.7,857.4,900.8,914.3,938.1,962
Sweden,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Switzerland,1,1.1,1,1,1,0.9,0.9,0.8,0.8,0.8,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.5
Syrian Arab Republic,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Tajikistan,0,0,0,0,0,0.1,0.2,0.2,0.4,0.6,0.9,1.4,2.2,3,4.2,5.6,7.3,9.1
Thailand,16.4,22.7,26.8,29.7,31.2,31.8,31.8,31.3,30.5,29.5,28.4,27.1,26.1,25.3,24.8,24.6,24.2,24.2
"Macedonia, FYR",,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Timor-Leste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Togo,20.1,30,42.8,56.7,69.8,80.6,89.1,95.6,100.7,104.7,107.9,110.4,112.4,114.2,115.8,117.3,118.9,121
Tokelau,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Tonga,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Trinidad and Tobago,0.3,0.4,0.6,0.8,1,1.2,1.4,1.5,1.6,1.7,1.8,1.8,1.9,1.9,1.9,1.9,1.9,2
Tunisia,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3
Turkey,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Turkmenistan,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Turks and Caicos Islands,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Tuvalu,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Uganda,96.4,148.8,161.4,173.9,176.8,180.9,174.2,172.7,171.3,165,167.7,171.4,177.6,175.7,164.7,152.7,139.4,127.5
Ukraine,0,0.1,0.1,0.1,0.1,0.2,1.1,2.8,4.7,5.9,7.6,9.5,11.5,13.6,15.6,18.6,19.5,20.5
United Arab Emirates,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
United Kingdom,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.5
Tanzania,66.9,81.5,95,107.8,121.1,135,146.3,156.1,161.2,165.3,170.7,172.7,173.4,167.8,162.3,154.6,146.6,139
Virgin Islands (U.S.),,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
United States of America,0.8,0.9,0.9,0.9,0.9,0.8,0.8,0.7,0.7,0.6,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.5
Uruguay,0.5,0.6,0.8,0.9,1,1.2,1.4,1.6,1.7,1.9,2.2,2.3,2.5,2.7,2.9,3.1,3.2,3.3
Uzbekistan,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.4,0.7,1,1.6,2,2.4
Vanuatu,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Venezuela,0.5,0.6,0.7,0.9,1.1,1.3,1.5,1.7,2,2.3,2.6,2.8,3.1,3.4,3.6,3.8,4,4.2
Viet Nam,0.1,0.2,0.3,0.5,0.8,1.3,1.9,2.9,4.1,5.6,7.3,9,10.5,11.6,12.5,13.1,13.6,13.8
Wallis et Futuna,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
West Bank and Gaza,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Yemen,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Zambia,157.4,210.4,266.5,310.3,344.1,371.3,385.1,400.3,405.6,419.3,417.9,434.9,437.9,451.8,431,406.7,378.6,351.9
Zimbabwe,197.6,238.4,271.3,304.4,335.3,366.4,392.5,425.1,460.2,498.4,540.6,579.7,612.1,628.5,623,601.5,570.6,539.1
