Oil proved reserves total (tonnes),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"Congo, Rep.",96222016,99987338,102903570,100710258,108905988,103118400,98167080,94798000,102300000,96844000,102913800,95248120,98890000,88728200,192692280,184099080,218240000,220286000,231880000,231880000,225060000,214148000,206646000,243474000,243392160,259842000,264616000,264616000,264616000
Denmark,61380000,50604400,44612370,42038579,63486834,60913043,54907532,54907532,73781996,85793019,80645437,84077158,102093692,96088181,102951622,124399877,117536435,128689528,120110226,123541947,151853643,183597060,174159828,174159828,181023269,174159828,157859154,151853643,110672994
Ecuador,132839960,123319240,124669600,120263880,155100440,156587200,168467640,217462520,206632360,196634240,184849280,207928160,441936000,499196720,476199680,461754920,470989200,501133600,559512800,603979200,622802400,631532000,690184000,690184000,690184000,663699212,609016452,545736400,520716139
Egypt,397803780,481532920,504628850,539952904,549091840,518320000,613800000,639034000,582496200,586520000,471807600,482214920,468534000,467170000,537552400,518865600,524253400,507271600,512413880,513818800,494709160,500315200,480810000,480810000,493768000,507408000,507408000,555148000,591976000
Equatorial Guinea,-,-,-,-,-,-,-,-,-,-,-,40920000,40920000,40920000,40920000,75702000,75702000,75702000,75702000,75702000,109120000,151404000,149358000,174592000,240746000,246202000,239382000,232562000,232562000
Gabon,64234170,63219763,65715474,74651720,84977200,89614800,88114400,130944000,126852000,130753040,117304000,119486400,104809760,90296800,190960000,200508000,381920000,364501720,349866000,349866000,330088000,327360000,323268000,311674000,298716000,292714400,293260000,434297600,434297600
India,376049194,474999360,478041080,493768000,512864000,513042725,632214000,602287840,608821400,592712560,758815570,835531840,806124000,799304000,792115720,751533487,748421399,767309620,735777896,678209389,721542401,752036762,760612981,781729992,759103155,807335396,776481552,744641700,790860840
Indonesia,1582649200,1502855200,1436837600,1374912000,1310940400,1252152000,1227600000,1227600000,1227600000,697549600,738606000,805987600,763567200,704778800,679272000,679272000,645172000,664268000,695640000,709280000,698368000,695640000,643808000,645172000,586520000,571516000,596068000,544064136,511159000
Iran,7951574400,7777528000,7658587200,7537054800,8030413600,8047600000,12666104000,12666104000,12666104000,12666104000,12664740000,12666104000,12666104000,12666104000,12862520000,12780680000,12630640000,12630640000,12780680000,12698840000,13575892000,13514512000,17826116000,18175300000,18105736000,18753636000,18877760000,18853208000,18771368000
Iraq,4092000000,4364800000,8047600000,8866000000,8866000000,8866000000,9820800000,13640000000,13640000000,13640000000,13640000000,13640000000,13640000000,13640000000,13640000000,13640000000,15276800000,15345000000,15345000000,15345000000,15345000000,15686000000,15686000000,15686000000,15686000000,15686000000,15686000000,15686000000,15686000000
Italy,51620580,51620580,56782638,58847461,84657751,86722574,87754986,92917044,109435630,104273572,104273572,112532864,87754986,87754986,103241160,105305983,103241160,115630099,115630099,121824569,116662511,112532864,109435630,114597688,109252893,109508208,112596977,119782355,114400394
Kazakhstan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3412728000,3412728000,3412728000,5404168000,5404168000,5404168000,5404168000,5432539200,5432539200,5432539200,5432539200
Kuwait,9265652000,9238372000,9159260000,9138800000,12645644000,12612089600,12892800800,12893210000,12893210000,13247850000,13234210000,13162600000,13162600000,13162600000,13162600000,13162600000,13162600000,13162600000,13162600000,13162600000,13162600000,13162600000,13162600000,13503600000,13844600000,13844600000,13844600000,13844600000,13844600000
Libya,2773012000,3082640000,3026170400,2971337600,2922370000,2905320000,3109920000,3109920000,3109920000,3109920000,3109920000,3109920000,3109920000,3109920000,3109920000,4023800000,4023800000,4023800000,4023800000,4023800000,4910400000,4910400000,4910400000,5336786400,5336786400,5655689600,5655689600,5955633200,5955633200
Malaysia,245520000,313038000,350548000,350548000,395560000,477400000,481492000,453393600,460895600,501201800,485584000,504680000,694276000,676544000,709280000,709280000,676680400,678726400,634260000,685955600,617892000,607934800,619256000,660176000,703824000,716372800,730694800,744744000,744744000
Mexico,6441353600,7774527200,7774527200,7787894400,7694324000,7582885200,7485632000,7380604000,7230836800,7090481200,6997047200,6946170000,6987090000,6925846400,6789310000,6655774400,6611580800,6522920800,2951423200,2935191600,2753370400,2559818800,2345534400,2187992400,2019088280,1864656200,1752658160,1662238600,1619068000
Nigeria,2277880000,2250600000,2284700000,2257420000,2271060000,2264240000,2191402400,2179672000,2182400000,2182400000,2332440000,2728000000,2863172400,2863172400,2863172400,2840939200,2840939200,2840939200,3069000000,3955600000,3955600000,4297418400,4685203600,4808782000,4893486400,4940408000,4940408000,4940408000,4940408000
Norway,496842347,538270355,523795205,522710716,672344424,757554925,833733954,895098912,995807473,1032156914,1125479923,1196610302,1324400734,1298068796,1315461514,1466650930,1587740330,1642368072,1590836668,1489600906,1551213759,1581826863,1425130146,1384333065,1326072873,1322732713,1165969424,1114604629,1023187264
Oman,338817600,401288800,463760000,477400000,531960000,554738800,550646800,559949280,564968800,585278760,593749200,593340000,646536000,682000000,695640000,709280000,722920000,736423600,736560000,783481600,797667200,804760000,778298400,760020800,760020800,760020800,760020800,760020800,760020800
Peru,85719898,120309847,105729778,94978594,91448834,80339600,73083120,65526560,116349200,115530800,112284480,112093520,109474640,109047299,113333669,110226204,105508264,103447124,127859041,121477840,123526568,133586886,129974332,126791029,149672129,147074391,149670083,152969872,152969872
Qatar,488994000,470580000,467170000,454212000,613800000,613800000,613800000,613800000,613800000,613800000,408245200,408245200,425704400,425704400,477400000,504680000,504680000,1706500400,1706500400,1839422200,1787221920,2300617880,2296444040,3764039840,3684941480,3664372360,3806924000,3742270400,3719355200
Romania,148702325,137151973,130843064,217549816,206045840,196688800,185776800,175410400,167908400,163543600,207328000,203372400,169790720,137423000,136454560,137191120,133726560,127029320,158619560,167130920,159574360,157405600,69304840,67354320,63862480,62525760,65158280,65472000,65472000
Russia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7605214289,8077212849,8134786062,8808387777,10086604726,10549838222,10471726143,10581674262,10781344425,10973261305,10782334715
Saudi Arabia,22919292000,22894740000,22572017600,23030867200,23421244000,23391236000,23153081600,23131394000,34780499600,35470820000,35510648800,35591670400,35628089200,35648822000,35651413600,35661780000,35660961600,35674192400,35674328800,35843737600,35841282400,35831870800,35844556000,35836372000,36051884000,36038380400,36043836400,36038107600,36018193200
Sudan,-,27280000,54560000,40920000,40920000,40920000,40920000,40920000,40920000,40920000,40920000,40920000,40920000,40920000,40920000,40920000,40920000,35750440,35750440,35750440,81840000,95480000,95480000,861093200,873642000,873232800,902149600,913880000,913880000
Syria,198056619,257796000,238700000,199144000,190619000,210056000,220968000,234608000,245520000,272800000,256432000,409200000,409200000,402380000,361460000,348965760,334180000,319858000,313720000,313720000,317130000,317130000,310992000,326678000,430887600,409200000,409200000,341000000,341000000
Thailand,-,-,-,-,7911200,14867600,14185600,14185600,14185600,31467480,35654960,30008000,24361040,29748840,31481120,40265280,32899680,40415320,52964120,48895308,70246000,79657600,94388800,68200000,71923720,61789200,62880400,62880400,62880400
Trinidad and Tobago,77884400,77884400,86341200,73656000,77748000,83476800,76929600,84499800,83613200,84377040,82140080,78102640,73792400,76397640,76384000,89560240,98576280,96325680,100945548,111980308,116085948,130953548,153459548,121541948,110347600,109529200,108274320,118804400,113212000
Tunisia,297432885,339826960,334411880,343106016,247566000,242792000,239054640,235290000,244156000,245520000,237145040,54628200,63767000,50345240,46103200,51422800,46376000,42815960,39556000,42011200,57997280,71746400,68336400,88646360,92847480,76384000,81294400,81976400,81976400
Turkmenistan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,74474400,74474400,74474400,74474400,74474400,74474400,74474400,74474400,81840000,81840000,81840000
United Arab Emirates,4147924000,4388806400,4413085600,4411176000,4431636000,4499836000,13258489200,13381522000,13381522000,13381522000,13380840000,13380840000,13380840000,13380840000,13380840000,13380840000,13339920000,13339920000,13339920000,13339920000,13339920000,13339920000,13339920000,13339920000,13339920000,13339920000,13339920000,13339920000,13339920000
United Kingdom,1150875000,1074150000,1017885000,946275000,818400000,767250000,726330000,705870000,583110000,521730000,547305000,567765000,624030000,618915000,588225000,618915000,680295000,705870000,700755000,680295000,644490000,618915000,608685000,584133000,545259000,527868000,490017000,462396000,462396000
United States,4983101200,4977781600,4784775600,4860750400,4922539600,4959504000,4781365600,4828969200,4782593200,4674428000,4615776000,4384714400,4255134400,4116415600,4041122800,4057900000,4070176000,4162791600,3895311200,4047124400,4145196000,4151879600,4183524400,4003340000,3996383600,4081360800,4016161600,4154744000,4154744000
Uzbekistan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,81021600,81021600,81021600,81021600,81021600,81021600,81021600,81021600,81021600,81021600,81021600
Venezuela,2663892000,2712723200,3396360000,3530986800,3823019200,7427525600,7573064400,7924976400,7980082000,8053056000,8191365600,8545323600,8638212000,8790707200,8849222800,9047275600,9911778800,10220588400,10381131200,10482067200,10482067200,10596234000,10544674800,10533626400,10875035600,10913636800,11910448000,13555432000,13555432000
Vietnam,-,-,-,-,-,-,-,-,6970040,14935800,27382300,32736000,47740000,81321680,87118680,104257340,121396000,170008960,259160000,245520000,265980000,300080000,383556800,403744000,420657600,425459899,443300000,465124000,645172000
"Yemen, Rep.",-,-,-,-,-,68200000,68200000,143220000,272800000,272800000,272800000,274164000,274164000,270890400,270890400,270890400,270890400,249475600,252340000,252340000,327360000,327360000,389422000,388740000,409200000,398383480,379192000,364188000,364188000
