"TB prevalence, all forms in HIV+ (per 100 000 population per year) ",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Ethiopia,5.5,8.8,12.5,16.3,19.9,23,25.4,27.8,30.2,32.6,35.2,37.6,39.5,40.6,40.4,39.4,37.9,36.8
Fiji,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Finland,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0,0,0
France,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
French Polynesia,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Gabon,6,7.7,9.7,12.3,15.4,17.6,22.2,26.1,32.7,36.7,46.8,51.8,56.2,56.9,60.3,66.9,75.9,84.8
Gambia,0.3,0.5,0.8,1.4,2.3,3.6,5.2,7.1,9,10.5,11.6,12.4,13,13.4,13.8,14,14.4,14.8
Georgia,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,0.5,0.8,1.1,1.5
Germany,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Ghana,0.5,1.2,2.8,5.9,10,13.8,16.4,17.7,18.2,18.3,18.1,17.8,17.5,17.1,16.7,16.4,16.1,15.8
Greece,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Grenada,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Guam,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Guatemala,0.2,0.2,0.4,0.6,0.9,1.3,1.8,2.3,2.7,3,3.2,3.3,3.4,3.4,3.3,3.2,3.1,3.1
Guinea,1.6,2.1,2.7,3.5,4.4,5.5,6.7,8.2,9.8,11.5,13.4,15.4,17.5,19.6,21.7,23.7,25.8,27.7
Guinea-Bissau,1.6,2.3,3.2,4.4,6,7.8,9.9,12,14.1,15.9,17.5,18.9,19.9,20.7,21.2,21.6,21.9,22.3
Guyana,1.8,2.9,3.2,4.9,6.4,8.7,9.7,9.5,9.9,9.7,10.4,11.7,13.3,14.7,15.1,15.7,15.7,15.8
Haiti,18.8,23.1,26.3,28.7,30.3,31.2,31.7,32,32.4,32.9,33.2,33.5,33.8,33.9,34.1,34.3,34.6,35
Honduras,7.6,8.3,8.3,7.9,7.4,7,6.5,6.1,5.7,5.3,4.9,4.6,4.3,4,3.7,3.5,3.3,3.1
Hungary,0,0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1
Iceland,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.1,0.1,0.1
India,0.1,0.3,0.5,1,1.7,2.8,3.9,4.8,5.3,5.5,5.5,5.4,5.3,5.2,5,4.8,4.6,4.4
Indonesia,0,0,0,0,0,0,0,0,0.1,0.3,1,1.5,1.8,2.1,2.5,2.8,3.1,3.5
Iran,0,0,0,0,0,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Iraq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ireland,0,0,0,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Israel,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Italy,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2
Jamaica,0.1,0.2,0.2,0.3,0.4,0.4,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.7
Japan,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Jordan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Kazakhstan,0,0,0,0,0,0,0,0.1,0.2,0.3,0.4,0.6,0.8,1.1,1.3,1.5,1.7,1.8
Kenya,22,26.3,34.8,44.7,56.4,67.7,79.4,93.2,105.5,115.4,119.9,117.7,117.3,118,115.1,102.3,90.8,84.4
Kiribati,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Kuwait,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Kyrgyzstan,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,0.5,0.8,1,1.2,1.5,1.6,1.7
Laos,0,0,0,0.1,0.1,0.1,0.2,0.2,0.3,0.4,0.5,0.6,0.8,1.1,1.4,1.7,2.1,2.5
Latvia,0,0,0,0,0,0,0,0.1,0.1,0.3,0.5,0.8,1.2,1.4,1.5,1.5,1.5,1.4
Lebanon,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Lesotho,6.5,13.7,26.3,46.3,72.3,99.9,123.5,146.9,170,193.8,207.8,217.1,231.2,239.7,242.8,241.3,240.8,240.4
Liberia,4.9,7,9.3,11.7,13.9,15.7,17,18,18.8,19.4,19.9,20.5,21.1,21.8,22.7,23.8,25.2,27
Libyan Arab Jamahiriya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Lithuania,0,0,0,0,0,0,0.1,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.7,0.7,0.7,0.8
Luxembourg,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Madagascar,0,0,0.1,0.1,0.2,0.3,0.4,0.6,0.9,1.3,1.6,1.9,2.2,2.4,2.6,2.8,2.9,3
Malawi,30,49.1,71.7,94.6,115,128.4,132.6,138.9,143.7,146,148.5,144.6,144.7,142,139.6,134.2,125.9,117.7
Malaysia,0.3,0.4,0.6,0.8,1.1,1.5,2.1,2.7,3.4,4.2,4.9,5.7,6.3,6.8,7.3,7.6,8,8.3
Maldives,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2
Mali,3.1,4.4,6,8.1,10.5,13.2,15.9,18.6,20.9,22.9,24.4,25.5,26.3,26.8,27.2,27.4,27.6,27.7
Malta,0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Mauritania,0,0.1,0.1,0.2,0.4,0.9,1.7,3.2,5.3,7.8,10.2,12.2,13.6,14.6,15.3,16,16.5,17
Mauritius,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.3,0.4,0.5,0.7,0.7
Mexico,0.6,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.7,0.7,0.7,0.6,0.6,0.6,0.5,0.5,0.5
"Micronesia, Fed. Sts.",,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Monaco,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Mongolia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2
Montserrat,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Morocco,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Mozambique,7.1,10,13.6,18.1,23.4,29.8,36.7,44.8,53.8,63.7,74.3,84.8,94.4,101.6,104.9,105.4,103.9,102.1
Myanmar,4.7,5.9,7,8.1,9.1,9.9,10.6,11.1,11.5,11.7,11.7,11.6,11.4,11.1,10.7,10.3,9.8,9.3
Namibia,17.3,27.3,40.2,56.9,76.2,97.5,118.2,140.3,162.3,184.8,208.3,230.7,250.5,264.2,269.1,267.6,262.2,257.8
Nauru,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Nepal,0.2,0.3,0.5,0.7,0.9,1.2,1.5,1.7,1.9,2,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1
Netherlands,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Netherlands Antilles,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
New Caledonia,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
New Zealand,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0
Nicaragua,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.8,0.8,0.8,0.8
Niger,0.6,0.8,1.1,1.4,1.9,2.5,3.2,4,4.8,5.5,6.1,6.6,7,7.3,7.6,7.8,8,8.2
Nigeria,4.4,6.4,8.5,11.2,14.1,17.3,20.4,23.7,27.2,30.9,34.8,38.4,41.6,43.8,44.4,43.9,42.8,41.6
Niue,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Northern Mariana Islands,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Norway,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Oman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Pakistan,0.2,0.2,0.2,0.3,0.4,0.4,0.5,0.6,0.8,0.9,1,1.2,1.3,1.4,1.6,1.7,1.8,1.9
Palau,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Panama,1.3,1.7,2,2.2,2.5,2.6,2.8,2.9,2.9,3,3.1,3.1,3.1,3.1,3.2,3.2,3.2,3.3
Papua New Guinea,0.3,0.4,0.5,0.7,0.9,1.2,1.5,2,2.6,3.4,4.4,5.7,7.3,9.4,12.1,15.4,19.4,23.1
Paraguay,0.1,0.2,0.2,0.3,0.4,0.5,0.6,0.8,1,1.1,1.3,1.5,1.7,1.9,2,2.2,2.3,2.4
Peru,2.2,2.5,2.9,3.3,3.6,3.9,4.2,4.5,4.6,4.7,4.8,4.8,4.8,4.7,4.6,4.5,4.3,4.2
Philippines,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4,0.4,0.5,0.5
Poland,0,0,0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Portugal,2.3,2.7,3.1,3.5,3.8,4.1,4.3,4.4,4.4,4.3,4.1,4.1,4,3.8,3.5,3.3,3.1,2.9
Puerto Rico,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Qatar,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
"Korea, Rep.",0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4
Moldova,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.4,0.7,1.1,1.7,2.2,2.6
Romania,0.1,0.2,0.3,0.5,0.7,0.9,1,1.2,1.3,1.5,1.6,1.7,1.8,1.8,1.8,1.7,1.5,1.4
Russian Federation,0,0,0,0,0,0,0.1,0.2,0.5,1.1,2.3,4.1,5.7,7,7.8,8.3,8.7,9
Rwanda,50.5,55.4,58.3,61.3,64.4,67.6,69.8,73.1,76.7,80.6,84.9,88.5,91.1,91.2,88.3,83.7,78.3,74.4
Saint Kitts and Nevis,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Saint Lucia,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Saint Vincent and the Grenadines,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Samoa,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
San Marino,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Sao Tome and Principe,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Saudi Arabia,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Senegal,0.8,1,1.2,1.5,1.8,2.2,2.7,3.2,3.9,4.8,5.7,6.8,8.1,9.5,11.1,12.8,14.8,17
Seychelles,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Sierra Leone,2.3,4.2,7,10.4,13.6,16.3,18.5,20.5,22.6,25.2,28.2,31.9,36.1,40.4,44.8,49,53.1,57.1
Singapore,0,0,0.1,0.1,0.1,0.2,0.2,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.4,0.4,0.4
Slovakia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Slovenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Solomon Islands,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Somalia,0.4,0.6,1,1.4,2,2.7,3.6,4.5,5.4,6.2,6.8,7.4,7.8,8.1,8.2,8.4,8.5,8.5
South Africa,12.2,18.6,27.4,38.9,52.7,68,84.5,103.3,126.8,157.8,196.8,239.3,277.6,306.3,325.1,336.3,342.3,345.4
Spain,1.6,1.7,1.7,1.6,1.6,1.5,1.5,1.5,1.4,1.3,1.3,1.3,1.3,1.2,1.2,1.2,1.2,1.2
Sri Lanka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sudan,4.7,6.6,7.7,8.2,8.6,8.8,9.1,9.4,9.7,10.1,10.5,10.9,11.3,11.7,12,12.3,12.6,12.9
Suriname,0.5,0.6,0.6,0.8,0.9,1.2,1.7,2.4,3.4,4.3,4.8,5.5,6.3,7.6,8.8,10.4,12,13.7
Swaziland,11.6,19.3,30.1,46,68.4,97,131,168.8,208,264.8,312.4,361.1,394.4,428.7,450.4,457.2,469.1,481
Sweden,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Switzerland,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Syrian Arab Republic,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Tajikistan,0,0,0,0,0,0,0.1,0.1,0.2,0.3,0.4,0.7,1.1,1.5,2.1,2.8,3.6,4.6
Thailand,8.2,11.4,13.4,14.8,15.6,15.9,15.9,15.6,15.3,14.8,14.2,13.6,13,12.6,12.4,12.3,12.1,12.1
"Macedonia, FYR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Timor-Leste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Togo,10,15,21.4,28.4,34.9,40.3,44.5,47.8,50.4,52.4,53.9,55.2,56.2,57.1,57.9,58.6,59.4,60.5
Tokelau,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Tonga,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Trinidad and Tobago,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.8,0.9,0.9,0.9,0.9,0.9,1,1,1,1
Tunisia,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2
Turkey,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Turkmenistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Turks and Caicos Islands,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Tuvalu,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Uganda,48.2,74.4,80.7,87,88.4,90.5,87.1,86.4,85.7,82.5,83.8,85.7,88.8,87.8,82.4,76.4,69.7,63.8
Ukraine,0,0,0,0,0,0.1,0.5,1.4,2.3,3,3.8,4.7,5.8,6.8,7.8,9.3,9.8,10.3
United Arab Emirates,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
United Kingdom,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3
Tanzania,33.5,40.7,47.5,53.9,60.6,67.5,73.2,78.1,80.6,82.7,85.3,86.3,86.7,83.9,81.1,77.3,73.3,69.5
Virgin Islands (U.S.),,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
United States of America,0.4,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2
Uruguay,0.3,0.3,0.4,0.4,0.5,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3,1.4,1.4,1.5,1.6,1.7
Uzbekistan,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,0.5,0.8,1,1.2
Vanuatu,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Venezuela,0.2,0.3,0.4,0.4,0.5,0.6,0.7,0.9,1,1.1,1.3,1.4,1.6,1.7,1.8,1.9,2,2.1
Viet Nam,0.1,0.1,0.2,0.3,0.4,0.6,1,1.4,2.1,2.8,3.7,4.5,5.2,5.8,6.3,6.6,6.8,6.9
Wallis et Futuna,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
West Bank and Gaza,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Yemen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Zambia,78.7,105.2,133.3,155.2,172.1,185.7,192.6,200.1,202.8,209.6,209,217.5,218.9,225.9,215.5,203.4,189.3,176
Zimbabwe,98.8,119.2,135.6,152.2,167.6,183.2,196.3,212.6,230.1,249.2,270.3,289.8,306,314.3,311.5,300.8,285.3,269.5
