"Agriculture, value added (% of GDP)",1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,2.333389248,2.190721649,2.084011629,2.085260293,,2.34391314,2.551210659,3.318907556,3.144474221,2.838003735,3.157496342,3.344744855,3.128055541,3.374874813,2.992721309,2.666727711,2.850292993,2.620122444,3.123889153,2.7654737,2.342788162,2.194145311,2.451847517,2.326734733,2.293187638,2.077301088,2.212097416,2.179118682
Bahrain,,,,,,,,,,,,,,,,,,,,0.9843709796,1.012347548,1.057776481,1.153517516,1.116785179,1.194376929,1.368718954,1.342507202,1.180464505,1.135139026,0.9493460765,0.8821411697,0.9098978952,0.8513808251,0.8603441029,0.8629466469,,,,,,,,,,,,,,,,
Bangladesh,,,,,,,,,,,,,,,,,,,,31.5543184,31.70117471,31.17422557,30.68630451,32.29348801,32.76831115,31.93879712,32.42587351,31.05157408,30.35591023,30.25096794,30.36520119,29.38478792,26.25152713,25.6284899,26.38431848,25.67601183,25.78142393,25.44766787,26.17744348,25.51408614,24.09689501,22.73041716,21.75329256,21.03607584,20.14203289,19.61281397,19.24346501,19.01069898,18.72844738,18.58781574,18.43095586
Barbados,20.24965326,19.35699933,23.07242991,19.88095238,20.01127396,19.62125197,19.18956684,14.62626263,11.96487377,10.97217881,9.403153153,9.870918755,10.36279816,10.69643973,13.3314302,9.492385787,10.3134483,9.315318976,9.180602007,9.90949911,6.974563096,6.843403451,7.140224196,6.709727383,6.236815372,6.37705141,6.867021577,6.481481792,5.162221611,7.399939917,7.438125224,7.091349592,6.77188098,6.452470656,6.303317107,7.239505082,6.992692418,5.805686975,6.245415332,4.292576632,4.604218736,3.762901174,4.464018554,3.542169714,3.765041811,3.106969263,2.80444261,3.157017863,3.027063241,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.5450237,20.98803828,23.57232133,18.2883419,14.9995037,17.46044053,17.02530861,15.37783815,13.8722429,14.64210214,14.15322736,11.87493737,11.7752761,10.20404206,10.32874371,9.773648576,9.752111856,9.343416174,9.775957501,9.434591527,9.224603636,8.13272609
Belgium,,,,,,,,,,4.020533561,3.972975561,4.551149938,4.374639975,3.34489537,3.285582696,3.373216738,2.818361719,2.899859534,2.582426215,2.323902894,2.473422842,2.57493342,2.672307892,2.535548339,2.353934119,2.278039703,2.081974722,2.037208579,2.319761383,2.070952641,1.975045904,1.861173513,1.776445006,1.720629417,1.51438317,1.544987485,1.560764275,1.45613361,1.289631252,1.377705811,1.3157725,1.174804789,1.117453952,1.108919891,0.8279437486,0.9013225968,0.881363407,0.6698079389,0.6717576291,0.6973919754,
Belize,,,,,,,,,,,,,,,,,,31.36165145,30.76923077,27.43830787,26.13168724,22.51192369,21.48214821,20.83445491,20.37259615,20.95213849,22.74624374,22.28496142,20.38819876,19.98050682,18.28921384,17.63946763,16.70778592,16.86392059,17.77193939,17.75389691,17.40041906,16.73909478,17.28010924,16.74845489,15.1627304,14.77204616,16.63329638,16.46562514,15.29950835,14.60899105,12.27138114,12.13027724,,,
Benin,46.19378569,44.70927263,43.71836972,45.52815224,44.61942496,45.14781984,42.08101317,38.86806904,38.4966628,36.32785235,34.35773597,34.23102232,33.62392035,31.53369578,30.53866654,33.19650629,31.85508537,34.5421439,34.99288605,35.43268847,32.66465236,32.5011997,33.15764431,33.31156053,31.54554888,33.67105901,33.27995076,34.38009319,37.85688479,36.07850097,36.32702452,35.99580708,33.7588271,33.45117819,34.03341279,37.66207167,37.47918603,38.20574159,37.84611047,36.53295211,35.52830013,33.760924,32.0856908,32.08306052,32.19986734,,,,,,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8445014501,0.8425142908,0.7366007828,0.7385882069,0.7062407401,0.7288897025,0.8353990025,0.8624322007,0.8868885598,0.8416308466,0.8955777122,0.7992961093,0.8210716276,0.7699596276,0.7729283861,
Bhutan,,,,,,,,,,,,,,,,,,,,,43.48034962,42.98432824,43.46508706,43.62518877,44.19280107,43.83812724,40.12540885,38.04162721,37.36499523,36.31815141,35.38715033,35.02875833,34.1566158,34.6010154,34.29409275,32.51414942,32.32948661,31.56128462,29.5483577,28.43126645,27.65514228,26.98154842,26.3198981,25.58247886,23.17913145,22.13544844,19.23209897,18.97992083,18.74808883,,
Bolivia,,,,,,,,,,20.78299974,20.93701872,20.18941295,21.03499628,22.00073919,21.79392464,21.2915903,20.84693159,19.12915515,18.58726299,19.01624318,19.27080102,17.626111,20.68747219,22.75380441,20.56368896,18.33381704,17.82499561,17.16372021,16.66769891,16.74085359,17.08879544,16.02685296,16.32908715,17.11495533,16.8836134,16.37743056,17.24065428,14.66998755,15.10590337,15.00764784,15.21536404,14.89878565,15.41800031,15.37465563,14.3780137,13.87611061,12.87739439,13.46940454,13.82934328,12.85313726,11.74790277
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.85332285,20.7,25.21315469,21.33744912,19.44020709,16.15335578,10.58301492,10.76126758,10.08915339,8.963525992,10.73575207,10.54785469,10.41605134,8.801428374,7.919462039,7.838390722,7.599480386,8.699478624
Botswana,41.87060187,40.45696794,39.38081427,38.43041083,33.84146341,39.29539295,,,,,,,,,29.87817469,26.82803833,24.8986095,20.59629883,16.4904502,14.68629513,14.27195686,11.67228444,9.011781255,7.653078805,6.386170078,5.687681145,6.699287967,5.960822937,4.966687372,4.853313466,4.817534847,5.20492944,5.009205067,4.42686264,4.365482161,4.00520785,3.675158172,3.309939083,2.816484032,2.699366364,2.259493252,2.006503752,2.454869785,2.030644033,1.819170474,1.829592145,2.033574354,1.984370195,2.952275419,2.470568007,2.464853449
Brazil,19.49661152,17.35048945,16.7939137,17.28611784,18.70991788,15.69293877,15.10875997,14.05029152,13.21590681,12.3452632,12.85925941,12.99468156,13.3574872,12.92023443,12.09889632,13.00439895,14.67498588,11.61129227,11.01609103,11.01366772,10.73569424,8.967900584,10.93790659,11.46086133,11.54090033,11.15718936,10.0097597,10.11553876,8.518876828,8.1,7.79,7.72,7.56,9.85,5.771251402,5.513685646,5.396274471,5.524743214,5.473045941,5.602810361,5.973374193,6.617711167,7.38596762,6.913279284,5.708390758,5.46735679,5.562714119,5.914162259,5.626726234,5.304226816,5.456271013
British Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei,,,,,,,,,,,,,,1.33781821,1.335547213,1.10918347,1.017318066,1.08715347,0.9020681964,0.6348544572,0.6938045423,0.8437893814,0.9847487044,1.065873459,1.212543374,1.927720227,1.930734886,2.216148334,0.9615634208,0.9661418273,1.022053479,0.9652088041,1.077334037,1.198709595,1.161528018,1.122112852,1.227343527,1.410282596,1.234980377,1.024413103,1.134566838,1.093569131,1.222196523,1.127453456,0.9465932742,0.7061418429,0.6896589087,0.6358497688,0.9089511511,0.7598307472,
Bulgaria,,,,,,,,,,,,,,,,,,,,14.61081185,17.04008304,17.16503665,14.49470065,15.8379265,11.92374691,13.14305642,11.41742202,10.92347786,10.6153453,17.0267182,16.94193443,12.93913469,11.30054835,13.34325978,15.74207971,15.63333526,26.72174045,18.38754013,15.85581735,13.557276,13.05188161,11.84480875,11.20378857,10.72842424,9.069305478,7.168425199,5.58366328,7.157135235,4.840688865,5.356905825,5.274312903
Burkina Faso,39.59932848,39.47657824,40.08616234,40.53915854,37.17534114,37.77699419,34.20648564,32.35556065,32.79866475,31.35564881,31.99750095,33.18583807,30.81809418,32.27419654,30.31976033,30.79158641,30.35561266,31.92544698,30.26927142,29.40998742,30.72000492,28.4145506,28.22589406,29.11195056,34.85084182,30.42998838,28.51939794,29.59488173,28.5143099,28.78095958,30.88214951,29.8179287,31.04881692,35.19427337,35.4344175,39.04716876,36.36589961,39.20258332,32.61298455,28.990787,36.61966083,34.85353376,35.59531998,32.85295915,34.12518227,33.28298189,,,,,
Burundi,,,,,,,,,,70.63165235,69.26077751,65.32475225,67.9571987,65.86793786,65.67059044,64.7906644,63.84403621,60.71442473,60.62203176,62.2498857,61.31928993,56.85609019,57.24614179,60.13098241,61.53723632,58.52472731,55.11138488,54.24503787,53.67857949,55.8787003,54.3107131,53.53346468,52.61869799,46.77810863,48.14459886,57.22159774,49.19258097,46.32378457,43.69426499,45.95832628,44.04219886,43.51652999,44.74655472,44.57780248,44.49652934,43.64901004,37.81013941,35.355007,35.15954136,35.14829967,35.17947811
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.52038361,47.68634464,49.62098147,46.59102454,46.33745057,46.3366343,43.33699702,37.8411808,36.16655283,32.87078238,33.59821564,31.1582804,32.40133014,31.65481963,31.88137487,34.85472696,35.65032634,36.01958712,
Cameroon,,,,,32.73182908,31.85079418,31.13330046,31.5057857,30.72351081,31.36392017,31.00411116,31.96504175,30.792829,29.53976476,29.1197122,27.61010905,33.64508248,31.35335451,30.82360287,31.27199216,29.39742062,28.66005643,24.31134078,23.76881242,21.57047735,22.36366396,24.81562877,24.66282911,26.11172765,24.57539141,24.79498173,27.27185284,20.5514877,23.80908091,23.63496874,23.58740156,24.7441626,25.33391343,24.35913581,22.13506273,22.16972073,22.13631871,21.74891808,20.47350463,19.53492334,19.85714544,19.46522064,,,,
Canada,,,,,6.487887336,7.045539723,5.465023453,5.394653841,5.328032788,4.723809951,4.414920024,4.191784058,5.570497954,5.723077278,5.275141873,4.693295275,4.108832775,4.441765693,4.618202167,4.316366661,4.217796395,3.877437918,3.472282924,3.486018072,3.4669889,3.527979013,3.098099443,2.994107762,2.959650997,2.862509582,2.74284223,2.73038752,2.804406436,2.748154455,2.90607832,3.002817962,2.501016275,2.576269825,2.483472464,2.276259338,2.237988252,2.179335795,2.09984984,2.167396569,1.840625422,1.660719177,1.686431041,1.906603906,,,
Cape Verde,,,,,,,,,,,,,,,,,,,,18.5600465,15.77264812,12.58012028,12.05682004,11.85648906,12.98960838,13.63127291,17.64634431,17.69673287,16.21087173,14.41486453,13.42439383,11.81746469,10.15769803,12.8883637,13.70806811,12.47956684,11.70492539,10.97396804,13.67781763,12.9048908,11.44171177,10.37165448,10.1634394,9.883436401,9.018918496,8.337783054,7.199958975,6.390294641,8.838007934,9.931001627,10.35859954
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,,,,,46.26439655,42.14876033,39.52254642,39.07769417,37.84402802,35.47010684,37.24695086,38.49128404,39.1634981,39.49329359,37.74842937,40.11859885,40.24076358,39.73663519,39.07563299,39.99999621,39.67361176,41.67380645,40.3707406,42.02692308,47.59643535,50.27765557,46.85613675,48.20778611,46.30333801,47.59345675,45.03082349,46.09512526,45.64526748,44.93632639,46.22091479,49.69768159,51.42545851,53.33680918,53.87405209,53.14947205,54.299215,54.30682805,59.72043901,55.28845978,54.44285194,55.03643445,53.86560574,52.89421468,56.47980737,,
Chad,39.86846026,39.81206944,39.72646061,38.46230069,37.74527746,38.49887506,42.0804907,41.35421869,40.85117062,39.67878513,39.6748595,39.52254002,38.02048233,38.543063,38.28974192,37.01560833,35.16572546,35.76616926,40.81380746,45.08867462,39.74994929,39.45673606,39.15669483,33.61263964,38.05864052,32.62196653,33.11313874,36.75805277,31.6555242,29.27986572,36.49593846,35.34349528,32.46493321,37.83631045,35.83829683,39.00421791,39.94404155,40.81711133,39.74719883,42.31419695,41.81033233,39.44327228,33.59690649,23.46974651,12.26984427,11.65586209,12.51624817,13.63036745,,,
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,10.5715699,8.899233358,8.125829633,8.510897082,8.743169399,9.266409266,8.656716418,7.725321888,6.911764706,6.907216495,8.181096108,8.365508366,6.704106704,5.753900603,6.630766749,8.545279856,9.99855056,7.773920049,7.380709429,7.253159854,6.324888495,5.494167403,5.863050412,7.54085819,7.635754888,8.964973665,9.224611173,8.871018985,8.687262704,8.708563911,9.927558347,9.93380047,9.222462925,9.434019163,9.238634624,6.042556175,5.935907954,6.121745233,6.207362417,6.113242169,5.368924788,5.730756865,5.270700835,4.719359818,4.647736151,4.114561963,3.913278895,3.629118956,3.551728212,3.448490308,3.40496952
China,35.51048972,39.29090476,39.92989526,38.57370589,37.94067982,37.59100553,40.26157322,42.15077482,37.9895744,35.21551865,34.05456742,32.85810777,33.35293444,33.87935118,32.39915802,32.84981598,29.42315567,28.18775376,31.26569192,30.17423442,31.88118407,33.38843596,33.17959985,32.13190716,28.44276841,27.14010433,26.81074088,25.69601404,25.10490045,27.1162108,24.52631821,21.78988616,19.70855184,19.86123877,19.96226583,19.69102205,18.28713611,17.55598209,16.4702209,15.06301182,14.39175176,13.74273287,12.79734009,13.39312146,12.12302312,11.11345205,10.76971034,10.73156846,10.3331503,10.0953195,10.04182862
Christmas Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cocos Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,,,,,29.30987407,28.49646051,28.33321498,28.26220654,27.52158799,25.68515862,24.05361431,24.59311576,24.61837987,24.87507714,24.38788343,24.12750545,25.57464667,23.56027123,21.99908104,19.91112489,19.80134268,19.30392809,19.18011959,17.79984867,17.45161619,18.02962947,18.7166203,17.37315893,16.61764801,16.74809279,17.4222753,15.79826406,13.8791042,16.0759062,15.28357035,13.82056547,13.7090314,14.2628143,13.96067682,8.938650137,8.775876266,8.786695441,8.725577495,8.468114458,8.393229381,8.11395643,7.937396848,7.619722387,7.40323674,7.038334156,6.772253653
Comoros,,,,,,,,,,,,,,,,,,,,34.01164929,34.19857613,33.47825983,34.9703494,34.63209037,36.11672899,37.40714393,37.97408242,39.46857522,40.88994852,41.42110057,39.65819331,39.51006273,39.11056919,37.61683753,40.89181219,40.89130631,40.89352261,40.92945658,40.9497772,48.55360201,49.9633972,50.15182297,50.54705897,50.93530102,51.015237,45.17689802,45.34372178,45.81208285,46.30912028,,
"Congo, Dem. Rep.",,,,,20.09565349,21.63302594,21.64212678,21.78074341,18.00107888,16.13844848,14.9392389,15.18284129,15.0441898,15.76030574,17.73448027,22.87865679,23.96436718,27.49831679,28.31871738,26.821514,25.93109118,31.44654096,34.54651271,31.43857489,31.8216704,33.62236547,29.72746504,29.83856492,28.57995826,30.96446703,41.66951194,49.41528476,51.72309077,57.00000051,56.9999995,33.55157912,48.13721718,47.48193579,52.7184479,49.97223014,59.74499202,51.00512202,51.00515793,47.25902987,45.52059724,45.66865839,42.46523139,40.2144267,42.90833842,,
"Congo, Rep.",20.49180095,19.80472225,20.954082,21.10970787,19.13580059,19.18819188,19.8630171,19.61414791,17.70683176,17.89473684,17.13640909,16.42512077,15.72847682,15.11710433,14.47688564,13.47753744,15.42553191,16.03630862,14.31372549,11.68146781,7.882591841,7.85915493,7.582582583,6.91704747,7.447436135,12.08970312,11.93728588,13.8670698,12.9345403,12.86089239,11.31780929,11.52756311,11.24851993,10.31393786,10.4525658,8.986689236,9.139190086,10.95556908,8.355757952,5.304252999,5.799931651,6.261580123,6.275223939,5.509406303,4.544180397,3.960322565,4.327298473,3.676951204,4.505897968,3.830400598,3.745467563
Cook Is,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,,,,,,,,,,,,,,,,,,,,,,,13.88013263,13.32586855,11.85824655,13.20240481,13.50152511,13.02873768,12.41595643,12.27183637,13.44004077,13.34473279,13.03534101,13.39038205,13.6961884,12.84740575,12.99235218,12.8332588,10.54177562,9.456535752,8.800701675,8.535846541,8.74858546,8.623275729,8.731489597,8.917804027,8.48263769,7.205679468,7.275063669,6.852428597,7.016491772
Cote d'Ivoire,46.40683488,45.90405269,44.16710416,39.80135978,39.61846068,37.4403809,34.75976223,35.5611587,33.56880414,31.86676514,30.88032897,29.80047163,31.04990113,25.46684645,28.24445816,24.4793521,24.26585161,25.88063722,26.40238586,25.88027326,26.53399835,24.1253134,21.88195713,24.13447098,26.53757892,28.4615445,29.18235257,32.03932189,32.71644011,32.49842767,33.29394293,34.00968692,28.21520627,25.26363051,24.7276058,24.60262093,23.31929288,24.12114943,21.98939335,24.2156215,24.69955111,25.65428644,25.55537908,23.18172211,22.81608433,22.92430573,23.85368261,24.97847956,24.65808824,22.80391121,24.31426056
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.89858131,10.88340433,14.84481449,13.94186716,11.54326696,7.327925705,7.082310337,6.633587837,6.899893319,6.996437865,6.46811506,6.469678277,6.36839546,5.229500099,5.585703201,5.043383554,5.179379417,4.874757404,5.178567182,5.417064928,5.514840253,5.467572852
Cuba,,,,,,,,,,13.32867471,13.32695728,13.32699522,13.33063715,13.33774091,13.32103963,13.31836693,13.3271849,13.34883765,13.37320892,13.23735047,13.30498286,13.37121382,13.45673242,13.49433023,12.54402802,13.64256256,13.69715455,13.87859419,13.67876565,13.99482784,13.30896183,13.13330206,10.26560278,9.585068386,8.766641216,9.674596308,9.641027646,8.569985461,8.001776085,8.411051663,8.533021625,7.933904921,7.79660787,7.09758456,5.622879996,4.484300793,4.970419617,4.958808681,5.046184665,4.991896186,
Cyprus,,,,,,,,,,,,,,,15.71984436,15.90296496,13.21200662,10.91806515,10.24134646,9.5883204,9.257990868,9.269196995,7.900061804,8.94272469,7.488868061,7.327128344,7.431749242,7.174707922,6.929859444,6.859177525,6.191348562,5.72367785,5.612727883,5.067521297,5.065998661,4.574798061,4.038761538,4.173650614,3.974263756,3.602588888,3.751756097,3.734116978,3.412616837,3.001522316,2.788366143,2.398726527,2.215325263,2.083345217,,,
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czechoslovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,,,,,,7.826699794,6.934429959,6.582679335,6.705625065,5.65526895,5.646992525,5.912579538,6.314125395,6.199139671,5.293598908,5.033825656,5.500044833,5.583845912,4.783191488,4.878560454,5.213185626,5.523895914,4.793888093,5.517394151,5.017283293,4.677270854,4.011382618,3.924471848,4.304447886,3.99614046,3.680337737,3.380336814,3.250160641,3.171453607,3.47151294,3.395276119,3.183496898,2.657574477,2.359558834,2.61032066,2.82823754,2.203319908,1.982655408,1.927231949,1.430333054,1.330023799,1.176883599,0.9684827748,0.9105220373,1.187324174,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.289621703,3.0619576,3.18270459,3.305112079,3.524247617,3.594062655,3.235423173,3.572617922,3.533751193,3.481328876,3.489712132,3.544197839,3.538367668,3.581828581,3.613000787,3.618258228,3.533525074,3.50676208,3.855276533,,,,
Dominica,,,,,,,,,,,,,,,,,37.61792453,39.1201737,32.89224953,30.68039516,31.71800405,30.4400978,29.09876954,28.02308945,27.94697241,30.24440321,29.77823052,28.45373097,23.97795947,25.00811162,23.78976826,22.39658532,21.47693581,21.72610614,18.88431733,19.90548721,19.39426605,18.84828388,18.71893759,13.93222272,13.00566631,12.4125581,12.67602182,13.09264998,13.657716,12.61569425,12.82599318,14.19802376,13.69106486,13.24758459,
Dominican Republic,,,,,23.24062689,21.9127953,20.33243139,20.32249036,21.30028499,23.23953044,22.23955833,20.5806877,22.22885748,22.15271972,21.47084098,19.0489458,20.06714342,18.56358981,18.67316462,20.14779049,18.57712998,17.71722776,17.22338105,18.53752141,13.10040852,17.36714612,11.86862834,15.7470965,13.82777731,13.42282548,13.34079994,12.53562527,11.23150938,10.29788892,10.00591168,9.27138359,9.063553341,8.717208505,8.02517856,7.245164837,7.461964363,7.209847318,6.419084071,6.988036288,7.453918544,7.058108927,6.571333587,6.309061968,6.214328653,6.220920584,6.097625428
East Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.072971819,8.4493131,7.316686435,7.047824123,7.007744073,6.958102318,6.683921702,7.209683894,6.971391819,7.478754887
Egypt,,,,,28.60093926,27.94487896,28.55649715,29.43541237,29.84751145,29.42856019,29.16592023,31.07698318,30.66531995,30.49797521,29.03481013,28.2887258,27.05070302,25.34087362,20.90736164,18.26365937,20.09424982,19.56510978,19.63770731,20.05036289,19.98622958,20.78606661,20.49457653,18.95957724,19.67336262,19.36663921,17.57403009,16.54242047,16.71250684,16.87458197,16.77922622,17.25984546,16.95435335,17.11367707,17.31736085,16.74074262,16.55871103,16.46219947,16.33866623,15.17611233,14.86467224,14.06986666,14.07021828,13.22384993,13.68036616,13.98981905,13.94704897
El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.42301346,17.51989128,14.5641938,14.9224645,15.02019748,14.47785748,14.01846226,14.38550904,12.9026147,11.20915427,10.48007893,10.12050039,9.143774715,8.958671047,9.543760687,10.61217774,10.72947027,11.86587908,12.54025345,12.36894208,12.55223979,12.71027417
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,68.85806597,68.45457725,67.37596305,61.97551648,62.56439056,61.54962372,58.36480676,51.14292867,48.63798791,49.51317647,51.58472717,36.50585147,23.33008877,21.69179367,12.8392289,9.816036897,7.204450773,6.368704683,5.507588608,4.087669208,2.610416236,2.770179124,2.677879664,1.997381755,3.184728351,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.55896178,22.40599378,24.36763657,20.93939941,17.99476809,16.85999278,25.52899258,24.88204328,15.09513817,17.9,16.4,12.87475529,11.57574946,24.20987982,26.10804183,25.38314991,17.3828125,14.52868262,,
Eritrea and Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
