"","sex","age","educ","country","y","v1","v2","v3","v4","v5","v6"
"65315",0,54,1,"Eastasia",1,2,2,5,5,5,5
"115859",1,48,1,"Eurasia",2,3,3,5,5,3,5
"30741",1,55,5,"Oceana",4,5,5,5,5,5,5
"87974",0,30,2,"Oceana",2,3,2,4,5,5,5
"140966",0,35,1,"Eastasia",1,3,4,5,5,3,5
"46293",1,71,3,"Eastasia",1,2,1,3,5,3,5
"163463",1,27,3,"Eastasia",3,3,2,5,5,5,5
"3946",0,78,2,"Oceana",1,1,3,2,4,3,1
"42315",1,67,4,"Oceana",3,3,2,3,5,5,5
"2157",1,47,2,"Oceana",1,2,2,1,2,4,2
"79340",0,29,4,"Oceana",3,3,4,3,3,4,5
"119525",1,51,5,"Eurasia",2,2,5,4,5,5,2
"26301",0,63,3,"Oceana",3,3,5,5,5,5,5
"167550",0,53,3,"Eastasia",4,4,3,5,5,5,5
"42090",1,84,2,"Oceana",1,1,1,5,4,4,5
"25324",0,43,4,"Oceana",3,5,4,5,4,5,3
"117374",1,48,3,"Eurasia",3,3,3,4,5,5,5
"120366",0,50,1,"Eurasia",3,3,3,4,4,4,4
"2806",0,28,3,"Oceana",1,2,1,1,3,5,2
"76784",1,55,1,"Oceana",1,1,1,5,5,5,5
"85193",1,20,4,"Eastasia",5,5,5,5,5,5,5
"109963",0,56,1,"Eurasia",4,5,4,4,4,5,5
"120397",0,70,1,"Eurasia",2,2,3,3,4,5,5
"60470",0,37,1,"Oceana",2,2,2,3,5,5,5
"98636",0,21,4,"Eastasia",3,3,2,4,2,2,2
"110047",1,28,5,"Eurasia",3,3,3,2,2,1,2
"28150",0,42,4,"Oceana",2,2,3,4,4,4,5
"84649",0,62,4,"Eastasia",5,5,5,5,5,5,5
"118196",0,36,3,"Eurasia",5,5,5,5,5,5,5
"57136",1,28,1,"Oceana",5,5,5,5,5,5,5
"71010",1,51,1,"Eastasia",5,5,5,5,5,5,5
"145298",1,20,2,"Eastasia",2,2,1,3,4,5,3
"162131",1,43,5,"Eastasia",3,3,3,3,3,3,3
"81406",0,45,1,"Eastasia",1,1,1,1,1,1,1
"164869",1,61,6,"Eastasia",3,3,2,4,5,5,5
"110303",0,37,6,"Eurasia",3,3,2,3,5,3,3
"78048",1,28,1,"Oceana",2,2,2,4,5,4,5
"118281",1,23,3,"Eurasia",3,3,4,3,3,3,3
"24024",1,75,3,"Oceana",2,2,2,3,4,3,5
"101158",1,25,3,"Eastasia",2,5,4,3,4,5,2
"113030",0,35,4,"Eastasia",2,2,2,2,3,2,3
"61465",0,34,1,"Oceana",2,2,2,2,4,4,5
"119390",0,29,4,"Eurasia",3,4,1,3,5,3,5
"950",0,19,3,"Oceana",2,2,2,5,5,5,5
"119084",1,63,1,"Eurasia",3,3,2,2,2,1,3
"24643",0,59,6,"Oceana",3,3,2,4,4,3,5
"56613",0,35,1,"Oceana",5,5,4,4,5,5,5
"127032",1,24,1,"Eastasia",5,5,5,5,5,5,5
"78703",1,40,1,"Oceana",3,4,2,5,5,4,3
"150796",1,53,4,"Eastasia",2,2,4,3,4,4,5
"41762",1,35,4,"Oceana",2,2,2,5,4,5,5
"108599",1,50,3,"Eurasia",1,1,1,4,5,5,4
"166412",0,31,1,"Eastasia",3,3,3,4,3,4,3
"50610",0,47,5,"Eastasia",4,4,4,4,4,4,3
"170400",0,20,3,"Eastasia",3,3,2,2,4,3,4
"142",0,44,3,"Oceana",2,2,2,2,2,2,2
"110622",0,37,3,"Eurasia",3,3,3,3,3,3,3
"78321",1,NA,1,"Oceana",3,3,4,4,5,5,5
"150486",1,69,4,"Eastasia",3,3,2,3,4,4,5
"27969",0,44,4,"Oceana",3,3,3,4,4,4,4
"154341",1,19,3,"Eastasia",2,2,2,4,4,4,5
"843",0,51,2,"Oceana",4,4,4,4,4,4,4
"61135",0,45,1,"Oceana",4,4,4,4,4,4,4
"88111",0,30,5,"Oceana",3,3,2,4,5,5,5
"77442",1,20,3,"Oceana",2,2,3,3,3,3,4
"119647",1,80,1,"Eurasia",3,3,2,3,4,3,5
"61252",0,62,1,"Oceana",5,5,5,5,5,5,5
"115907",0,90,1,"Eurasia",5,5,5,5,5,5,5
"17437",1,43,4,"Eastasia",3,3,2,4,5,4,5
"110230",0,28,4,"Eurasia",3,3,2,4,5,5,5
"90873",1,53,1,"Oceana",2,2,2,3,4,4,4
"132505",0,36,6,"Eastasia",3,3,1,5,5,3,5
"463",0,55,1,"Oceana",5,5,5,5,5,5,4
"24061",0,65,3,"Oceana",2,2,2,3,4,4,5
"155330",0,26,NA,"Eastasia",2,2,2,3,5,1,5
"603",1,61,1,"Oceana",2,2,2,5,5,5,5
"42669",1,40,4,"Oceana",2,2,2,3,5,4,5
"128180",0,68,1,"Eastasia",3,2,2,5,3,3,5
"26881",1,77,2,"Oceana",3,2,3,4,4,4,4
"4360",1,23,4,"Oceana",3,2,1,4,5,4,5
"128252",0,48,3,"Eastasia",3,2,3,5,3,3,5
"88856",0,30,7,"Oceana",3,2,2,5,4,4,5
"59641",1,28,1,"Oceana",3,1,2,5,5,5,5
"125667",1,57,1,"Eastasia",3,2,1,4,5,3,5
"78538",1,52,1,"Oceana",3,1,1,4,4,3,5
"89971",1,28,4,"Oceana",2,1,1,5,3,5,5
"74774",0,34,3,"Oceana",3,2,2,4,5,5,5
"98190",1,20,3,"Eastasia",4,2,2,5,5,5,5
"76998",0,18,1,"Oceana",3,2,2,5,5,5,5
"37771",0,21,5,"Eastasia",2,1,3,4,4,4,5
"1379",0,72,2,"Oceana",3,1,1,5,5,5,5
"47175",1,34,5,"Eastasia",3,2,1,4,4,3,5
"82247",1,30,2,"Eastasia",2,1,2,3,4,5,4
"4028",0,50,1,"Oceana",3,1,1,4,5,5,5
"83918",0,20,1,"Eastasia",3,1,2,4,3,3,5
"89999",1,30,3,"Oceana",3,2,2,5,5,5,5
"42641",1,35,4,"Oceana",3,1,3,4,4,5,5
"78558",1,47,1,"Oceana",3,2,1,4,5,4,5
"116872",1,18,4,"Eurasia",2,1,1,4,3,5,5
"155287",0,37,3,"Eastasia",3,2,1,5,4,4,5
"78731",1,38,1,"Oceana",3,2,2,4,5,4,5
"42755",1,60,1,"Oceana",3,2,2,5,5,4,5
"116552",1,68,1,"Eurasia",4,3,3,5,5,4,5
"119774",1,39,1,"Eurasia",3,2,4,4,5,3,5
"44669",0,25,4,"Oceana",3,1,1,4,3,4,4
"23450",1,30,5,"Oceana",3,1,1,4,4,4,5
"103279",1,54,2,"Eastasia",2,1,1,3,5,3,5
"51748",1,54,5,"Eastasia",3,2,2,4,5,4,5
"117889",0,20,1,"Eurasia",4,3,1,5,5,5,5
"148657",0,55,5,"Eastasia",3,2,2,4,4,5,5
"170806",1,19,4,"Eastasia",3,1,1,5,3,3,5
"22825",0,43,3,"Oceana",2,1,1,5,4,4,5
"119789",0,21,4,"Eurasia",3,2,4,5,3,3,4
"99700",1,37,3,"Eastasia",2,1,1,3,4,3,5
"119681",1,20,3,"Eurasia",3,2,4,4,3,1,5
"23655",1,42,3,"Oceana",3,1,3,4,4,5,5
"101948",0,31,3,"Eastasia",4,2,1,5,5,4,5
"37928",1,34,4,"Eastasia",2,1,3,3,4,4,5
"97315",1,22,1,"Eastasia",3,1,1,5,5,5,5
"90645",0,22,5,"Oceana",3,2,1,4,4,4,5
"131352",1,52,5,"Eastasia",3,2,2,4,5,5,5
"3392",1,42,2,"Oceana",3,1,1,5,5,5,5
"23288",1,62,5,"Oceana",3,2,2,4,3,3,5
"81480",0,18,1,"Eastasia",2,1,1,3,5,5,5
"47907",0,36,5,"Eastasia",3,1,2,4,4,4,4
"155209",1,32,4,"Eastasia",2,1,2,5,5,4,5
"23272",0,37,6,"Oceana",3,2,2,5,5,4,5
"117321",1,66,1,"Eurasia",4,2,1,5,4,4,5
"125327",1,28,1,"Eastasia",4,3,2,5,5,3,5
"156041",1,40,1,"Eastasia",4,2,4,4,4,3,5
"20166",1,83,2,"Eastasia",3,2,2,3,3,3,3
"3085",0,24,4,"Oceana",3,1,2,3,5,3,5
"115861",0,22,4,"Eurasia",5,3,1,5,1,5,5
"7578",1,59,1,"Eastasia",5,2,2,5,5,3,5
"8296",0,32,1,"Eastasia",5,3,3,5,5,5,5
"43044",1,50,4,"Oceana",4,3,2,4,4,5,5
"53027",0,34,6,"Eastasia",3,2,2,3,5,5,5
"9857",1,48,NA,"Eastasia",5,4,4,5,5,5,5
"116053",1,38,7,"Eurasia",5,4,3,5,5,4,5
"117837",0,25,3,"Eurasia",5,3,1,5,5,5,5
"119139",0,25,3,"Eurasia",4,3,3,4,5,4,5
"28144",1,59,3,"Oceana",4,2,3,5,4,4,4
"118227",0,28,3,"Eurasia",4,2,1,4,5,3,5
"72478",1,23,2,"Eastasia",5,2,3,5,2,5,5
"59565",0,NA,3,"Oceana",4,3,1,4,5,5,5
"108562",0,57,4,"Eurasia",3,2,1,3,4,3,5
"132225",1,65,5,"Eastasia",4,1,5,5,5,4,3
"45188",1,69,3,"Eastasia",4,2,2,4,3,3,5
"144391",1,32,3,"Eastasia",3,1,3,3,4,5,5
"48235",1,76,3,"Eastasia",3,2,2,3,3,4,5
"125656",0,27,1,"Eastasia",3,1,1,3,3,3,4
"41348",1,27,3,"Oceana",4,3,1,4,3,3,5
"162548",1,42,4,"Eastasia",3,2,1,3,3,3,5
"127868",1,46,1,"Eastasia",5,1,1,5,5,5,1
"115772",0,66,2,"Eurasia",5,3,2,5,5,5,5
"117954",1,70,1,"Eurasia",4,2,2,4,5,3,5
"194",0,21,2,"Oceana",5,2,4,5,3,5,4
"40477",1,22,5,"Eastasia",3,2,2,3,5,3,5
"108363",1,37,5,"Eurasia",5,4,4,5,5,5,5
"43862",0,53,3,"Oceana",3,2,2,3,5,5,5
"118327",1,33,4,"Eurasia",4,3,2,4,5,5,5
"49882",1,51,6,"Eastasia",4,3,1,4,5,4,5
"58633",1,18,1,"Oceana",5,4,3,5,3,3,5
"115753",1,52,3,"Eurasia",5,2,2,5,5,5,5
"171662",1,22,6,"Eastasia",3,2,1,3,4,4,5
"75442",0,30,3,"Oceana",4,3,3,4,3,4,4
"152882",1,21,4,"Eastasia",4,3,1,4,3,4,5
"118389",1,50,3,"Eurasia",4,1,2,4,4,3,3
"92750",1,19,5,"Oceana",4,3,3,4,4,5,5
"63117",1,31,3,"Eastasia",5,3,1,5,5,5,5
"120054",0,54,2,"Eurasia",3,2,2,3,3,3,4
"42743",0,30,4,"Oceana",5,2,2,5,5,4,5
"146950",0,38,2,"Eastasia",5,3,2,5,5,4,5
"160339",1,39,1,"Eastasia",5,4,5,5,3,4,5
"101154",1,52,2,"Eastasia",4,2,1,4,5,4,5
"78405",0,40,1,"Oceana",4,3,3,4,4,4,5
"5290",1,29,2,"Oceana",5,1,5,5,5,5,5
"78281",1,22,4,"Oceana",3,1,1,3,5,5,5
"123554",0,20,5,"Eastasia",3,1,1,3,5,5,5
"115639",1,62,1,"Eurasia",5,2,2,5,5,5,5
"108965",1,21,6,"Eurasia",5,1,1,5,4,3,5
"91858",1,29,5,"Oceana",5,2,1,5,5,3,5
"59708",1,51,1,"Oceana",4,2,2,4,3,3,5
"110095",0,75,1,"Eurasia",3,2,3,3,3,2,2
"41344",0,34,4,"Oceana",3,2,2,3,5,4,5
"111964",1,71,2,"Eastasia",4,2,2,4,4,3,5
"23924",0,60,5,"Oceana",3,1,1,3,4,4,5
"116672",1,28,5,"Eurasia",5,2,5,5,5,5,5
"124356",1,48,3,"Eastasia",5,2,3,5,5,5,5
"20075",1,25,1,"Eastasia",5,1,2,5,5,3,5
"129355",1,83,1,"Eastasia",4,1,2,4,5,5,5
"137663",0,50,1,"Eastasia",4,2,2,3,5,4,5
"129119",1,26,4,"Eastasia",3,1,1,2,4,4,5
"114086",0,30,1,"Eastasia",3,1,2,2,1,3,4
"17881",1,59,2,"Eastasia",4,1,1,3,5,4,5
"75870",1,36,3,"Oceana",4,2,2,3,4,4,5
"43344",0,26,4,"Oceana",4,2,2,3,4,4,5
"43369",0,47,3,"Oceana",4,3,1,3,5,4,5
"93407",1,64,1,"Eastasia",3,1,3,2,2,2,5
"58757",1,43,1,"Oceana",4,3,2,3,4,3,5
"109911",1,20,5,"Eurasia",4,3,5,3,5,5,5
"42296",0,18,4,"Oceana",4,2,2,3,4,3,5
"1881",0,20,2,"Oceana",3,2,3,2,4,3,4
"127830",1,21,3,"Eastasia",4,1,4,2,4,3,5
"165923",0,63,4,"Eastasia",4,3,4,2,4,3,5
"169505",0,27,3,"Eastasia",4,2,1,3,3,3,5
"111809",1,27,2,"Eastasia",3,1,4,1,2,4,4
"110608",0,25,5,"Eurasia",4,3,2,3,4,4,5
"21883",0,26,3,"Oceana",4,1,1,3,4,4,5
"119537",1,30,1,"Eurasia",3,1,1,2,4,1,5
"120004",0,20,3,"Eurasia",3,1,1,2,4,1,5
"92195",1,31,5,"Oceana",4,2,1,3,4,5,5
"119535",0,20,1,"Eurasia",3,1,1,2,4,1,5
"109387",1,61,1,"Eurasia",3,2,1,1,4,4,5
"42168",0,33,4,"Oceana",4,3,2,3,4,4,5
"88740",1,23,1,"Oceana",4,2,1,3,5,4,5
"121943",0,47,3,"Eastasia",3,1,1,1,4,5,5
"127747",1,23,4,"Eastasia",4,1,4,3,4,4,5
"126257",1,36,3,"Eastasia",4,1,1,3,5,3,5
"115888",1,30,2,"Eurasia",4,3,5,3,5,5,5
"20393",0,39,3,"Eastasia",3,2,2,2,4,4,5
"28638",1,19,4,"Oceana",4,3,3,3,4,4,5
"134964",1,20,5,"Eastasia",4,3,3,3,4,3,5
"116826",1,25,4,"Eurasia",4,3,4,3,4,4,5
"50389",1,49,6,"Eastasia",4,1,2,3,4,4,5
"128524",0,45,5,"Eastasia",4,2,3,3,4,4,5
"118474",0,25,2,"Eurasia",3,2,4,2,3,5,4
"1771",0,46,2,"Oceana",4,2,2,3,5,4,5
"117246",0,28,6,"Eurasia",4,2,2,1,4,4,5
"70366",0,19,4,"Eastasia",4,2,2,3,4,3,5
"110185",1,43,2,"Eurasia",4,2,1,3,4,4,5
"118861",0,28,3,"Eurasia",4,2,1,3,4,4,5
"82600",1,30,1,"Eastasia",4,2,1,3,4,3,5
"146857",0,31,2,"Eastasia",4,3,2,3,5,3,5
"110568",1,22,3,"Eurasia",4,2,1,3,4,3,5
"164144",1,42,3,"Eastasia",4,2,1,3,4,4,5
"171811",1,40,3,"Eastasia",3,2,1,2,4,4,5
"70818",1,29,3,"Eastasia",4,1,1,3,4,5,5
"109912",0,23,4,"Eurasia",4,3,5,3,5,5,5
"88267",0,58,1,"Oceana",4,2,2,3,5,5,5
"123576",0,24,3,"Eastasia",4,2,2,3,1,5,5
"124280",1,19,3,"Eastasia",4,1,2,3,5,5,5
"78421",1,48,1,"Oceana",4,2,1,3,3,4,5
"60617",NA,1,NA,"Oceana",4,3,4,3,4,4,4
"116223",0,84,2,"Eurasia",5,2,2,4,4,5,5
"117250",0,63,1,"Eurasia",4,2,1,3,5,5,4
"60716",1,17,1,"Oceana",5,2,1,4,4,5,5
"120123",1,50,1,"Eurasia",5,2,1,3,4,4,5
"131444",1,43,6,"Eastasia",5,4,2,4,5,4,5
"129590",1,43,1,"Eastasia",5,1,1,4,4,3,5
"146355",0,19,3,"Eastasia",5,3,3,4,5,5,5
"119313",1,59,1,"Eurasia",5,2,1,3,4,4,5
"120182",1,60,1,"Eurasia",5,3,1,3,4,4,5
"108806",0,40,4,"Eurasia",5,1,1,2,4,5,5
"89062",1,19,3,"Oceana",5,2,1,4,5,4,5
"80014",0,21,1,"Eastasia",5,4,3,4,5,4,5
"119274",0,70,1,"Eurasia",5,1,4,4,4,2,5
"164051",1,23,4,"Eastasia",5,2,1,3,5,4,5
"120697",0,55,2,"Eastasia",5,3,3,3,4,4,5
"88620",1,32,3,"Oceana",5,1,2,4,4,3,5
"108783",0,51,3,"Eurasia",3,2,2,2,3,3,3
"125138",1,44,5,"Eastasia",5,1,1,4,4,4,5
"118810",0,38,2,"Eurasia",5,2,1,4,4,3,5
"118357",1,45,3,"Eurasia",5,4,5,2,4,4,5
"3073",0,40,4,"Oceana",4,3,4,3,4,4,4
"119805",0,28,4,"Eurasia",5,4,5,4,5,5,5
"78608",0,48,1,"Oceana",5,2,2,3,4,4,5
"109023",1,41,1,"Eurasia",5,2,1,4,5,5,5
"108928",1,36,5,"Eurasia",5,4,5,4,5,5,5
"120563",1,64,1,"Eurasia",5,3,2,4,5,3,5
"67154",0,50,4,"Eastasia",5,2,1,4,4,4,5
"118114",1,42,1,"Eurasia",5,3,4,4,4,3,5
"120147",1,18,3,"Eurasia",5,2,4,4,3,2,5
"117780",1,36,2,"Eurasia",5,4,1,4,5,4,5
"105904",1,25,1,"Eastasia",5,2,1,3,5,5,5
"133299",0,55,5,"Eastasia",5,4,2,4,3,3,5
"132348",1,57,6,"Eastasia",4,3,3,3,3,3,4
"109354",1,37,3,"Eurasia",5,3,2,3,4,4,5
"159708",1,43,1,"Eastasia",5,4,2,4,5,3,5
"106245",1,NA,1,"Eastasia",5,2,2,4,5,5,5
"120238",1,34,3,"Eurasia",4,1,3,3,3,4,4
"89183",1,40,2,"Oceana",5,4,2,4,5,4,5
"146303",0,82,3,"Eastasia",5,3,3,4,5,5,5
"118887",0,21,3,"Eurasia",5,2,1,4,4,4,5
"119142",1,45,1,"Eurasia",5,4,5,4,5,5,5
"116020",1,23,5,"Eurasia",5,4,5,3,4,4,5
"117930",1,29,3,"Eurasia",5,4,1,4,4,4,5
"108370",0,23,5,"Eurasia",4,3,4,3,3,3,4
"92330",0,29,4,"Oceana",5,3,3,4,4,4,5
"118363",1,40,4,"Eurasia",5,4,4,4,4,4,5
"138535",1,45,1,"Eastasia",5,2,3,4,5,4,5
"119180",1,31,3,"Eurasia",5,2,1,4,4,4,5
"75899",0,75,3,"Oceana",4,3,3,3,3,4,4
"108662",0,56,1,"Eurasia",4,2,2,3,3,3,4
"117796",1,22,NA,"Eurasia",5,4,1,3,5,3,5
"109234",1,89,4,"Eurasia",5,2,1,4,3,4,5
"149954",1,44,4,"Eastasia",5,2,1,4,5,3,5
"162577",1,36,2,"Eastasia",4,3,3,3,3,3,3
"109394",0,24,5,"Eurasia",5,2,3,3,3,3,3
"164915",0,33,3,"Eastasia",4,3,3,3,3,3,3
"118593",1,34,4,"Eurasia",4,3,3,3,3,3,3
"119527",1,34,5,"Eurasia",5,2,3,3,3,3,4
"154731",0,40,3,"Eastasia",5,2,3,4,5,4,4
"110214",0,52,1,"Eurasia",5,3,2,3,3,3,3
"149219",1,46,2,"Eastasia",5,4,2,4,3,3,4
"45504",1,68,7,"Eastasia",5,4,4,4,4,4,4
"110948",0,50,5,"Eurasia",3,2,2,2,2,2,2
"108779",0,25,3,"Eurasia",4,1,1,1,1,1,1
"108556",0,19,3,"Eurasia",5,3,4,3,4,4,4
"104234",0,22,3,"Eastasia",5,3,3,3,3,3,3
"120201",1,30,1,"Eurasia",5,3,3,4,4,4,4
"117801",0,54,2,"Eurasia",5,4,4,4,5,4,3
"116254",1,60,1,"Eurasia",4,1,3,3,5,4,3
"108589",0,44,1,"Eurasia",5,3,1,3,3,3,3
"147776",1,45,3,"Eastasia",4,3,3,3,3,3,3
"120368",1,20,1,"Eurasia",5,3,4,4,4,4,3
"117175",1,34,3,"Eurasia",4,3,2,2,3,2,2
"118122",0,48,4,"Eurasia",5,2,5,4,3,3,4
"146621",0,38,5,"Eastasia",4,2,2,2,2,2,2
"1864",0,68,2,"Oceana",5,3,3,3,3,3,3
"119735",1,26,1,"Eurasia",5,4,2,4,5,2,2
"154760",1,19,1,"Eastasia",5,4,4,3,3,3,4
"108897",1,45,2,"Eurasia",3,1,2,1,3,2,2
"117885",0,54,1,"Eurasia",5,4,1,4,5,5,3
"117277",1,23,2,"Eurasia",5,1,2,4,3,3,3
"109055",0,28,5,"Eurasia",5,2,2,3,3,3,3
"104169",1,35,3,"Eastasia",5,3,3,3,3,3,3
"120211",1,55,1,"Eurasia",5,3,2,4,4,3,4
"92064",1,29,3,"Oceana",5,2,5,3,5,5,2
"119167",1,55,1,"Eurasia",5,4,3,4,3,4,4
"118089",0,NA,1,"Eurasia",5,2,5,4,3,3,4
"26614",0,33,7,"Oceana",5,3,5,4,5,4,3
"120431",1,40,1,"Eurasia",5,3,3,4,4,4,4
"119108",0,24,5,"Eurasia",5,3,2,4,4,3,4
"119293",1,27,1,"Eurasia",4,1,2,3,3,3,3
"110306",0,30,7,"Eurasia",5,3,2,4,5,3,3
"123808",1,45,4,"Eastasia",5,4,3,3,5,3,4
"119329",1,20,2,"Eurasia",5,3,3,4,4,3,4
"92438",1,44,1,"Oceana",4,3,5,2,4,4,1
"120030",1,55,1,"Eurasia",5,2,2,3,3,3,4
"168448",1,65,3,"Eastasia",5,4,4,4,3,4,4
"147495",1,33,2,"Eastasia",4,3,3,3,3,3,3
"118244",0,46,2,"Eurasia",5,4,2,4,4,4,4
"118516",0,50,1,"Eurasia",5,3,3,4,4,5,3
"117903",1,26,2,"Eurasia",5,4,4,4,4,4,4
"142546",0,70,1,"Eastasia",5,2,3,3,4,4,3
"119375",1,22,1,"Eurasia",5,4,3,3,4,3,3
"120066",1,41,1,"Eurasia",4,2,4,3,3,4,2
"108784",1,35,3,"Eurasia",4,2,2,3,2,2,3
"109614",1,39,5,"Eurasia",4,3,3,2,3,3,2
"116011",1,36,1,"Eurasia",5,3,4,3,2,4,2
"107534",1,41,2,"Eastasia",4,2,5,3,2,4,3
"111669",1,25,4,"Eastasia",5,3,4,4,3,4,4
"118728",0,44,2,"Eurasia",5,4,5,4,5,4,4
"121362",1,43,4,"Eastasia",5,1,3,1,3,3,3
"108776",0,49,3,"Eurasia",5,3,4,3,2,3,3
"109604",1,31,5,"Eurasia",4,3,2,2,3,1,3
"120098",0,53,1,"Eurasia",4,2,3,3,3,3,3
"116405",1,40,1,"Eurasia",4,2,3,3,3,3,2
"141024",0,42,5,"Eastasia",5,2,4,3,3,5,3
"108443",0,40,2,"Eurasia",5,4,1,1,5,4,2
"110293",0,23,3,"Eurasia",5,3,3,3,4,4,2
"117227",0,40,3,"Eurasia",5,3,3,3,3,3,3
"117445",1,44,4,"Eurasia",5,2,4,2,4,4,4
"110560",0,38,4,"Eurasia",4,1,2,2,1,2,1
"20416",0,48,3,"Eastasia",5,2,3,3,2,3,3
"60079",0,57,1,"Oceana",4,1,3,1,2,3,2
"52621",0,47,5,"Eastasia",4,3,3,3,3,5,3
"108533",0,28,3,"Eurasia",5,3,5,4,4,4,4
"109068",1,18,4,"Eurasia",4,3,3,3,3,3,3
"56676",1,42,1,"Oceana",5,4,1,3,3,2,4
"58098",0,41,1,"Oceana",5,3,4,3,3,4,4
"117252",1,41,6,"Eurasia",5,4,2,1,4,4,3
"110212",0,40,3,"Eurasia",4,3,2,3,4,3,3
"168326",0,24,4,"Eastasia",5,3,4,3,3,3,4
"95744",1,70,1,"Eastasia",3,2,1,1,2,1,1
"109491",1,18,4,"Eurasia",3,1,1,1,1,1,2
"65788",1,19,1,"Eastasia",5,3,3,3,3,3,3
"147766",0,53,4,"Eastasia",4,3,3,3,3,3,3
"116952",1,18,3,"Eurasia",5,4,4,4,4,4,4
