"Country code","Country or area","Sort order","Major area","Code","Sort order","Region","Code","Sort order","Developed region","Least developed country","Sub-Saharan Africa"
344,"China, Hong Kong Special Administrative Region",81,"Asia",935,71,"Eastern Asia",906,78,"No","No","No"
446,"China, Macao Special Administrative Region",83,"Asia",935,71,"Eastern Asia",906,78,"No","No","No"
170,"Colombia",222,"Latin America and the Caribbean",904,180,"South America",931,217,"No","No","No"
174,"Comoros",10,"Africa",903,7,"Eastern Africa",910,8,"No","Yes","Yes"
178,"Congo",34,"Africa",903,7,"Middle Africa",911,29,"No","No","Yes"
184,"Cook Islands",258,"Oceania",909,238,"Polynesia",957,256,"No","No","No"
188,"Costa Rica",210,"Latin America and the Caribbean",904,180,"Central America",916,208,"No","No","No"
384,"Côte d'Ivoire",57,"Africa",903,7,"Western Africa",914,53,"No","No","Yes"
191,"Croatia",157,"Europe",908,127,"Southern Europe",925,153,"Yes","No","No"
192,"Cuba",190,"Latin America and the Caribbean",904,180,"Caribbean",915,181,"No","No","No"
531,"Curaçao",191,"Latin America and the Caribbean",904,180,"Caribbean",915,181,"No","No","No"
196,"Cyprus",112,"Asia",935,71,"Western Asia",922,108,"No","No","No"
203,"Czech Republic",131,"Europe",908,127,"Eastern Europe",923,128,"Yes","No","No"
408,"Democratic People's Republic of Korea",80,"Asia",935,71,"Eastern Asia",906,78,"No","No","No"
180,"Democratic Republic of the Congo",35,"Africa",903,7,"Middle Africa",911,29,"No","Yes","Yes"
208,"Denmark",141,"Europe",908,127,"Northern Europe",924,139,"Yes","No","No"
262,"Djibouti",11,"Africa",903,7,"Eastern Africa",910,8,"No","Yes","Yes"
212,"Dominica",192,"Latin America and the Caribbean",904,180,"Caribbean",915,181,"No","No","No"
214,"Dominican Republic",193,"Latin America and the Caribbean",904,180,"Caribbean",915,181,"No","No","No"
218,"Ecuador",223,"Latin America and the Caribbean",904,180,"South America",931,217,"No","No","No"
818,"Egypt",41,"Africa",903,7,"Northern Africa",912,39,"No","No","No"
222,"El Salvador",211,"Latin America and the Caribbean",904,180,"Central America",916,208,"No","No","No"
226,"Equatorial Guinea",36,"Africa",903,7,"Middle Africa",911,29,"No","Yes","Yes"
232,"Eritrea",12,"Africa",903,7,"Eastern Africa",910,8,"No","Yes","Yes"
233,"Estonia",142,"Europe",908,127,"Northern Europe",924,139,"Yes","No","No"
231,"Ethiopia",13,"Africa",903,7,"Eastern Africa",910,8,"No","Yes","Yes"
234,"Faeroe Islands",143,"Europe",908,127,"Northern Europe",924,139,"Yes","No","No"
238,"Falkland Islands (Malvinas)",224,"Latin America and the Caribbean",904,180,"South America",931,217,"No","No","No"
242,"Fiji",243,"Oceania",909,238,"Melanesia",928,242,"No","No","No"
246,"Finland",144,"Europe",908,127,"Northern Europe",924,139,"Yes","No","No"
250,"France",173,"Europe",908,127,"Western Europe",926,170,"Yes","No","No"
254,"French Guiana",225,"Latin America and the Caribbean",904,180,"South America",931,217,"No","No","No"
258,"French Polynesia",259,"Oceania",909,238,"Polynesia",957,256,"No","No","No"
266,"Gabon",37,"Africa",903,7,"Middle Africa",911,29,"No","No","Yes"
270,"Gambia",58,"Africa",903,7,"Western Africa",914,53,"No","Yes","Yes"
268,"Georgia",113,"Asia",935,71,"Western Asia",922,108,"No","No","No"
276,"Germany",174,"Europe",908,127,"Western Europe",926,170,"Yes","No","No"
288,"Ghana",59,"Africa",903,7,"Western Africa",914,53,"No","No","Yes"
292,"Gibraltar",158,"Europe",908,127,"Southern Europe",925,153,"Yes","No","No"
300,"Greece",159,"Europe",908,127,"Southern Europe",925,153,"Yes","No","No"
304,"Greenland",235,"Northern America",905,232,"Northern America",905,232,"Yes","No","No"
308,"Grenada",194,"Latin America and the Caribbean",904,180,"Caribbean",915,181,"No","No","No"
312,"Guadeloupe",195,"Latin America and the Caribbean",904,180,"Caribbean",915,181,"No","No","No"
316,"Guam",249,"Oceania",909,238,"Micronesia",954,248,"No","No","No"
320,"Guatemala",212,"Latin America and the Caribbean",904,180,"Central America",916,208,"No","No","No"
324,"Guinea",60,"Africa",903,7,"Western Africa",914,53,"No","Yes","Yes"
624,"Guinea-Bissau",61,"Africa",903,7,"Western Africa",914,53,"No","Yes","Yes"
328,"Guyana",226,"Latin America and the Caribbean",904,180,"South America",931,217,"No","No","No"
332,"Haiti",196,"Latin America and the Caribbean",904,180,"Caribbean",915,181,"No","Yes","No"
336,"Holy See",160,"Europe",908,127,"Southern Europe",925,153,"Yes","No","No"
340,"Honduras",213,"Latin America and the Caribbean",904,180,"Central America",916,208,"No","No","No"
348,"Hungary",132,"Europe",908,127,"Eastern Europe",923,128,"Yes","No","No"
352,"Iceland",145,"Europe",908,127,"Northern Europe",924,139,"Yes","No","No"
356,"India",102,"Asia",935,71,"Southern Asia",5501,98,"No","No","No"
360,"Indonesia",89,"Asia",935,71,"South-Eastern Asia",920,86,"No","No","No"
364,"Iran (Islamic Republic of)",103,"Asia",935,71,"Southern Asia",5501,98,"No","No","No"
368,"Iraq",114,"Asia",935,71,"Western Asia",922,108,"No","No","No"
372,"Ireland",146,"Europe",908,127,"Northern Europe",924,139,"Yes","No","No"
833,"Isle of Man",147,"Europe",908,127,"Northern Europe",924,139,"Yes","No","No"
376,"Israel",115,"Asia",935,71,"Western Asia",922,108,"No","No","No"
380,"Italy",161,"Europe",908,127,"Southern Europe",925,153,"Yes","No","No"
388,"Jamaica",197,"Latin America and the Caribbean",904,180,"Caribbean",915,181,"No","No","No"
392,"Japan",82,"Asia",935,71,"Eastern Asia",906,78,"Yes","No","No"
400,"Jordan",116,"Asia",935,71,"Western Asia",922,108,"No","No","No"
398,"Kazakhstan",73,"Asia",935,71,"Central Asia",5500,72,"No","No","No"
404,"Kenya",14,"Africa",903,7,"Eastern Africa",910,8,"No","No","Yes"
296,"Kiribati",250,"Oceania",909,238,"Micronesia",954,248,"No","Yes","No"
414,"Kuwait",117,"Asia",935,71,"Western Asia",922,108,"No","No","No"
417,"Kyrgyzstan",74,"Asia",935,71,"Central Asia",5500,72,"No","No","No"
418,"Lao People's Democratic Republic",90,"Asia",935,71,"South-Eastern Asia",920,86,"No","Yes","No"
428,"Latvia",148,"Europe",908,127,"Northern Europe",924,139,"Yes","No","No"
422,"Lebanon",118,"Asia",935,71,"Western Asia",922,108,"No","No","No"
426,"Lesotho",49,"Africa",903,7,"Southern Africa",913,47,"No","Yes","Yes"
430,"Liberia",62,"Africa",903,7,"Western Africa",914,53,"No","Yes","Yes"
434,"Libya",42,"Africa",903,7,"Northern Africa",912,39,"No","No","No"
438,"Liechtenstein",175,"Europe",908,127,"Western Europe",926,170,"Yes","No","No"
440,"Lithuania",149,"Europe",908,127,"Northern Europe",924,139,"Yes","No","No"
442,"Luxembourg",176,"Europe",908,127,"Western Europe",926,170,"Yes","No","No"
450,"Madagascar",15,"Africa",903,7,"Eastern Africa",910,8,"No","Yes","Yes"
454,"Malawi",16,"Africa",903,7,"Eastern Africa",910,8,"No","Yes","Yes"
458,"Malaysia",91,"Asia",935,71,"South-Eastern Asia",920,86,"No","No","No"
462,"Maldives",104,"Asia",935,71,"Southern Asia",5501,98,"No","No","No"
466,"Mali",63,"Africa",903,7,"Western Africa",914,53,"No","Yes","Yes"
470,"Malta",162,"Europe",908,127,"Southern Europe",925,153,"Yes","No","No"
584,"Marshall Islands",251,"Oceania",909,238,"Micronesia",954,248,"No","No","No"
474,"Martinique",198,"Latin America and the Caribbean",904,180,"Caribbean",915,181,"No","No","No"
478,"Mauritania",64,"Africa",903,7,"Western Africa",914,53,"No","Yes","Yes"
480,"Mauritius",17,"Africa",903,7,"Eastern Africa",910,8,"No","No","Yes"
175,"Mayotte",18,"Africa",903,7,"Eastern Africa",910,8,"No","No","Yes"
484,"Mexico",214,"Latin America and the Caribbean",904,180,"Central America",916,208,"No","No","No"
583,"Micronesia (Federated States of)",252,"Oceania",909,238,"Micronesia",954,248,"No","No","No"
492,"Monaco",177,"Europe",908,127,"Western Europe",926,170,"Yes","No","No"
496,"Mongolia",84,"Asia",935,71,"Eastern Asia",906,78,"No","No","No"
499,"Montenegro",163,"Europe",908,127,"Southern Europe",925,153,"Yes","No","No"
500,"Montserrat",199,"Latin America and the Caribbean",904,180,"Caribbean",915,181,"No","No","No"
504,"Morocco",43,"Africa",903,7,"Northern Africa",912,39,"No","No","No"
508,"Mozambique",19,"Africa",903,7,"Eastern Africa",910,8,"No","Yes","Yes"
104,"Myanmar",92,"Asia",935,71,"South-Eastern Asia",920,86,"No","Yes","No"
516,"Namibia",50,"Africa",903,7,"Southern Africa",913,47,"No","No","Yes"
520,"Nauru",253,"Oceania",909,238,"Micronesia",954,248,"No","No","No"
524,"Nepal",105,"Asia",935,71,"Southern Asia",5501,98,"No","Yes","No"
528,"Netherlands",178,"Europe",908,127,"Western Europe",926,170,"Yes","No","No"
540,"New Caledonia",244,"Oceania",909,238,"Melanesia",928,242,"No","No","No"
554,"New Zealand",241,"Oceania",909,238,"Australia and New Zealand",927,239,"Yes","No","No"
558,"Nicaragua",215,"Latin America and the Caribbean",904,180,"Central America",916,208,"No","No","No"
562,"Niger",65,"Africa",903,7,"Western Africa",914,53,"No","Yes","Yes"
566,"Nigeria",66,"Africa",903,7,"Western Africa",914,53,"No","No","Yes"
570,"Niue",260,"Oceania",909,238,"Polynesia",957,256,"No","No","No"
580,"Northern Mariana Islands",254,"Oceania",909,238,"Micronesia",954,248,"No","No","No"
578,"Norway",150,"Europe",908,127,"Northern Europe",924,139,"Yes","No","No"
512,"Oman",120,"Asia",935,71,"Western Asia",922,108,"No","No","No"
586,"Pakistan",106,"Asia",935,71,"Southern Asia",5501,98,"No","No","No"
585,"Palau",255,"Oceania",909,238,"Micronesia",954,248,"No","No","No"
591,"Panama",216,"Latin America and the Caribbean",904,180,"Central America",916,208,"No","No","No"
598,"Papua New Guinea",245,"Oceania",909,238,"Melanesia",928,242,"No","No","No"
600,"Paraguay",227,"Latin America and the Caribbean",904,180,"South America",931,217,"No","No","No"
604,"Peru",228,"Latin America and the Caribbean",904,180,"South America",931,217,"No","No","No"
608,"Philippines",93,"Asia",935,71,"South-Eastern Asia",920,86,"No","No","No"
616,"Poland",133,"Europe",908,127,"Eastern Europe",923,128,"Yes","No","No"
620,"Portugal",164,"Europe",908,127,"Southern Europe",925,153,"Yes","No","No"
630,"Puerto Rico",200,"Latin America and the Caribbean",904,180,"Caribbean",915,181,"No","No","No"
634,"Qatar",121,"Asia",935,71,"Western Asia",922,108,"No","No","No"
410,"Republic of Korea",85,"Asia",935,71,"Eastern Asia",906,78,"No","No","No"
498,"Republic of Moldova",134,"Europe",908,127,"Eastern Europe",923,128,"Yes","No","No"
638,"Réunion",20,"Africa",903,7,"Eastern Africa",910,8,"No","No","Yes"
642,"Romania",135,"Europe",908,127,"Eastern Europe",923,128,"Yes","No","No"
643,"Russian Federation",136,"Europe",908,127,"Eastern Europe",923,128,"Yes","No","No"
646,"Rwanda",21,"Africa",903,7,"Eastern Africa",910,8,"No","Yes","Yes"
654,"Saint Helena",67,"Africa",903,7,"Western Africa",914,53,"No","No","Yes"
659,"Saint Kitts and Nevis",201,"Latin America and the Caribbean",904,180,"Caribbean",915,181,"No","No","No"
662,"Saint Lucia",202,"Latin America and the Caribbean",904,180,"Caribbean",915,181,"No","No","No"
666,"Saint Pierre and Miquelon",236,"Northern America",905,232,"Northern America",905,232,"Yes","No","No"
670,"Saint Vincent and the Grenadines",203,"Latin America and the Caribbean",904,180,"Caribbean",915,181,"No","No","No"
882,"Samoa",261,"Oceania",909,238,"Polynesia",957,256,"No","No","No"
674,"San Marino",165,"Europe",908,127,"Southern Europe",925,153,"Yes","No","No"
678,"Sao Tome and Principe",38,"Africa",903,7,"Middle Africa",911,29,"No","Yes","Yes"
682,"Saudi Arabia",122,"Asia",935,71,"Western Asia",922,108,"No","No","No"
686,"Senegal",68,"Africa",903,7,"Western Africa",914,53,"No","Yes","Yes"
688,"Serbia",166,"Europe",908,127,"Southern Europe",925,153,"Yes","No","No"
690,"Seychelles",22,"Africa",903,7,"Eastern Africa",910,8,"No","No","Yes"
694,"Sierra Leone",69,"Africa",903,7,"Western Africa",914,53,"No","Yes","Yes"
702,"Singapore",94,"Asia",935,71,"South-Eastern Asia",920,86,"No","No","No"
534,"Sint Maarten (Dutch part)",204,"Latin America and the Caribbean",904,180,"Caribbean",915,181,"No","No","No"
703,"Slovakia",137,"Europe",908,127,"Eastern Europe",923,128,"Yes","No","No"
705,"Slovenia",167,"Europe",908,127,"Southern Europe",925,153,"Yes","No","No"
90,"Solomon Islands",246,"Oceania",909,238,"Melanesia",928,242,"No","Yes","No"
706,"Somalia",23,"Africa",903,7,"Eastern Africa",910,8,"No","Yes","Yes"
710,"South Africa",51,"Africa",903,7,"Southern Africa",913,47,"No","No","Yes"
728,"South Sudan",24,"Africa",903,7,"Eastern Africa",910,8,"No","Yes","Yes"
724,"Spain",168,"Europe",908,127,"Southern Europe",925,153,"Yes","No","No"
144,"Sri Lanka",107,"Asia",935,71,"Southern Asia",5501,98,"No","No","No"
275,"State of Palestine",119,"Asia",935,71,"Western Asia",922,108,"No","No","No"
729,"Sudan",44,"Africa",903,7,"Northern Africa",912,39,"No","Yes","Yes"
740,"Suriname",229,"Latin America and the Caribbean",904,180,"South America",931,217,"No","No","No"
748,"Swaziland",52,"Africa",903,7,"Southern Africa",913,47,"No","No","Yes"
752,"Sweden",151,"Europe",908,127,"Northern Europe",924,139,"Yes","No","No"
756,"Switzerland",179,"Europe",908,127,"Western Europe",926,170,"Yes","No","No"
760,"Syrian Arab Republic",123,"Asia",935,71,"Western Asia",922,108,"No","No","No"
762,"Tajikistan",75,"Asia",935,71,"Central Asia",5500,72,"No","No","No"
764,"Thailand",95,"Asia",935,71,"South-Eastern Asia",920,86,"No","No","No"
807,"The former Yugoslav Republic of Macedonia",169,"Europe",908,127,"Southern Europe",925,153,"Yes","No","No"
626,"Timor-Leste",96,"Asia",935,71,"South-Eastern Asia",920,86,"No","Yes","No"
768,"Togo",70,"Africa",903,7,"Western Africa",914,53,"No","Yes","Yes"
772,"Tokelau",262,"Oceania",909,238,"Polynesia",957,256,"No","No","No"
776,"Tonga",263,"Oceania",909,238,"Polynesia",957,256,"No","No","No"
780,"Trinidad and Tobago",205,"Latin America and the Caribbean",904,180,"Caribbean",915,181,"No","No","No"
788,"Tunisia",45,"Africa",903,7,"Northern Africa",912,39,"No","No","No"
792,"Turkey",124,"Asia",935,71,"Western Asia",922,108,"No","No","No"
795,"Turkmenistan",76,"Asia",935,71,"Central Asia",5500,72,"No","No","No"
796,"Turks and Caicos Islands",206,"Latin America and the Caribbean",904,180,"Caribbean",915,181,"No","No","No"
798,"Tuvalu",264,"Oceania",909,238,"Polynesia",957,256,"No","Yes","No"
800,"Uganda",25,"Africa",903,7,"Eastern Africa",910,8,"No","Yes","Yes"
804,"Ukraine",138,"Europe",908,127,"Eastern Europe",923,128,"Yes","No","No"
784,"United Arab Emirates",125,"Asia",935,71,"Western Asia",922,108,"No","No","No"
826,"United Kingdom of Great Britain and Northern Ireland",152,"Europe",908,127,"Northern Europe",924,139,"Yes","No","No"
834,"United Republic of Tanzania",26,"Africa",903,7,"Eastern Africa",910,8,"No","Yes","Yes"
840,"United States of America",237,"Northern America",905,232,"Northern America",905,232,"Yes","No","No"
850,"United States Virgin Islands",207,"Latin America and the Caribbean",904,180,"Caribbean",915,181,"No","No","No"
858,"Uruguay",230,"Latin America and the Caribbean",904,180,"South America",931,217,"No","No","No"
860,"Uzbekistan",77,"Asia",935,71,"Central Asia",5500,72,"No","No","No"
548,"Vanuatu",247,"Oceania",909,238,"Melanesia",928,242,"No","Yes","No"
862,"Venezuela (Bolivarian Republic of)",231,"Latin America and the Caribbean",904,180,"South America",931,217,"No","No","No"
704,"Viet Nam",97,"Asia",935,71,"South-Eastern Asia",920,86,"No","No","No"
876,"Wallis and Futuna Islands",265,"Oceania",909,238,"Polynesia",957,256,"No","No","No"
732,"Western Sahara",46,"Africa",903,7,"Northern Africa",912,39,"No","No","No"
887,"Yemen",126,"Asia",935,71,"Western Asia",922,108,"No","Yes","No"
894,"Zambia",27,"Africa",903,7,"Eastern Africa",910,8,"No","Yes","Yes"
716,"Zimbabwe",28,"Africa",903,7,"Eastern Africa",910,8,"No","No","Yes"
