"","time","wool"
"265",265,0.2962
"266",266,0.3004
"267",267,0.3026
"268",268,0.2966
"269",269,0.2945
"270",270,0.3065
"271",271,0.3097
"272",272,0.2824
"273",273,0.265
"274",274,0.265
"275",275,0.2603
"276",276,0.263
"277",277,0.263
"278",278,0.2726
"279",279,0.2603
"280",280,0.2559
"281",281,0.2532
"282",282,0.2622
"283",283,0.2703
"284",284,0.2622
"285",285,0.2708
"286",286,0.2691
"287",287,0.2755
"288",288,0.2792
"289",289,0.2898
"290",290,0.3016
"291",291,0.3288
"292",292,0.3848
"293",293,0.423
"294",294,0.3973
"295",295,0.431
"296",296,0.431
"297",297,0.4728
"298",298,0.4585
"299",299,0.4559
"300",300,0.4581
"301",301,0.4685
"302",302,0.4624
"303",303,0.4645
"304",304,0.4604
"305",305,0.4624
"306",306,0.4624
"307",307,0.4584
"308",308,0.4604
"309",309,0.4544
