"","firm","year","inv","value","capital"
"107",6,1941,43.41,276.9,61.5
"108",6,1942,42.81,272.6,80.5
"109",6,1943,27.84,287.4,94.4
"110",6,1944,32.6,330.3,92.6
"111",6,1945,39.03,324.4,92.3
"112",6,1946,50.17,401.9,94.2
"113",6,1947,51.85,407.4,111.4
"114",6,1948,64.03,409.2,127.4
"115",6,1949,68.16,482.2,149.3
"116",6,1950,77.34,673.8,164.4
"117",6,1951,95.3,676.9,177.2
"118",6,1952,99.49,702,200
"119",6,1953,127.52,793.5,211.5
"120",6,1954,135.72,927.3,238.7
"121",7,1935,24.43,138,100.2
"122",7,1936,23.21,200.1,125
"123",7,1937,32.78,210.1,142.4
"124",7,1938,32.54,161.2,165.1
"125",7,1939,26.65,161.7,194.8
"126",7,1940,33.71,145.1,222.9
"127",7,1941,43.5,110.6,252.1
"128",7,1942,34.46,98.1,276.3
"129",7,1943,44.28,108.8,300.3
"130",7,1944,70.8,118.2,318.2
"131",7,1945,44.12,126.5,336.2
"132",7,1946,48.98,156.7,351.2
"133",7,1947,48.51,119.4,373.6
"134",7,1948,50,129.1,389.4
"135",7,1949,50.59,134.8,406.7
"136",7,1950,42.53,140.8,429.5
"137",7,1951,64.77,179,450.6
"138",7,1952,72.68,178.1,466.9
"139",7,1953,73.86,186.8,486.2
"140",7,1954,89.51,192.7,511.3
"141",8,1935,12.93,191.5,1.8
"142",8,1936,25.9,516,0.8
"143",8,1937,35.05,729,7.4
"144",8,1938,22.89,560.4,18.1
"145",8,1939,18.84,519.9,23.5
"146",8,1940,28.57,628.5,26.5
"147",8,1941,48.51,537.1,36.2
"148",8,1942,43.34,561.2,60.8
"149",8,1943,37.02,617.2,84.4
"150",8,1944,37.81,626.7,91.2
"151",8,1945,39.27,737.2,92.4
"152",8,1946,53.46,760.5,86
"153",8,1947,55.56,581.4,111.1
"154",8,1948,49.56,662.3,130.6
"155",8,1949,32.04,583.8,141.8
"156",8,1950,32.24,635.2,136.7
"157",8,1951,54.38,723.8,129.7
"158",8,1952,71.78,864.1,145.5
"159",8,1953,90.08,1193.5,174.8
"160",8,1954,68.6,1188.9,213.5
"161",9,1935,26.63,290.6,162
"162",9,1936,23.39,291.1,174
"163",9,1937,30.65,335,183
"164",9,1938,20.89,246,198
"165",9,1939,28.78,356.2,208
"166",9,1940,26.93,289.8,223
"167",9,1941,32.08,268.2,234
"168",9,1942,32.21,213.3,248
"169",9,1943,35.69,348.2,274
"170",9,1944,62.47,374.2,282
"171",9,1945,52.32,387.2,316
"172",9,1946,56.95,347.4,302
"173",9,1947,54.32,291.9,333
"174",9,1948,40.53,297.2,359
"175",9,1949,32.54,276.9,370
"176",9,1950,43.48,274.6,376
"177",9,1951,56.49,339.9,391
"178",9,1952,65.98,474.8,414
"179",9,1953,66.11,496,443
"180",9,1954,49.34,474.5,468
"181",10,1935,2.54,70.91,4.5
"182",10,1936,2,87.94,4.71
"183",10,1937,2.19,82.2,4.57
"184",10,1938,1.99,58.72,4.56
"185",10,1939,2.03,80.54,4.38
"186",10,1940,1.81,86.47,4.21
"187",10,1941,2.14,77.68,4.12
"188",10,1942,1.86,62.16,3.83
"189",10,1943,0.93,62.24,3.58
"190",10,1944,1.18,61.82,3.41
"191",10,1945,1.36,65.85,3.31
"192",10,1946,2.24,69.54,3.23
"193",10,1947,3.81,64.97,3.9
"194",10,1948,5.66,68,5.38
"195",10,1949,4.21,71.24,7.39
"196",10,1950,3.42,69.05,8.74
"197",10,1951,4.67,83.04,9.07
"198",10,1952,6,74.42,9.93
"199",10,1953,6.53,63.51,11.68
"200",10,1954,5.12,58.12,14.33
