Year,Interest Group ,Total Amount ,Dem %,GOP %,Democrats,Republicans
2000,Crop Production,"5,466,871",42.00%,58.00%,2296085.82,3170785.18
2000,Hospitals,"5,424,029",47.00%,53.00%,2549293.63,2874735.37
2000,Retail Sales,"5,201,969",36.00%,64.00%,1872708.84,3329260.16
2000,Alcohol,"5,049,279",41.00%,59.00%,2070204.39,2979074.61
2000,Big Food ,"4,828,741",28.00%,72.00%,1352047.48,3476693.52
2000,Education,"4,632,493",54.00%,45.00%,2501546.22,2084621.85
2000,Food Process,"4,229,837",27.00%,73.00%,1142055.99,3087781.01
2000,Telecom Svcs,"4,224,747",38.00%,62.00%,1605403.86,2619343.14
2000,Pro-Israel,"4,154,273",60.00%,40.00%,2492563.8,1661709.2
2000,Construction Svcs,"4,026,117",41.00%,59.00%,1650707.97,2375409.03
2000,Defense Aerospace,"3,993,566",39.00%,61.00%,1557490.74,2436075.26
2000,Agricultural Svcs,"3,764,889",36.00%,64.00%,1355360.04,2409528.96
2000,Candidate Cmtes,"3,715,908",56.00%,44.00%,2080908.48,1634999.52
2000,Misc Unions,"3,641,643",90.00%,10.00%,3277478.7,364164.3
2000,Building Materials,"3,640,626",21.00%,79.00%,764531.46,2876094.54
2000,Finance,"3,503,328",29.00%,71.00%,1015965.12,2487362.88
2000,Misc Business,"3,437,288",35.00%,65.00%,1203050.8,2234237.2
2000,Chemicals,"3,156,566",24.00%,76.00%,757575.84,2398990.16
2000,Republican,"2,971,554",1.00%,99.00%,29715.54,2941838.46
2000,Civil Servants,"2,959,045",48.00%,51.00%,1420341.6,1509112.95
2000,Home Builders,"2,926,505",34.00%,66.00%,995011.7,1931493.3
2000,Forest Products,"2,779,192",19.00%,80.00%,528046.48,2223353.6
2000,Publishing,"2,716,388",38.00%,62.00%,1032227.44,1684160.56
2000,Health Services,"2,664,844",43.00%,57.00%,1145882.92,1518961.08
2002,Legal  Firms,"37,492,936",68.00%,32.00%,25495196.48,11997739.52
2002,Health Professionals,"22,797,192",43.00%,57.00%,9802792.56,12994399.44
2002,Real Estate,"21,182,342",50.00%,50.00%,10591171,10591171
2002,Retired,"20,873,715",40.00%,60.00%,8349486,12524229
2002,Securities,"17,634,402",55.00%,45.00%,9698921.1,7935480.9
2002,Insurance,"15,151,633",39.00%,61.00%,5909136.87,9242496.13
2002,Leadership PACs,"13,419,721",39.00%,61.00%,5233691.19,8186029.81
2002,Lobbyists,"11,483,342",52.00%,48.00%,5971337.84,5512004.16
2002,Transport Unions,"10,399,614",81.00%,19.00%,8423687.34,1975926.66
2002,Commercial Banks,"10,366,292",40.00%,60.00%,4146516.8,6219775.2
2002,Electric Utilities,"10,175,630",39.00%,61.00%,3968495.7,6207134.3
2002,Oil,"9,339,506",26.00%,74.00%,2428271.56,6911234.44
2002,Public Sector Unions,"9,055,775",85.00%,15.00%,7697408.75,1358366.25
2002,Bldg Trade Unions,"8,585,812",85.00%,15.00%,7297940.2,1287871.8
2002,Business Services,"8,233,524",53.00%,47.00%,4363767.72,3869756.28
2002,Pharmaceutical,"8,022,434",36.00%,64.00%,2888076.24,5134357.76
2002,General Contractors,"7,841,617",33.00%,67.00%,2587733.61,5253883.39
2002,Industrial Unions,"7,495,006",97.00%,2.00%,7270155.82,149900.12
2002,Automotive,"7,194,398",33.00%,67.00%,2374151.34,4820246.66
2002,Air Transport,"6,906,942",40.00%,60.00%,2762776.8,4144165.2
2002,Misc Distrib,"6,880,841",36.00%,64.00%,2477102.76,4403738.24
2002,Misc Finance,"6,703,838",42.00%,58.00%,2815611.96,3888226.04
2002,Electronics,"6,594,778",51.00%,49.00%,3363336.78,3231441.22
2002,Crop Production,"6,461,973",42.00%,58.00%,2714028.66,3747944.34
2002,Hospitals,"6,388,724",50.00%,50.00%,3194362,3194362
2002,Entertainment,"6,214,000",64.00%,36.00%,3976960,2237040
2002,Accountants,"6,083,152",37.00%,63.00%,2250766.24,3832385.76
2002,Telephone Utilities,"6,016,141",44.00%,56.00%,2647102.04,3369038.96
2002,Retail Sales,"5,691,988",38.00%,62.00%,2162955.44,3529032.56
2002,Pro-Israel,"5,585,852",65.00%,35.00%,3630803.8,1955048.2
2002,Education,"5,115,257",66.00%,34.00%,3376069.62,1739187.38
2002,Defense Aerospace,"5,078,537",38.00%,62.00%,1929844.06,3148692.94
2002,Big Food ,"4,973,775",29.00%,70.00%,1442394.75,3481642.5
2002,Alcohol,"4,822,810",39.00%,61.00%,1880895.9,2941914.1
2002,Construction Svcs,"4,709,630",46.00%,53.00%,2166429.8,2496103.9
2002,Telecom Svcs,"4,558,919",49.00%,51.00%,2233870.31,2325048.69
2002,Candidate Cmtes,"4,258,971",55.00%,45.00%,2342434.05,1916536.95
2002,Agricultural Svcs,"3,975,337",35.00%,65.00%,1391367.95,2583969.05
2002,Misc Business,"3,969,565",42.00%,58.00%,1667217.3,2302347.7
2002,Misc Unions,"3,702,992",89.00%,11.00%,3295662.88,407329.12
2002,Food Process,"3,625,347",27.00%,72.00%,978843.69,2610249.84
2002,Building Materials,"3,582,717",24.00%,76.00%,859852.08,2722864.92
2002,Finance,"3,570,561",45.00%,54.00%,1606752.45,1928102.94
2002,Women's Issues,"3,250,442",89.00%,11.00%,2892893.38,357548.62
2002,Chemicals,"3,091,060",29.00%,71.00%,896407.4,2194652.6
2002,Civil Servants,"3,058,197",56.00%,43.00%,1712590.32,1315024.71
2002,Gambling,"3,024,330",65.00%,35.00%,1965814.5,1058515.5
2002,Defense Electronics,"2,962,005",42.00%,58.00%,1244042.1,1717962.9
2002,Health Services,"2,941,551",46.00%,54.00%,1353113.46,1588437.54
2002,Home Builders,"2,832,163",33.00%,67.00%,934613.79,1897549.21
2004,Legal  Firms,"87,414,192",80.00%,20.00%,69931353.6,17482838.4
2004,Retired,"41,888,596",63.00%,37.00%,26389815.48,15498780.52
2004,Real Estate,"37,196,537",55.00%,45.00%,20458095.35,16738441.65
2004,Health Professionals,"33,533,461",48.00%,52.00%,16096061.28,17437399.72
2004,Securities,"33,330,314",60.00%,40.00%,19998188.4,13332125.6
2004,Insurance,"20,226,152",40.00%,60.00%,8090460.8,12135691.2
2004,Lobbyists,"19,034,082",50.00%,50.00%,9517041,9517041
2004,Leadership PACs,"17,645,457",26.00%,74.00%,4587818.82,13057638.18
2004,Education,"16,441,039",86.00%,14.00%,14139293.54,2301745.46
2004,Business Services,"16,303,262",68.00%,32.00%,11086218.16,5217043.84
2004,Commercial Banks,"15,118,126",42.00%,58.00%,6349612.92,8768513.08
2004,Misc Finance,"14,353,946",54.00%,46.00%,7751130.84,6602815.16
2004,Joint Cmtes,"14,207,070",100.00%,0.00%,14207070,0
2004,Electronics,"12,846,414",61.00%,39.00%,7836312.54,5010101.46
2004,Public Sector Unions,"12,435,922",82.00%,17.00%,10197456.04,2114106.74
2004,Entertainment,"12,118,110",77.00%,23.00%,9330944.7,2787165.3
2004,Pharmaceutical,"11,143,341",39.00%,61.00%,4345902.99,6797438.01
2004,General Contractors,"10,951,103",36.00%,64.00%,3942397.08,7008705.92
2004,Electric Utilities,"10,949,083",38.00%,62.00%,4160651.54,6788431.46
2004,Misc Distrib,"10,709,449",40.00%,60.00%,4283779.6,6425669.4
2004,Oil,"10,574,706",24.00%,75.00%,2537929.44,7931029.5
2004,Transport Unions,"10,539,263",77.00%,23.00%,8115232.51,2424030.49
2004,Women's Issues,"10,186,075",98.00%,2.00%,9982353.5,203721.5
2004,Hospitals,"9,356,265",54.00%,46.00%,5052383.1,4303881.9
2004,Bldg Trade Unions,"9,186,513",84.00%,16.00%,7716670.92,1469842.08
2004,Automotive,"9,081,249",32.00%,68.00%,2905999.68,6175249.32
2004,Misc Business,"9,056,834",69.00%,31.00%,6249215.46,2807618.54
2004,Pro-Israel,"8,753,922",65.00%,35.00%,5690049.3,3063872.7
2004,Retail Sales,"8,077,257",45.00%,55.00%,3634765.65,4442491.35
2004,Air Transport,"7,990,794",37.00%,63.00%,2956593.78,5034200.22
2004,Construction Svcs,"7,825,717",55.00%,45.00%,4304144.35,3521572.65
2004,Democratic,"7,738,431",100.00%,0.00%,7738431,0
2004,Crop Production,"7,701,543",45.00%,55.00%,3465694.35,4235848.65
2004,Civil Servants,"7,661,311",78.00%,22.00%,5975822.58,1685488.42
2004,Industrial Unions,"7,638,763",97.00%,3.00%,7409600.11,229162.89
2004,Accountants,"7,596,821",47.00%,53.00%,3570505.87,4026315.13
2004,Publishing,"6,892,115",76.00%,24.00%,5238007.4,1654107.6
2004,Telecom Svcs,"6,639,231",50.00%,50.00%,3319615.5,3319615.5
2004,Alcohol,"6,544,408",41.00%,59.00%,2683207.28,3861200.72
2004,Big Food ,"6,333,469",36.00%,64.00%,2280048.84,4053420.16
2004,Telephone Utilities,"6,121,557",43.00%,57.00%,2632269.51,3489287.49
2004,Defense Aerospace,"5,731,925",42.00%,58.00%,2407408.5,3324516.5
2004,Gambling,"5,193,568",58.00%,42.00%,3012269.44,2181298.56
2004,Candidate Cmtes,"5,061,388",56.00%,44.00%,2834377.28,2227010.72
2004,Finance,"4,960,166",44.00%,56.00%,2182473.04,2777692.96
2004,Food Process,"4,657,431",37.00%,63.00%,1723249.47,2934181.53
2004,Building Materials,"4,642,268",24.00%,76.00%,1114144.32,3528123.68
2004,Health Services,"4,603,158",49.00%,51.00%,2255547.42,2347610.58
2004,Agricultural Svcs,"4,579,739",33.00%,67.00%,1511313.87,3068425.13
2004,Human Rights,"4,565,410",84.00%,16.00%,3834944.4,730465.6
2006,Legal  Firms,"60,944,312",62.00%,36.00%,37785473.44,21939952.32
2006,Real Estate,"40,915,094",43.00%,53.00%,17593490.42,21684999.82
2006,Retired,"36,671,495",39.00%,58.00%,14301883.05,21269467.1
2006,Securities,"34,239,087",47.00%,46.00%,16092370.89,15749980.02
2006,Health Professionals,"33,778,201",36.00%,63.00%,12160152.36,21280266.63
2006,Leadership PACs,"27,097,076",18.00%,81.00%,4877473.68,21948631.56
2006,Insurance,"22,695,642",36.00%,62.00%,8170431.12,14071298.04
2006,Lobbyists,"19,770,210",41.00%,58.00%,8105786.1,11466721.8
2006,Commercial Banks,"16,061,603",35.00%,64.00%,5621561.05,10279425.92
2006,Pharmaceutical,"14,963,214",32.00%,66.00%,4788228.48,9875721.24
2006,Misc Finance,"14,473,507",38.00%,57.00%,5499932.66,8249898.99
2006,Business Services,"13,547,173",47.00%,50.00%,6367171.31,6773586.5
2006,Electric Utilities,"13,072,894",34.00%,64.00%,4444783.96,8366652.16
2006,Electronics,"12,114,253",41.00%,58.00%,4966843.73,7026266.74
2006,Oil,"12,104,673",19.00%,80.00%,2299887.87,9683738.4
2006,Misc Distrib,"11,830,378",31.00%,66.00%,3667417.18,7808049.48
2006,Public Sector Unions,"11,139,441",80.00%,19.00%,8911552.8,2116493.79
2006,General Contractors,"11,093,544",29.00%,69.00%,3217127.76,7654545.36
2006,Bldg Trade Unions,"10,898,545",77.00%,22.00%,8391879.65,2397679.9
2006,Hospitals,"10,408,842",41.00%,57.00%,4267625.22,5933039.94
2006,Transport Unions,"9,980,548",75.00%,24.00%,7485411,2395331.52
2006,Automotive,"9,496,638",26.00%,73.00%,2469125.88,6932545.74
2006,Pro-Israel,"9,486,180",44.00%,42.00%,4173919.2,3984195.6
2006,Entertainment,"9,357,812",60.00%,38.00%,5614687.2,3555968.56
2006,Crop Production,"8,703,385",38.00%,61.00%,3307286.3,5309064.85
2006,Air Transport,"8,526,689",33.00%,66.00%,2813807.37,5627614.74
2006,Retail Sales,"8,477,171",36.00%,61.00%,3051781.56,5171074.31
2006,Construction Svcs,"8,202,172",43.00%,56.00%,3526933.96,4593216.32
2006,Education,"8,147,047",64.00%,33.00%,5214110.08,2688525.51
2006,Accountants,"7,909,156",36.00%,62.00%,2847296.16,4903676.72
2006,Telecom Svcs,"7,723,155",43.00%,56.00%,3320956.65,4324966.8
2006,Alcohol,"7,687,450",37.00%,61.00%,2844356.5,4689344.5
2006,Big Food ,"7,319,871",29.00%,70.00%,2122762.59,5123909.7
2006,Candidate Cmtes,"7,100,433",41.00%,59.00%,2911177.53,4189255.47
2006,Misc Business,"6,899,845",41.00%,56.00%,2828936.45,3863913.2
2006,Industrial Unions,"6,492,660",96.00%,3.00%,6232953.6,194779.8
2006,Telephone Utilities,"6,139,234",37.00%,62.00%,2271516.58,3806325.08
2006,Health Services,"5,938,404",37.00%,61.00%,2197209.48,3622426.44
2006,Agricultural Svcs,"5,690,441",29.00%,70.00%,1650227.89,3983308.7
2006,Food Process,"5,449,505",32.00%,67.00%,1743841.6,3651168.35
2006,Home Builders,"5,403,577",26.00%,73.00%,1404930.02,3944611.21
2006,Finance,"5,259,896",42.00%,56.00%,2209156.32,2945541.76
2006,Defense Aerospace,"5,258,083",37.00%,59.00%,1945490.71,3102268.97
2006,Building Materials,"5,077,129",19.00%,80.00%,964654.51,4061703.2
2006,Gambling,"5,048,881",48.00%,51.00%,2423462.88,2574929.31
2006,Defense Electronics,"4,971,985",41.00%,58.00%,2038513.85,2883751.3
2006,Misc Defense,"4,635,460",38.00%,61.00%,1761474.8,2827630.6
2006,Civil Servants,"4,554,203",51.00%,46.00%,2322643.53,2094933.38
2006,Women's Issues,"4,502,616",95.00%,5.00%,4277485.2,225130.8
2006,Chemicals,"4,298,972",23.00%,73.00%,988763.56,3138249.56
2008,Legal  Firms,"133,299,758",79.00%,21.00%,105306808.8,27992949.18
2008,Retired,"126,058,999",56.00%,44.00%,70593039.44,55465959.56
2008,Securities,"72,592,829",64.00%,36.00%,46459410.56,26133418.44
2008,Real Estate,"67,502,158",57.00%,43.00%,38476230.06,29025927.94
2008,Health Professionals,"62,534,265",61.00%,39.00%,38145901.65,24388363.35
2008,Education,"42,009,091",89.00%,11.00%,37388090.99,4621000.01
2008,Business Services,"35,589,452",72.00%,28.00%,25624405.44,9965046.56
2008,Insurance,"32,439,319",51.00%,49.00%,16544052.69,15895266.31
2008,Misc Finance,"29,545,761",54.00%,46.00%,15954710.94,13591050.06
2008,Lobbyists,"27,165,935",58.00%,42.00%,15756242.3,11409692.7
2008,Electronics,"24,353,386",68.00%,32.00%,16560302.48,7793083.52
2008,Leadership PACs,"24,227,708",44.00%,56.00%,10660191.52,13567516.48
2008,Misc Business,"24,016,701",65.00%,35.00%,15610855.65,8405845.35
2008,Entertainment,"23,112,512",82.00%,18.00%,18952259.84,4160252.16
2008,Commercial Banks,"22,742,151",53.00%,47.00%,12053340.03,10688810.97
2008,Pharmaceutical,"20,566,697",55.00%,45.00%,11311683.35,9255013.65
2008,Civil Servants,"19,217,251",78.00%,22.00%,14989455.78,4227795.22
2008,Oil,"18,869,792",26.00%,74.00%,4906145.92,13963646.08
2008,Misc Distrib,"18,749,115",48.00%,52.00%,8999575.2,9749539.8
2008,Hospitals,"17,461,782",67.00%,33.00%,11699393.94,5762388.06
2008,General Contractors,"15,787,198",41.00%,59.00%,6472751.18,9314446.82
2008,Electric Utilities,"15,756,647",50.00%,50.00%,7878323.5,7878323.5
2008,Women's Issues,"15,412,950",97.00%,3.00%,14950561.5,462388.5
2008,Publishing,"14,324,301",80.00%,20.00%,11459440.8,2864860.2
2008,Construction Svcs,"14,195,676",62.00%,38.00%,8801319.12,5394356.88
2008,Retail Sales,"13,593,302",55.00%,45.00%,7476316.1,6116985.9
2008,Accountants,"12,945,732",55.00%,45.00%,7120152.6,5825579.4
2008,Public Sector Unions,"12,887,007",87.00%,13.00%,11211696.09,1675310.91
2008,Pro-Israel,"12,611,650",59.00%,41.00%,7440873.5,5170776.5
2008,Bldg Trade Unions,"12,362,910",88.00%,12.00%,10879360.8,1483549.2
2008,Crop Production,"12,022,797",48.00%,52.00%,5770942.56,6251854.44
2008,Air Transport,"11,719,977",50.00%,50.00%,5859988.5,5859988.5
2008,Transport Unions,"11,587,287",84.00%,16.00%,9733321.08,1853965.92
2008,Automotive,"11,572,758",35.00%,65.00%,4050465.3,7522292.7
2008,Democratic,"10,753,036",99.00%,1.00%,10645505.64,107530.36
2008,Republican,"10,463,011",2.00%,98.00%,209260.22,10253750.78
2008,Big Food ,"10,036,185",47.00%,53.00%,4717006.95,5319178.05
2008,Alcohol,"9,689,301",54.00%,46.00%,5232222.54,4457078.46
2008,Health Services,"9,372,902",66.00%,34.00%,6186115.32,3186786.68
2008,Telecom Svcs,"9,163,070",64.00%,36.00%,5864364.8,3298705.2
2008,Non-Profits,"8,891,720",82.00%,18.00%,7291210.4,1600509.6
2008,Industrial Unions,"8,454,826",97.00%,3.00%,8201181.22,253644.78
2008,Other,"8,136,906",81.00%,19.00%,6590893.86,1546012.14
2008,Food Process,"7,914,774",42.00%,58.00%,3324205.08,4590568.92
2008,Telephone Utilities,"7,816,725",51.00%,49.00%,3986529.75,3830195.25
2008,Agricultural Svcs,"7,714,359",44.00%,56.00%,3394317.96,4320041.04
2008,Defense Aerospace,"7,606,065",53.00%,47.00%,4031214.45,3574850.55
2008,Building Materials,"7,385,308",29.00%,71.00%,2141739.32,5243568.68
2008,Candidate Cmtes,"7,373,432",65.00%,35.00%,4792730.8,2580701.2
2008,Gambling,"7,161,326",67.00%,33.00%,4798088.42,2363237.58
2010,Legal  Firms,"66,270,191",82.00%,18.00%,54341556.62,11928634.38
2010,Health Professionals,"40,883,763",58.00%,42.00%,23712582.54,17171180.46
2010,Retired,"40,273,945",56.00%,44.00%,22553409.2,17720535.8
2010,Securities,"39,707,991",64.00%,36.00%,25413114.24,14294876.76
2010,Real Estate,"34,405,398",61.00%,38.00%,20987292.78,13074051.24
2010,Lobbyists,"27,874,082",69.00%,29.00%,19233116.58,8083483.78
2010,Insurance,"26,645,841",53.00%,47.00%,14122295.73,12523545.27
2010,Leadership PACs,"24,792,678",67.00%,32.00%,16611094.26,7933656.96
2010,Pharmaceutical,"18,288,677",58.00%,41.00%,10607432.66,7498357.57
2010,Public Sector Unions,"15,512,676",91.00%,9.00%,14116535.16,1396140.84
2010,Electric Utilities,"14,947,538",59.00%,38.00%,8819047.42,5680064.44
2010,Oil,"14,562,514",35.00%,62.00%,5096879.9,9028758.68
2010,Misc Finance,"13,963,317",57.00%,43.00%,7959090.69,6004226.31
2010,Business Services,"13,820,083",69.00%,30.00%,9535857.27,4146024.9
2010,Bldg Trade Unions,"12,999,373",92.00%,7.00%,11959423.16,909956.11
2010,Hospitals,"12,722,037",68.00%,32.00%,8650985.16,4071051.84
2010,Commercial Banks,"12,419,670",47.00%,53.00%,5837244.9,6582425.1
2010,Misc Distrib,"12,307,789",51.00%,49.00%,6276972.39,6030816.61
2010,Electronics,"11,792,357",64.00%,36.00%,7547108.48,4245248.52
2010,Transport Unions,"11,656,757",87.00%,12.00%,10141378.59,1398810.84
2010,Education,"11,170,660",82.00%,18.00%,9159941.2,2010718.8
2010,Entertainment,"10,922,246",73.00%,27.00%,7973239.58,2949006.42
2010,Pro-Israel,"10,592,945",68.00%,31.00%,7203202.6,3283812.95
2010,Crop Production,"10,008,561",58.00%,41.00%,5804965.38,4103510.01
2010,Air Transport,"9,425,382",54.00%,46.00%,5089706.28,4335675.72
2010,General Contractors,"9,417,396",46.00%,53.00%,4332002.16,4991219.88
2010,Industrial Unions,"9,051,945",98.00%,2.00%,8870906.1,181038.9
2010,Retail Sales,"8,984,028",53.00%,46.00%,4761534.84,4132652.88
2010,Candidate Cmtes,"8,703,703",84.00%,16.00%,7311110.52,1392592.48
2010,Accountants,"8,541,699",52.00%,47.00%,4441683.48,4014598.53
2010,Alcohol,"8,438,547",59.00%,41.00%,4978742.73,3459804.27
2010,Health Services,"8,391,222",64.00%,35.00%,5370382.08,2936927.7
2010,Defense Aerospace,"8,289,308",58.00%,41.00%,4807798.64,3398616.28
2010,Construction Svcs,"8,241,865",63.00%,36.00%,5192374.95,2967071.4
2010,Telecom Svcs,"8,184,820",66.00%,34.00%,5401981.2,2782838.8
2010,Automotive,"7,407,806",44.00%,56.00%,3259434.64,4148371.36
2010,Big Food ,"7,101,938",47.00%,51.00%,3337910.86,3621988.38
2010,Telephone Utilities,"6,566,908",53.00%,46.00%,3480461.24,3020777.68
2010,Agricultural Svcs,"6,510,221",53.00%,47.00%,3450417.13,3059803.87
2010,Railroads,"6,040,945",58.00%,42.00%,3503748.1,2537196.9
2010,Defense Electronics,"5,843,917",58.00%,41.00%,3389471.86,2396005.97
2010,Misc Unions,"5,834,466",98.00%,2.00%,5717776.68,116689.32
2010,Food Process,"5,813,204",50.00%,50.00%,2906602,2906602
2010,Gambling,"5,488,360",73.00%,27.00%,4006502.8,1481857.2
2010,Finance,"5,445,305",54.00%,45.00%,2940464.7,2450387.25
2010,Democratic,"5,410,804",99.00%,0.00%,5356695.96,0
2010,Chemicals,"5,118,953",48.00%,52.00%,2457097.44,2661855.56
2010,Civil Servants,"4,857,224",77.00%,23.00%,3740062.48,1117161.52
2010,Misc Defense,"4,736,784",58.00%,41.00%,2747334.72,1942081.44
2010,Misc Business,"4,615,585",57.00%,41.00%,2630883.45,1892389.85
2012,Legal  Firms,"55,652,100",70.00%,29.00%,38956470,16139109
2012,Retired,"51,380,451",41.00%,58.00%,21065984.91,29800661.58
2012,Securities,"42,247,040",41.00%,59.00%,17321286.4,24925753.6
2012,Health Professionals,"42,216,659",40.00%,60.00%,16886663.6,25329995.4
2012,Real Estate,"34,412,953",45.00%,55.00%,15485828.85,18927124.15
2012,Insurance,"29,147,947",37.00%,63.00%,10784740.39,18363206.61
2012,Leadership PACs,"27,468,052",40.00%,59.00%,10987220.8,16206150.68
2012,Lobbyists,"23,533,719",53.00%,47.00%,12472871.07,11060847.93
2012,Oil,"21,096,137",14.00%,86.00%,2953459.18,18142677.82
2012,Pharmaceutical,"18,984,226",43.00%,57.00%,8163217.18,10821008.82
2012,Commercial Banks,"15,925,158",33.00%,67.00%,5255302.14,10669855.86
2012,Electric Utilities,"14,900,711",39.00%,61.00%,5811277.29,9089433.71
2012,Misc Distrib,"14,686,193",32.00%,68.00%,4699581.76,9986611.24
2012,Misc Finance,"14,106,056",36.00%,64.00%,5078180.16,9027875.84
2012,Business Services,"13,866,756",52.00%,48.00%,7210713.12,6656042.88
2012,Hospitals,"12,970,275",48.00%,52.00%,6225732,6744543
2012,Crop Production,"12,317,791",35.00%,65.00%,4311226.85,8006564.15
2012,Electronics,"11,914,802",47.00%,53.00%,5599956.94,6314845.06
2012,Public Sector Unions,"11,363,373",90.00%,9.00%,10227035.7,1022703.57
2012,Education,"11,128,156",64.00%,35.00%,7122019.84,3894854.6
2012,Health Services,"10,829,555",44.00%,56.00%,4765004.2,6064550.8
2012,General Contractors,"10,816,824",28.00%,72.00%,3028710.72,7788113.28
2012,Entertainment,"10,610,887",61.00%,38.00%,6472641.07,4032137.06
2012,Bldg Trade Unions,"10,218,826",83.00%,17.00%,8481625.58,1737200.42
2012,Republican,"10,056,022",0.00%,100.00%,0,10056022
2012,Pro-Israel,"9,977,728",65.00%,35.00%,6485523.2,3492204.8
2012,Retail Sales,"9,933,617",38.00%,62.00%,3774774.46,6158842.54
2012,Defense Aerospace,"9,696,155",40.00%,60.00%,3878462,5817693
2012,Automotive,"9,344,019",26.00%,74.00%,2429444.94,6914574.06
2012,Air Transport,"9,243,491",37.00%,63.00%,3420091.67,5823399.33
2012,Big Food ,"9,233,761",29.00%,71.00%,2677790.69,6555970.31
2012,Accountants,"9,222,595",39.00%,61.00%,3596812.05,5625782.95
2012,Transport Unions,"9,024,196",75.00%,25.00%,6768147,2256049
2012,Alcohol,"8,717,763",42.00%,58.00%,3661460.46,5056302.54
2012,Construction Svcs,"7,945,272",46.00%,54.00%,3654825.12,4290446.88
2012,Telecom Svcs,"7,873,999",48.00%,52.00%,3779519.52,4094479.48
2012,Misc Business,"7,621,625",39.00%,61.00%,2972433.75,4649191.25
2012,Agricultural Svcs,"6,928,143",32.00%,68.00%,2217005.76,4711137.24
2012,Telephone Utilities,"6,806,955",38.00%,62.00%,2586642.9,4220312.1
2012,Women's Issues,"6,686,866",99.00%,1.00%,6619997.34,66868.66
2012,Industrial Unions,"6,575,855",97.00%,2.00%,6378579.35,131517.1
2012,Mining,"6,555,165",15.00%,85.00%,983274.75,5571890.25
2012,Food Process,"6,457,635",32.00%,67.00%,2066443.2,4326615.45
2012,Candidate Cmtes,"6,396,539",55.00%,45.00%,3518096.45,2878442.55
2012,Chemicals,"5,882,898",29.00%,71.00%,1706040.42,4176857.58
2012,Railroads,"5,765,118",36.00%,64.00%,2075442.48,3689675.52
2012,Finance,"5,753,993",32.00%,68.00%,1841277.76,3912715.24
2012,Defense Electronics,"5,664,331",41.00%,59.00%,2322375.71,3341955.29
2012,Building Materials,"5,609,217",18.00%,82.00%,1009659.06,4599557.94
2012,Gambling,"5,266,270",48.00%,52.00%,2527809.6,2738460.4
2014,Legal  Firms,"57,689,084",70.00%,30.00%,40382358.8,17306725.2
2014,Retired,"48,332,242",46.00%,54.00%,22232831.32,26099410.68
2014,Securities,"47,399,172",46.00%,54.00%,21803619.12,25595552.88
2014,Health Professionals,"40,143,230",40.00%,60.00%,16057292,24085938
2014,Real Estate,"38,088,058",47.00%,53.00%,17901387.26,20186670.74
2014,Leadership PACs,"33,611,254",46.00%,54.00%,15461176.84,18150077.16
2014,Insurance,"32,662,139",39.00%,61.00%,12738234.21,19923904.79
2014,Oil,"25,491,967",16.00%,84.00%,4078714.72,21413252.28
2014,Lobbyists,"20,019,515",49.00%,51.00%,9809562.35,10209952.65
2014,Pharmaceutical,"19,587,505",45.00%,55.00%,8814377.25,10773127.75
2014,Commercial Banks,"17,556,732",32.00%,68.00%,5618154.24,11938577.76
2014,Electric Utilities,"16,132,426",38.00%,62.00%,6130321.88,10002104.12
2014,Misc Distrib,"14,651,550",32.00%,68.00%,4688496,9963054
