country,religion,population
British Virgin Islands,Hindu,0
British Virgin Islands,Buddhist,0
British Virgin Islands,Folk Religions,0
British Virgin Islands,Other Religions,0
British Virgin Islands,Jewish,0
Brunei,Christian,40000
Brunei,Muslim,300000
Brunei,Unaffiliated,0
Brunei,Hindu,0
Brunei,Buddhist,30000
Brunei,Folk Religions,20000
Brunei,Other Religions,0
Brunei,Jewish,0
Bulgaria,Christian,6150000
Bulgaria,Muslim,1020000
Bulgaria,Unaffiliated,310000
Bulgaria,Hindu,0
Bulgaria,Buddhist,0
Bulgaria,Folk Religions,0
Bulgaria,Other Religions,0
Bulgaria,Jewish,0
Burkina Faso,Christian,3710000
Burkina Faso,Muslim,10150000
Burkina Faso,Unaffiliated,70000
Burkina Faso,Hindu,0
Burkina Faso,Buddhist,0
Burkina Faso,Folk Religions,2530000
Burkina Faso,Other Religions,0
Burkina Faso,Jewish,0
Burma (Myanmar),Christian,3750000
Burma (Myanmar),Muslim,1900000
Burma (Myanmar),Unaffiliated,240000
Burma (Myanmar),Hindu,820000
Burma (Myanmar),Buddhist,38410000
Burma (Myanmar),Folk Religions,2760000
Burma (Myanmar),Other Religions,80000
Burma (Myanmar),Jewish,0
Burundi,Christian,7670000
Burundi,Muslim,230000
Burundi,Unaffiliated,0
Burundi,Hindu,0
Burundi,Buddhist,0
Burundi,Folk Religions,480000
Burundi,Other Religions,0
Burundi,Jewish,0
Cambodia,Christian,50000
Cambodia,Muslim,280000
Cambodia,Unaffiliated,30000
Cambodia,Hindu,0
Cambodia,Buddhist,13690000
Cambodia,Folk Religions,80000
Cambodia,Other Religions,0
Cambodia,Jewish,0
Cameroon,Christian,13780000
Cameroon,Muslim,3590000
Cameroon,Unaffiliated,1050000
Cameroon,Hindu,0
Cameroon,Buddhist,0
Cameroon,Folk Religions,650000
Cameroon,Other Religions,530000
Cameroon,Jewish,0
Canada,Christian,23470000
Canada,Muslim,710000
Canada,Unaffiliated,8050000
Canada,Hindu,470000
Canada,Buddhist,280000
Canada,Folk Religions,390000
Canada,Other Religions,300000
Canada,Jewish,350000
Cape Verde,Christian,440000
Cape Verde,Muslim,0
Cape Verde,Unaffiliated,50000
Cape Verde,Hindu,0
Cape Verde,Buddhist,0
Cape Verde,Folk Religions,0
Cape Verde,Other Religions,0
Cape Verde,Jewish,0
Cayman Islands,Christian,50000
Cayman Islands,Muslim,0
Cayman Islands,Unaffiliated,0
Cayman Islands,Hindu,0
Cayman Islands,Buddhist,0
Cayman Islands,Folk Religions,0
Cayman Islands,Other Religions,0
Cayman Islands,Jewish,0
Central African Republic,Christian,3940000
Central African Republic,Muslim,370000
Central African Republic,Unaffiliated,40000
Central African Republic,Hindu,0
Central African Republic,Buddhist,0
Central African Republic,Folk Religions,40000
Central African Republic,Other Religions,0
Central African Republic,Jewish,0
Chad,Christian,4560000
Chad,Muslim,6210000
Chad,Unaffiliated,280000
Chad,Hindu,0
Chad,Buddhist,0
Chad,Folk Religions,160000
Chad,Other Religions,20000
Chad,Jewish,0
Channel Islands,Christian,130000
Channel Islands,Muslim,0
Channel Islands,Unaffiliated,20000
Channel Islands,Hindu,0
Channel Islands,Buddhist,0
Channel Islands,Folk Religions,0
Channel Islands,Other Religions,0
Channel Islands,Jewish,0
Chile,Christian,15300000
Chile,Muslim,0
Chile,Unaffiliated,1470000
Chile,Hindu,0
Chile,Buddhist,10000
Chile,Folk Religions,260000
Chile,Other Religions,30000
Chile,Jewish,20000
China,Christian,68410000
China,Muslim,24690000
China,Unaffiliated,700680000
China,Hindu,20000
China,Buddhist,244130000
China,Folk Religions,294320000
China,Other Religions,9080000
China,Jewish,0
Colombia,Christian,42810000
Colombia,Muslim,10000
Colombia,Unaffiliated,3050000
Colombia,Hindu,0
Colombia,Buddhist,0
Colombia,Folk Religions,370000
Colombia,Other Religions,40000
Colombia,Jewish,0
Comoros,Christian,0
Comoros,Muslim,720000
Comoros,Unaffiliated,0
Comoros,Hindu,0
Comoros,Buddhist,0
Comoros,Folk Religions,0
Comoros,Other Religions,0
Comoros,Jewish,0
Cook Islands,Christian,20000
Cook Islands,Muslim,0
Cook Islands,Unaffiliated,0
Cook Islands,Hindu,0
Cook Islands,Buddhist,0
Cook Islands,Folk Religions,0
Cook Islands,Other Religions,0
Cook Islands,Jewish,0
Costa Rica,Christian,4230000
Costa Rica,Muslim,0
Costa Rica,Unaffiliated,370000
Costa Rica,Hindu,0
Costa Rica,Buddhist,0
Costa Rica,Folk Religions,40000
Costa Rica,Other Religions,10000
Costa Rica,Jewish,0
Croatia,Christian,4110000
Croatia,Muslim,60000
Croatia,Unaffiliated,230000
Croatia,Hindu,0
Croatia,Buddhist,0
Croatia,Folk Religions,0
Croatia,Other Religions,0
Croatia,Jewish,0
Cuba,Christian,6670000
Cuba,Muslim,0
Cuba,Unaffiliated,2590000
Cuba,Hindu,20000
Cuba,Buddhist,0
Cuba,Folk Religions,1960000
Cuba,Other Religions,0
Cuba,Jewish,0
Cyprus,Christian,810000
Cyprus,Muslim,280000
Cyprus,Unaffiliated,10000
Cyprus,Hindu,0
Cyprus,Buddhist,0
Cyprus,Folk Religions,0
Cyprus,Other Religions,0
Cyprus,Jewish,0
Czech Republic,Christian,2450000
Czech Republic,Muslim,0
Czech Republic,Unaffiliated,8020000
Czech Republic,Hindu,0
Czech Republic,Buddhist,0
Czech Republic,Folk Religions,0
Czech Republic,Other Religions,0
Czech Republic,Jewish,0
Democratic Republic of the Congo,Christian,63210000
Democratic Republic of the Congo,Muslim,970000
Democratic Republic of the Congo,Unaffiliated,1170000
Democratic Republic of the Congo,Hindu,30000
Democratic Republic of the Congo,Buddhist,0
Democratic Republic of the Congo,Folk Religions,490000
Democratic Republic of the Congo,Other Religions,100000
Democratic Republic of the Congo,Jewish,0
Denmark,Christian,4630000
Denmark,Muslim,230000
Denmark,Unaffiliated,650000
Denmark,Hindu,20000
Denmark,Buddhist,10000
Denmark,Folk Religions,0
Denmark,Other Religions,0
Denmark,Jewish,0
Djibouti,Christian,20000
Djibouti,Muslim,860000
Djibouti,Unaffiliated,0
Djibouti,Hindu,0
Djibouti,Buddhist,0
Djibouti,Folk Religions,0
Djibouti,Other Religions,0
Djibouti,Jewish,0
Dominica,Christian,60000
Dominica,Muslim,0
Dominica,Unaffiliated,0
Dominica,Hindu,0
Dominica,Buddhist,0
Dominica,Folk Religions,0
Dominica,Other Religions,0
Dominica,Jewish,0
Dominican Republic,Christian,8740000
Dominican Republic,Muslim,0
Dominican Republic,Unaffiliated,1080000
Dominican Republic,Hindu,0
Dominican Republic,Buddhist,0
Dominican Republic,Folk Religions,90000
Dominican Republic,Other Religions,10000
Dominican Republic,Jewish,0
Ecuador,Christian,13610000
Ecuador,Muslim,0
Ecuador,Unaffiliated,800000
Ecuador,Hindu,0
Ecuador,Buddhist,0
Ecuador,Folk Religions,40000
Ecuador,Other Religions,0
Ecuador,Jewish,0
Egypt,Christian,4120000
Egypt,Muslim,76990000
Egypt,Unaffiliated,0
Egypt,Hindu,0
Egypt,Buddhist,0
Egypt,Folk Religions,0
Egypt,Other Religions,0
Egypt,Jewish,0
El Salvador,Christian,5460000
El Salvador,Muslim,0
El Salvador,Unaffiliated,680000
El Salvador,Hindu,0
El Salvador,Buddhist,0
El Salvador,Folk Religions,30000
El Salvador,Other Religions,20000
El Salvador,Jewish,0
Equatorial Guinea,Christian,620000
Equatorial Guinea,Muslim,30000
Equatorial Guinea,Unaffiliated,30000
Equatorial Guinea,Hindu,0
Equatorial Guinea,Buddhist,0
Equatorial Guinea,Folk Religions,10000
Equatorial Guinea,Other Religions,0
Equatorial Guinea,Jewish,0
Eritrea,Christian,3310000
Eritrea,Muslim,1920000
Eritrea,Unaffiliated,0
Eritrea,Hindu,0
Eritrea,Buddhist,0
Eritrea,Folk Religions,20000
Eritrea,Other Religions,0
Eritrea,Jewish,0
Estonia,Christian,540000
Estonia,Muslim,0
Estonia,Unaffiliated,800000
Estonia,Hindu,0
Estonia,Buddhist,0
Estonia,Folk Religions,0
Estonia,Other Religions,0
Estonia,Jewish,0
Ethiopia,Christian,52070000
Ethiopia,Muslim,28680000
Ethiopia,Unaffiliated,50000
Ethiopia,Hindu,0
Ethiopia,Buddhist,0
Ethiopia,Folk Religions,2130000
Ethiopia,Other Religions,0
Ethiopia,Jewish,0
Faeroe Islands,Christian,50000
Faeroe Islands,Muslim,0
Faeroe Islands,Unaffiliated,0
Faeroe Islands,Hindu,0
Faeroe Islands,Buddhist,0
Faeroe Islands,Folk Religions,0
Faeroe Islands,Other Religions,0
Faeroe Islands,Jewish,0
Falkland Islands (Malvinas),Christian,0
Falkland Islands (Malvinas),Muslim,0
Falkland Islands (Malvinas),Unaffiliated,0
Falkland Islands (Malvinas),Hindu,0
Falkland Islands (Malvinas),Buddhist,0
Falkland Islands (Malvinas),Folk Religions,0
Falkland Islands (Malvinas),Other Religions,0
Falkland Islands (Malvinas),Jewish,0
Federated States of Micronesia,Christian,110000
Federated States of Micronesia,Muslim,0
Federated States of Micronesia,Unaffiliated,0
Federated States of Micronesia,Hindu,0
Federated States of Micronesia,Buddhist,0
Federated States of Micronesia,Folk Religions,0
Federated States of Micronesia,Other Religions,0
Federated States of Micronesia,Jewish,0
Fiji,Christian,550000
Fiji,Muslim,50000
Fiji,Unaffiliated,0
Fiji,Hindu,240000
Fiji,Buddhist,0
Fiji,Folk Religions,0
Fiji,Other Religions,0
Fiji,Jewish,0
Finland,Christian,4380000
Finland,Muslim,40000
Finland,Unaffiliated,940000
Finland,Hindu,0
Finland,Buddhist,0
Finland,Folk Religions,0
Finland,Other Religions,0
Finland,Jewish,0
France,Christian,39560000
France,Muslim,4710000
France,Unaffiliated,17580000
France,Hindu,30000
France,Buddhist,280000
France,Folk Religions,220000
France,Other Religions,100000
France,Jewish,310000
French Guiana,Christian,200000
French Guiana,Muslim,0
French Guiana,Unaffiliated,0
French Guiana,Hindu,0
French Guiana,Buddhist,0
French Guiana,Folk Religions,20000
French Guiana,Other Religions,0
French Guiana,Jewish,0
French Polynesia,Christian,250000
French Polynesia,Muslim,0
French Polynesia,Unaffiliated,10000
French Polynesia,Hindu,0
French Polynesia,Buddhist,0
French Polynesia,Folk Religions,0
French Polynesia,Other Religions,0
French Polynesia,Jewish,0
Gabon,Christian,1150000
Gabon,Muslim,170000
Gabon,Unaffiliated,80000
Gabon,Hindu,0
Gabon,Buddhist,0
Gabon,Folk Religions,90000
Gabon,Other Religions,0
Gabon,Jewish,0
Gambia,Christian,80000
Gambia,Muslim,1640000
Gambia,Unaffiliated,0
Gambia,Hindu,0
Gambia,Buddhist,0
Gambia,Folk Religions,0
Gambia,Other Religions,0
Gambia,Jewish,0
Georgia,Christian,3850000
Georgia,Muslim,470000
Georgia,Unaffiliated,30000
Georgia,Hindu,0
Georgia,Buddhist,0
Georgia,Folk Religions,0
Georgia,Other Religions,0
Georgia,Jewish,0
Germany,Christian,56540000
Germany,Muslim,4760000
Germany,Unaffiliated,20350000
Germany,Hindu,80000
Germany,Buddhist,210000
Germany,Folk Religions,40000
Germany,Other Religions,100000
Germany,Jewish,230000
Ghana,Christian,18260000
Ghana,Muslim,3860000
Ghana,Unaffiliated,1020000
Ghana,Hindu,0
Ghana,Buddhist,0
Ghana,Folk Religions,1200000
Ghana,Other Religions,40000
Ghana,Jewish,0
Gibraltar,Christian,30000
Gibraltar,Muslim,0
Gibraltar,Unaffiliated,0
Gibraltar,Hindu,0
Gibraltar,Buddhist,0
Gibraltar,Folk Religions,0
Gibraltar,Other Religions,0
Gibraltar,Jewish,0
Greece,Christian,10010000
Greece,Muslim,610000
Greece,Unaffiliated,700000
Greece,Hindu,20000
Greece,Buddhist,0
Greece,Folk Religions,10000
Greece,Other Religions,0
Greece,Jewish,0
Greenland,Christian,60000
Greenland,Muslim,0
Greenland,Unaffiliated,0
Greenland,Hindu,0
Greenland,Buddhist,0
Greenland,Folk Religions,0
Greenland,Other Religions,0
Greenland,Jewish,0
Grenada,Christian,100000
Grenada,Muslim,0
Grenada,Unaffiliated,0
Grenada,Hindu,0
Grenada,Buddhist,0
Grenada,Folk Religions,0
Grenada,Other Religions,0
Grenada,Jewish,0
Guadeloupe,Christian,440000
Guadeloupe,Muslim,0
Guadeloupe,Unaffiliated,10000
Guadeloupe,Hindu,0
Guadeloupe,Buddhist,0
Guadeloupe,Folk Religions,0
Guadeloupe,Other Religions,0
Guadeloupe,Jewish,0
Guam,Christian,170000
Guam,Muslim,0
Guam,Unaffiliated,0
Guam,Hindu,0
Guam,Buddhist,0
Guam,Folk Religions,0
Guam,Other Religions,0
Guam,Jewish,0
Guatemala,Christian,13690000
Guatemala,Muslim,0
Guatemala,Unaffiliated,590000
Guatemala,Hindu,0
Guatemala,Buddhist,0
Guatemala,Folk Religions,80000
Guatemala,Other Religions,10000
Guatemala,Jewish,0
Guinea,Christian,1090000
Guinea,Muslim,8430000
Guinea,Unaffiliated,180000
Guinea,Hindu,0
Guinea,Buddhist,0
Guinea,Folk Religions,270000
Guinea,Other Religions,0
Guinea,Jewish,0
Guinea Bissau,Christian,300000
Guinea Bissau,Muslim,680000
Guinea Bissau,Unaffiliated,70000
Guinea Bissau,Hindu,0
Guinea Bissau,Buddhist,0
Guinea Bissau,Folk Religions,470000
Guinea Bissau,Other Religions,0
Guinea Bissau,Jewish,0
Guyana,Christian,500000
Guyana,Muslim,50000
Guyana,Unaffiliated,10000
Guyana,Hindu,190000
Guyana,Buddhist,0
Guyana,Folk Religions,0
Guyana,Other Religions,0
Guyana,Jewish,0
Haiti,Christian,8690000
Haiti,Muslim,0
Haiti,Unaffiliated,1060000
Haiti,Hindu,0
Haiti,Buddhist,0
Haiti,Folk Religions,220000
Haiti,Other Religions,30000
Haiti,Jewish,0
Honduras,Christian,6660000
Honduras,Muslim,10000
Honduras,Unaffiliated,790000
Honduras,Hindu,0
Honduras,Buddhist,0
Honduras,Folk Religions,80000
Honduras,Other Religions,40000
Honduras,Jewish,0
Hong Kong,Christian,1010000
Hong Kong,Muslim,130000
Hong Kong,Unaffiliated,3950000
Hong Kong,Hindu,30000
Hong Kong,Buddhist,930000
Hong Kong,Folk Religions,900000
Hong Kong,Other Religions,110000
Hong Kong,Jewish,0
Hungary,Christian,8090000
Hungary,Muslim,0
Hungary,Unaffiliated,1860000
Hungary,Hindu,0
Hungary,Buddhist,0
Hungary,Folk Religions,0
Hungary,Other Religions,0
Hungary,Jewish,10000
Iceland,Christian,300000
Iceland,Muslim,0
Iceland,Unaffiliated,10000
Iceland,Hindu,0
Iceland,Buddhist,0
Iceland,Folk Religions,0
Iceland,Other Religions,0
Iceland,Jewish,0
India,Christian,31130000
India,Muslim,176190000
India,Unaffiliated,870000
India,Hindu,973750000
India,Buddhist,9250000
India,Folk Religions,5840000
India,Other Religions,27560000
India,Jewish,10000
Indonesia,Christian,23660000
Indonesia,Muslim,209120000
Indonesia,Unaffiliated,240000
Indonesia,Hindu,4050000
Indonesia,Buddhist,1720000
Indonesia,Folk Religions,750000
Indonesia,Other Religions,340000
Indonesia,Jewish,0
Iran,Christian,110000
Iran,Muslim,73570000
Iran,Unaffiliated,110000
Iran,Hindu,20000
Iran,Buddhist,0
Iran,Folk Religions,0
Iran,Other Religions,150000
Iran,Jewish,0
Iraq,Christian,270000
Iraq,Muslim,31340000
Iraq,Unaffiliated,40000
Iraq,Hindu,0
Iraq,Buddhist,0
Iraq,Folk Religions,0
Iraq,Other Religions,20000
Iraq,Jewish,0
Ireland,Christian,4110000
Ireland,Muslim,50000
Ireland,Unaffiliated,280000
Ireland,Hindu,10000
Ireland,Buddhist,0
Ireland,Folk Religions,0
Ireland,Other Religions,0
Ireland,Jewish,0
Isle of Man,Christian,70000
Isle of Man,Muslim,0
Isle of Man,Unaffiliated,10000
Isle of Man,Hindu,0
Isle of Man,Buddhist,0
Isle of Man,Folk Religions,0
Isle of Man,Other Religions,0
Isle of Man,Jewish,0
Israel,Christian,150000
Israel,Muslim,1380000
Israel,Unaffiliated,230000
Israel,Hindu,0
Israel,Buddhist,20000
Israel,Folk Religions,20000
Israel,Other Religions,0
Israel,Jewish,5610000
Italy,Christian,50440000
Italy,Muslim,2220000
Italy,Unaffiliated,7500000
Italy,Hindu,90000
Italy,Buddhist,110000
Italy,Folk Religions,80000
Italy,Other Religions,60000
Italy,Jewish,50000
Ivory Coast,Christian,8710000
Ivory Coast,Muslim,7390000
Ivory Coast,Unaffiliated,1570000
Ivory Coast,Hindu,0
Ivory Coast,Buddhist,0
Ivory Coast,Folk Religions,2020000
Ivory Coast,Other Religions,30000
Ivory Coast,Jewish,0
Jamaica,Christian,2120000
Jamaica,Muslim,0
Jamaica,Unaffiliated,470000
Jamaica,Hindu,0
Jamaica,Buddhist,0
Jamaica,Folk Religions,120000
Jamaica,Other Religions,30000
Jamaica,Jewish,0
Japan,Christian,2030000
Japan,Muslim,200000
Japan,Unaffiliated,72120000
Japan,Hindu,30000
Japan,Buddhist,45820000
Japan,Folk Religions,450000
Japan,Other Religions,5890000
Japan,Jewish,0
Jordan,Christian,130000
Jordan,Muslim,6010000
Jordan,Unaffiliated,0
Jordan,Hindu,0
Jordan,Buddhist,20000
Jordan,Folk Religions,0
Jordan,Other Religions,0
Jordan,Jewish,0
Kazakhstan,Christian,3970000
Kazakhstan,Muslim,11290000
Kazakhstan,Unaffiliated,670000
Kazakhstan,Hindu,0
Kazakhstan,Buddhist,40000
Kazakhstan,Folk Religions,50000
Kazakhstan,Other Religions,20000
Kazakhstan,Jewish,0
Kenya,Christian,34340000
Kenya,Muslim,3920000
Kenya,Unaffiliated,1000000
Kenya,Hindu,60000
Kenya,Buddhist,0
Kenya,Folk Religions,690000
Kenya,Other Religions,500000
Kenya,Jewish,0
Kiribati,Christian,100000
Kiribati,Muslim,0
Kiribati,Unaffiliated,0
Kiribati,Hindu,0
Kiribati,Buddhist,0
Kiribati,Folk Religions,0
Kiribati,Other Religions,0
Kiribati,Jewish,0
Kosovo,Christian,240000
Kosovo,Muslim,1810000
Kosovo,Unaffiliated,30000
Kosovo,Hindu,0
Kosovo,Buddhist,0
Kosovo,Folk Religions,0
Kosovo,Other Religions,0
Kosovo,Jewish,0
Kuwait,Christian,390000
Kuwait,Muslim,2030000
Kuwait,Unaffiliated,0
Kuwait,Hindu,230000
Kuwait,Buddhist,80000
Kuwait,Folk Religions,0
Kuwait,Other Religions,0
Kuwait,Jewish,0
Kyrgyzstan,Christian,610000
Kyrgyzstan,Muslim,4690000
Kyrgyzstan,Unaffiliated,20000
Kyrgyzstan,Hindu,0
Kyrgyzstan,Buddhist,0
Kyrgyzstan,Folk Religions,0
Kyrgyzstan,Other Religions,0
Kyrgyzstan,Jewish,0
Laos,Christian,90000
Laos,Muslim,0
Laos,Unaffiliated,50000
Laos,Hindu,0
Laos,Buddhist,4100000
Laos,Folk Religions,1910000
Laos,Other Religions,50000
Laos,Jewish,0
Latvia,Christian,1260000
Latvia,Muslim,0
Latvia,Unaffiliated,990000
Latvia,Hindu,0
Latvia,Buddhist,0
Latvia,Folk Religions,0
Latvia,Other Religions,0
Latvia,Jewish,0
Lebanon,Christian,1620000
Lebanon,Muslim,2590000
Lebanon,Unaffiliated,10000
Lebanon,Hindu,0
Lebanon,Buddhist,0
Lebanon,Folk Religions,0
Lebanon,Other Religions,0
Lebanon,Jewish,0
Lesotho,Christian,2100000
Lesotho,Muslim,0
Lesotho,Unaffiliated,70000
Lesotho,Hindu,0
Lesotho,Buddhist,0
Lesotho,Folk Religions,0
Lesotho,Other Religions,0
Lesotho,Jewish,0
Liberia,Christian,3430000
Liberia,Muslim,480000
Liberia,Unaffiliated,60000
Liberia,Hindu,0
Liberia,Buddhist,0
Liberia,Folk Religions,20000
Liberia,Other Religions,0
Liberia,Jewish,0
Libya,Christian,170000
Libya,Muslim,6140000
Libya,Unaffiliated,10000
Libya,Hindu,0
Libya,Buddhist,20000
Libya,Folk Religions,0
Libya,Other Religions,0
Libya,Jewish,0
Liechtenstein,Christian,30000
Liechtenstein,Muslim,0
Liechtenstein,Unaffiliated,0
Liechtenstein,Hindu,0
Liechtenstein,Buddhist,0
Liechtenstein,Folk Religions,0
Liechtenstein,Other Religions,0
Liechtenstein,Jewish,0
Lithuania,Christian,2980000
Lithuania,Muslim,0
Lithuania,Unaffiliated,330000
Lithuania,Hindu,0
Lithuania,Buddhist,0
Lithuania,Folk Religions,0
Lithuania,Other Religions,0
Lithuania,Jewish,0
Luxembourg,Christian,360000
Luxembourg,Muslim,10000
Luxembourg,Unaffiliated,140000
Luxembourg,Hindu,0
Luxembourg,Buddhist,0
Luxembourg,Folk Religions,0
Luxembourg,Other Religions,0
Luxembourg,Jewish,0
Macau,Christian,40000
Macau,Muslim,0
Macau,Unaffiliated,80000
Macau,Hindu,0
Macau,Buddhist,90000
Macau,Folk Religions,320000
Macau,Other Religions,0
Macau,Jewish,0
Madagascar,Christian,17680000
Madagascar,Muslim,620000
Madagascar,Unaffiliated,1440000
Madagascar,Hindu,10000
Madagascar,Buddhist,0
Madagascar,Folk Religions,940000
Madagascar,Other Religions,20000
Madagascar,Jewish,0
Malawi,Christian,12320000
Malawi,Muslim,1930000
Malawi,Unaffiliated,370000
Malawi,Hindu,0
Malawi,Buddhist,0
Malawi,Folk Religions,260000
Malawi,Other Religions,0
Malawi,Jewish,0
Malaysia,Christian,2670000
Malaysia,Muslim,18100000
