rMVMP,fulldate,NAME,rMVOP,Obs,BHRET3
97.517,19810305,"AUTOCLAVE ENGINEERS",97.517,74,-6.31
56.9845,19810319,"OBJECT RECOGNITION",50.6529,75,-18.34
24.0698,19810324,"HEI",22.2646,76,-22.963
44.6943,19810324,"TECHNOLOGY MARKETING",42.0652,77,-79.112
117.74,19810325,"SEI",109.676,78,90.48
72.156,19810326,"EMULEX",67.9118,79,451.456
152.972,19810326,"VENTREX LABS",152.972,80,1.333
298.128,19810326,"INFOTRON SYSTEMS",266.746,81,13.54
110.725,19810407,"ULTIMATE CORPORATION",88.5799,82,234.426
764.91,19810407,"INTERGRAPH",524.509,83,163.507
39.588,19810408,"EIL INSTRUMENTS",44.1913,84,-48.864
103.297,19810408,"GERBER SYSTEMS",103.297,85,-59.22
248.018,19810408,"MANAGEMENT SCIENCE",220.46,86,68.28
56.4302,19810415,"COMPUTER ENTRY",57.4562,87,-25.23
18.0963,19810416,"SILICON ELECTRO-PHYSIC",18.4814,88,-43.75
266.819,19810416,"INTERTEC DATA",269.817,89,-79.89
403.745,19810421,"DORADO MICRO SYSTEMS",328.043,90,-68.462
290.222,19810505,"DATA I/O",226.013,91,-28.95
120.476,19810512,"IPL SYSTEMS",125.295,92,-56.863
253.227,19810512,"ADVANCED SEMICONDUCTOR",220.197,93,44.6
30.6833,19810513,"NOVAR ELECTRONICS",28.4105,94,115.344
102.506,19810513,"CABLE TV INDUSTRIES",75.93,95,-78.08
112.424,19810602,"DETECTOR ELECTRONICS",83.6647,96,-77.168
353.312,19810609,"SOFTWARE AG",279.544,97,-52.459
249.03,19810617,"GEOPHYSICAL SYSTEMS",203.29,98,-95.812
97.19,19810618,"ALPHA MICROSYSTEMS",97.19,99,-20.66
47.1589,19810619,"KYLE TECHNOLOGY",45.5327,100,-62.393
583.67,19810619,"MICOM SYSTEMS",493.241,101,122.38
313.874,19810630,"HBO & COMPANY",280.354,102,175.347
322.83,19810701,"LIEBERT",268.326,103,104.94
21.5394,19810702,"ZONIC",24.6165,104,-86.047
80.302,19810714,"ODETICS",82.5967,105,-36.466
106.758,19810722,"AMPLICA",106.758,106,32.716
62.1614,19810724,"BIOSEARCH MEDICAL",62.1614,107,125.23
28.8518,19810728,"BEDFORD COMPUTER",28.4079,108,15.152
274.715,19810805,"PANSOPHIC SYSTEMS",274.715,109,-1.65
195.968,19810812,"SYSTEMATICS",180.415,110,102.633
109.162,19810818,"SOUTHERN MEDIC & PHARM",114.907,111,-93.67
61.1819,19810827,"SOFTECH",55.8617,112,-22.58
83.134,19810827,"NCA",87.5093,113,-17.241
120.582,19810902,"BOLT TECHNOLOGY",118.429,114,-16.215
7.5873,19810915,"DATA MEASUREMENT",7.226,115,0
36.6299,19810923,"CYCARE SYSTEMS",37.6765,116,119.72
511.32,19810924,"SEAGATE TECHNOLOGY",470.184,117,16.57
146.784,19811001,"ASK COMPUTER SYSTEMS",140.402,118,177.419
191.065,19811002,"CORVUS SYSTEMS",191.065,119,-61.73
102.422,19811006,"CIPHER DATA PRODUCTS",94.9277,120,333.333
195.888,19811014,"VECTOR GRAPHIC",188.633,121,-97.71
20.596,19811021,"DATAPOWER",21.5768,122,-4.439
212.65,19811023,"FONAR",177.208,123,-20.87
71.326,19811104,"COMPUTONE SYSTEMS",71.993,124,-44.19
113.345,19811104,"INSTACOM",107.947,125,51.765
104.236,19811110,"MONCHIK-WEBER",97.583,126,25.51
31.4556,19811117,"COM SYSTEMS",30.6884,127,-63.072
73.435,19811117,"SYSCON",75.1429,128,32.67
106.15,19811117,"VISUAL TECHNOLOGY",106.15,129,-77.32
58.8002,19811118,"COMMUNICATIONS SYSTEMS",58.8002,130,94.85
115.015,19811208,"HEALTHDYNE",111.864,131,-55.1
100.506,19811209,"COMPUTER ASSOCIATES",102.333,132,156.79
78.363,19820107,"COMPUTER MEMORIES",75.6607,133,9.3
54.0766,19820121,"INT'L ROBOMATION",55.9414,134,-39.5
31.6546,19820129,"CSP INC",31.1821,135,-9.63
66.181,19820129,"CRIME CONTROL",64.567,136,-74.699
117.79,19820202,"TECH FOR COMM",112.353,137,-52.67
139.768,19820202,"LTX CORP",132.003,138,150.172
201.61,19820330,"SYNTREX INC",199.121,139,-58.282
18.5537,19820406,"SPACE MICROWAVE",20.6152,140,-60.526
43.4584,19820422,"REXON BUSINESS",42.1414,141,-7.246
42.9824,19820422,"COMPUTER INPUT",42.9824,142,65.116
99.969,19820427,"DATASWITCH",83.3076,143,-27.686
654.44,19820518,"CONVERGENT TECH",619.998,144,-21.963
68.62,19820603,"BPI SYSTEMS",65.8752,145,-56.436
100.439,19820608,"DIAGNOSTIC PRODUCTS",100.439,146,57.73
44.412,19820629,"INTERMETRICS",44.412,147,15.044
341.469,19820708,"TERA CORP",344.158,148,-81.323
33.3768,19820811,"ENVIRONMENTAL TESTING",35.1334,149,623.077
38.252,19820820,"UNIVERSAL MONEY",38.252,150,-60.01
82.763,19820915,"ELEC OF ISRAEL",76.7902,151,-11.387
20.6876,19820923,"PSYCH SYSTEMS",17.2397,152,-97.449
130.796,19820929,"ON LINE SOFTWARE",124.567,153,-59.055
52.4847,19821001,"BIOMET INC",31.3701,154,236.918
29.1708,19821007,"TANO CORP",29.1708,155,-51.678
695.33,19821019,"INTECOM INC",632.122,156,-61.582
31.0279,19821029,"MERRIMAC INDUSTRIES",24.8223,157,40.589
620.93,19821102,"SYSTEMS & COMPUTERS",509.089,158,-77.16
1022.58,19821104,"ALTOS COMPUTERS",709.889,159,-64.198
840.21,19821118,"LEE DATA",565.097,160,-79.87
46.6733,19821126,"TRIANGLE MICROWAVE",31.536,161,21.053
31.8093,19821201,"PATIENT TECH",25.2603,162,11.429
93.601,19821201,"QUALITY SYSTEMS",84.8645,163,-78.808
249.327,19821202,"ARGOSYSTEMS",161.219,164,23.833
495.47,19821203,"PAR TECHNOLOGY",353.904,165,-37.778
269.948,19821207,"DIONEX CORP",191.739,166,37.67
315.348,19821210,"HOGAN SYSTEMS",270.299,167,-45.18
405.14,19821210,"QUANTUM CORP",425.916,168,11.05
23.3226,19821216,"PERCEPTRONICS",20.4073,169,158
20.951,19821217,"HARRIS & PAULSON",20.44,170,-86.446
28.5389,19821221,"PHARMACONTROL",30.041,171,74.359
47.714,19821222,"BIOSTIM",35.3437,172,-98.182
34.1398,19830105,"LASER PHOTONICS",23.5447,173,-32.203
211.907,19830113,"QUALITY MICRO SYSTEMS",159.223,174,-3.771
69.963,19830201,"COOK DATA SERVICES",64.8936,175,-45
211.781,19830210,"DIGITAL COMMUNICATIONS",152.832,176,66.154
212.791,19830216,"SILICON VALLEY GROUP",174.102,177,-13.483
126.253,19830218,"TIME ENERGY SYSTEMS",97.118,178,-67.52
2720.85,19830223,"DIASONICS, INC.",2237.7,179,-87.674
132.305,19830224,"AMERICAN SOFTWARE",135.12,180,-43.084
566.23,19830224,"VLSI TECHNOLOGY",452.988,181,3.82
240.734,19830301,"XEBEC",190.348,182,-81.5
482.96,19830301,"AUTOMATIX INCORPORATED",458.816,183,-84.47
1192.37,19830303,"APOLLO COMPUTER",989.89,184,-14.085
417.073,19830304,"INFORMATION RESOURCES",223.085,185,31.01
1099.23,19830304,"FORTUNE SYSTEMS",1124.8,186,-91.594
115.274,19830315,"PENTA SYSTEMS",115.274,187,-94.06
1997.26,19830315,"TELEVIDEO SYSTEMS",1662.46,188,-82.133
75.946,19830316,"SCAN-TRON CORP.",74.4568,189,91.75
231.724,19830316,"BR COMMUNICATIONS",188.979,190,-64.25
100.496,19830322,"SCI. SYSTEMS SERVICE",94.4658,191,-69.154
241.476,19830323,"INTEGRATED SOFTWARE",181.817,192,-38.372
199.032,19830324,"BURR-BROWN CORPORATION",187.974,193,73.79
525.08,19830325,"MASSTOR SYSTEMS",460.345,194,-90.82
44.602,19830407,"BFI COMMUNICATIONS",34.3092,195,-77.358
58.4056,19830413,"HYTEK MICROSYSTEMS",43.0357,196,-32.468
33.7192,19830421,"INTEGRATED CIRCUITS",29.705,197,-27.059
32.198,19830426,"TELECI, INC.",29.9516,198,-97.159
40.2908,19830427,"CLINICAL DATA",39.4686,199,-71
90.193,19830504,"STERLING SOFTWARE",72.9648,200,22.94
320.408,19830505,"MACNEAL-SCHWENDLER",201.901,201,3.129
32.7582,19830511,"CONSCO ENTERPRISES",33.9714,202,-91.364
59.4528,19830512,"INFO DESIGNS, INC.",36.032,203,-94.85
66.7054,19830512,"PRIMAGES, INC.",44.4702,204,-33.523
1390.55,19830513,"LSI LOGIC CORP.",1216.73,205,-5.67
111.603,19830520,"SYSTEMS ASSOCIATES",83.0538,206,-52.267
22.6664,19830525,"ELECTRONIC FINANCIAL",19.2321,207,-88.06
46.8444,19830525,"ASTRO-MED, INC.",39.2186,208,-24.14
75.9904,19830526,"TELERAM COMMUNICATIONS",36.7695,209,-98.23
843.86,19830527,"COMPUTER LANGUAGE",644.401,210,-72.06
546.27,19830601,"DAISY SYSTEMS",498.074,211,-30.94
37.0527,19830602,"MAGNETIC INFO. TECH.",29.8812,212,-97.656
49.1612,19830602,"DISTRIBUTED LOGIC",37.203,213,-21.33
94.3222,19830602,"ARTEL COMMUNICATIONS",44.3869,214,-68.269
118.98,19830602,"INTERAND CORPORATION",72.109,215,-34.35
137.179,19830602,"ENDATA, INC.",122.988,216,-57.627
700.75,19830602,"PRIAM CORPORATION",581.113,217,-71.52
34.1482,19830603,"VANZETTI SYSTEMS",33.1134,218,-46.269
139.391,19830603,"BGS SYSTEMS",127.04,219,-36.646
397.37,19830603,"MICROPOLIS CORP.",355.544,220,-11.111
22.2948,19830607,"BIO-LOGIC SYSTEMS",16.7211,221,113.158
33.6156,19830608,"SPAN-AMERICAN MEDICAL",18.2694,222,77.053
123.202,19830608,"AMHERST ASSOCIATES",78.6398,223,-3.439
58.6928,19830610,"POWERTEC, INC.",50.4758,224,59.65
100.358,19830614,"202 DATA SYSTEMS",87.5848,225,-76.549
117.82,19830614,"SELECTERM, INC.",107.38,226,-64.375
24.254,19830615,"ENSUN CORP.",20.2117,227,-84.694
58.552,19830615,"MEDAR, INC.",45.04,228,39.63
508.092,19830615,"EAGLE COMPUTER",393.361,229,-98.56
236.126,19830620,"GIGA-TRONICS",132.562,230,-42.358
225.059,19830622,"KENTRON INT'L",166.198,231,-67.9
194.086,19830622,"GRADCO SYSTEMS INC.",183.871,232,-15.75
510.013,19830622,"KEY TRONIC CORP.",386.224,233,-49.28
1009.46,19830623,"UNGERMANN-BASS, INC.",679.262,234,-57.674
246.172,19830624,"MARGAUX CONTROLS",216.631,235,-72.19
33.6336,19830630,"BOMED MEDICAL LTD.",23.1956,236,-77.5
179.389,19830630,"AVANT-GARDE",120.851,237,-82.292
55.004,19830701,"CIPRICO INC.",46.3191,238,-37.922
141.558,19830701,"MARQUEST MEDICAL",139.507,239,-42.841
22.7902,19830707,"INTERACTIVE RADIATN.",22.7902,240,-32.308
177.487,19830707,"APPLIED COMMUNICATIONS",127.089,241,30.061
286.566,19830707,"CIRCON CORPORATION",235.681,242,-53.49
279.491,19830707,"IOMEGA CORPORATION",286.657,243,13.924
18.579,19830708,"TELEPHONE SUPPORT",16.89,244,2.222
29.3396,19830708,"CMC INTERNATIONAL",25.2928,245,-83.898
13.1404,19830712,"INT'L MEDICAL SYSTEMS",13.1404,246,-78.468
22.52,19830712,"INVENTION, DESIGN",18.016,247,-49.107
75.1335,19830712,"PERFECT DATA CORP.",58.0577,248,-86.72
45.603,19830713,"DIAGNON CORP",45.603,249,-53.922
63.75,19830713,"BARON DATA SYSTEMS",68.3032,250,-23.89
63.6618,19830714,"COMPTEK RESEARCH",61.3039,251,-49.65
174.614,19830714,"ISOMEDIX, INC.",144.126,252,-10.937
191.139,19830715,"KOLFF MEDICAL, INC.",191.139,253,-71.14
45.2427,19830719,"COMPUTRAC INC.",44.3194,254,30.303
99.385,19830719,"LINEAR CORPORATION",101.07,255,-67.19
23.646,19830720,"CHAD THERAPEUTICS",20.268,256,-90.086
245.567,19830720,"GTECH CORPORATION",271.147,257,129.9
15.0096,19830721,"WRIGHT LABORATORIES",15.0096,258,-14.815
39.1814,19830721,"ENDOTRONICS, INC.",26.1209,259,670.294
141.876,19830721,"TELXON CORPORATION",131.742,260,246.918
447.08,19830721,"ZY MOS CORPORATION",447.078,261,-83.58
44.8182,19830727,"FREY ASSOCIATES",40.59,262,-79.44
95.215,19830727,"LIFELINE SYSTEMS",88.4135,263,-54.867
15.0619,19830802,"KEY IMAGE SYSTEMS",12.6326,264,-95.359
171.828,19830802,"ZIYAD INC.",171.828,265,-71.68
23.172,19830803,"CARDIOSEARCH INC.",23.172,266,-68.224
42.225,19830803,"P.C. TELEMART INC.",33.78,267,-99.02
240.353,19830804,"APPLIED CIRCUIT",235.012,268,-96.43
114.335,19830812,"FDP CORPORATION",116.577,269,-61.54
157.124,19830812,"FINALCO GROUP",157.124,270,-72.548
73.668,19830816,"GULL, INC.",71.9548,271,2.65
34.3025,19830822,"BALLARD MEDICAL",29.4021,272,23.822
162.441,19830825,"DATASOUTH COMPUTER",162.441,273,-80.41
820.85,19830825,"KAYPRO CORPORATION",810.72,274,-83.436
541.7,19830826,"STRATUS COMPUTER",481.514,275,57.8
35.6531,19830909,"BKW, INC.",37.5296,276,-78.78
47.292,19830912,"WINTERHALTER, INC.",39.41,277,-94.51
385.434,19830913,"EQUATORIAL COMMUNIC.",337.255,278,-66.923
219.915,19830914,"COMP-U-CARD",209.686,279,56.07
40.7302,19830915,"INNOVATIVE SOFTWARE",35.5084,280,13.924
33.0456,19830920,"RENAL SYSTEMS",32.6743,281,-32.961
30.7848,19830921,"KMW SYSTEMS CORP.",30.7848,282,26.829
19.4494,19830922,"COMPUTRAC INSTRUM.",19.8722,283,-38.298
38.847,19830927,"CONT'L HEALTHCARE",38.847,284,52.69
146.166,19830928,"PROTOCOL COMPUTERS",144.659,285,-89.271
27.3978,19830929,"CERPROBE CORPORATION",24.9071,286,-53.333
138.932,19831004,"MEDIFLEX SYSTEMS",132.316,287,35.156
334.36,19831004,"VALID LOGIC SYSTEMS",355.703,288,-61.053
78.976,19831005,"PARLEX CORPORATION",80.3615,289,31.034
67.785,19831006,"COPYTELE, INC.",63.056,290,217.868
109.413,19831006,"STANFORD TELECOMM.",94.825,291,-5.738
874.68,19831006,"LOTUS DEVELOPMENT",636.131,292,67.839
68.334,19831007,"ESPRIT SYSTEMS",66.2628,293,-85.151
102.333,19831007,"RADIONICS INC.",102.333,294,-18.64
56.3923,19831011,"FIBRONICS INT'L",59.7095,295,19.57
275.573,19831012,"SEEQ TECHNOLOGY",297.917,296,-88.667
175.385,19831018,"ELECTRO SCIENTIFIC",181.432,297,-35.622
262.876,19831018,"ATV SYSTEMS, INC.",262.876,298,-81.988
106.891,19831027,"RICHARDSON ELEC.",124.382,299,177.645
38.5492,19831028,"DATAKEY, INC.",33.521,300,25.532
52.663,19831102,"LANE TELECOMM.",52.663,301,-74.38
11.403,19831103,"SELECT INFORMATION",11.1249,302,-69.88
72.233,19831103,"TERAK CORP.",72.2329,303,-89.63
229.077,19831103,"SYSTEMS INTEGRATORS",234.951,304,-16.25
501.12,19831103,"MINISCRIBECORP.",470.437,305,-32.32
41.2566,19831104,"TLS CO.",41.2566,306,-40
19.4821,19831109,"PERSONAL COMPUTER",19.0069,307,97.59
37.2976,19831109,"MEDSTAT SYSTEMS",40.1667,308,32.08
79.203,19831115,"ANDOVER CONTROLS",79.2028,309,1.235
29.4607,19831117,"PANCRETEC INC.",22.8083,310,-74.603
77.306,19831118,"APPLIED DATA",73.9444,311,-69.89
31.0213,19831122,"WORLCO DATA SYSTEMS",32.654,312,-28.205
44.2982,19831122,"STARTEL CORPORATION",45.4341,313,-65.5
127.118,19831129,"VODAVI TECHNOLOGY",123.265,314,-44.776
197.996,19831130,"DICEON ELECTRONICS",197.996,315,37.984
292.548,19831130,"ASHTON-TATE",292.548,316,223.894
259.89,19831202,"VMX, INC.",256.329,317,-65.986
69.179,19831206,"BEL FUSE",69.1792,318,29.52
242.077,19831206,"SUPERTEX, INC.",235.534,319,-81.21
61.5967,19831207,"CERMETEK MICROELEC.",61.5967,320,-79.85
635.63,19831209,"COMPAQ COMPUTER",628.49,321,84.27
16.6085,19831213,"FINAL TEST, INC.",16.6085,322,-55.556
81.106,19831213,"CALIF. AMPLIFIER",77.2436,323,-90.588
291.859,19831213,"CINCINNATI MICRO.",291.859,324,-0.093
57.4361,19831214,"CCX NETWORK",56.264,325,75.25
65.885,19831214,"INTELLIGENETICS",65.8845,326,-18.367
23.0903,19831215,"COMPONENT TECHNOLOGY",23.9455,327,-24.949
58.7434,19831215,"ALLY & GARGANO",59.9933,328,1.6
91.917,19831215,"FORMASTER CORPORATION",89.6746,329,-87.273
230.988,19831216,"ARCHIVE CORP.",230.988,330,-51.55
96.205,19831222,"ZITEL CORPORATION",96.2054,331,-85.185
62.3924,19840112,"ARRAYS, INC.",62.3924,332,-87.7
85.827,19840112,"DEVELCON ELECTRONICS",154.488,333,-88.679
41.8367,19840117,"LANGER BIOMECHANICS",40.465,334,-74.4
43.2765,19840117,"INTERPHASE CORP.",43.9634,335,31.25
211.348,19840117,"HADCO CORP.",211.348,336,-59.55
68.143,19840118,"EPSILON DATA MGMT.",68.1428,337,-22.16
627.18,19840118,"MENTOR GRAPHICS",515.683,338,-8.287
50.6646,19840119,"DUQUESNE SYSTEMS",51.7905,339,585.71
41.6111,19840125,"V BAND SYSTEMS, INC.",37.8283,340,513.33
25.932,19840127,"DAY TELECOMMUNIC.",25.932,341,-98.724
31.1184,19840202,"STOCKHOLDER SYSTEMS",31.1184,342,-14.896
64.095,19840203,"BOOLE & BABBAGE",64.0953,343,-20.988
28.0228,19840214,"PYRAMID MAGNETICS",29.4977,344,-95.192
144.528,19840214,"TELCO SYSTEMS",144.528,345,-57.11
290.756,19840217,"INTEGRATED DEVICE",290.756,346,43.678
35.1379,19840308,"II MORROW INC.",31.6241,347,-9.658
24.6873,19840314,"FANON/COURIER U.S.A.",24.6873,348,-83.206
175.093,19840321,"3COM CORP.",175.093,349,264.948
167.101,19840322,"MICROPRO INT'L",171.177,350,-49.09
26.5857,19840502,"TOTAL ASSETS",27.985,351,27.273
78.66,19840503,"DH TECHNOLOGY",75.8511,352,-16.81
67.023,19840509,"SILVAR-LISCO",67.0234,353,13.58
133.855,19840511,"INVACARE CORP.",133.855,354,-9.48
54.025,19840523,"COMPUSAVE CORP.",27.0125,355,-93.878
535.79,19840601,"MICRON TECHNOLOGY",531.048,356,-12.775
333.824,19840605,"ZYCAD CORP.",339.482,357,-68.067
23.2459,19840621,"CONCORD COMPUTING",23.9957,358,32.283
19.7861,19840628,"PHOENIX MEDICAL",19.7861,359,48.454
10.805,19840712,"KAPPA NETWORK",10.3728,360,-8.911
127.756,19840801,"SCIENTIFIC MICRO SYS",129.663,361,-11.111
46.0293,19840802,"NORTHERN DATA SYS",46.0293,362,39.344
71.014,19840807,"ALTRON INC.",69.2817,363,-51.81
43.193,19840808,"WILAND SERVICES INC.",43.193,364,-73.267
56.4831,19840808,"CYBERTEK COMPUTER",56.4831,365,-27.27
456.82,19840809,"MASS. COMPUTER CORP.",423.39,366,-41.129
25.6727,19840910,"CITISOURCE INC.",19.0168,367,-93.636
34.2392,19841004,"SCIENTIFIC COMMUN.",33.7429,368,48.921
128.15,19841004,"WYSE TECHNOLOGY",125.902,369,442.609
84.279,19841012,"IPC COMMUNICATIONS",86.44,370,27.146
30.8418,19841108,"QMAX TECHNOLOGY",19.2761,371,84.615
29.7678,19841113,"GV MEDICAL, INC.",23.8142,372,58.824
106.047,19841115,"SOFTWARE PUBLISHING",100.655,373,-8.33
283.253,19841115,"SYMBOLICS INC.",277.472,374,-71.72
76.485,19841120,"AUTOMATED SYSTEMS",76.4848,375,-73.49
124.804,19841128,"NANOMETRICS INC.",124.804,376,-77.6
36.4669,19841206,"TRIO-TECH INT'L",37.9256,377,-75.29
89.143,19841206,"NATIONAL BUS. SYS.",93.2569,378,116.974
257.194,19841206,"STAR TECHNOLOGIES",257.194,379,-80.822
149.546,19841220,"AST RESEARCH",149.546,380,14.035
168.824,19850124,"Britton Lee",148.235,381,-84.242
44.9013,19850213,"Data Translation",43.8061,382,48.247
246.899,19850410,"Encore Computer",235.142,383,-52.94
213.527,19850418,"Bridge Communications",202.957,384,123.645
19.1587,19850513,"Computer Telephone",16.529,385,-83.981
154.438,19850529,"VM Software",133.568,386,9.091
54.1968,19850606,"Circadian",52.0289,387,-74.26
91.736,19850619,"DEST",91.7362,388,-44.33
62.7822,19850628,"American Technical Ceramics",56.504,389,-69.36
162.811,19850628,"Autodesk",149.243,390,623.711
26.3212,19850701,"Comtrex Systems",26.3212,391,-82.653
25.7938,19850718,"GridComm",22.9278,392,-87.719
35.2964,19850723,"Barrister Information Systems",33.8845,393,-44.737
48.8024,19850724,"Iverson Technology",39.5361,394,83.02
33.3383,19850807,"Telecalc",27.1227,395,-78.099
185.206,19850807,"Maxtor",168.022,396,33.33
36.2512,19850814,"Technology Development",32.6261,397,-66.049
76.896,19850815,"Hutchinson Technology",78.8677,398,18.987
77.48,19850823,"National FSI",76.6973,399,-74.372
85.28,19850828,"MOSCOM",88.6912,400,-47.059
37.566,19850905,"Electronic Tele-Communications",37.566,401,-45.37
11.8724,19850926,"Circuit Systems",12.8351,402,-32
73.673,19850926,"Isco",71.9191,403,67.63
44.0227,19851120,"Jack Henry & Associates",44.0227,404,-46.789
54.1498,19851122,"Rheometrics",52.6863,405,-22.67
25.8266,19851126,"Advanced Instl Mgmt Software",25.8266,406,-94.21
198.44,19851126,"Cadnetix",191.597,407,14.53
44.8168,19851204,"Vertex Communications",43.9021,408,-47.475
61.3641,19851204,"Telos",61.3641,409,-20
290.649,19851204,"Pyramid Technology",274.275,410,-13.29
50.2842,19851217,"AC Teleconnect",50.2842,411,-26.32
78.371,19860205,"Plexus",64.6561,412,-37.888
10.8235,19860207,"Xiox",11.0897,413,-60
12.5362,19860228,"Mikron Instrument",10.4468,414,-40.816
857.74,19860304,"Sun Microsystems",871.36,415,118.182
179.946,19860305,"Teknowledge",179.946,416,-76.818
193.205,19860307,"Synercom Technology",184.004,417,-76.378
25.3887,19860312,"Pacer",22.3421,418,54.455
543.182,19860312,"Oracle Systems",397.451,419,367.88
21.6972,19860313,"General Sciences",18.081,420,22.449
175.796,19860313,"SunGard Data Systems",161.146,421,27.083
1435.49,19860313,"Microsoft",1076.62,422,276.786
441.64,19860404,"EMC",477.836,423,-69.26
18.4878,19860507,"Image Management Systems",14.7903,424,-98.361
63.751,19860507,"Telesis Systems",63.7506,425,-44.262
97.075,19860507,"Vanguard Technologies Intl",92.0539,426,38.928
30.069,19860514,"Verticom",27.9452,427,-37.025
27.5861,19860515,"Sigma Designs",25.3792,428,433.333
34.9189,19860515,"Old Dominion Systems",25.8659,429,-26.606
33.8719,19860516,"Cognitive Systems",33.2078,430,-89.45
81.991,19860516,"Tekelec",83.6995,431,14.286
40.2604,19860520,"Autoinfo",32.2083,432,-61.29
281.981,19860528,"Linear Technology",257.811,433,4.225
632.56,19860529,"Cypress Semiconductor",591.176,434,40.26
16.2325,19860602,"World Group Companies",16.2325,435,-98.78
125.465,19860603,"Tel/Man",101.181,436,26.14
105.304,19860604,"Perception Technology",90.2604,437,-58.824
