Status,Province,Date,Actors,count
Civilian,Deir Ezzor,2018-02,Armed opposition groups,7
Non-Civilian,Damascus,2018-02,The organization of the Islamic State in Iraq and the Levant - ISIS,1
Non-Civilian,Damascus Suburbs,2018-02,Self administration forces,1
Civilian,Idlib,2018-01,Syrian government and affiliated militias,83
Civilian,Idlib,2018-01,Not identified,53
Civilian,Homs,2018-01,Syrian government and affiliated militias,15
Non-Civilian,Aleppo,2018-01,Not identified,28
Non-Civilian,Idlib,2018-01,Syrian government and affiliated militias,66
Non-Civilian,Idlib,2018-01,Self administration forces,4
Civilian,Damascus Suburbs,2018-01,Syrian government and affiliated militias,211
Non-Civilian,Damascus,2018-01,Syrian government and affiliated militias,16
Non-Civilian,Damascus Suburbs,2018-01,Syrian government and affiliated militias,73
Non-Civilian,Homs,2018-01,Self administration forces,9
Non-Civilian,Other Nationalities,2018-01,Armed opposition groups,2
Civilian,Aleppo,2018-01,Self administration forces,6
Civilian,Aleppo,2018-01,Al-Nusra Front,2
Civilian,Damascus Suburbs,2018-01,Russian troops,20
Civilian,Damascus,2018-01,Russian troops,1
Non-Civilian,Homs,2018-01,Syrian government and affiliated militias,22
Non-Civilian,Aleppo,2018-01,Armed opposition groups,4
Civilian,Aleppo,2018-01,Russian troops,11
Civilian,Idlib,2018-01,Russian troops,64
Non-Civilian,Daraa,2018-01,Not identified,7
Non-Civilian,Other Nationalities,2018-01,Not identified,2
Civilian,Deir Ezzor,2018-01,The organization of the Islamic State in Iraq and the Levant - ISIS,23
Civilian,Raqqa,2018-01,The organization of the Islamic State in Iraq and the Levant - ISIS,23
Non-Civilian,Hasakeh,2018-01,Armed opposition groups,1
Non-Civilian,Damascus Suburbs,2018-01,Al-Nusra Front,1
Civilian,Daraa,2018-01,Syrian government and affiliated militias,2
Civilian,Deir Ezzor,2018-01,Not identified,11
Civilian,Aleppo,2018-01,Not identified,55
Civilian,Hama,2018-01,Russian troops,11
Civilian,Daraa,2018-01,Not identified,3
Civilian,Deir Ezzor,2018-01,Syrian government and affiliated militias,11
Civilian,Raqqa,2018-01,Not identified,4
Non-Civilian,Idlib,2018-01,Russian troops,4
Non-Civilian,Damascus Suburbs,2018-01,The organization of the Islamic State in Iraq and the Levant - ISIS,3
Non-Civilian,Damascus,2018-01,The organization of the Islamic State in Iraq and the Levant - ISIS,2
Non-Civilian,Aleppo,2018-01,Syrian government and affiliated militias,4
Non-Civilian,Hasakeh,2018-01,Not identified,4
Civilian,Idlib,2018-01,Armed opposition groups,1
Civilian,Deir Ezzor,2018-01,International coalition forces,9
Non-Civilian,Deir Ezzor,2018-01,The organization of the Islamic State in Iraq and the Levant - ISIS,1
Non-Civilian,Hama,2018-01,Syrian government and affiliated militias,20
Non-Civilian,Hama,2018-01,Self administration forces,1
Civilian,Damascus,2018-01,Armed opposition groups,9
Civilian,Other Nationalities,2018-01,Armed opposition groups,1
Civilian,Hama,2018-01,Syrian government and affiliated militias,8
Civilian,Deir Ezzor,2018-01,Self administration forces,1
Civilian,Damascus Suburbs,2018-01,Not identified,4
Civilian,Hama,2018-01,Self administration forces,1
Civilian,Damascus,2018-01,Syrian government and affiliated militias,8
Non-Civilian,Daraa,2018-01,Syrian government and affiliated militias,10
Non-Civilian,Damascus Suburbs,2018-01,Not identified,2
Non-Civilian,Idlib,2018-01,The organization of the Islamic State in Iraq and the Levant - ISIS,5
Non-Civilian,Deir Ezzor,2018-01,Self administration forces,4
Non-Civilian,Damascus,2018-01,Armed opposition groups,3
Non-Civilian,Damascus,2018-01,Not identified,2
Civilian,Daraa,2018-01,Armed opposition groups,4
Civilian,Damascus Suburbs,2018-01,Armed opposition groups,2
Civilian,Raqqa,2018-01,Self administration forces,2
Non-Civilian,Homs,2018-01,Not identified,1
Non-Civilian,Raqqa,2018-01,Not identified,1
Civilian,Homs,2018-01,The organization of the Islamic State in Iraq and the Levant - ISIS,1
Civilian,Damascus,2018-01,Not identified,1
Civilian,Aleppo,2018-01,Syrian government and affiliated militias,3
Non-Civilian,Quneitra,2018-01,The organization of the Islamic State in Iraq and the Levant - ISIS,3
Civilian,Homs,2018-01,Not identified,2
Civilian,Idlib,2018-01,Al-Nusra Front,1
Non-Civilian,Raqqa,2018-01,The organization of the Islamic State in Iraq and the Levant - ISIS,3
Non-Civilian,Homs,2018-01,The organization of the Islamic State in Iraq and the Levant - ISIS,1
Civilian,Hasakeh,2018-01,Syrian government and affiliated militias,1
Non-Civilian,Idlib,2018-01,Not identified,2
Non-Civilian,Daraa,2018-01,Armed opposition groups,2
Non-Civilian,Other Nationalities,2018-01,Syrian government and affiliated militias,1
Non-Civilian,Damascus Suburbs,2018-01,Armed opposition groups,1
Civilian,Damascus Suburbs,2017-12,Syrian government and affiliated militias,106
Non-Civilian,Damascus Suburbs,2017-12,Syrian government and affiliated militias,36
Non-Civilian,Damascus,2017-12,Syrian government and affiliated militias,6
Civilian,Deir Ezzor,2017-12,Not identified,21
Civilian,Raqqa,2017-12,The organization of the Islamic State in Iraq and the Levant - ISIS,69
Civilian,Idlib,2017-12,Syrian government and affiliated militias,57
Non-Civilian,Idlib,2017-12,Armed opposition groups,3
Non-Civilian,Aleppo,2017-12,Syrian government and affiliated militias,10
Civilian,Deir Ezzor,2017-12,Syrian government and affiliated militias,25
Non-Civilian,Idlib,2017-12,Not identified,5
Non-Civilian,Idlib,2017-12,Syrian government and affiliated militias,35
Non-Civilian,Homs,2017-12,Syrian government and affiliated militias,10
Non-Civilian,Daraa,2017-12,Syrian government and affiliated militias,7
Civilian,Daraa,2017-12,The organization of the Islamic State in Iraq and the Levant - ISIS,5
Civilian,Damascus Suburbs,2017-12,Armed opposition groups,1
Civilian,Damascus Suburbs,2017-12,Not identified,3
Civilian,Homs,2017-12,The organization of the Islamic State in Iraq and the Levant - ISIS,4
Non-Civilian,Deir Ezzor,2017-12,Self administration forces,6
Non-Civilian,Raqqa,2017-12,Self administration forces,1
Civilian,Deir Ezzor,2017-12,International coalition forces,50
Civilian,Deir Ezzor,2017-12,The organization of the Islamic State in Iraq and the Levant - ISIS,21
Non-Civilian,Deir Ezzor,2017-12,International coalition forces,2
Civilian,Homs,2017-12,Syrian government and affiliated militias,5
Non-Civilian,Other Nationalities,2017-12,International coalition forces,14
Civilian,Idlib,2017-12,Russian troops,28
Non-Civilian,Idlib,2017-12,The organization of the Islamic State in Iraq and the Levant - ISIS,2
Civilian,Sweida,2017-12,Syrian government and affiliated militias,1
Civilian,Homs,2017-12,Russian troops,4
Non-Civilian,Daraa,2017-12,Armed opposition groups,1
Civilian,Damascus,2017-12,Syrian government and affiliated militias,11
Non-Civilian,Hama,2017-12,Russian troops,1
Civilian,Hama,2017-12,Russian troops,8
Non-Civilian,Hama,2017-12,Syrian government and affiliated militias,8
Non-Civilian,Quneitra,2017-12,Syrian government and affiliated militias,1
Civilian,Deir Ezzor,2017-12,Russian troops,41
Non-Civilian,Other Nationalities,2017-12,Syrian government and affiliated militias,1
Civilian,Deir Ezzor,2017-12,Self administration forces,3
Non-Civilian,Damascus Suburbs,2017-12,The organization of the Islamic State in Iraq and the Levant - ISIS,2
Civilian,Hama,2017-12,Syrian government and affiliated militias,4
Civilian,Aleppo,2017-12,Not identified,3
Civilian,Homs,2017-12,Not identified,14
Non-Civilian,Hama,2017-12,Not identified,2
Non-Civilian,Lattakia,2017-12,Armed opposition groups,2
Civilian,Aleppo,2017-12,Syrian government and affiliated militias,5
Civilian,Deir Ezzor,2017-12,Armed opposition groups,2
Civilian,Damascus,2017-12,Armed opposition groups,3
Civilian,Raqqa,2017-12,Syrian government and affiliated militias,1
Civilian,Idlib,2017-12,Not identified,6
Civilian,Raqqa,2017-12,Russian troops,5
Non-Civilian,Unknown,2017-12,Syrian government and affiliated militias,1
Civilian,Aleppo,2017-12,The organization of the Islamic State in Iraq and the Levant - ISIS,4
Civilian,Raqqa,2017-12,International coalition forces,3
Non-Civilian,Aleppo,2017-12,The organization of the Islamic State in Iraq and the Levant - ISIS,6
Civilian,Damascus,2017-12,Not identified,1
Non-Civilian,Idlib,2017-12,Self administration forces,1
Non-Civilian,Deir Ezzor,2017-12,The organization of the Islamic State in Iraq and the Levant - ISIS,4
Non-Civilian,Raqqa,2017-12,International coalition forces,1
Non-Civilian,Other Nationalities,2017-12,The organization of the Islamic State in Iraq and the Levant - ISIS,1
Civilian,Daraa,2017-12,Not identified,1
Civilian,Homs,2017-12,International coalition forces,1
Non-Civilian,Idlib,2017-11,Syrian government and affiliated militias,32
Non-Civilian,Damascus Suburbs,2017-11,Syrian government and affiliated militias,52
Civilian,Damascus Suburbs,2017-11,Syrian government and affiliated militias,211
Civilian,Damascus,2017-11,Syrian government and affiliated militias,13
Non-Civilian,Daraa,2017-11,Syrian government and affiliated militias,19
Non-Civilian,Other Nationalities,2017-11,The organization of the Islamic State in Iraq and the Levant - ISIS,2
Civilian,Raqqa,2017-11,The organization of the Islamic State in Iraq and the Levant - ISIS,71
Civilian,Homs,2017-11,Not identified,3
Civilian,Deir Ezzor,2017-11,Russian troops,134
Civilian,Deir Ezzor,2017-11,Syrian government and affiliated militias,16
Non-Civilian,Deir Ezzor,2017-11,International coalition forces,6
Civilian,Damascus Suburbs,2017-11,The organization of the Islamic State in Iraq and the Levant - ISIS,1
Civilian,Deir Ezzor,2017-11,Not identified,5
Non-Civilian,Aleppo,2017-11,Armed opposition groups,3
Civilian,Homs,2017-11,Russian troops,2
Civilian,Deir Ezzor,2017-11,The organization of the Islamic State in Iraq and the Levant - ISIS,5
Civilian,Hama,2017-11,Russian troops,4
Non-Civilian,Homs,2017-11,Syrian government and affiliated militias,10
Non-Civilian,Raqqa,2017-11,The organization of the Islamic State in Iraq and the Levant - ISIS,1
Non-Civilian,Damascus Suburbs,2017-11,The organization of the Islamic State in Iraq and the Levant - ISIS,1
Non-Civilian,Hama,2017-11,Syrian government and affiliated militias,16
Civilian,Aleppo,2017-11,The organization of the Islamic State in Iraq and the Levant - ISIS,1
Non-Civilian,Idlib,2017-11,Not identified,5
Civilian,Daraa,2017-11,Not identified,10
Civilian,Raqqa,2017-11,Not identified,2
Non-Civilian,Deir Ezzor,2017-11,Russian troops,7
Civilian,Aleppo,2017-11,Armed opposition groups,6
Non-Civilian,Aleppo,2017-11,Syrian government and affiliated militias,1
Non-Civilian,Deir Ezzor,2017-11,Syrian government and affiliated militias,5
Civilian,Idlib,2017-11,Not identified,5
Non-Civilian,Damascus,2017-11,Syrian government and affiliated militias,2
Non-Civilian,Deir Ezzor,2017-11,Armed opposition groups,1
Civilian,Deir Ezzor,2017-11,Self administration forces,2
Civilian,Unknown,2017-11,Not identified,5
Civilian,Damascus Suburbs,2017-11,Armed opposition groups,5
Civilian,Damascus,2017-11,Armed opposition groups,8
Civilian,Aleppo,2017-11,Syrian government and affiliated militias,4
Civilian,Idlib,2017-11,Syrian government and affiliated militias,7
Civilian,Hama,2017-11,Not identified,5
Non-Civilian,Daraa,2017-11,Not identified,4
Non-Civilian,Aleppo,2017-11,Not identified,1
Civilian,Damascus Suburbs,2017-11,Not identified,3
Civilian,Daraa,2017-11,Syrian government and affiliated militias,6
Civilian,Idlib,2017-11,Russian troops,5
Non-Civilian,Idlib,2017-11,Self administration forces,1
Civilian,Aleppo,2017-11,Russian troops,55
Civilian,Aleppo,2017-11,Not identified,2
Civilian,Homs,2017-11,Syrian government and affiliated militias,4
Non-Civilian,Aleppo,2017-11,Russian troops,13
Civilian,Hama,2017-11,Syrian government and affiliated militias,2
Civilian,Lattakia,2017-11,Russian troops,1
Non-Civilian,Aleppo,2017-11,Al-Nusra Front,2
Civilian,Daraa,2017-11,The organization of the Islamic State in Iraq and the Levant - ISIS,1
Non-Civilian,Hama,2017-11,Russian troops,1
Civilian,Homs,2017-11,International coalition forces,3
Non-Civilian,Idlib,2017-11,Armed opposition groups,2
Civilian,Raqqa,2017-11,International coalition forces,1
Non-Civilian,Idlib,2017-11,The organization of the Islamic State in Iraq and the Levant - ISIS,2
Non-Civilian,Other Nationalities,2017-11,Syrian government and affiliated militias,1
Non-Civilian,Daraa,2017-10,Not identified,8
Civilian,Homs,2017-10,Syrian government and affiliated militias,13
Non-Civilian,Homs,2017-10,Syrian government and affiliated militias,11
Non-Civilian,Damascus,2017-10,Not identified,2
Civilian,Damascus Suburbs,2017-10,Syrian government and affiliated militias,63
Civilian,Damascus,2017-10,Syrian government and affiliated militias,4
Civilian,Deir Ezzor,2017-10,Russian troops,132
Civilian,Aleppo,2017-10,Not identified,3
Civilian,Daraa,2017-10,Syrian government and affiliated militias,11
Non-Civilian,Daraa,2017-10,The organization of the Islamic State in Iraq and the Levant - ISIS,7
Civilian,Daraa,2017-10,Not identified,8
Civilian,Raqqa,2017-10,The organization of the Islamic State in Iraq and the Levant - ISIS,16
Non-Civilian,Damascus Suburbs,2017-10,Syrian government and affiliated militias,21
Non-Civilian,Daraa,2017-10,Syrian government and affiliated militias,18
Civilian,Raqqa,2017-10,International coalition forces,118
Civilian,Homs,2017-10,International coalition forces,38
Civilian,Deir Ezzor,2017-10,Syrian government and affiliated militias,17
Civilian,Hama,2017-10,Syrian government and affiliated militias,15
Civilian,Hama,2017-10,Russian troops,12
Non-Civilian,Damascus,2017-10,The organization of the Islamic State in Iraq and the Levant - ISIS,1
Non-Civilian,Hama,2017-10,The organization of the Islamic State in Iraq and the Levant - ISIS,1
Civilian,Homs,2017-10,The organization of the Islamic State in Iraq and the Levant - ISIS,91
Civilian,Hama,2017-10,Not identified,1
Civilian,Idlib,2017-10,Not identified,2
Non-Civilian,Idlib,2017-10,Not identified,6
Non-Civilian,Homs,2017-10,Self administration forces,2
Non-Civilian,Damascus Suburbs,2017-10,The organization of the Islamic State in Iraq and the Levant - ISIS,2
Non-Civilian,Damascus,2017-10,Syrian government and affiliated militias,4
Civilian,Damascus Suburbs,2017-10,International coalition forces,1
Non-Civilian,Lattakia,2017-10,Not identified,1
Non-Civilian,Daraa,2017-10,Armed opposition groups,3
Civilian,Homs,2017-10,Russian troops,1
Non-Civilian,Idlib,2017-10,The organization of the Islamic State in Iraq and the Levant - ISIS,2
Civilian,Damascus Suburbs,2017-10,The organization of the Islamic State in Iraq and the Levant - ISIS,1
Non-Civilian,Homs,2017-10,Russian troops,2
Civilian,Damascus,2017-10,Not identified,3
Civilian,Damascus Suburbs,2017-10,Not identified,2
Civilian,Aleppo,2017-10,Syrian government and affiliated militias,7
Civilian,Raqqa,2017-10,Not identified,1
Non-Civilian,Idlib,2017-10,Syrian government and affiliated militias,9
Non-Civilian,Idlib,2017-10,Russian troops,10
Civilian,Idlib,2017-10,Syrian government and affiliated militias,24
Non-Civilian,Idlib,2017-10,Armed opposition groups,3
Non-Civilian,Aleppo,2017-10,The organization of the Islamic State in Iraq and the Levant - ISIS,3
Non-Civilian,Deir Ezzor,2017-10,The organization of the Islamic State in Iraq and the Levant - ISIS,2
Non-Civilian,Deir Ezzor,2017-10,Syrian government and affiliated militias,16
Non-Civilian,Deir Ezzor,2017-10,Self administration forces,25
Non-Civilian,Hama,2017-10,Syrian government and affiliated militias,7
Civilian,Daraa,2017-10,Armed opposition groups,6
Civilian,Homs,2017-10,Self administration forces,1
Non-Civilian,Homs,2017-10,International coalition forces,1
Civilian,Raqqa,2017-10,Self administration forces,4
Civilian,Deir Ezzor,2017-10,International coalition forces,41
Civilian,Raqqa,2017-10,Syrian government and affiliated militias,3
Non-Civilian,Unknown,2017-10,International coalition forces,6
Non-Civilian,Deir Ezzor,2017-10,International coalition forces,10
Non-Civilian,Raqqa,2017-10,The organization of the Islamic State in Iraq and the Levant - ISIS,1
Civilian,Aleppo,2017-10,International coalition forces,15
Civilian,Idlib,2017-10,Armed opposition groups,2
Civilian,Deir Ezzor,2017-10,Not identified,37
Non-Civilian,Damascus,2017-10,Armed opposition groups,1
Civilian,Deir Ezzor,2017-10,Self administration forces,1
Civilian,Deir Ezzor,2017-10,The organization of the Islamic State in Iraq and the Levant - ISIS,7
Non-Civilian,Homs,2017-10,The organization of the Islamic State in Iraq and the Levant - ISIS,1
Non-Civilian,Aleppo,2017-10,Syrian government and affiliated militias,1
Civilian,Aleppo,2017-10,Russian troops,1
Civilian,Idlib,2017-10,Russian troops,2
Civilian,Hama,2017-10,International coalition forces,5
Civilian,Idlib,2017-09,Syrian government and affiliated militias,50
Civilian,Homs,2017-09,Not identified,2
Civilian,Raqqa,2017-09,Self administration forces,1
Civilian,Deir Ezzor,2017-09,International coalition forces,58
Non-Civilian,Daraa,2017-09,Syrian government and affiliated militias,12
Civilian,Deir Ezzor,2017-09,Syrian government and affiliated militias,56
Non-Civilian,Damascus Suburbs,2017-09,Syrian government and affiliated militias,30
Non-Civilian,Homs,2017-09,Syrian government and affiliated militias,11
Civilian,Homs,2017-09,Syrian government and affiliated militias,19
Civilian,Homs,2017-09,Russian troops,14
Civilian,Damascus Suburbs,2017-09,Syrian government and affiliated militias,56
Civilian,Idlib,2017-09,Russian troops,89
Civilian,Deir Ezzor,2017-09,Russian troops,119
Non-Civilian,Idlib,2017-09,Syrian government and affiliated militias,29
Civilian,Deir Ezzor,2017-09,The organization of the Islamic State in Iraq and the Levant - ISIS,39
Civilian,Raqqa,2017-09,Not identified,6
Civilian,Daraa,2017-09,Not identified,6
Civilian,Daraa,2017-09,Armed opposition groups,2
Civilian,Aleppo,2017-09,Syrian government and affiliated militias,15
Civilian,Aleppo,2017-09,Russian troops,6
Civilian,Hama,2017-09,Russian troops,33
Non-Civilian,Daraa,2017-09,Not identified,4
Non-Civilian,Aleppo,2017-09,Not identified,1
Civilian,Raqqa,2017-09,International coalition forces,68
Non-Civilian,Idlib,2017-09,Russian troops,41
Civilian,Hama,2017-09,Syrian government and affiliated militias,39
Civilian,Raqqa,2017-09,The organization of the Islamic State in Iraq and the Levant - ISIS,13
Civilian,Deir Ezzor,2017-09,Not identified,7
Civilian,Aleppo,2017-09,International coalition forces,1
Civilian,Aleppo,2017-09,Not identified,2
Non-Civilian,Aleppo,2017-09,Syrian government and affiliated militias,1
Non-Civilian,Homs,2017-09,Armed opposition groups,1
Non-Civilian,Hama,2017-09,Syrian government and affiliated militias,16
Civilian,Damascus Suburbs,2017-09,Armed opposition groups,2
Civilian,Damascus Suburbs,2017-09,Russian troops,6
Civilian,Daraa,2017-09,Syrian government and affiliated militias,11
Civilian,Damascus Suburbs,2017-09,Not identified,2
Civilian,Raqqa,2017-09,Russian troops,1
Non-Civilian,Deir Ezzor,2017-09,Syrian government and affiliated militias,39
Non-Civilian,Homs,2017-09,The organization of the Islamic State in Iraq and the Levant - ISIS,2
Civilian,Daraa,2017-09,International coalition forces,1
Civilian,Idlib,2017-09,Not identified,5
Non-Civilian,Damascus Suburbs,2017-09,Russian troops,9
Non-Civilian,Damascus,2017-09,Russian troops,1
Non-Civilian,Aleppo,2017-09,Russian troops,1
Civilian,Homs,2017-09,International coalition forces,9
Non-Civilian,Idlib,2017-09,Not identified,2
Non-Civilian,Hama,2017-09,Armed opposition groups,1
Civilian,Homs,2017-09,Self administration forces,1
Non-Civilian,Daraa,2017-09,Armed opposition groups,3
Non-Civilian,Damascus,2017-09,Syrian government and affiliated militias,1
Civilian,Homs,2017-09,The organization of the Islamic State in Iraq and the Levant - ISIS,2
Civilian,Idlib,2017-09,Armed opposition groups,3
Civilian,Damascus,2017-09,Not identified,2
Non-Civilian,Idlib,2017-09,Self administration forces,1
Civilian,Damascus Suburbs,2017-09,The organization of the Islamic State in Iraq and the Levant - ISIS,1
Civilian,Quneitra,2017-09,Not identified,1
Civilian,Other Nationalities,2017-09,Not identified,1
Non-Civilian,Raqqa,2017-09,The organization of the Islamic State in Iraq and the Levant - ISIS,1
Non-Civilian,Damascus Suburbs,2017-09,Armed opposition groups,1
Civilian,Daraa,2017-09,Russian troops,1
Non-Civilian,Daraa,2017-09,The organization of the Islamic State in Iraq and the Levant - ISIS,3
Civilian,Damascus,2017-09,The organization of the Islamic State in Iraq and the Levant - ISIS,1
Non-Civilian,Idlib,2017-09,International coalition forces,2
Civilian,Unknown,2017-09,Not identified,1
Civilian,Raqqa,2017-09,Syrian government and affiliated militias,1
Non-Civilian,Aleppo,2017-09,Self administration forces,1
Civilian,Damascus,2017-09,Syrian government and affiliated militias,2
Non-Civilian,Quneitra,2017-09,Not identified,2
Civilian,Aleppo,2017-09,Al-Nusra Front,1
Non-Civilian,Raqqa,2017-09,Syrian government and affiliated militias,2
Non-Civilian,Raqqa,2017-09,International coalition forces,1
Civilian,Homs,2017-08,The organization of the Islamic State in Iraq and the Levant - ISIS,7
Civilian,Raqqa,2017-08,International coalition forces,155
Non-Civilian,Idlib,2017-08,Armed opposition groups,10
Civilian,Homs,2017-08,Not identified,4
Civilian,Daraa,2017-08,Syrian government and affiliated militias,7
Non-Civilian,Daraa,2017-08,Armed opposition groups,7
Civilian,Homs,2017-08,Russian troops,11
Non-Civilian,Homs,2017-08,Self administration forces,1
Civilian,Aleppo,2017-08,Self administration forces,10
Civilian,Damascus Suburbs,2017-08,Syrian government and affiliated militias,46
Non-Civilian,Daraa,2017-08,Syrian government and affiliated militias,8
Non-Civilian,Homs,2017-08,Syrian government and affiliated militias,10
Non-Civilian,Damascus Suburbs,2017-08,Syrian government and affiliated militias,21
Civilian,Homs,2017-08,International coalition forces,66
Civilian,Aleppo,2017-08,Syrian government and affiliated militias,16
Non-Civilian,Daraa,2017-08,The organization of the Islamic State in Iraq and the Levant - ISIS,16
Non-Civilian,Idlib,2017-08,Not identified,3
