HDI rank,Country,2013 HDI Value,2013 Life Expectancy at Birth (years),2013 Life Expectancy at Birth (years) Note,2012 Mean years of schooling,2012 Mean years of schooling Note,2012 Expected years of schooling,2012 Expected years of schooling Note,2013 Gross national income (GNI) per capita (2011 PPP $),2013 Gross national income (GNI) per capita (2011 PPP $) Note,2012 Human Development Index (HDI) value,2012 Human Development Index (HDI) value Note,2012-2013 Change in rank
35,Poland,0.834,76.4,,11.8,,15.5,,21487,,0.833,,-1
37,Andorra,0.83,81.2,d,10.4,i,11.7,,40597,j,0.83,,0
37,Slovakia,0.83,75.4,,11.6,,15,,25336,,0.829,,1
39,Malta,0.829,79.8,,9.9,,14.5,,27022,,0.827,,0
40,United Arab Emirates,0.827,76.8,,9.1,,13.3,k,58068,,0.825,,0
41,Chile,0.822,80,,9.8,,15.1,,20804,,0.819,,1
41,Portugal,0.822,79.9,,8.2,,16.3,,24130,,0.822,,0
43,Hungary,0.818,74.6,,11.3,b,15.4,,21239,,0.817,,0
44,Bahrain,0.815,76.6,,9.4,,14.4,l,32072,h,0.813,,0
44,Cuba,0.815,79.3,,10.2,,14.5,,19844,m,0.813,,0
46,Kuwait,0.814,74.3,,7.2,,14.6,,85820,g,0.813,,-2
47,Croatia,0.812,77,,11,,14.5,,19025,,0.812,,0
48,Latvia,0.81,72.2,,11.5,b,15.5,,22186,,0.808,,0
49,Argentina,0.808,76.3,,9.8,,16.4,,17297,h,0.806,,0
,High human development,0.735,74.5,,8.1,,13.4,,13231,,0.733,,
50,Uruguay,0.79,77.2,,8.5,,15.5,,18108,,0.787,,2
51,Bahamas,0.789,75.2,,10.9,,12.6,n,21414,,0.788,,0
51,Montenegro,0.789,74.8,,10.5,o,15.2,,14710,,0.787,,1
53,Belarus,0.786,69.9,,11.5,o,15.7,,16403,,0.785,,1
54,Romania,0.785,73.8,,10.7,,14.1,,17433,,0.782,,1
55,Libya,0.784,75.3,,7.5,,16.1,,21666,h,0.789,,-5
56,Oman,0.783,76.6,,6.8,,13.6,,42191,h,0.781,,0
57,Russian Federation,0.778,68,,11.7,,14,,22617,,0.777,,0
58,Bulgaria,0.777,73.5,,10.6,b,14.3,,15402,,0.776,,0
59,Barbados,0.776,75.4,,9.4,,15.4,,13604,,0.776,,-1
60,Palau,0.775,72.4,d,12.2,p,13.7,,12823,,0.773,,0
61,Antigua and Barbuda,0.774,76,,8.9,p,13.8,,18800,,0.773,,-1
62,Malaysia,0.773,75,,9.5,,12.7,,21824,,0.77,,0
63,Mauritius,0.771,73.6,,8.5,,15.6,,16777,,0.769,,0
64,Trinidad and Tobago,0.766,69.9,,10.8,,12.3,,25325,,0.765,,0
65,Lebanon,0.765,80,,7.9,o,13.2,,16263,,0.764,,0
65,Panama,0.765,77.6,,9.4,,12.4,,16379,,0.761,,2
67,Venezuela (Bolivarian Republic of),0.764,74.6,,8.6,,14.2,,17067,,0.763,,-1
68,Costa Rica,0.763,79.9,,8.4,,13.5,,13012,,0.761,,-1
69,Turkey,0.759,75.3,,7.6,,14.4,,18391,,0.756,,0
70,Kazakhstan,0.757,66.5,,10.4,,15,,19441,,0.755,,0
71,Mexico,0.756,77.5,,8.5,,12.8,,15854,,0.755,,-1
71,Seychelles,0.756,73.2,,9.4,o,11.6,,24632,,0.755,,-1
73,Saint Kitts and Nevis,0.75,73.6,d,8.4,p,12.9,,20150,,0.749,,0
73,Sri Lanka,0.75,74.3,,10.8,,13.6,,9250,,0.745,,2
75,Iran (Islamic Republic of),0.749,74,,7.8,,15.2,,13451,h,0.749,,-2
76,Azerbaijan,0.747,70.8,,11.2,o,11.8,,15725,,0.745,,-1
77,Jordan,0.745,73.9,,9.9,,13.3,,11337,,0.744,,0
77,Serbia,0.745,74.1,,9.5,,13.6,,11301,,0.743,,1
79,Brazil,0.744,73.9,,7.2,,15.2,q,14275,,0.742,,1
79,Georgia,0.744,74.3,,12.1,r,13.2,,6890,,0.741,,2
79,Grenada,0.744,72.8,,8.6,p,15.8,,10339,,0.743,,-1
82,Peru,0.737,74.8,,9,,13.1,,11280,,0.734,,0
83,Ukraine,0.734,68.5,,11.3,,15.1,,8215,,0.733,,0
84,Belize,0.732,73.9,,9.3,,13.7,,9364,,0.731,,0
84,The former Yugoslav Republic of Macedonia,0.732,75.2,,8.2,r,13.3,,11745,,0.73,,1
86,Bosnia and Herzegovina,0.731,76.4,,8.3,o,13.6,,9431,,0.729,,0
87,Armenia,0.73,74.6,,10.8,,12.3,,7952,,0.728,,0
88,Fiji,0.724,69.8,,9.9,,15.7,,7214,,0.722,,0
89,Thailand,0.722,74.4,,7.3,,13.1,,13364,,0.72,,0
90,Tunisia,0.721,75.9,,6.5,,14.6,,10440,,0.719,,0
91,China,0.719,75.3,,7.5,,12.9,,11477,,0.715,,2
91,Saint Vincent and the Grenadines,0.719,72.5,,8.6,p,13.3,,10339,,0.717,,0
93,Algeria,0.717,71,,7.6,,14,,12555,,0.715,,0
93,Dominica,0.717,77.7,d,7.7,p,12.7,n,9235,,0.716,,-1
95,Albania,0.716,77.4,,9.3,,10.8,,9225,,0.714,,2
96,Jamaica,0.715,73.5,,9.6,,12.5,,8170,,0.715,,-3
97,Saint Lucia,0.714,74.8,,8.3,p,12.8,,9251,,0.715,,-4
98,Colombia,0.711,74,,7.1,,13.2,,11527,,0.708,,0
98,Ecuador,0.711,76.5,,7.6,,12.3,n,9998,,0.708,,0
100,Suriname,0.705,71,,7.7,,12,,15113,,0.702,,1
100,Tonga,0.705,72.7,,9.4,b,14.7,,5316,,0.704,,0
102,Dominican Republic,0.7,73.4,,7.5,,12.3,l,10844,,0.698,,0
,Medium human development,0.614,67.9,,5.5,,11.7,,5960,,0.612,,
103,Maldives,0.698,77.9,,5.8,b,12.7,,10074,,0.695,,0
103,Mongolia,0.698,67.5,,8.3,,15,,8466,,0.692,,3
103,Turkmenistan,0.698,65.5,,9.9,s,12.6,p,11533,,0.693,,1
106,Samoa,0.694,73.2,,10.3,,12.9,t,4708,,0.693,,-2
107,"Palestine, State of",0.686,73.2,,8.9,o,13.2,,5168,"h,u",0.683,,0
108,Indonesia,0.684,70.8,,7.5,,12.7,,8970,,0.681,,0
109,Botswana,0.683,64.4,v,8.8,,11.7,,14792,,0.681,,-1
110,Egypt,0.682,71.2,,6.4,,13,,10400,,0.681,,-2
111,Paraguay,0.676,72.3,,7.7,,11.9,,7580,,0.67,,0
112,Gabon,0.674,63.5,,7.4,,12.3,,16977,,0.67,,-1
113,Bolivia (Plurinational State of),0.667,67.3,,9.2,,13.2,,5552,,0.663,,0
114,Moldova (Republic of),0.663,68.9,,9.8,,11.8,,5041,,0.657,,2
115,El Salvador,0.662,72.6,,6.5,,12.1,,7240,,0.66,,0
116,Uzbekistan,0.661,68.2,,10,r,11.5,,5227,,0.657,,0
117,Philippines,0.66,68.7,,8.9,b,11.3,,6381,,0.656,,1
118,South Africa,0.658,56.9,,9.9,,13.1,p,11788,,0.654,,1
118,Syrian Arab Republic,0.658,74.6,,6.6,,12,,5771,"h,u",0.662,,-4
120,Iraq,0.642,69.4,,5.6,,10.1,,14007,,0.641,,0
121,Guyana,0.638,66.3,,8.5,,10.7,,6341,,0.635,,0
121,Viet Nam,0.638,75.9,,5.5,,11.9,n,4892,,0.635,,0
123,Cape Verde,0.636,75.1,,3.5,p,13.2,,6365,,0.635,,-2
124,Micronesia (Federated States of),0.63,69,,8.8,s,11.4,p,3662,,0.629,,0
125,Guatemala,0.628,72.1,,5.6,,10.7,,6866,,0.626,,0
125,Kyrgyzstan,0.628,67.5,,9.3,,12.5,,3021,,0.621,,1
127,Namibia,0.624,64.5,,6.2,,11.3,,9185,,0.62,,0
128,Timor-Leste,0.62,67.5,,4.4,w,11.7,,9674,,0.616,,1
129,Honduras,0.617,73.8,,5.5,,11.6,,4138,,0.616,,0
129,Morocco,0.617,70.9,,4.4,,11.6,,6905,,0.614,,2
131,Vanuatu,0.616,71.6,,9,o,10.6,,2652,,0.617,,-3
132,Nicaragua,0.614,74.8,,5.8,,10.5,,4266,,0.611,,0
133,Kiribati,0.607,68.9,,7.8,p,12.3,,2645,,0.606,,0
133,Tajikistan,0.607,67.2,,9.9,,11.2,,2424,,0.603,,1
135,India,0.586,66.4,,4.4,,11.7,,5150,,0.583,,0
136,Bhutan,0.584,68.3,,2.3,w,12.4,,6775,,0.58,,0
136,Cambodia,0.584,71.9,,5.8,,10.9,,2805,,0.579,,1
138,Ghana,0.573,61.1,,7,,11.5,,3532,,0.571,,0
139,Lao People's Democratic Republic,0.569,68.3,,4.6,,10.2,,4351,,0.565,,0
140,Congo,0.564,58.8,,6.1,,11.1,,4909,,0.561,,0
141,Zambia,0.561,58.1,,6.5,,13.5,,2898,,0.554,,2
142,Bangladesh,0.558,70.7,,5.1,,10,,2713,,0.554,,1
142,Sao Tome and Principe,0.558,66.3,,4.7,w,11.3,,3111,,0.556,,-1
144,Equatorial Guinea,0.556,53.1,,5.4,p,8.5,,21972,,0.556,,-3
,Low human development,0.493,59.4,,4.2,,9,,2904,,0.49,,
145,Nepal,0.54,68.4,,3.2,,12.4,,2194,,0.537,,0
146,Pakistan,0.537,66.6,,4.7,,7.7,,4652,,0.535,,0
147,Kenya,0.535,61.7,,6.3,,11,,2158,,0.531,,0
148,Swaziland,0.53,49,,7.1,,11.3,,5536,,0.529,,0
149,Angola,0.526,51.9,,4.7,w,11.4,,6323,,0.524,,0
150,Myanmar,0.524,65.2,,4,,8.6,,3998,h,0.52,,0
151,Rwanda,0.506,64.1,,3.3,,13.2,,1403,,0.502,,0
152,Cameroon,0.504,55.1,,5.9,,10.4,,2557,,0.501,,0
152,Nigeria,0.504,52.5,,5.2,w,9,,5353,,0.5,,1
154,Yemen,0.5,63.1,,2.5,,9.2,,3945,,0.499,,0
155,Madagascar,0.498,64.7,,5.2,p,10.3,,1333,,0.496,,0
156,Zimbabwe,0.492,59.9,,7.2,,9.3,,1307,,0.484,,4
157,Papua New Guinea,0.491,62.4,,3.9,,8.9,p,2453,,0.49,,-1
157,Solomon Islands,0.491,67.7,,4.5,p,9.2,,1385,,0.489,,0
159,Comoros,0.488,60.9,,2.8,,12.8,,1505,,0.486,,-1
159,Tanzania (United Republic of),0.488,61.5,,5.1,,9.2,,1702,,0.484,,1
161,Mauritania,0.487,61.6,,3.7,,8.2,,2988,,0.485,,-2
162,Lesotho,0.486,49.4,,5.9,b,11.1,,2798,,0.481,,1
163,Senegal,0.485,63.5,,4.5,,7.9,,2169,,0.484,,-3
164,Uganda,0.484,59.2,,5.4,,10.8,,1335,,0.48,,0
165,Benin,0.476,59.3,,3.2,,11,,1726,,0.473,,0
166,Sudan,0.473,62.1,,3.1,,7.3,p,3428,,0.472,,0
166,Togo,0.473,56.5,,5.3,,12.2,,1129,,0.47,,1
168,Haiti,0.471,63.1,,4.9,,7.6,p,1636,,0.469,,0
169,Afghanistan,0.468,60.9,,3.2,,9.3,,1904,,0.466,,0
170,Djibouti,0.467,61.8,,3.8,r,6.4,,3109,h,0.465,,0
171,Côte d'Ivoire,0.452,50.7,,4.3,,8.9,p,2774,,0.448,,0
172,Gambia,0.441,58.8,,2.8,,9.1,,1557,,0.438,,0
173,Ethiopia,0.435,63.6,,2.4,w,8.5,,1303,,0.429,,0
174,Malawi,0.414,55.3,,4.2,,10.8,,715,,0.411,,0
175,Liberia,0.412,60.6,,3.9,,8.5,p,752,,0.407,,0
176,Mali,0.407,55,,2,b,8.6,,1499,,0.406,,0
177,Guinea-Bissau,0.396,54.3,,2.3,r,9,,1090,,0.396,,0
178,Mozambique,0.393,50.3,,3.2,w,9.5,,1011,,0.389,,1
179,Guinea,0.392,56.1,,1.6,w,8.7,,1142,,0.391,,-1
180,Burundi,0.389,54.1,,2.7,,10.1,,749,,0.386,,0
181,Burkina Faso,0.388,56.3,,1.3,r,7.5,,1602,,0.385,,0
182,Eritrea,0.381,62.9,,3.4,p,4.1,,1147,,0.38,,0
183,Sierra Leone,0.374,45.6,,2.9,,7.5,p,1815,,0.368,,1
184,Chad,0.372,51.2,,1.5,s,7.4,,1622,,0.37,,-1
185,Central African Republic,0.341,50.2,,3.5,,7.2,,588,,0.365,,0
186,Congo (Democratic Republic of the),0.338,50,,3.1,,9.7,,444,,0.333,,1
187,Niger,0.337,58.4,,1.4,,5.4,,873,,0.335,,-1
,Korea (Democratic People's Rep. of),,70,,,,,,,,,,
,Marshall Islands,,72.6,,,,,,4206,,,,
,Monaco,,,,,,,,,,,,
,Nauru,,,,,,9.3,,,,,,
,San Marino,,,,,,15.3,,,,,,
,Somalia,,55.1,,,,,,,,,,
,South Sudan,,55.3,,,,,,1450,,,,
,Tuvalu,,,,,,10.8,,5151,,,,
,Arab States,0.682,70.2,,6.3,,11.8,,15817,,0.681,,
,East Asia and the Pacific,0.703,74,,7.4,,12.5,,10499,,0.699,,
,Europe and Central Asia,0.738,71.3,,9.6,,13.6,,12415,,0.735,,
,Latin America and the Caribbean,0.74,74.9,,7.9,,13.7,,13767,,0.739,,
,South Asia,0.588,67.2,,4.7,,11.2,,5195,,0.586,,
,Sub-Saharan Africa,0.502,56.8,,4.8,,9.7,,3152,,0.499,,
,Least developed countries,0.487,61.5,,3.9,,9.4,,2126,,0.484,,
,Small island developing states,0.665,70,,7.5,,11,,9471,,0.663,,
,World,0.702,70.8,,7.7,,12.2,,13723,,0.7,,
