HDI rank,Country,Country Code,"Adult mortality (per 1,000 people) female 2011","Adult mortality (per 1,000 people) male 2011","Age-standardized death from alcohol use per 100,000 people 2008","Age-standardized death from drug use per 100,000 people 2008",Age-standardised obesity among (%of population aged 20 years and older) 2008,"HIV prevalence rate, adults (%aged 15-49) 2012",Note,Life expactancy at age 60 (years) 2010/2015,Note - a,Life expectancy health-adjusted (years) female 2010,Life expectancy health-adjusted (years) male 2010,"Physicians (per 10,000 people) 2003-2012",Note - b,Health expenditure Total (as % of GDP) 2011,Health expenditure out of pocket (%of total expenditure) 2011
182,Eritrea,,259,347,0.6,0.2,1.8,0.7,,15.1,,52,50.3,0.5,,2.6,51.2
183,Sierra Leone,,438,459,1.2,0,7,1.5,,12.5,,50.7,47.6,0.2,,18.8,74.9
184,Chad,,311,373,1,0.3,3.1,2.7,,15.6,,48.6,45.1,0.4,,4.3,70.5
185,Central African Republic,,420,466,0.9,0.2,3.7,..,,15.9,,41.7,37.7,0.5,,3.8,43.4
186,Congo (Democratic Republic of the),,358,411,0.9,0.2,1.9,1.1,,15.2,,48.1,44.7,1.1,,8.5,43.5
187,Niger,,272,312,1.1,0.3,2.5,0.5,,15.5,,49.4,48.5,0.2,,5.3,37.6
,Korea (Democratic People's Rep. of),,131,203,0.8,0.6,3.8,..,,16.8,,64.4,60.3,32.9,,..,..
,Marshall Islands,,392,433,0.2,0.2,46.5,..,,..,,55.8,53.1,4.4,,16.5,12.6
,Monaco,,51,110,2,..,..,..,,..,,..,..,70.6,,4.4,7
,Nauru,,57,105,0.9,..,71.1,..,,..,,..,..,7.1,,..,8
,San Marino,,46,56,..,..,..,..,,..,,..,..,48.8,,7.2,14.7
,Somalia,,316,399,2.1,6.4,5.3,0.5,,16.1,,48.2,46.8,0.4,,..,..
,South Sudan,,344,378,..,..,..,2.7,,16.4,,..,..,..,,1.6,55.4
,Tuvalu,,283,251,0.2,0.1,..,..,,..,,..,..,10.9,,17.3,0.1
,Arab States,,111,160,0.7,6.6,25.5,..,,19,,61.8,60,13.7,,4.3,31.1
,East Asia and the Pacific,,99,137,1,0.4,5.6,..,,18.5,,68.2,63.5,12.1,,4.8,35.9
,Europe and Central Asia,,104,216,2.3,1.4,23.1,..,,18.7,,64.8,58.9,26.2,,6.3,28.5
,Latin America and the Caribbean,,98,181,3.4,0.8,23.6,..,,21.2,,66.8,62,..,,7.6,34.4
,South Asia,,153,228,1.1,3.2,3.2,..,,18.6,,58.3,55.5,6.3,,4.2,59.7
,Sub-Saharan Africa,,327,372,0.9,0.6,7.6,..,,16.6,,51.6,49.4,1.8,,6.3,27.6
,Least developed countries,,246,289,1,2.7,3.6,..,,16.8,,53.7,51.3,1.7,,5.6,48.2
,Small island developing states,,155,206,3,0.3,18.6,..,,19.3,,57.1,52.5,25.5,,5.6,33.6
,World,,127,188,1.4,1.7,11.6,..,,20.7,,63.7,59.8,13.4,,10.1,17.8
