HDI rank,Country,Employment and vulnerabilities: Employment to population ratio (% aged 25 and above) 2012,Note 1,Employment and vulneratbilities: Vulnerable employment (% of total employment) 2003-2012,Note 2: b,Employment and vulnerabilities: Youth unemployment (% aged 15-24) 2008-2012,Note 3: b,Employment and vulnerabilities: Unemployment rate (% aged 15 years and older) 2004-2013,Note 4: b,Employment and vulnerabilities: Child labour (% aged 5-14 years) 2005-2012,Note 5,Employment and vulnerabilities: Share of working poor (% of total employment) 2003-2010,Note 6: b,Employment and vulnerabilities: Length of mandatory paid maternity leave (days) 2013,Note 7,Employment and vulnerabilities: Birth registration (% aged under 5),Note 8,Old age pension recipient (% of statutory pension age population (Total) 2004-2013,Note 9: b,Old age pension recipient (% of statutory pension age population (Female) 2004-2013,Note 10: b,Old age pension recipient (% of statutory pension age population (Malel) 2004-2013,Note 11: b,"Suicide rates (per 100,000) Female 2003-2009",Note 12: b,"Suicide rates (per 100,000) Male 2003-2009"
28,Czech Republic,59.3,,15.0,,19.5,,7.0,,..,,..,,196,,100,,100,,100.0,,100.0,,4.4,,23.9
29,Greece,43.8,,29.7,,55.3,,24.2,,..,,..,,119,,100,,77.4,,54.6,,100.0,,1.0,,6.0
30,Brunei Darussalam,68.1,,..,,..,,1.7,,..,,..,,..,,..,,81.7,,..,,..,,..,,..
31,Qatar,89.8,,0.4,,1.3,,0.4,,..,,..,,..,,..,,7.9,,..,,..,,..,,..
32,Cyprus,62.4,,12.5,,27.8,,11.8,,..,,..,,..,,100,,85.2,,57.2,,100.0,,1.7,,7.4
33,Estonia,59.4,,..,,20.9,,10.2,,..,,..,,140,,100,,98,,97.5,,98.5,,7.3,,30.6
34,Saudi Arabia,60.4,,..,,28.3,,5.6,,..,,..,,70,,..,,..,,..,,..,,..,,..
35,Lithuania,58.5,,8.9,,26.4,,13.2,,..,,..,,126,,100,,100,,100.0,,100.0,,10.4,,61.3
35,Poland,55.5,,18.2,,26.5,,10.1,,..,,..,,182,,100,,96.5,,94.9,,100.0,,4.1,,26.4
37,Andorra,..,,..,,..,,..,,..,,..,,..,,100,,..,,..,,..,,..,,..
37,Slovakia,57,,12.4,,34.0,,14.0,,..,,..,,238,,100,,100,,100.0,,100.0,,3.4,,22.3
39,Malta,49.9,,8.9,,14.2,,6.4,,..,,..,,..,,100,,60.5,,32.0,,97.5,,1.0,,5.9
40,United Arab Emirates,84.4,,1.0,,12.1,,4.2,,..,,..,,45,,100,,..,,..,,..,,..,,..
41,Chile,64.8,,24.4,,16.3,,6.0,,2.9,,0.0,,126,,99.8,d,74.5,,73.4,,76.4,,4.2,,18.2
41,Portugal,55.5,,16.7,,37.6,,15.7,,3.4,"d,e",..,,..,,100,,100,,100.0,,100.0,,4.0,,15.6
43,Hungary,50.7,,..,,28.1,,10.9,,..,,..,,168,,100,,91.4,,87.6,,97.7,,10.6,,40.0
44,Bahrain,72.5,,2.0,,5.0,,1.1,,4.6,,..,,..,,..,,40.1,,..,,..,,3.5,,4.0
44,Cuba,58.4,,..,,3.1,,3.2,,..,,..,,..,,100,d,..,,..,,..,,5.5,,19.0
46,Kuwait,76.3,,2.2,,..,,3.6,,..,,..,,70,,..,,27.3,,..,,..,,1.7,,1.9
47,Croatia,47.4,,16.5,,43.1,,15.8,,..,,0.0,,208,,..,,57.6,,44.2,,85.1,,7.5,,28.9
48,Latvia,55,,..,,28.4,,14.9,,..,,..,,112,,100,,100,,100.0,,100.0,,8.2,,40.0
49,Argentina,62.5,,19.0,,18.3,,7.3,,6.5,d,1.8,,90,,99,"d,e",90.7,,93.3,,86.8,,3.0,,12.6
,High human development,68.1,,..,,16.2,,5.4,,..,,..,,—,,..,,..,,..,,..,,..,,..
50,Uruguay,65.3,,..,,18.5,,6.4,,7.9,d,0.0,,84,,100,,68.2,,64.4,,73.6,,6.3,,26.0
51,Bahamas,70.8,,..,,30.8,,14.7,,..,,..,,..,,..,,84.2,,..,,..,,0.6,,1.9
51,Montenegro,44.9,,..,,41.1,,19.7,,9.9,,..,,45,,99,,52.3,,..,,..,,..,,..
53,Belarus,53.9,,2.1,,12.5,,0.7,,1.4,,0.0,,126,,100,,93.6,,..,,..,,8.8,,48.7
54,Romania,57.3,,31.5,,22.7,,7.0,,0.9,e,..,,126,,..,,98,,88.0,,100.0,,3.5,,21.0
55,Libya,55.4,,..,,..,,..,,..,,..,,..,,..,,43.3,,..,,..,,..,,..
56,Oman,67.6,,..,,..,,..,,..,,..,,42,,..,,24.7,,..,,..,,..,,..
57,Russian Federation,65,,..,,14.8,,5.5,,..,,0.0,,140,,100,,100,,100.0,,100.0,,9.5,,53.9
58,Bulgaria,50.3,,8.0,,28.1,,12.3,,..,,..,,410,,100,,96.9,,95.5,,99.4,,6.2,,18.8
59,Barbados,67.5,,14.0,,..,,11.6,,..,,..,,..,,..,,68.3,,..,,..,,0.0,,7.3
60,Palau,..,,..,,..,,..,,..,,..,,..,,..,,48,,..,,..,,..,,..
61,Antigua and Barbuda,..,,..,,..,,..,,..,,..,,..,,..,,69.7,,..,,..,,..,,..
62,Malaysia,65.5,,..,,10.3,,3.0,,..,,1.9,,60,,..,,19.8,,..,,..,,..,,..
63,Mauritius,59.3,,16.2,,23.7,,8.1,,..,,..,,84,,..,,100,,100.0,,100.0,,1.9,,11.8
64,Trinidad and Tobago,64.5,,15.6,,10.5,,5.0,f,0.7,,..,,..,,97,,98.7,,..,,..,,3.8,,17.9
65,Lebanon,50,,33.9,,16.8,,9.0,,1.9,,..,,49,,99.5,,0,,..,,..,,..,,..
65,Panama,68.8,,29.2,,10.3,,6.5,,5.6,d,6.8,,98,,..,,37.3,,28.9,,49.4,,1.9,,9.0
67,Venezuela (Bolivarian Republic of),68.2,,31.8,,17.1,,7.5,,7.7,e,8.2,,182,,81,"d,e",59.4,,50.2,,70.0,,1.2,,5.3
68,Costa Rica,64,,20.2,,18.4,,7.8,,4.7,,4.2,,120,,..,,55.8,,48.8,,65.4,,1.9,,10.2
69,Turkey,48.5,,32.1,,17.5,,8.1,,2.6,d,6.4,,112,,93.7,,88.1,,..,,..,,..,,..
70,Kazakhstan,75.2,,29.2,,3.9,,5.8,,2.2,,1.1,,126,,99.7,,95.9,,..,,..,,9.4,,43.0
71,Mexico,63.9,,..,,9.4,,4.8,,6.3,,6.5,,84,,93.4,,25.2,,17.2,,34.6,,1.5,,7.0
71,Seychelles,..,,..,,..,,..,,..,,..,,..,,..,,100,,..,,..,,0.0,,8.9
73,Saint Kitts and Nevis,..,,..,,..,,..,,..,,..,,..,,..,,44.7,,39.7,,51.6,,..,,..
73,Sri Lanka,57.9,,..,,17.3,,5.0,,..,,26.0,,84,,97.2,,17.1,,..,,..,,..,,..
75,Iran (Islamic Republic of),44.7,,..,,23.0,,13.5,,11.4,,6.2,,90,,98.6,,26.4,,..,,..,,..,,..
76,Azerbaijan,73,,54.7,,14.2,,5.2,,6.5,d,6.1,,126,,93.6,,81.7,,79.0,,82.6,,0.3,,1.0
77,Jordan,44.3,,9.7,,29.3,,12.2,,1.9,d,2.8,,70,,99.1,,42.2,,11.8,,82.3,,0.0,,0.2
77,Serbia,47.2,,26.4,,51.1,,23.9,,4.4,,..,,135,,98.9,,46.1,,44.8,,48.4,,10.0,,28.1
79,Brazil,68.4,,..,,15.4,,6.2,,8.6,d,5.9,,120,,93.4,d,86.3,,83.0,,90.6,,2.0,,7.7
79,Georgia,62.4,,60.6,,33.3,,15.0,,18.4,,26.8,,126,,98.5,,89.8,,..,,..,,1.7,,7.1
79,Grenada,..,,..,,..,,..,,..,,..,,..,,..,,34,,..,,..,,0.0,,0.0
82,Peru,78.9,,46.3,,9.5,,6.8,g,33.5,d,13.5,,90,,96,,33.2,,26.1,,41.4,,1.0,,1.9
83,Ukraine,58.2,,..,,17.3,,7.5,,7.3,,0.0,,126,,99.8,,95,,..,,..,,7.0,,37.8
84,Belize,66.9,,..,,..,,14.4,,5.8,,..,,..,,95.2,,64.6,,..,,..,,0.7,,6.6
84,The former Yugoslav Republic of Macedonia,42.9,,22.1,,53.9,,31.0,,12.5,,3.4,,270,,99.7,,52.2,,..,,..,,4.0,,9.5
86,Bosnia and Herzegovina,36.4,,27.4,,62.8,,28.0,,5.3,,0.0,,365,,99.5,,29.6,,..,,..,,..,,..
87,Armenia,58.6,,..,,39.2,,28.6,,3.9,d,9.0,,140,,99.6,,80,,..,,..,,1.1,,2.8
88,Fiji,56.3,,38.8,,..,,4.6,,..,,49.7,,84,,..,,10.6,,..,,..,,..,,..
89,Thailand,77,,53.5,,2.8,,0.6,,8.3,,10.1,,45,,100,,81.7,,84.6,,77.9,,3.8,,12.0
90,Tunisia,47.1,,28.8,,42.3,,17.6,,2.1,,..,,30,,99.2,,68.8,,..,,..,,..,,..
91,China,72.2,,..,,..,,4.1,h,..,,..,,98,,..,,74.4,,..,,..,,..,,..
91,Saint Vincent and the Grenadines,..,,8.0,,33.8,,..,,..,,..,,..,,..,,76.6,,..,,..,,1.9,,5.4
93,Algeria,45.4,,29.5,,22.4,,9.8,,4.7,d,..,,98,,99.3,,63.6,,..,,..,,..,,..
93,Dominica,..,,..,,..,,..,,..,,..,,..,,..,,38.5,,..,,..,,..,,..
95,Albania,53.3,,..,,22.5,,13.8,,12.0,,3.4,,365,,98.6,,77,,60.8,,100.0,,3.3,,4.7
96,Jamaica,65.3,,..,,34.0,,13.9,,6.1,,4.6,,56,,97.8,,55.5,,..,,..,,..,,..
97,Saint Lucia,..,,..,,..,,21.0,,..,,..,,..,,..,,26.5,,8.3,,10.3,,0.0,,4.9
98,Colombia,68.2,,..,,21.9,,11.8,,13.0,d,22.6,,98,,96.5,,23,,18.4,,28.3,,2.0,,7.9
98,Ecuador,72.2,,..,,11.1,,5.0,,7.5,,12.1,,84,,90,,53,,50.8,,55.5,,3.6,,10.5
100,Suriname,56.3,,..,,..,,9.5,,4.1,,..,,..,,98.9,,..,,..,,..,,4.8,,23.9
100,Tonga,..,,55.2,,..,,1.1,,..,,..,,..,,..,,1,,..,,..,,..,,..
102,Dominican Republic,63.2,,..,,29.4,,14.7,,12.9,,10.7,,84,,82.4,,11.1,,6.2,,16.5,,0.7,,3.9
,Medium human development,63.7,,..,,..,,8.3,,11.8,,60.5,,—,,57.2,,..,,..,,..,,..,,..
103,Maldives,67.4,,29.6,,..,,11.7,,..,,11.2,,..,,92.5,,99.7,,..,,..,,0.0,,0.7
103,Mongolia,69.3,,54.9,,11.9,,9.9,,10.4,,..,,120,,99,,100,,..,,..,,..,,..
103,Turkmenistan,62.1,,..,,..,,4.0,,..,,..,,..,,95.5,,..,,..,,..,,..,,..
106,Samoa,..,,38.1,,16.1,,..,,..,,..,,..,,47.7,,49.5,,..,,..,,..,,..
107,"Palestine, State of",40.3,,26.7,,38.8,,22.9,,5.7,,..,,70,,99.3,d,8,,..,,..,,..,,..
108,Indonesia,70.7,,57.2,,22.2,,6.2,,6.9,d,52.0,,90,,67,,8.1,,..,,..,,..,,..
109,Botswana,74.5,,..,,..,,17.6,,9.0,d,..,,84,,72.2,,100,,100.0,,100.0,,..,,..
110,Egypt,51.2,,23.1,,24.8,,9.0,,9.3,,14.4,,90,,99,,32.7,,8.0,,61.7,,0.0,,0.1
111,Paraguay,71.5,,..,,11.2,,5.7,,14.6,,11.0,,63,,76,,22.2,,20.0,,24.9,,2.0,,5.1
112,Gabon,63.2,,52.9,,..,,20.4,,13.4,,14.2,,98,,89.6,e,38.8,,..,,..,,..,,..
113,Bolivia (Plurinational State of),78.5,,..,,6.2,,5.2,,26.4,d,23.4,,84,,75.8,d,100,,100.0,,100.0,,..,,..
114,Moldova (Republic of),42.7,,28.6,,13.1,,5.6,,16.3,,10.9,,126,,100,e,72.8,,77.0,,63.7,,5.6,,30.1
115,El Salvador,64.5,,..,,12.4,,6.4,,10.4,d,12.1,,84,,98.6,,18.1,,10.3,,31.6,,3.6,,12.9
116,Uzbekistan,62.6,,..,,..,,0.4,c,..,,66.5,,126,,99.9,,98.1,,..,,..,,2.3,,7.0
117,Philippines,69.3,,39.8,,16.3,,7.3,,..,,40.9,,60,,90,e,28.5,,..,,..,,..,,..
118,South Africa,48.6,,10.1,,51.5,,25.1,e,..,,19.7,,120,,95,e,92.6,,..,,..,,0.4,,1.4
118,Syrian Arab Republic,47,,32.9,,19.2,,8.6,,4.0,,12.9,,120,,96,,16.7,,..,,..,,..,,..
120,Iraq,44,,..,,..,,8.0,i,4.7,,16.6,,..,,99.2,,56,,..,,..,,..,,..
121,Guyana,56.2,,..,,..,,..,,16.4,,..,,..,,87.9,,100,,..,,..,,13.4,,39.0
121,Viet Nam,80.9,,62.5,,5.5,,1.8,,6.9,,37.3,,180,,95,,34.5,,..,,..,,..,,..
123,Cape Verde,66.8,,..,,..,,..,,3.2,"d,e",..,,..,,91.4,,55.7,,52.8,,59.8,,..,,..
124,Micronesia (Federated States of),..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..
125,Guatemala,69.1,,..,,7.5,,2.9,,25.8,d,..,,84,,96.7,,14.1,,10.3,,18.2,,1.7,,5.6
125,Kyrgyzstan,70.7,,47.3,,..,,8.4,,3.6,,25.5,,126,,96,,100,,100.0,,100.0,,3.6,,14.1
127,Namibia,63.5,,32.7,,34.3,,16.7,,..,,..,,84,,78,,98.4,,..,,..,,..,,..
128,Timor-Leste,54,,69.6,,14.8,,..,,4.2,,68.2,,..,,55.2,,100,,..,,..,,..,,..
129,Honduras,66.6,,..,,8.0,,4.3,,15.6,,29.6,,84,,93.6,,8.4,,5.8,,13.8,,..,,..
129,Morocco,51.5,,50.7,,18.6,,9.0,,8.3,,13.0,,98,,94,"d,e",39.8,,..,,..,,..,,..
131,Vanuatu,..,,70.0,,..,,5.5,,..,,..,,..,,43,,3.5,,..,,..,,..,,..
132,Nicaragua,65.5,,..,,11.9,,7.8,,14.5,e,27.4,,84,,85,d,23.7,,16.2,,42.3,,2.6,,9.0
133,Kiribati,..,,..,,..,,30.6,,..,,..,,..,,93.5,,..,,..,,..,,..,,..
133,Tajikistan,71.1,,..,,16.7,,11.5,,10.0,,48.3,,140,,88.3,,80.2,,72.1,,95.6,,2.3,,2.9
135,India,60.8,,80.8,,10.7,,9.3,,11.8,,74.5,,84,,41.1,,24.1,,..,,..,,7.8,,13.0
136,Bhutan,81,,53.1,,7.2,,2.0,,2.9,,50.8,,..,,99.9,,3.2,,..,,..,,..,,..
136,Cambodia,85.8,,..,,3.4,,7.1,i,36.1,d,53.1,,90,,62.1,,5,,..,,..,,..,,..
138,Ghana,81.6,,76.8,,..,,5.3,e,33.9,,48.3,,84,,62.5,,7.6,,..,,..,,..,,..
139,Lao People's Democratic Republic,85,,..,,..,,1.4,,10.1,,64.0,,90,,74.8,,5.6,,..,,..,,..,,..
140,Congo,78.6,,75.1,,..,,10.0,j,24.7,,72.9,,105,,91,d,22.1,,4.7,,42.4,,..,,..
141,Zambia,79.9,,81.0,,..,,13.2,k,40.6,d,76.1,,84,,14,,7.7,,..,,..,,..,,..
142,Bangladesh,73.4,,85.0,,..,,4.5,,12.8,,80.1,,112,,30.5,,39.5,,..,,..,,..,,..
142,Sao Tome and Principe,..,,..,,..,,16.6,,7.5,,..,,..,,75.1,,41.8,,..,,..,,..,,..
144,Equatorial Guinea,86.5,,..,,..,,..,,27.8,e,14.0,,..,,37,e,..,,..,,..,,..,,..
,Low human development,72.2,,..,,..,,..,,25.2,,74.9,,—,,40.3,,..,,..,,..,,..,,..
145,Nepal,85.2,,..,,..,,..,,33.9,d,74.1,,52,,42.3,,62.5,,..,,..,,..,,..
146,Pakistan,56.3,,..,,7.7,,5.5,,..,,57.0,,84,,26.5,,2.3,,..,,..,,..,,..
147,Kenya,75.6,,..,,..,,..,,25.9,e,33.6,,90,,60,,7.9,,..,,..,,..,,..
148,Swaziland,56.1,,..,,..,,28.2,,7.3,,..,,..,,49.5,,86,,..,,..,,..,,..
149,Angola,75.5,,..,,..,,..,,23.5,e,..,,90,,36,e,14.5,,..,,..,,..,,..
150,Myanmar,83.1,,..,,..,,..,,..,,60.8,,..,,72.4,,..,,..,,..,,..,,..
151,Rwanda,92.6,,..,,..,,..,,28.5,,87.4,,84,,63.2,,4.7,,..,,..,,..,,..
152,Cameroon,80.5,,..,,..,,3.8,,41.7,,..,,98,,61.4,,12.5,,5.9,,20.2,,..,,..
152,Nigeria,61.7,,..,,..,,23.9,l,24.7,,79.2,,84,,41.5,,..,,..,,..,,..,,..
154,Yemen,50,,..,,33.7,,16.2,,22.7,e,33.5,,70,,17,,8.5,,..,,..,,..,,..
155,Madagascar,91.4,,..,,..,,3.8,,28.1,d,88.1,,98,,79.7,,4.6,,..,,..,,..,,..
156,Zimbabwe,88.6,,..,,..,,5.4,,..,,87.1,,98,,48.8,,6.2,,..,,..,,..,,..
157,Papua New Guinea,77.9,,..,,..,,..,,..,,..,,..,,..,,0.9,,..,,..,,..,,..
157,Solomon Islands,72.8,,..,,..,,..,,..,,44.2,,..,,..,,13.1,,..,,..,,..,,..
159,Comoros,62.4,,..,,..,,..,,27.1,e,61.2,,..,,88,e,..,,..,,..,,..,,..
159,Tanzania (United Republic of),91.9,,87.7,,7.1,,4.3,,21.1,d,84.7,,84,,16.3,,3.2,,..,,..,,..,,..
161,Mauritania,44.5,,..,,..,,10.1,e,14.6,,..,,98,,58.8,,9.3,d,..,,..,,..,,..
162,Lesotho,59.9,,..,,34.4,,24.4,,22.9,e,51.2,,84,,45.1,,100,,100.0,,100.0,,..,,..
163,Senegal,75.5,,..,,..,,10.4,,16.5,d,61.1,,98,,74.6,,23.5,,..,,..,,..,,..
164,Uganda,86.8,,..,,5.4,,9.1,g,25.4,d,61.7,,60,,29.9,,6.6,,..,,..,,..,,..
165,Benin,80.8,,89.9,,..,,..,,45.6,,71.3,,98,,80.2,,9.7,,..,,..,,..,,..
166,Sudan,55.1,,..,,22.9,,19.8,,..,,..,,56,,59.3,,4.6,,..,,..,,..,,..
166,Togo,83.9,,89.1,,..,,..,,28.3,,66.7,,98,,77.9,,10.9,,..,,..,,..,,..
168,Haiti,75.5,,..,,..,,..,,24.4,,..,,42,,79.7,,1,,..,,..,,0.0,,0.0
169,Afghanistan,52.2,,..,,..,,8.5,,10.3,,73.6,,..,,37.4,,10.7,,..,,..,,..,,..
170,Djibouti,..,,..,,..,,..,,7.7,,..,,..,,92,,12,d,..,,..,,..,,..
171,Côte d'Ivoire,73.1,,..,,..,,..,,26.0,,45.5,,98,,65,,7.7,,..,,..,,..,,..
172,Gambia,80.4,,..,,..,,..,,19.2,,54.5,,..,,52.5,,10.8,,..,,..,,..,,..
173,Ethiopia,84.1,,..,,..,,17.5,"e,j",27.4,e,73.1,,90,,6.6,,9,,..,,..,,..,,..
174,Malawi,91.8,,..,,..,,..,,25.7,,89.3,,56,,..,,4.1,,..,,..,,..,,..
175,Liberia,72,,78.7,,5.1,,3.7,,20.8,,94.4,,90,,3.6,d,..,,..,,..,,..,,..
176,Mali,65.5,,82.9,,..,,7.3,,21.4,,77.7,,98,,80.8,,5.7,,3.7,,8.5,,..,,..
177,Guinea-Bissau,77.8,,..,,..,,..,,38.0,,..,,..,,24.1,,6.2,,..,,..,,..,,..
178,Mozambique,89.4,,87.8,,..,,22.5,,22.2,,81.1,,60,,47.9,,17.3,,15.9,,20.0,,..,,..
179,Guinea,79,,..,,..,,1.7,,40.1,,70.2,,98,,43.2,,8.8,,..,,..,,..,,..
180,Burundi,87.8,,94.6,,..,,..,,26.3,,89.8,,84,,75.2,,4,,2.0,,6.8,,..,,..
181,Burkina Faso,85.5,,89.6,,..,,2.3,,39.2,,81.1,,98,,76.9,,3.2,,0.5,,7.1,,..,,..
182,Eritrea,83.9,,..,,..,,..,,..,,73.1,,..,,..,,..,,..,,..,,..,,..
183,Sierra Leone,76.7,,..,,..,,2.8,,26.0,,78.2,,84,,78,,0.9,,..,,..,,..,,..
184,Chad,76.7,,..,,..,,..,,26.1,,80.4,,98,,15.7,,1.6,,..,,..,,..,,..
185,Central African Republic,82.3,,..,,..,,..,,28.5,,77.5,,..,,61,,..,,..,,..,,..,,..
186,Congo (Democratic Republic of the),82.2,,..,,..,,..,,15.0,,82.2,,98,,27.8,,15,,..,,..,,..,,..
187,Niger,66,,84.8,,..,,..,,42.8,,73.7,,98,,31.8,d,6.1,,..,,..,,..,,..
,Korea (Democratic People's Rep. of),79.1,,..,,..,,..,,..,,60.8,,..,,100,,..,,..,,..,,..,,..
,Marshall Islands,..,,..,,..,,..,,..,,..,,..,,95.9,,64.2,,..,,..,,..,,..
,Monaco,..,,..,,..,,..,,..,,..,,..,,100,,..,,..,,..,,..,,..
,Nauru,..,,..,,..,,..,,..,,..,,..,,82.6,,56.5,,..,,..,,..,,..
,San Marino,..,,..,,..,,..,,..,,..,,..,,100,,..,,..,,..,,..,,..
,Somalia,59.2,,..,,..,,..,,49.0,,74.5,,..,,3,,..,,..,,..,,..,,..
,South Sudan,..,,..,,..,,..,,..,,..,,..,,35.4,,..,,..,,..,,..,,..
,Tuvalu,..,,..,,..,,..,,..,,..,,..,,49.9,,19.5,,..,,..,,..,,..
,Arab States,52.7,,..,,24.6,,10.4,,..,,..,,—,,80.8,,..,,..,,..,,..,,..
,East Asia and the Pacific,72.8,,..,,..,,..,,..,,..,,—,,79,,..,,..,,..,,..,,..
,Europe and Central Asia,56.5,,..,,19.2,,8.3,,4.7,,19.7,,—,,96.5,,..,,..,,..,,5.5,,23.9
,Latin America and the Caribbean,67.3,,..,,14.0,,6.6,,11.1,,..,,—,,92.5,,..,,..,,..,,2.0,,8.1
,South Asia,60.9,,..,,..,,8.6,,12.3,,74.2,,—,,41.3,,..,,..,,..,,..,,..
,Sub-Saharan Africa,75,,..,,..,,..,,26.2,,71.1,,—,,43.5,,..,,..,,..,,..,,..
,Least developed countries,77.8,,..,,..,,..,,23.5,,77.8,,—,,38.1,,..,,..,,..,,..,,..
,Small island developing states,65.7,,..,,..,,..,,..,,..,,—,,..,,..,,..,,..,,..,,..
,World,65.4,,..,,..,,7.5,,..,,..,,—,,62.3,,..,,..,,..,,..,,..
