HDI rank,Country,Perceptions of individual well-being: Education quality (% satisfied) 2012,Note 1,Perceptions of individual well-being: Health care quality (% satisfied) 2008-2012,Note 2,Perceptions of individual well-being (Standard of living (% satisfied) 2007-2013,Note 3,Perceptions of individual well-being: Job (% satisfied) 2007-2012,Note 4,Perceptions of individual well-being: Safety (% answering yes) 2007-2012,Note 5,Perceptions of individual well-being: Freedom of choice (% satisfied) 2007-2012,Note 6,"Perceptions of individual well-being: Overall life satisfaction index (0, least satisfied, 10, most satisfied) 2007-2012",Note 7,Perceptions about community: Local labour market (% answering good) 2007-2012,Note 8,Perceptions about community: Trust in other people (% answering can be trusted) 2009-2011,Note 9,Perceptions about community: Community (% answering yes) 2007-2012,Note 10,Perceptions about government: Efforts to deal with the poor (% satisfied)2007-2013,Note 11,Perceptions about government: Actions to preserve the environment (% satisfied)2007-2013,Note 12,Perceptions about government: Trust in national government (% satisfied)2007-2013,Note 13
77,Serbia,50,,43,,34,,65,,62,,45,,5.2,,3,,17,,65,,10,,25,,22,
79,Brazil,52,,25,,77,,83,,46,,80,,6.9,,56,,15,,74,,43,,46,,46,
79,Georgia,67,,48,,24,,50,,91,,60,,4.3,,12,,16,,77,,36,,53,,61,
79,Grenada,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,
82,Peru,53,,37,,60,,74,,46,,66,,5.8,,43,,12,,72,,37,,40,,27,
83,Ukraine,44,,18,,24,,67,,46,,49,,5.0,,15,,29,,76,,8,,18,,24,
84,Belize,..,,..,,69,,..,,43,,62,,6.5,,44,,..,,67,,20,,30,,26,
84,The former Yugoslav Republic of Macedonia,62,,47,,39,,60,,63,,58,,4.6,,8,,11,,65,,16,,37,,37,
86,Bosnia and Herzegovina,54,,42,,32,,59,,65,,40,,4.8,,5,,18,,66,,6,,19,,19,
87,Armenia,52,,40,,30,,50,,78,,46,,4.3,,12,,15,,55,,14,,32,,29,
88,Fiji,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,
89,Thailand,91,,88,,83,,97,,74,,83,,6.3,,73,,27,,95,,67,,75,,70,
90,Tunisia,44,,32,,54,,63,,59,,53,,4.5,,22,,15,,71,,30,,38,,44,
91,China,62,,65,,73,,72,,82,,77,,5.1,,38,,57,,80,,68,,72,,..,
91,Saint Vincent and the Grenadines,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,
93,Algeria,64,,52,,66,,72,,53,,56,,5.6,,53,,16,,83,,41,,48,,53,
93,Dominica,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,
95,Albania,60,,38,,48,,68,,59,,58,,5.5,,12,,7,,71,,13,,27,,36,
96,Jamaica,..,,58,,42,,68,,56,,75,,5.4,,20,,..,,72,,21,,32,,36,
97,Saint Lucia,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,
98,Colombia,65,,46,,75,,82,,45,,81,,6.4,,41,,14,,83,,34,,49,,36,
98,Ecuador,76,,60,,69,,84,,47,,81,,6.0,,35,,9,,84,,59,,67,,64,
100,Suriname,82,,78,,64,,83,,60,,87,,6.3,,34,,..,,90,,61,,65,,72,
100,Tonga,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,
102,Dominican Republic,72,,59,,63,,70,,39,,83,,4.8,,21,,15,,81,,46,,57,,43,
,Medium human development,71,,54,,—,,71,,65,,62,,4.8,,—,,..,,78,,41,,46,,59,
103,Maldives,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,
103,Mongolia,55,,40,,59,,81,,46,,59,,4.9,,12,,14,,76,,16,,22,,31,
103,Turkmenistan,..,,64,,89,,86,,77,,63,,5.5,,57,,27,,94,,38,,61,,..,
106,Samoa,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,
107,"Palestine, State of",67,,62,,47,,64,,63,,53,,4.6,,8,,9,,76,,39,,40,,47,
108,Indonesia,82,,80,,63,,77,,89,,70,,5.4,,38,,21,,90,,28,,54,,67,
109,Botswana,68,,56,,36,,52,,35,,79,,4.8,,32,,9,,61,,74,,67,,66,
110,Egypt,40,,35,,63,,71,,57,,44,,4.2,,10,,25,,63,,31,,20,,60,
111,Paraguay,76,,69,,86,,89,,44,,75,,5.8,,60,,12,,92,,33,,46,,30,
112,Gabon,36,,29,,29,,50,,35,,56,,4.0,,35,,..,,45,,26,,49,,36,
113,Bolivia (Plurinational State of),70,,48,,71,,85,,40,,85,,6.0,,50,,10,,84,,56,,58,,44,
114,Moldova (Republic of),55,,40,,45,,64,,46,,55,,6.0,,6,,12,,73,,18,,19,,21,
115,El Salvador,78,,67,,72,,80,,53,,67,,5.9,,35,,18,,85,,43,,50,,31,
116,Uzbekistan,83,,86,,64,,89,,84,,88,,6.0,,55,,26,,93,,67,,82,,..,
117,Philippines,83,,83,,70,,83,,66,,91,,5.0,,65,,14,,90,,82,,87,,76,
118,South Africa,67,,46,,43,,55,,27,,58,,5.1,,29,,17,,54,,25,,42,,43,
118,Syrian Arab Republic,43,,30,,38,,53,,49,,40,,3.2,,17,,9,,35,,47,,44,,..,
120,Iraq,50,,30,,45,,60,,41,,29,,4.7,,40,,15,,64,,8,,15,,34,
121,Guyana,..,,..,,64,,..,,47,,66,,6.0,,33,,..,,75,,20,,34,,46,
121,Viet Nam,83,,59,,68,,82,,67,,73,,5.5,,35,,26,,81,,59,,50,,86,
123,Cape Verde,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,
124,Micronesia (Federated States of),..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,
125,Guatemala,74,,49,,66,,85,,53,,84,,5.9,,33,,15,,88,,41,,49,,50,
125,Kyrgyzstan,64,,53,,62,,69,,51,,66,,5.2,,38,,34,,87,,35,,44,,51,
127,Namibia,..,,..,,61,,..,,33,,76,,4.9,,33,,..,,77,,35,,58,,82,
128,Timor-Leste,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,
129,Honduras,64,,49,,56,,82,,49,,69,,4.6,,31,,13,,84,,32,,47,,26,
129,Morocco,41,,25,,74,,68,,56,,72,,5.0,,21,,58,,77,,48,,51,,45,
131,Vanuatu,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,
132,Nicaragua,83,,65,,71,,85,,56,,84,,5.4,,40,,11,,89,,53,,67,,57,
133,Kiribati,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,
133,Tajikistan,76,,68,,81,,84,,86,,67,,4.5,,58,,31,,91,,53,,58,,92,
135,India,69,,48,,47,,67,,61,,57,,4.6,,30,,20,,75,,39,,40,,54,
136,Bhutan,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,
136,Cambodia,92,,83,,49,,84,,63,,95,,3.9,,55,,9,,92,,89,,92,,83,
138,Ghana,59,,46,,35,,63,,73,,68,,5.1,,29,,19,,55,,22,,44,,58,
139,Lao People's Democratic Republic,73,,66,,73,,85,,75,,87,,4.9,,66,,..,,94,,66,,90,,98,
140,Congo,56,,38,,42,,63,,51,,77,,3.9,,53,,..,,67,,28,,61,,54,
141,Zambia,54,,50,,34,,54,,46,,78,,5.0,,32,,31,,56,,27,,41,,59,
142,Bangladesh,84,,63,,74,,80,,81,,64,,4.7,,35,,15,,90,,57,,60,,71,
142,Sao Tome and Principe,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,
144,Equatorial Guinea,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,
,Low human development,..,,42,,—,,64,,55,,56,,4.6,,—,,..,,70,,24,,39,,40,
145,Nepal,79,,56,,57,,85,,61,,57,,4.2,,36,,17,,84,,34,,45,,44,
146,Pakistan,59,,43,,58,,74,,41,,35,,5.1,,17,,20,,79,,16,,19,,23,
147,Kenya,69,,57,,33,,50,,50,,61,,4.5,,34,,10,,65,,26,,51,,40,
148,Swaziland,..,,58,,45,,55,,42,,61,,4.9,,25,,..,,62,,..,,56,,35,
149,Angola,..,,30,,50,,65,,45,,57,,5.6,,44,,..,,50,,60,,42,,23,
150,Myanmar,69,,54,,45,,71,,89,,65,,4.4,,32,,..,,90,,51,,50,,..,
151,Rwanda,76,,65,,30,,43,,86,,84,,3.3,,44,,30,,60,,66,,90,,95,
152,Cameroon,67,,48,,43,,63,,60,,76,,4.2,,33,,13,,60,,29,,53,,53,
152,Nigeria,55,,47,,49,,64,,61,,63,,5.5,,31,,13,,69,,15,,35,,30,
154,Yemen,35,,19,,47,,53,,65,,67,,4.1,,12,,27,,71,,27,,21,,60,
155,Madagascar,50,,35,,18,,48,,40,,48,,3.6,,29,,..,,83,,23,,36,,35,
156,Zimbabwe,62,,58,,48,,53,,52,,46,,5.0,,33,,15,,65,,36,,58,,41,
157,Papua New Guinea,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,
157,Solomon Islands,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,
159,Comoros,49,,24,,38,,61,,72,,53,,4.0,,30,,35,,75,,17,,39,,46,
159,Tanzania (United Republic of),35,,28,,40,,66,,58,,57,,4.0,,32,,26,,60,,26,,36,,41,
161,Mauritania,30,,30,,43,,56,,63,,48,,4.7,,32,,30,,64,,26,,37,,38,
162,Lesotho,..,,21,,27,,47,,38,,62,,4.9,,21,,..,,52,,..,,23,,40,
163,Senegal,31,,42,,37,,68,,57,,67,,3.7,,40,,28,,64,,23,,40,,65,
164,Uganda,48,,41,,38,,59,,41,,64,,4.3,,21,,17,,65,,21,,44,,40,
165,Benin,52,,44,,20,,51,,71,,77,,3.2,,27,,..,,63,,25,,46,,58,
166,Sudan,38,,28,,44,,48,,68,,40,,4.6,,17,,31,,63,,22,,26,,54,
166,Togo,..,,23,,16,,42,,52,,56,,2.9,,24,,..,,58,,10,,46,,51,
168,Haiti,39,,24,,17,,38,,40,,43,,4.4,,17,,30,,40,,15,,38,,37,
169,Afghanistan,64,,43,,31,,88,,39,,49,,3.8,,37,,25,,70,,20,,43,,44,
170,Djibouti,..,,49,,63,,70,,72,,74,,4.4,,55,,55,,75,,55,,58,,68,
171,Côte d'Ivoire,..,,21,,17,,..,,47,,76,,4.2,,25,,13,,41,,8,,32,,42,
172,Gambia,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,
173,Ethiopia,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,
174,Malawi,66,,64,,37,,50,,49,,64,,4.3,,32,,33,,78,,47,,61,,47,
175,Liberia,..,,32,,43,,63,,43,,87,,4.2,,53,,12,,63,,17,,34,,53,
176,Mali,35,,31,,26,,60,,67,,70,,4.3,,31,,45,,60,,13,,42,,49,
177,Guinea-Bissau,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,
178,Mozambique,..,,47,,38,,63,,42,,64,,5.0,,45,,..,,83,,35,,55,,63,
179,Guinea,22,,21,,20,,49,,50,,64,,3.7,,46,,..,,64,,10,,43,,56,
180,Burundi,..,,41,,26,,65,,65,,49,,3.7,,17,,38,,76,,27,,71,,85,
181,Burkina Faso,66,,42,,35,,56,,70,,62,,4.0,,27,,26,,78,,23,,61,,62,
182,Eritrea,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,
183,Sierra Leone,..,,34,,32,,61,,50,,77,,4.5,,30,,16,,52,,11,,46,,58,
184,Chad,58,,47,,42,,71,,33,,56,,4.0,,37,,21,,68,,19,,67,,30,
185,Central African Republic,..,,23,,34,,67,,60,,78,,3.7,,36,,37,,76,,27,,69,,78,
186,Congo (Democratic Republic of the),40,,32,,42,,55,,48,,54,,4.6,,35,,39,,60,,27,,40,,44,
187,Niger,47,,37,,57,,72,,86,,73,,3.8,,45,,40,,77,,34,,57,,53,
,Korea (Democratic People's Rep. of),..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,
,Marshall Islands,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,
,Monaco,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,
,Nauru,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,
,San Marino,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,
,Somalia,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,
,South Sudan,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,
,Tuvalu,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,
,Arab States,48,,39,,—,,68,,60,,53,,4.8,,—,,25,,71,,39,,36,,..,
,East Asia and the Pacific,..,,..,,—,,..,,..,,..,,..,,—,,..,,..,,..,,..,,..,
,Europe and Central Asia,57,,50,,—,,71,,60,,56,,5.3,,—,,21,,79,,33,,43,,47,
,Latin America and the Caribbean,..,,47,,—,,80,,47,,77,,6.6,,—,,..,,78,,41,,49,,42,
,South Asia,69,,49,,—,,70,,60,,55,,4.6,,—,,20,,77,,39,,41,,52,
,Sub-Saharan Africa,..,,42,,—,,59,,53,,63,,4.6,,—,,..,,65,,24,,44,,44,
,Least developed countries,..,,45,,—,,67,,62,,62,,4.3,,—,,..,,74,,37,,49,,55,
,Small island developing states,..,,..,,—,,..,,..,,..,,..,,—,,..,,..,,..,,..,,..,
,World,64,,57,,—,,74,,66,,68,,5.3,,—,,30,,78,,44,,51,,48,
