HDI rank,Country,Population: Total: 2013 (millions),Note 1,Population: Total: 2030 (millions) ,Note 2,Population: Under age 5 (millions): 2013,Note 3,Population Ages 65 and older (millions) 2013,Note 4,Population Average annual growth rate (%) 2000/2005,Note 5,Population Average annual growth rate (%) 2010/2015,Note 6,Population Urban (% of population) 2013,Note 7,Population Median age (years) 2015,Note 8,Dependency ratio Young age (ages 0-14) 2015,Note 9,Dependency ratio Old age (ages 65 and older) 2015,Note 10,Total fertility rate (births per woman) 2000/2005,Note 11,Total fertility rate (births per woman) 2010/2015,Note 12,Sex ratio at birth (male to female births) 2010/2015,Note 13
47,Croatia,4.3,,4,,0.2,,0.8,,-0.4,,-0.4,,58.4,,43.1,,22,,28.6,,1.4,,1.5,,1.06,
48,Latvia,2.1,,1.9,,0.1,,0.4,,-1.3,,-0.6,,67.7,,41.7,,23.5,,28.2,,1.3,,1.6,,1.05,
49,Argentina,41.4,,46.9,,3.4,,4.5,,0.9,,0.9,,92.8,,31.6,,36.7,,17.3,,2.4,,2.2,,1.04,
,High human development,2485.5,,2662.3,,176.8,,215.9,,0.7,,0.7,,61.4,,34.2,,28.7,,12.9,,1.8,,1.8,,1.06,
50,Uruguay,3.4,,3.6,,0.2,,0.5,,0,,0.3,,92.7,,34.8,,33.4,,22.3,,2.2,,2.1,,1.05,
51,Bahamas,0.4,,0.4,,0,,0,,2,,1.4,,84.6,,32.5,,29.4,,11.7,,1.9,,1.9,,1.06,
51,Montenegro,0.6,,0.6,,0,,0.1,,0.2,,0,,63.7,,37.6,,26.9,,20.2,,1.8,,1.7,,1.07,
53,Belarus,9.4,,8.5,,0.5,,1.3,,-0.6,,-0.5,,75.9,,39.5,,22.4,,19.7,,1.2,,1.5,,1.06,
54,Romania,21.7,,20.2,,1.1,,3.3,,-0.2,,-0.3,,52.8,,40,,21.8,,22.3,,1.3,,1.4,,1.06,
55,Libya,6.2,,7.5,,0.6,,0.3,,1.6,,0.9,,78.1,,27.2,,44.7,,7.6,,2.9,,2.4,,1.06,
56,Oman,3.6,,4.9,,0.4,,0.1,,2.8,,7.9,,73.9,,27.1,,29.2,,4,,3.2,,2.9,,1.05,
57,Russian Federation,142.8,,133.6,,8.3,,18.6,,-0.4,,-0.2,,74.2,,38.5,,23.4,,18.8,,1.3,,1.5,,1.06,
58,Bulgaria,7.2,,6.2,,0.3,,1.4,,-0.8,,-0.8,,74.3,,43.4,,21.2,,30.1,,1.2,,1.5,,1.06,
59,Barbados,0.3,,0.3,,0,,0,,0.5,,0.5,,45.4,,37.4,,26.7,,16.2,,1.8,,1.9,,1.04,
60,Palau,0,,0,,..,,..,,0.8,,0.8,,85.8,,..,,..,,..,,..,,..,,..,
61,Antigua and Barbuda,0.1,,0.1,,0,,0,,1.2,,1,,29.8,,30.9,,35.2,,10.4,,2.3,,2.1,,1.03,
62,Malaysia,29.7,i,36.8,i,2.5,i,1.6,i,2,i,1.6,i,74.2,i,28.2,i,36.6,i,8.3,i,2.5,i,2,i,1.06,i
63,Mauritius,1.2,j,1.3,j,0.1,j,0.1,j,0.5,j,0.4,j,41.8,j,35.5,j,26.4,j,13.3,j,1.9,j,1.5,j,1.04,j
64,Trinidad and Tobago,1.3,,1.3,,0.1,,0.1,,0.5,,0.3,,14.2,,34.2,,29.9,,13.8,,1.8,,1.8,,1.04,
65,Lebanon,4.8,,5.2,,0.3,,0.4,,4.2,,3,,87.5,,30.7,,27.1,,12.3,,2,,1.5,,1.05,
65,Panama,3.9,,4.9,,0.4,,0.3,,1.9,,1.6,,76.5,,28.5,,42.5,,11.7,,2.8,,2.5,,1.05,
67,Venezuela (Bolivarian Republic of),30.4,,37.2,,3,,1.9,,1.8,,1.5,,93.9,,27.7,,42.6,,10.1,,2.7,,2.4,,1.05,
68,Costa Rica,4.9,,5.8,,0.4,,0.3,,1.9,,1.4,,65.6,,30.6,,32.5,,10.8,,2.3,,1.8,,1.05,
69,Turkey,74.9,,86.8,,6.4,,5.5,,1.4,,1.2,,73.4,,30.1,,37,,11.4,,2.3,,2.1,,1.05,
70,Kazakhstan,16.4,,18.6,,1.7,,1.1,,0.7,,1,,53.4,,29.7,,39.4,,10.1,,2,,2.4,,1.07,
71,Mexico,122.3,,143.7,,11.3,,7.8,,1.3,,1.2,,78.7,,27.7,,41.7,,10.3,,2.5,,2.2,,1.05,
71,Seychelles,0.1,,0.1,,0,,0,,1.8,,0.6,,54.4,,33.2,,31.7,,11.2,,2.2,,2.2,,1.06,
73,Saint Kitts and Nevis,0.1,,0.1,,..,,..,,1.5,,1.1,,32.1,,..,,..,,..,,..,,..,,..,
73,Sri Lanka,21.3,,23.3,,1.9,,1.8,,1.1,,0.8,,15.2,,32,,38.1,,13.7,,2.3,,2.4,,1.04,
75,Iran (Islamic Republic of),77.4,,91.3,,7.1,,4.1,,1.2,,1.3,,69.3,,29.5,,34.2,,7.8,,2,,1.9,,1.05,
76,Azerbaijan,9.4,k,10.5,k,0.8,k,0.5,k,1.1,k,1.1,k,54.1,k,30.4,k,30.8,k,7.8,k,2,k,1.9,k,1.15,k
77,Jordan,7.3,,9.4,,1,,0.3,,1.9,,3.5,,83.2,,24,,53,,5.8,,3.9,,3.3,,1.05,
77,Serbia,9.5,l,8.6,l,0.5,l,1.4,l,-0.6,l,-0.5,l,57.1,l,39.3,l,22.9,l,21.7,l,1.6,l,1.4,l,1.05,l
79,Brazil,200.4,,222.7,,14.6,,15.1,,1.3,,0.8,,85.2,,31.2,,33.6,,11.6,,2.3,,1.8,,1.05,
79,Georgia,4.3,m,4,m,0.3,m,0.6,m,-1.2,m,-0.4,m,53,m,38.1,m,27.6,m,22,m,1.6,m,1.8,m,1.11,m
79,Grenada,0.1,,0.1,,0,,0,,0.3,,0.4,,39.8,,27.2,,40,,10.7,,2.4,,2.2,,1.05,
82,Peru,30.4,,36.5,,2.9,,1.9,,1.3,,1.3,,77.9,,27.1,,42.9,,10.3,,2.8,,2.4,,1.05,
83,Ukraine,45.2,,39.8,,2.5,,6.8,,-0.8,,-0.6,,69.3,,39.9,,21.4,,21.2,,1.2,,1.5,,1.06,
84,Belize,0.3,,0.5,,0,,0,,2.6,,2.4,,44.3,,23.7,,52.1,,6.5,,3.4,,2.7,,1.03,
84,The former Yugoslav Republic of Macedonia,2.1,,2.1,,0.1,,0.3,,0.4,,0.1,,59.5,,37.8,,23.2,,18.3,,1.6,,1.4,,1.05,
86,Bosnia and Herzegovina,3.8,,3.7,,0.2,,0.6,,0.2,,-0.1,,49.3,,40.1,,21.2,,22.9,,1.2,,1.3,,1.07,
87,Armenia,3,,3,,0.2,,0.3,,-0.4,,0.2,,64.2,,33.4,,29.2,,15,,1.7,,1.7,,1.14,
88,Fiji,0.9,,0.9,,0.1,,0,,0.3,,0.7,,53,,27.5,,43.9,,8.9,,3,,2.6,,1.06,
89,Thailand,67,,67.6,,3.6,,6.5,,1,,0.3,,34.8,,38,,24.2,,14.5,,1.6,,1.4,,1.06,
90,Tunisia,11,,12.6,,0.9,,0.8,,1,,1.1,,66.7,,31.2,,33.4,,10.8,,2,,2,,1.05,
91,China,1385.6,,1453.3,,90.2,,123,,0.6,,0.6,,53.2,,36,,25.1,,13.1,,1.6,,1.7,,1.16,
91,Saint Vincent and the Grenadines,0.1,,0.1,,0,,0,,0.2,,0,,50.1,,29.8,,36,,10.7,,2.2,,2,,1.03,
93,Algeria,39.2,,48.6,,4.6,,1.8,,1.4,,1.8,,74.7,,27.5,,42.4,,7,,2.4,,2.8,,1.05,
93,Dominica,0.1,,0.1,,..,,..,,0.2,,0.4,,67.4,,..,,..,,..,,..,,..,,..,
95,Albania,3.2,,3.3,,0.2,,0.3,,-0.7,,0.3,,55.6,,33.5,,28.1,,16.3,,2.2,,1.8,,1.08,
96,Jamaica,2.8,,2.9,,0.2,,0.2,,0.8,,0.5,,52.2,,28.2,,39.5,,12.3,,2.5,,2.3,,1.05,
97,Saint Lucia,0.2,,0.2,,0,,0,,1.1,,0.8,,16.1,,31.2,,34.1,,13.2,,2.1,,1.9,,1.03,
98,Colombia,48.3,,57.2,,4.5,,3,,1.6,,1.3,,75.8,,28.3,,40.7,,10,,2.6,,2.3,,1.05,
98,Ecuador,15.7,,19.6,,1.6,,1,,1.9,,1.6,,68.6,,26.7,,45.8,,10.7,,3,,2.6,,1.05,
100,Suriname,0.5,,0.6,,0,,0,,1.4,,0.9,,70.5,,29.1,,39.6,,10.2,,2.6,,2.3,,1.08,
100,Tonga,0.1,,0.1,,0,,0,,0.6,,0.4,,23.6,,21.3,,64.3,,10.2,,4.2,,3.8,,1.05,
102,Dominican Republic,10.4,,12.2,,1.1,,0.7,,1.5,,1.2,,70.8,,26.4,,46.4,,10.3,,2.8,,2.5,,1.05,
,Medium human development,2262.1,,2716,,228.7,,115.9,,1.6,,1.3,,38.3,,26.5,,44.6,,8.1,,3,,2.6,,1.05,
103,Maldives,0.3,,0.4,,0,,0,,1.7,,1.9,,43.4,,26,,42.2,,7.3,,2.8,,2.3,,1.06,
103,Mongolia,2.8,,3.4,,0.3,,0.1,,1,,1.5,,70.4,,27.5,,40.4,,5.6,,2.1,,2.4,,1.03,
103,Turkmenistan,5.2,,6.2,,0.5,,0.2,,1.1,,1.3,,49.4,,26.4,,41.7,,6.1,,2.8,,2.3,,1.05,
106,Samoa,0.2,,0.2,,0,,0,,0.6,,0.8,,19.4,,21.2,,64.9,,9.1,,4.4,,4.2,,1.08,
107,"Palestine, State of",4.3,n,6.4,n,0.6,n,0.1,n,2.1,n,2.5,n,74.8,n,19.7,n,67.3,n,5.3,n,5,n,4.1,n,1.05,n
108,Indonesia,249.9,,293.5,,24,,13.1,,1.4,,1.2,,52.2,,28.4,,42.2,,8.2,,2.5,,2.4,,1.05,
109,Botswana,2,,2.3,,0.2,,0.1,,1.3,,0.9,,62.9,,22.8,,52.3,,6,,3.2,,2.6,,1.03,
110,Egypt,82.1,,102.6,,9.3,,4.7,,1.6,,1.6,,43.8,,25.8,,48.8,,9.4,,3.2,,2.8,,1.05,
111,Paraguay,6.8,,8.7,,0.8,,0.4,,2,,1.7,,63,,24.4,,50.8,,9.1,,3.5,,2.9,,1.05,
112,Gabon,1.7,,2.4,,0.2,,0.1,,2.4,,2.4,,86.9,,20.9,,67.6,,8.9,,4.5,,4.1,,1.03,
113,Bolivia (Plurinational State of),10.7,,13.7,,1.3,,0.5,,1.9,,1.6,,67.7,,22.8,,56.1,,8.3,,4,,3.3,,1.05,
114,Moldova (Republic of),3.5,o,3.1,o,0.2,o,0.4,o,-1.7,o,-0.8,o,49.1,o,36.3,o,23.6,o,16.4,o,1.5,o,1.5,o,1.06,o
115,El Salvador,6.3,,6.9,,0.6,,0.5,,0.4,,0.7,,65.8,,24.7,,45.2,,11.5,,2.6,,2.2,,1.05,
116,Uzbekistan,28.9,,34.1,,3,,1.2,,1,,1.4,,36.3,,26,,41.5,,6.4,,2.6,,2.3,,1.05,
117,Philippines,98.4,,127.8,,11.3,,3.8,,2,,1.7,,49.3,,23.4,,53.4,,6.5,,3.7,,3.1,,1.06,
118,South Africa,52.8,,58.1,,5.4,,2.9,,1.5,,0.8,,62.9,,26.5,,45.1,,8.8,,2.8,,2.4,,1.03,
118,Syrian Arab Republic,21.9,,29.9,,2.6,,0.9,,2.1,,0.7,,56.9,,22.7,,56.4,,7.1,,3.7,,3,,1.05,
120,Iraq,33.8,,51,,4.9,,1.1,,2.8,,2.9,,66.4,,20,,68.1,,5.5,,4.8,,4.1,,1.07,
121,Guyana,0.8,,0.9,,0.1,,0,,0.4,,0.5,,28.5,,23,,55.7,,5.7,,2.7,,2.6,,1.05,
121,Viet Nam,91.7,,101.8,,7.1,,6,,1,,1,,32.3,,30.7,,31.7,,9.6,,1.9,,1.8,,1.1,
123,Cape Verde,0.5,,0.6,,0,,0,,1.6,,0.8,,64.1,,25.2,,42.4,,7.9,,3.3,,2.3,,1.03,
124,Micronesia (Federated States of),0.1,,0.1,,0,,0,,-0.2,,0.2,,22.8,,21.5,,55.3,,7.1,,4.1,,3.3,,1.07,
125,Guatemala,15.5,,22.6,,2.3,,0.7,,2.5,,2.5,,50.7,,19.7,,71.3,,8.4,,4.6,,3.8,,1.05,
125,Kyrgyzstan,5.5,,6.9,,0.7,,0.2,,0.4,,1.4,,35.5,,25.1,,47.6,,6.3,,2.5,,3.1,,1.06,
127,Namibia,2.3,,3,,0.3,,0.1,,1.3,,1.9,,39.5,,21.8,,57,,5.9,,3.8,,3.1,,1.03,
128,Timor-Leste,1.1,,1.6,,0.2,,0,,3.1,,1.7,,29.1,,16.9,,86.5,,6.6,,7,,5.9,,1.05,
129,Honduras,8.1,,10.8,,1,,0.4,,2,,2,,53.3,,22.5,,56.1,,7.5,,3.7,,3,,1.05,
129,Morocco,33,,39.2,,3.4,,1.6,,1,,1.4,,57.8,,27.5,,41.7,,7.6,,2.5,,2.8,,1.06,
131,Vanuatu,0.3,,0.4,,0,,0,,2.5,,2.2,,25.5,,22.1,,60.3,,6.7,,4.1,,3.4,,1.07,
132,Nicaragua,6.1,,7.4,,0.7,,0.3,,1.3,,1.4,,58.1,,23.8,,50.4,,7.6,,3,,2.5,,1.05,
133,Kiribati,0.1,,0.1,,0,,0,,1.8,,1.5,,44.1,,24.1,,47.8,,6.7,,3.6,,3,,1.07,
133,Tajikistan,8.2,,11.4,,1.2,,0.3,,1.9,,2.4,,26.6,,22,,59.4,,5.2,,3.7,,3.9,,1.05,
135,India,1252.1,,1476.4,,121.3,,66,,1.6,,1.2,,32,,26.9,,42.9,,8.3,,3,,2.5,,1.11,
136,Bhutan,0.8,,0.9,,0.1,,0,,2.8,,1.6,,37.1,,26.7,,39.9,,7.3,,3.1,,2.3,,1.04,
136,Cambodia,15.1,,19.1,,1.7,,0.8,,1.8,,1.7,,20.3,,25,,49,,8.9,,3.5,,2.9,,1.05,
138,Ghana,25.9,,35.3,,3.7,,0.9,,2.5,,2.1,,53.2,,20.9,,65,,5.9,,4.6,,3.9,,1.05,
139,Lao People's Democratic Republic,6.8,,8.8,,0.9,,0.3,,1.4,,1.9,,36.5,,22,,55.6,,6.2,,3.7,,3.1,,1.05,
140,Congo,4.4,,6.8,,0.7,,0.2,,2.5,,2.6,,64.5,,18.7,,78.5,,6.3,,5.1,,5,,1.03,
141,Zambia,14.5,,25,,2.7,,0.4,,2.5,,3.2,,40,,16.7,,90.6,,5,,6,,5.7,,1.02,
142,Bangladesh,156.6,,185.1,,15.1,,7.5,,1.6,,1.2,,29.4,,25.8,,43.8,,7.3,,2.9,,2.2,,1.05,
142,Sao Tome and Principe,0.2,,0.3,,0,,0,,2.1,,2.6,,64.1,,19.4,,74.8,,5.8,,4.6,,4.1,,1.03,
144,Equatorial Guinea,0.8,,1.1,,0.1,,0,,3.1,,2.8,,39.8,,20.9,,65.6,,4.8,,5.6,,4.9,,1.03,
,Low human development,1145.6,,1675.6,,176.9,,38,,2.5,,2.4,,34.5,,19.5,,72.6,,6,,5.3,,4.6,,1.04,
145,Nepal,27.8,,32.9,,2.9,,1.4,,1.7,,1.2,,17.7,,23.1,,53.4,,8.6,,3.7,,2.3,,1.07,
146,Pakistan,182.1,,231.7,,21.8,,8,,1.9,,1.7,,36.8,,23.2,,52.3,,7,,4,,3.2,,1.09,
147,Kenya,44.4,,66.3,,7,,1.2,,2.7,,2.7,,24.8,,19,,75.4,,5,,5,,4.4,,1.03,
148,Swaziland,1.2,,1.5,,0.2,,0,,0.8,,1.5,,21.2,,20.5,,63.1,,6.1,,4,,3.4,,1.03,
149,Angola,21.5,,34.8,,4,,0.5,,3.4,,3.1,,60.7,,16.4,,92.9,,4.8,,6.8,,5.9,,1.03,
150,Myanmar,53.3,,58.7,,4.4,,2.8,,0.7,,0.8,,33.8,,29.8,,34.4,,7.7,,2.2,,2,,1.03,
151,Rwanda,11.8,,17.8,,1.9,,0.3,,2.3,,2.7,,19.7,,18.4,,74.1,,4.5,,5.6,,4.6,,1.02,
152,Cameroon,22.3,,33.1,,3.6,,0.7,,2.6,,2.5,,53.2,,18.5,,78.4,,5.9,,5.5,,4.8,,1.03,
152,Nigeria,173.6,,273.1,,30.5,,4.8,,2.6,,2.8,,50.9,,17.7,,83.9,,5.1,,6.1,,6,,1.06,
154,Yemen,24.4,,34,,3.4,,0.7,,2.8,,2.3,,33.5,,19.7,,67.5,,5.1,,5.9,,4.2,,1.05,
155,Madagascar,22.9,,36,,3.6,,0.6,,3,,2.8,,33.8,,18.7,,75.2,,5.1,,5.3,,4.5,,1.03,
156,Zimbabwe,14.1,,20.3,,2,,0.5,,0.3,,2.8,,39.6,,20.1,,66.9,,6.7,,4,,3.5,,1.02,
157,Papua New Guinea,7.3,,10,,1,,0.2,,2.5,,2.1,,12.6,,21.2,,62.2,,5,,4.4,,3.8,,1.08,
157,Solomon Islands,0.6,,0.8,,0.1,,0,,2.6,,2.1,,21.4,,19.9,,69.4,,5.9,,4.6,,4.1,,1.07,
159,Comoros,0.7,,1.1,,0.1,,0,,2.6,,2.4,,28.2,,19.1,,75.1,,5.1,,5.3,,4.7,,1.05,
159,Tanzania (United Republic of),49.3,p,79.4,p,8.7,p,1.6,p,2.6,p,3,p,27.6,p,17.6,p,85.9,p,6.2,p,5.7,p,5.2,p,1.03,p
161,Mauritania,3.9,,5.6,,0.6,,0.1,,3,,2.5,,42,,20,,69.4,,5.6,,5.2,,4.7,,1.05,
162,Lesotho,2.1,,2.4,,0.3,,0.1,,0.7,,1.1,,29,,21.2,,59.2,,6.9,,3.8,,3.1,,1.03,
163,Senegal,14.1,,21.9,,2.4,,0.4,,2.7,,2.9,,43.1,,18.2,,80.5,,5.4,,5.4,,5,,1.04,
164,Uganda,37.6,,63.4,,7.1,,0.9,,3.4,,3.3,,16.4,,15.9,,96.6,,4.9,,6.7,,5.9,,1.03,
165,Benin,10.3,,15.5,,1.7,,0.3,,3.3,,2.7,,46.2,,18.6,,76.7,,5.3,,5.8,,4.9,,1.04,
166,Sudan,38,,55.1,,5.7,,1.2,,2.6,,2.1,,33.5,,19.4,,72.1,,5.9,,5.3,,4.5,,1.04,
166,Togo,6.8,,10,,1.1,,0.2,,2.6,,2.6,,39,,19,,74.6,,4.9,,5.1,,4.7,,1.02,
168,Haiti,10.3,,12.5,,1.3,,0.5,,1.5,,1.4,,56.1,,22.7,,55.8,,7.5,,4,,3.2,,1.05,
169,Afghanistan,30.6,,43.5,,4.9,,0.7,,3.8,,2.4,,24.1,,17,,85.4,,4.7,,7.4,,5,,1.06,
170,Djibouti,0.9,,1.1,,0.1,,0,,1.4,,1.5,,77.2,,23.4,,53.9,,6.6,,4.2,,3.4,,1.04,
171,Côte d'Ivoire,20.3,,29.2,,3.2,,0.6,,1.5,,2.3,,52.8,,19.1,,73.4,,5.7,,5.2,,4.9,,1.03,
172,Gambia,1.8,,3.1,,0.3,,0,,3.1,,3.2,,58.4,,17,,87.9,,4.5,,5.9,,5.8,,1.03,
173,Ethiopia,94.1,,137.7,,14.2,,3.2,,2.9,,2.6,,17.5,,18.6,,75.2,,6.3,,6.1,,4.6,,1.04,
174,Malawi,16.4,,26,,2.9,,0.5,,2.6,,2.8,,16,,17.3,,86.3,,6.3,,6.1,,5.4,,1.03,
175,Liberia,4.3,,6.4,,0.7,,0.1,,2.5,,2.6,,48.9,,18.6,,77.4,,5.5,,5.7,,4.8,,1.05,
176,Mali,15.3,,26,,3,,0.4,,3,,3,,36.2,,16.2,,95.5,,5.4,,6.8,,6.9,,1.05,
177,Guinea-Bissau,1.7,,2.5,,0.3,,0,,2.2,,2.4,,45.3,,19.3,,73.3,,5.3,,5.7,,5,,1.03,
178,Mozambique,25.8,,38.9,,4.4,,0.8,,2.8,,2.5,,31.7,,17.3,,87.4,,6.4,,5.7,,5.2,,1.03,
179,Guinea,11.7,,17.3,,1.9,,0.4,,1.8,,2.5,,36.4,,18.8,,75.9,,5.6,,5.8,,5,,1.02,
180,Burundi,10.2,,16.4,,1.9,,0.2,,3,,3.2,,11.5,,17.6,,85.3,,4.5,,6.9,,6.1,,1.03,
181,Burkina Faso,16.9,,26.6,,3,,0.4,,2.9,,2.8,,28.2,,17.3,,85.6,,4.6,,6.4,,5.7,,1.05,
182,Eritrea,6.3,,9.8,,1.1,,0.1,,4.2,,3.2,,22.2,,18.5,,78.8,,4.3,,5.7,,4.7,,1.05,
