HDI ranks,Country,Gender-related development index: Female to male ratio of HDI 2013,Gender-related development index:  GDI rank 2013,Human development index value: Female 2013,Human development index value Male 2013,Life expectancy at birth Female 2013,Life expectancy at birth Male 2013,Mean years of schooling Female 2002-2012,Note 1,Mean years of schooling Male 2000-2012,Note 2,Expected years of schooling Female 2000-2012,Note 3,Expected years of schooling Male 2000-2012,Note 4,Estimated GNI per capita (2011 PPP$) Female 2013,Note 5,Estimated GNI per capita (2011 PPP$) Male 2013,Note 6
41,Portugal,0.970,48,0.808,0.833,82.9,76.9,8,,8.5,,16.5,,16.1,,17846,,30817,
43,Hungary,0.998,4,0.816,0.818,78.6,70.5,11.2,d,11.4,d,15.7,,15.1,,17233,,25663,
44,Bahrain,0.961,66,0.798,0.831,77.5,75.9,9.1,,9.6,,15.1,h,13.7,h,24531,,36660,
44,Cuba,0.962,61,0.796,0.827,81.3,77.3,10.1,g,10.3,g,15.1,,13.9,,13302,,26319,
46,Kuwait,0.987,22,0.801,0.812,75.5,73.5,7.9,,6.8,,15.2,,14.2,,43134,,114532,f
47,Croatia,0.987,22,0.807,0.818,80.4,73.7,10.5,,11.6,,15.2,,13.9,,15777,,22509,
48,Latvia,1.033,52,0.823,0.797,77.5,66.7,11.5,d,11.5,d,16.3,,14.8,,18624,,26415,
49,Argentina,1.001,2,0.806,0.805,79.9,72.6,10,,9.6,,17.5,,15.4,,11975,,22849,
,High human development,0.946,—,0.710,0.750,76.8,72.3,7.5,,8.5,,13.4,,13.1,,9426,,16966,
50,Uruguay,1.015,25,0.793,0.781,80.6,73.7,8.7,,8.2,,16.6,,14.4,,13789,,22730,
51,Bahamas,..,..,..,..,78.2,72.1,11.1,,11.1,,..,,..,,17934,,25047,
51,Montenegro,..,..,..,..,77.2,72.5,9.9,i,11.2,i,15.5,,14.8,,..,,..,
53,Belarus,1.021,32,0.793,0.777,75.8,64.2,11.4,i,11.7,i,16.3,,15.2,,12655,,20730,
54,Romania,0.973,43,0.771,0.793,77.5,70.3,10.4,,11,,14.5,,13.7,,12005,,23148,
55,Libya,0.931,93,0.749,0.805,77.3,73.5,7.5,,7.5,,16.4,,15.9,,10649,,32678,
56,Oman,..,..,..,..,79,74.8,..,,..,,13.9,,13.4,,17346,,56424,
57,Russian Federation,1.038,61,0.792,0.763,74.4,61.8,11.7,,11.8,,14.5,,13.5,,18228,,27741,
58,Bulgaria,0.994,8,0.775,0.779,77.3,70,10.6,d,10.5,d,14.5,,14.1,,12539,,18430,
59,Barbados,1.021,32,0.784,0.767,77.8,73,9.5,,9.2,,17.2,,13.8,,11165,,16054,
60,Palau,..,..,..,..,..,..,12.2,,12.6,,14.6,,12.9,,..,,..,
61,Antigua and Barbuda,..,..,..,..,78.3,73.5,..,,..,,13.7,,13.8,,..,,..,
62,Malaysia,0.935,91,0.743,0.794,77.4,72.7,9.2,,9.9,,12.7,,12.7,,13187,,30984,
63,Mauritius,0.957,72,0.750,0.784,77.1,70.3,8,,9.1,,15.9,,15.2,,10980,,22726,
64,Trinidad and Tobago,0.994,8,0.763,0.767,73.6,66.4,10.9,,10.6,,12.5,,12.1,,19079,,31713,
65,Lebanon,0.900,110,0.715,0.794,82.3,78.1,7.6,i,8.2,i,13,,13.3,,7199,,25038,
65,Panama,0.978,36,0.753,0.770,80.5,74.8,9.6,g,9.2,g,12.9,,11.9,,10798,,21850,
67,Venezuela (Bolivarian Republic of),0.999,2,0.759,0.760,77.7,71.7,8.7,,8.4,,15.3,,13.1,,11924,,22180,
68,Costa Rica,0.973,43,0.751,0.772,82.2,77.8,8.4,,8.3,,13.9,,13.2,,9719,,16204,
69,Turkey,0.884,118,0.704,0.796,78.7,71.8,6.4,,8.7,,13.8,,15,,8813,,28318,
70,Kazakhstan,1.015,25,0.762,0.751,72.3,61,10.2,g,10.5,g,15.4,,14.7,,14369,,24902,
71,Mexico,0.940,85,0.728,0.775,79.8,75.1,8.1,,8.8,,12.9,,12.6,,10060,,22020,
71,Seychelles,..,..,..,..,78.1,69,9.4,i,9.4,i,12.1,,11.1,,..,,..,
73,Saint Kitts and Nevis,..,..,..,..,..,..,..,,..,,13.4,,12.4,,..,,..,
73,Sri Lanka,0.961,66,0.720,0.749,77.4,71.2,10.7,g,9.4,g,13.9,,13.4,,5078,,13616,
75,Iran (Islamic Republic of),0.847,128,0.672,0.793,76.1,72.2,7.1,,8.6,,15,,15.3,,4159,,22631,
76,Azerbaijan,0.952,77,0.723,0.759,73.9,67.6,10.5,i,11.2,i,11.6,,11.9,,10968,,20541,
77,Jordan,0.842,130,0.658,0.781,75.6,72.3,9.4,,10.4,,13.5,,13.1,,2875,,19459,
77,Serbia,..,..,..,..,76.9,71.3,9.2,g,9.9,g,14.1,,13.2,,..,,..,
79,Brazil,..,..,..,..,77.6,70.4,7.3,g,7.2,g,..,,..,,10851,,17813,
79,Georgia,0.941,84,0.713,0.758,77.8,70.5,11.9,j,12.4,j,12.8,,12.8,,4231,,9871,
79,Grenada,..,..,..,..,75.3,70.3,..,,..,,16.3,,15.3,,..,,..,
82,Peru,0.957,72,0.720,0.753,77.6,72.2,8.5,,9.6,,13.2,,13.1,,8942,,13607,
83,Ukraine,1.012,21,0.738,0.729,74.4,62.8,11.2,,11.4,,15.3,,14.9,,6450,,10279,
84,Belize,0.963,60,0.714,0.742,77.1,70.9,9.2,g,9.3,g,14.1,,13.3,,6163,,12571,
84,The former Yugoslav Republic of Macedonia,0.944,83,0.708,0.750,77.5,72.9,7.9,j,8.5,j,13.4,,13.2,,7913,,15563,
86,Bosnia and Herzegovina,..,..,..,..,78.9,73.8,7.2,i,9.5,i,..,,..,,6381,,12628,
87,Armenia,0.994,8,0.725,0.729,78,71.3,10.8,g,10.8,g,13.6,,11.2,,5486,,10282,
88,Fiji,0.937,89,0.679,0.725,73,67,9.8,,10,,14.1,,13.7,,4100,,10214,
89,Thailand,0.990,14,0.718,0.725,77.8,71.1,7,,7.7,,13.4,,12.7,,11728,,15069,
90,Tunisia,0.891,116,0.669,0.751,78.3,73.6,5.5,,7.5,,15,,14,,4751,,16226,
91,China,0.939,88,0.696,0.740,76.7,74.1,6.9,,8.2,,13,,12.8,,9288,,13512,
91,Saint Vincent and the Grenadines,..,..,..,..,74.7,70.4,..,,..,,13.4,,13.1,,7541,,13085,
93,Algeria,0.843,129,0.629,0.746,72.7,69.4,5.9,,7.8,,14.2,,13.8,,3695,,21219,
93,Dominica,..,..,..,..,..,..,..,,..,,..,,..,,..,,..,
95,Albania,0.957,72,0.694,0.725,80.6,74.6,9.1,,9.5,,10.3,,10.3,,6704,,11734,
96,Jamaica,0.989,17,0.703,0.711,76.1,71,9.8,,9.2,,12.4,,11.5,,6406,,9990,
97,Saint Lucia,..,..,..,..,77.5,72.2,..,,..,,12.5,,11.8,,7597,,10966,
98,Colombia,0.972,46,0.697,0.718,77.7,70.4,7,,7.1,,13.5,,12.9,,7698,,15485,
98,Ecuador,..,..,..,..,79.4,73.7,7.4,,7.8,g,..,,..,,7045,,12951,
100,Suriname,0.974,41,0.693,0.711,74.3,67.9,7.3,,8,,12.9,,11.2,,9874,,20329,
100,Tonga,0.966,54,0.682,0.706,75.7,69.8,9.2,d,9.5,d,14,,13.4,,3983,,6642,
102,Dominican Republic,..,..,..,..,76.7,70.4,7.7,,7.2,,..,,..,,7514,,14172,
,Medium human development,0.875,—,0.565,0.646,70,65.9,4.7,,6.4,,11.4,,11.8,,3199,,8619,
103,Maldives,0.936,90,0.673,0.718,79,76.9,5.4,d,6.2,d,12.8,,12.5,,7504,,12608,
103,Mongolia,1.021,32,0.705,0.691,71.6,63.7,8.5,,8.2,,15.6,,14.4,,7299,,9654,
103,Turkmenistan,..,..,..,..,69.8,61.4,..,,..,,..,,..,,7714,,15479,
106,Samoa,0.948,81,0.670,0.707,76.5,70.2,10.3,,10.3,,13.3,k,12.5,k,2868,,6436,
107,"Palestine, State of",0.974,41,0.612,0.628,75,71.5,8.4,i,9.3,i,14,,12.5,,1651,,8580,
108,Indonesia,0.923,98,0.654,0.709,72.9,68.8,6.9,,8.1,,12.8,,12.7,,5873,,12030,
109,Botswana,0.964,58,0.669,0.694,66.8,62.1,8.7,,9,,11.7,,11.6,,11491,,18054,
110,Egypt,0.855,125,0.617,0.722,73.6,68.8,5.3,,7.5,,12.7,,13.3,,4225,,16522,
111,Paraguay,0.966,54,0.664,0.687,74.6,70.1,7.5,,7.9,,12.2,,11.7,,5984,,9150,
112,Gabon,..,..,..,..,64.5,62.4,8.4,,6.4,,..,,..,,14003,,19919,
113,Bolivia (Plurinational State of),0.931,93,0.642,0.690,69.5,65.1,8.4,g,10,g,12.9,,13.4,,4406,,6701,
114,Moldova (Republic of),0.990,14,0.659,0.666,72.8,65,9.6,g,10,g,12.1,,11.6,,4196,,5979,
115,El Salvador,0.965,56,0.648,0.672,77.1,67.8,6.1,,6.9,,12,,12.3,,5383,,9302,
116,Uzbekistan,0.945,82,0.637,0.674,71.7,65,9.5,j,9.9,j,11.3,,11.7,,3579,,6893,
117,Philippines,0.989,17,0.652,0.659,72.2,65.4,8.8,d,8.5,d,11.5,,11.1,,4987,,7771,
118,South Africa,..,..,..,..,58.8,54.7,9.8,,10.1,,..,,..,,8539,,15233,
118,Syrian Arab Republic,0.851,127,0.588,0.691,77.8,71.8,6.1,,7.1,,12,,12.1,,1922,,9478,
120,Iraq,0.802,137,0.556,0.693,73.2,65.9,4.4,,6.7,,8.7,,11.4,,4246,,23555,
121,Guyana,0.985,25,0.629,0.638,68.9,63.6,9,g,8.1,g,11.7,,9.9,,3993,,8613,
121,Viet Nam,..,..,..,..,80.5,71.3,5.2,,5.7,,..,,..,,4147,,5655,
123,Cape Verde,..,..,..,..,78.8,71.1,..,,..,,13.6,,12.9,,4266,,8480,
124,Micronesia (Federated States of),..,..,..,..,69.9,68,5.6,,9.2,,..,,..,,..,,..,
125,Guatemala,0.910,104,0.596,0.655,75.6,68.5,5,,6.4,,10.3,,11.1,,4456,,9397,
125,Kyrgyzstan,0.976,39,0.618,0.633,71.9,63.4,9.3,g,9.3,g,12.7,,12.3,,2228,,3837,
127,Namibia,0.978,36,0.616,0.631,67.1,61.7,6.3,,6.1,,11.4,,11.3,,7288,,11196,
128,Timor-Leste,0.875,122,0.574,0.656,69.1,66,3.6,l,5.3,l,11.3,,12,,5634,,13582,
129,Honduras,0.929,95,0.590,0.634,76.2,71.5,5.3,,5.7,,12.1,,11.2,,2474,,5800,
129,Morocco,0.828,132,0.545,0.658,72.7,69.1,3.2,,5.6,,10.6,,11.6,,3215,,10692,
131,Vanuatu,0.900,110,0.581,0.646,73.8,69.7,8,,10,,10.2,,10.9,,2022,,3264,
132,Nicaragua,0.912,102,0.583,0.639,77.9,71.8,4.8,,6.7,,10.8,,10.3,,2821,,5743,
133,Kiribati,..,..,..,..,71.8,66.1,..,,..,,12.7,,11.9,,..,,..,
133,Tajikistan,0.952,77,0.591,0.621,70.8,64.1,10,g,9.7,g,10.4,,12,,1939,,2906,
135,India,0.828,132,0.519,0.627,68.3,64.7,3.2,,5.6,,11.3,,11.8,,2277,,7833,
136,Bhutan,..,..,..,..,68.7,68,..,,..,,12.5,,12.3,,5419,,7942,
136,Cambodia,0.909,105,0.533,0.587,74.5,69.1,3.2,g,5,g,10.3,,11.5,,2410,,3220,
138,Ghana,0.884,118,0.537,0.607,62.1,60.2,5.9,,8.1,,10.9,,12.1,,2937,,4138,
139,Lao People's Democratic Republic,0.897,112,0.537,0.599,69.7,66.9,3.8,,5.4,,9.5,,10.8,,3806,,4902,
140,Congo,0.928,96,0.543,0.585,60.2,57.4,5.5,,6.7,,10.9,,11.3,,4222,,5597,
141,Zambia,0.913,101,0.534,0.585,60,56.3,5.8,,7.2,,13,,13.9,,2344,,3455,
142,Bangladesh,0.908,107,0.528,0.582,71.5,69.9,4.6,,5.6,,10.3,,9.7,,1928,,3480,
142,Sao Tome and Principe,0.894,115,0.524,0.586,68.3,64.3,4,l,5.5,l,11.4,,11.2,,2001,,4248,
144,Equatorial Guinea,..,..,..,..,54.6,51.7,..,,..,,6.9,,10,,17769,,25977,
,Low human development,0.834,—,0.446,0.535,60.5,58.2,3.1,,5.1,,8.3,,9.8,,2011,,3789,
145,Nepal,0.912,102,0.514,0.564,69.6,67.3,2.4,,4.2,,12.5,,12.2,,1857,,2554,
146,Pakistan,0.750,145,0.447,0.596,67.5,65.7,3.3,,6.1,,6.9,,8.4,,1707,,7439,
147,Kenya,0.908,107,0.508,0.560,63.6,59.8,5.4,g,7.1,g,10.7,,11.3,,1763,,2554,
148,Swaziland,0.877,121,0.493,0.562,48.3,49.6,7.4,,6.8,,10.9,,11.8,,3738,,7384,
149,Angola,..,..,..,..,53.4,50.4,..,,..,,8.7,,14,,5080,,7587,
150,Myanmar,..,..,..,..,67.2,63.1,4.1,,3.8,,..,,..,,3362,,4673,
151,Rwanda,0.950,80,0.463,0.487,65.7,62.4,3.1,,3.6,,10.3,,10.2,,1263,,1550,
152,Cameroon,0.872,123,0.468,0.537,56.2,53.9,5.1,,6.7,,9.5,,11.2,,2062,,3052,
152,Nigeria,0.839,131,0.458,0.546,52.8,52.2,4.2,l,6.3,l,8.2,,9.8,,4068,,6594,
154,Yemen,0.738,146,0.415,0.562,64.5,61.8,1.2,,3.8,,7.7,,10.6,,1775,,6080,
155,Madagascar,0.917,99,0.476,0.519,66.2,63.2,4.8,k,5.6,k,10.2,,10.5,,1102,,1566,
156,Zimbabwe,0.909,105,0.468,0.515,60.8,58.8,6.7,g,7.8,g,9.1,,9.5,,1124,,1496,
157,Papua New Guinea,..,..,..,..,64.6,60.4,3.2,,8.4,,..,,..,,2140,,2754,
157,Solomon Islands,..,..,..,..,69.2,66.3,..,,..,,8.8,,9.7,,940,,1816,
159,Comoros,..,..,..,..,62.3,59.5,..,,..,,12.3,,13.2,,798,,2201,
159,Tanzania (United Republic of),0.916,100,0.466,0.509,62.9,60.2,4.5,,5.8,,9,,9.3,,1501,,1903,
161,Mauritania,0.801,138,0.425,0.530,63.1,60,2.6,,4.9,,8.1,,8.3,,1362,,4592,
162,Lesotho,0.973,43,0.474,0.488,49.5,49.2,6.8,d,4.6,d,11.6,,10.6,,2217,,3395,
163,Senegal,0.864,124,0.449,0.520,64.9,61.9,3.4,g,5.6,g,7.8,,8.1,,1642,,2717,
164,Uganda,0.896,114,0.456,0.509,60.4,58,4.3,,6.4,,10.6,,10.9,,1167,,1502,
165,Benin,0.822,134,0.428,0.520,60.7,57.9,2,,4.4,,9.4,,12.7,,1455,,1999,
166,Sudan,..,..,..,..,63.9,60.3,2.5,,3.8,,..,,..,,1692,,5153,
166,Togo,0.803,136,0.401,0.499,57.4,55.6,3.3,,6.7,,8.5,,11.9,,998,,1263,
168,Haiti,..,..,..,..,65,61.2,3.2,,6.7,,..,,..,,1349,,1930,
169,Afghanistan,0.602,148,0.330,0.549,62.2,59.7,1.2,,5.1,,7.2,,11.3,,503,,3265,
170,Djibouti,..,..,..,..,63.4,60.2,..,,..,,5.9,,6.9,,1907,,4300,
171,Côte d'Ivoire,..,..,..,..,51.6,50,3.1,,5.4,,..,,..,,1866,,3648,
172,Gambia,..,..,..,..,60.2,57.5,2,,3.6,,..,,..,,1309,,1811,
173,Ethiopia,0.853,126,0.401,0.470,65.3,62,1.4,l,3.6,l,8,,9,,1090,,1515,
174,Malawi,0.891,116,0.389,0.437,55.4,55.1,3.4,g,5.1,g,10.8,,10.7,,652,,777,
175,Liberia,0.786,140,0.379,0.482,61.5,59.6,2.3,,5.6,,8.9,,12.4,,634,,868,
176,Mali,0.771,143,0.350,0.455,54.9,55.1,1.4,d,2.6,d,7.6,,9.6,,914,,2076,
177,Guinea-Bissau,..,..,..,..,55.8,52.8,1.4,j,3.4,j,..,,..,,907,,1275,
178,Mozambique,0.879,120,0.343,0.391,51,49.3,0.8,l,1.7,l,8.9,,10.1,,939,,1086,
179,Guinea,0.785,141,0.344,0.439,56.9,55.3,0.8,l,2.6,l,7.4,,10.1,,913,,1370,
180,Burundi,0.904,109,0.370,0.410,56.1,52.2,2.2,,3.3,,9.6,,10.7,,685,,815,
181,Burkina Faso,0.924,97,0.376,0.407,56.9,55.7,1.9,j,1.1,j,7,,8,,1335,,1871,
182,Eritrea,..,..,..,..,65.2,60.5,..,,..,,3.7,,4.6,,986,,1309,
183,Sierra Leone,0.799,139,0.329,0.412,45.8,45.3,2,,3.8,,6.1,,8.4,,1617,,2016,
184,Chad,0.762,144,0.319,0.419,52.1,50.3,0.6,,2.3,,5.9,,8.9,,1289,,1953,
185,Central African Republic,0.776,142,0.296,0.382,52.1,48.3,2.3,,4.9,,5.9,,8.6,,482,,698,
186,Congo (Democratic Republic of the),0.822,134,0.304,0.369,51.8,48.2,2.1,,4.1,,8.4,,10.9,,390,,499,
187,Niger,0.714,147,0.275,0.385,58.6,58.3,0.8,,2.1,,4.8,,6.1,,471,,1268,
,Korea (Democratic People's Rep. of),..,..,..,..,73.4,66.4,..,,..,,..,,..,,..,,..,
,Marshall Islands,..,..,..,..,..,..,..,,..,,12,,11.4,,..,,..,
,Monaco,..,..,..,..,..,..,..,,..,,..,,..,,..,,..,
,Nauru,..,..,..,..,..,..,..,,..,,9.9,,8.9,,..,,..,
,San Marino,..,..,..,..,..,..,..,,..,,15.9,,14.7,,..,,..,
,Somalia,..,..,..,..,56.7,53.4,..,,..,,..,,..,,..,,..,
,South Sudan,..,..,..,..,56.3,54.2,..,,..,,..,,..,,..,,..,
,Tuvalu,..,..,..,..,..,..,..,,..,,11.4,,10.3,,..,,..,
,Arab States,0.866,—,0.626,0.722,72.2,68.4,4.9,,6.7,,12.1,,12.8,,6991,,23169,
,East Asia and the Pacific,0.943,—,0.682,0.724,75.8,72.3,6.8,,7.9,,12.8,,12.6,,8154,,12488,
,Europe and Central Asia,0.938,—,0.705,0.752,75.4,67.3,8.8,,9.8,,13.4,,13.8,,7287,,17867,
,Latin America and the Caribbean,0.963,—,0.716,0.744,78,71.8,7.7,,8,,13.6,,13,,8962,,18732,
,South Asia,0.830,—,0.522,0.629,68.9,65.7,3.5,,5.8,,10.8,,11.4,,2384,,7852,
,Sub-Saharan Africa,0.867,—,0.460,0.531,58,55.6,3.7,,5.4,,8.8,,10.1,,2492,,3812,
,Least developed countries,0.859,—,0.447,0.520,62.8,60.3,2.9,,4.5,,9,,10.1,,1576,,2629,
,Small island developing states,..,—,..,..,72.4,67.7,..,,..,,13.5,,12.8,,6993,,12017,
,World,0.920,—,0.655,0.712,73,68.8,6,,7.4,,12,,12.3,,8956,,18277,
