Country,Population in multidimensional poverty: Multidimensional Poverty Index Year/ Survey,Note 1,Population in multidimensional poverty: Multidimensional Poverty Index Value,Note 2,Population in multidimensional poverty: Headcount (%),Note 3,Population in multidimensional poverty: Headcount  ('000),Note 4,Population in multidimensional poverty: Intensity of deprivation (%),Note 5,Population near multidimensional  poverty (%),Note 6,Population in severe poverty (%),Note 7,Contribution of deprivation to overall poverty (%): Education,Note 8,Contribution of deprivation to overall poverty (%): Health ,Note 9,Contribution of deprivation to overall poverty (%): Living Standards
Suriname,2006 M,,0.044,,9.2,,46,,47.4,,6.3,,3.6,,36.7,,21.1,,42.2
Tajikistan,2012 D,,0.031,,7.9,,629,,39,,23.4,,1.2,,13.4,,52.6,,34
Tajikistan,2005 M,,0.059,,14.7,,1002,,39.8,,18.6,,2.3,,11,,57.3,,31.7
The former Yugoslav Republic of Macedonia,2011 M,,0.007,d,1.7,d,36,d,38.4,d,2.4,d,0.1,d,18.5,d,57.2,d,24.3
The former Yugoslav Republic of Macedonia,2005 M,,0.013,,3,,64,,42.2,,7.1,,0.7,,50.7,,22.3,,27
Togo,2010 M,,0.26,,50.9,,3207,,51.2,,20.3,,26.4,,28.9,,25,,46.1
Togo,2006 M,,0.277,,53.1,,3021,,52.2,,20.3,,28.8,,31.4,,23.2,,45.4
Uganda,2011 D,,0.359,,70.3,,24712,,51.1,,20.6,,33.3,,18,,30.2,,51.9
Uganda,2006 D,,0.399,,74.5,,22131,,53.6,,18.2,,41.5,,17.1,,30.4,,52.5
Zimbabwe,2010/2011 D,,0.181,,41,,5482,,44.1,,24.9,,12.2,,7.8,,37.9,,54.3
Zimbabwe,2006 D,,0.193,,42.4,,5399,,45.4,,22.8,,15.7,,11.5,,29.6,,58.9
