HDI rank,Country,2013 Human Development Index (HDI) Value ,2013 Inequality-adjusted HDI (IHDI) Value,2013 Inequality-adjusted HDI (IHDI) Overall loss (%),2013 Inequality-adjusted HDI (IHDI) Difference from HDI rank,Note b,2013 Coefficient of human inequality Value,2013 Inequality in life expectancy %,2013 Inequality adjusted life expectancy index value,2013 Inequality in education %,Note c,2013 Inequality-adjusted education index value,2013 Inequality in income %,Notes a and c,2013 Inequality-adjusted income index value,2003-2012 Income inequality Quintile ratio,2003-2012 Income inequality Palma ratio,2003-2012 Income inequality Gini coefficient
57,Russian Federation,0.778,0.685,12.0,3,,11.6,9.8,0.666,2.1,,0.764,22.9,,0.631,7.3,1.9,40.1
58,Bulgaria,0.777,0.692,11.0,5,,10.8,7.9,0.759,5.8,,0.706,18.8,,0.618,4.3,1.0,28.2
59,Barbados,0.776,..,..,..,,..,8.1,0.783,..,,..,..,,..,..,..,..
60,Palau,0.775,..,..,..,,..,..,..,12.0,,0.692,23.0,,0.565,..,..,..
61,Antigua and Barbuda,0.774,..,..,..,,..,8,0.792,..,,..,..,,..,..,..,..
62,Malaysia,0.773,..,..,..,,..,4.9,0.805,..,,..,..,,..,11.3,2.6,46.2
63,Mauritius,0.771,0.662,14.2,-2,,14.1,9.2,0.749,13.2,,0.623,19.8,,0.621,..,..,..
64,Trinidad and Tobago,0.766,0.649,15.2,-6,,15.0,16.4,0.641,6.6,,0.654,21.9,,0.653,..,..,..
65,Lebanon,0.765,0.606,20.8,-17,,20.3,6.7,0.861,24.1,,0.479,30.0,,0.538,..,..,..
65,Panama,0.765,0.596,22.1,-18,,21.4,12.1,0.778,16.3,,0.550,35.8,,0.494,17.1,3.6,51.9
67,Venezuela (Bolivarian Republic of),0.764,0.613,19.7,-10,,19.4,12.2,0.738,17.6,,0.562,28.4,,0.556,11.5,2.4,44.8
68,Costa Rica,0.763,0.611,19.9,-11,,19.1,7.3,0.855,15.7,,0.551,34.3,,0.483,14.5,3.3,50.7
69,Turkey,0.759,0.639,15.8,-3,,15.6,11,0.757,14.1,,0.560,21.8,,0.616,8.3,1.9,40.0
70,Kazakhstan,0.757,0.667,11.9,9,,11.8,16.7,0.596,5.9,,0.717,12.7,,0.695,4.2,1.1,29.0
71,Mexico,0.756,0.583,22.9,-13,,22.3,10.9,0.788,21.4,,0.501,34.6,,0.500,10.7,2.7,47.2
71,Seychelles,0.756,..,..,..,,..,7.9,0.754,..,,..,..,,..,18.8,6.4,65.8
73,Saint Kitts and Nevis,0.75,..,..,..,,..,..,..,..,,..,..,,..,..,..,..
73,Sri Lanka,0.75,0.643,14.3,1,,14.2,8.3,0.766,14.6,,0.630,19.6,,0.550,5.8,1.6,36.4
75,Iran (Islamic Republic of),0.749,0.498,33.6,-34,,32.1,12.5,0.728,37.3,,0.429,46.6,,0.395,7.0,1.7,38.3
76,Azerbaijan,0.747,0.659,11.8,7,,11.5,21.7,0.611,8.3,,0.642,4.5,,0.730,5.3,1.4,33.7
77,Jordan,0.745,0.607,18.6,-5,,18.5,11.9,0.73,22.4,,0.543,21.1,,0.564,5.7,1.5,35.4
77,Serbia,0.745,0.663,10.9,12,,10.9,8.5,0.761,10.7,,0.621,13.5,,0.618,4.6,1.1,29.6
79,Brazil,0.744,0.542,27.0,-16,,26.3,14.5,0.709,24.7,,0.498,39.7,,0.452,20.6,4.3,54.7
79,Georgia,0.744,0.636,14.5,4,,14.0,12.9,0.728,3.3,,0.745,25.9,,0.474,9.5,2.1,42.1
79,Grenada,0.744,..,..,..,,..,8.4,0.744,..,,..,..,,..,..,..,..
82,Peru,0.737,0.562,23.7,-9,,23.4,13.9,0.726,25.6,,0.494,30.6,,0.495,13.5,2.9,48.1
83,Ukraine,0.734,0.667,9.2,18,,9.1,10.4,0.669,6.1,,0.747,10.9,,0.593,3.6,0.9,25.6
84,Belize,0.732,..,..,..,,..,11.4,0.734,..,,..,37.9,,0.426,17.6,..,53.1
84,The former Yugoslav Republic of Macedonia,0.732,0.633,13.6,7,,13.3,7.6,0.785,10.6,,0.574,21.8,,0.563,10.0,2.3,43.6
86,Bosnia and Herzegovina,0.731,0.653,10.6,13,,10.4,6.7,0.809,5.2,,0.621,19.2,,0.555,6.5,1.5,36.2
87,Armenia,0.73,0.655,10.4,15,,10.2,12.7,0.733,3.7,,0.675,14.3,,0.567,4.6,1.2,31.3
88,Fiji,0.724,0.613,15.3,6,,15.1,12.3,0.672,10.5,,0.686,22.6,,0.500,8.0,2.2,42.8
89,Thailand,0.722,0.573,20.7,-2,,20.0,9.8,0.755,16.1,,0.510,34.0,,0.488,6.9,1.8,39.4
90,Tunisia,0.721,..,..,..,,..,10.6,0.768,..,,..,..,,..,6.4,1.5,36.1
91,China,0.719,..,..,..,,..,9.8,0.768,..,,..,29.5,,0.505,10.1,2.1,42.1
91,Saint Vincent and the Grenadines,0.719,..,..,..,,..,12.9,0.703,..,,..,..,,..,..,..,..
93,Algeria,0.717,..,..,..,,..,16.7,0.654,..,,..,..,,..,..,..,..
93,Dominica,0.717,..,..,..,,..,..,..,..,,..,..,,..,..,..,..
95,Albania,0.716,0.620,13.4,11,,13.4,9.9,0.796,11.9,,0.536,18.3,,0.558,5.3,1.4,34.5
96,Jamaica,0.715,0.579,19.0,1,,18.6,15,0.7,10.6,,0.598,30.1,,0.465,9.6,..,45.5
97,Saint Lucia,0.714,..,..,..,,..,9.9,0.76,..,,..,..,,..,..,..,..
98,Colombia,0.711,0.521,26.7,-10,,25.7,13.5,0.719,22.1,,0.469,41.5,,0.420,20.1,4.5,55.9
98,Ecuador,0.711,0.549,22.7,-3,,22.4,13.4,0.752,21.6,,0.466,32.1,,0.472,12.5,3.1,49.3
100,Suriname,0.705,0.534,24.2,-6,,23.5,13.6,0.678,19.5,,0.474,37.3,,0.475,17.9,..,52.9
100,Tonga,0.705,..,..,..,,..,13.7,0.699,..,,..,..,,..,..,..,..
102,Dominican Republic,0.7,0.535,23.6,-4,,23.4,16.9,0.683,24.0,,0.449,29.3,,0.500,11.3,2.7,47.2
,Medium human development,0.614,0.457,25.6,—,,25.2,21.9,0.575,35.1,,0.331,18.6,,0.502,—,—,—
103,Maldives,0.698,0.521,25.4,-7,,24.2,8.1,0.819,41.2,,0.322,23.2,,0.535,6.8,..,37.4
103,Mongolia,0.698,0.618,11.5,16,,11.4,16.6,0.61,5.2,,0.658,12.3,,0.588,6.2,1.6,36.5
103,Turkmenistan,0.698,..,..,..,,..,26,0.517,..,,..,..,,..,..,..,..
106,Samoa,0.694,..,..,..,,..,13.3,0.709,..,,..,..,,..,..,..,..
107,"Palestine, State of",0.686,0.606,11.7,13,,11.7,13.1,0.711,6.9,,0.617,15.0,,0.507,5.8,1.5,35.5
108,Indonesia,0.684,0.553,19.2,5,,19.1,16.4,0.654,23.2,,0.463,17.7,,0.559,6.3,1.7,38.1
109,Botswana,0.683,0.422,38.2,-21,,36.5,21.9,0.533,32.1,,0.420,55.5,,0.336,..,..,..
110,Egypt,0.682,0.518,24.0,-5,,22.8,13.4,0.682,40.9,,0.339,14.2,,0.602,4.4,1.2,30.8
111,Paraguay,0.676,0.513,24.1,-5,,23.7,19.2,0.65,17.2,,0.486,34.6,,0.428,17.3,3.7,52.4
112,Gabon,0.674,0.512,24.0,-5,,24.0,28,0.482,23.5,,0.451,20.4,,0.617,7.8,2.0,41.5
113,Bolivia (Plurinational State of),0.667,0.470,29.6,-10,,29.4,24.5,0.549,27.6,,0.488,36.1,,0.388,27.8,4.8,56.3
114,Moldova (Republic of),0.663,0.582,12.2,16,,12.0,11,0.67,6.1,,0.614,18.9,,0.480,5.3,1.3,33.0
115,El Salvador,0.662,0.485,26.7,-7,,26.2,14.5,0.692,30.2,,0.386,34.0,,0.427,14.3,3.0,48.3
116,Uzbekistan,0.661,0.556,15.8,14,,15.3,24.3,0.562,1.4,,0.642,20.1,,0.478,6.2,1.6,36.7
117,Philippines,0.66,0.540,18.1,10,,18.0,15.2,0.635,13.5,,0.528,25.2,,0.470,8.3,2.2,43.0
118,South Africa,0.658,..,..,..,,..,25.7,0.422,18.1,,0.569,..,,..,25.3,7.1,63.1
118,Syrian Arab Republic,0.658,0.518,21.2,4,,20.8,12.6,0.734,31.5,,0.379,18.3,,0.500,5.7,..,35.8
120,Iraq,0.642,0.505,21.4,0,,21.2,17.6,0.626,29.8,,0.328,16.1,,0.626,4.6,1.2,30.9
121,Guyana,0.638,0.522,18.2,10,,18.0,19.2,0.575,10.5,,0.521,24.4,,0.474,..,..,..
121,Viet Nam,0.638,0.543,14.9,15,,14.9,12.1,0.757,18.0,,0.421,14.6,,0.502,5.9,1.5,35.6
123,Cape Verde,0.636,0.511,19.7,4,,19.4,12,0.746,18.2,,0.395,28.0,,0.452,..,..,50.5
124,Micronesia (Federated States of),0.63,..,..,..,,..,19.8,0.604,..,,..,63.1,,0.201,..,..,61.1
125,Guatemala,0.628,0.422,32.8,-8,,32.0,17.4,0.662,36.1,,0.309,42.5,,0.367,19.6,4.5,55.9
125,Kyrgyzstan,0.628,0.519,17.2,10,,16.9,20,0.585,6.6,,0.613,24.1,,0.391,5.4,1.3,33.4
127,Namibia,0.624,0.352,43.6,-22,,39.3,21.7,0.536,27.8,,0.376,68.3,,0.216,21.8,..,63.9
128,Timor-Leste,0.62,0.430,30.7,-3,,29.4,22.8,0.565,47.6,,0.248,17.8,,0.568,..,..,..
129,Honduras,0.617,0.418,32.2,-6,,31.1,17,0.687,29.6,,0.356,46.8,,0.299,29.7,5.2,57.0
129,Morocco,0.617,0.433,29.7,0,,28.5,16.8,0.652,45.8,,0.254,23.0,,0.493,7.3,2.0,40.9
131,Vanuatu,0.616,..,..,..,,..,15.4,0.672,..,,..,18.5,,0.404,..,..,..
132,Nicaragua,0.614,0.452,26.4,4,,25.8,13.2,0.732,33.3,,0.323,31.0,,0.391,7.6,1.9,40.5
133,Kiribati,0.607,0.416,31.5,-4,,30.1,20.6,0.597,21.4,,0.473,48.4,,0.255,..,..,..
133,Tajikistan,0.607,0.491,19.2,9,,18.8,29.3,0.514,12.2,,0.561,15.0,,0.409,4.7,1.2,30.8
135,India,0.586,0.418,28.6,0,,27.7,25,0.536,42.1,,0.274,16.1,,0.500,5.0,1.4,33.9
136,Bhutan,0.584,0.465,20.4,9,,20.2,22.2,0.578,13.3,,0.365,25.1,,0.477,6.8,1.7,38.1
136,Cambodia,0.584,0.440,24.7,7,,24.6,25.3,0.597,28.3,,0.355,20.3,,0.401,5.6,1.5,36.0
138,Ghana,0.573,0.394,31.3,-1,,31.2,30.8,0.438,35.6,,0.356,27.2,,0.392,9.3,2.2,42.8
139,Lao People's Democratic Republic,0.569,0.430,24.5,8,,24.1,21.5,0.583,34.1,,0.287,16.8,,0.474,5.9,1.6,36.7
140,Congo,0.564,0.391,30.7,0,,30.6,36,0.382,25.4,,0.381,30.3,,0.410,10.7,2.8,47.3
141,Zambia,0.561,0.365,35.0,-4,,34.5,37.2,0.368,23.8,,0.451,42.6,,0.292,17.4,4.8,57.5
142,Bangladesh,0.558,0.396,29.1,4,,28.7,20.1,0.623,37.8,,0.278,28.3,,0.357,4.7,1.3,32.1
142,Sao Tome and Principe,0.558,0.384,31.2,0,,30.4,26.9,0.521,20.0,,0.375,44.2,,0.290,..,..,50.8
144,Equatorial Guinea,0.556,..,..,..,,..,44.4,0.283,..,,..,..,,..,..,..,..
,Low human development,0.493,0.332,32.6,—,,32.4,35,0.394,38.2,,0.241,23.9,,0.387,—,—,—
145,Nepal,0.54,0.384,28.8,3,,27.8,21.1,0.588,44.0,,0.253,18.3,,0.381,5.0,1.3,32.8
146,Pakistan,0.537,0.375,30.1,2,,28.7,29.9,0.502,45.2,,0.204,11.0,,0.516,4.2,1.2,30.0
147,Kenya,0.535,0.360,32.8,0,,32.7,31.5,0.44,30.7,,0.357,36.0,,0.297,11.0,2.8,47.7
148,Swaziland,0.53,0.354,33.3,-2,,33.1,35,0.29,26.8,,0.404,37.6,,0.378,14.0,3.5,51.5
149,Angola,0.526,0.295,44.0,-17,,43.6,46.2,0.264,34.6,,0.310,50.0,,0.313,9.0,2.2,42.7
150,Myanmar,0.524,..,..,..,,..,27.1,0.507,19.4,,0.299,..,,..,..,..,..
151,Rwanda,0.506,0.338,33.2,-4,,33.1,30.2,0.473,29.4,,0.338,39.6,,0.241,11.0,3.2,50.8
152,Cameroon,0.504,0.339,32.8,-2,,32.4,39.4,0.327,34.8,,0.317,23.1,,0.377,6.9,1.8,38.9
152,Nigeria,0.504,0.300,40.3,-14,,40.2,40.8,0.296,45.2,,0.233,34.5,,0.394,12.2,3.0,48.8
154,Yemen,0.5,0.336,32.8,-2,,31.7,30.3,0.462,47.2,,0.179,17.6,,0.457,6.3,1.7,37.7
155,Madagascar,0.498,0.346,30.5,2,,30.3,24.8,0.517,30.1,,0.320,36.1,,0.250,9.3,2.3,44.1
156,Zimbabwe,0.492,0.358,27.2,7,,26.8,26.8,0.449,17.8,,0.411,35.8,,0.249,..,..,..
157,Papua New Guinea,0.491,..,..,..,,..,26.5,0.48,11.5,,0.333,..,,..,..,..,..
157,Solomon Islands,0.491,0.374,23.8,11,,23.8,22.3,0.57,22.8,,0.313,26.3,,0.293,..,..,..
159,Comoros,0.488,..,..,..,,..,34.2,0.414,47.4,,0.237,..,,..,26.7,..,64.3
159,Tanzania (United Republic of),0.488,0.356,27.1,8,,26.9,30.4,0.445,29.5,,0.300,20.9,,0.339,6.6,1.7,37.6
161,Mauritania,0.487,0.315,35.3,-2,,34.6,36.6,0.405,45.9,,0.191,21.2,,0.404,7.8,1.9,40.5
162,Lesotho,0.486,0.313,35.6,-2,,34.9,33.5,0.301,24.3,,0.382,47.0,,0.267,19.0,3.9,52.5
163,Senegal,0.485,0.326,32.9,3,,32.3,29.5,0.471,44.6,,0.204,22.7,,0.359,7.7,1.9,40.3
164,Uganda,0.484,0.335,30.8,5,,30.8,33.8,0.399,31.2,,0.329,27.3,,0.285,8.7,2.3,44.3
165,Benin,0.476,0.311,34.6,0,,34.2,37,0.381,42.0,,0.240,23.6,,0.329,6.6,1.8,38.6
166,Sudan,0.473,..,..,..,,..,32.8,0.435,..,,..,..,,..,6.2,1.4,35.3
166,Togo,0.473,0.317,32.9,4,,32.6,36.8,0.355,37.6,,0.321,23.5,,0.280,7.6,1.8,39.3
168,Haiti,0.471,0.285,39.5,-3,,38.9,27.9,0.478,40.4,,0.223,48.4,,0.218,..,..,59.2
169,Afghanistan,0.468,0.321,31.4,7,,30.0,34.3,0.414,45.0,,0.201,10.8,,0.397,4.0,1.0,27.8
170,Djibouti,0.467,0.306,34.6,2,,33.7,32.5,0.434,47.0,,0.162,21.7,,0.406,..,..,40.0
171,Côte d'Ivoire,0.452,0.279,38.3,-2,,37.9,40.2,0.283,45.4,,0.213,28.1,,0.361,8.5,2.0,41.5
172,Gambia,0.441,..,..,..,,..,34.8,0.389,..,,..,26.9,,0.303,11.0,2.8,47.3
173,Ethiopia,0.435,0.307,29.4,5,,28.0,30.2,0.469,44.3,,0.176,9.5,,0.351,5.3,1.4,33.6
174,Malawi,0.414,0.282,31.9,1,,31.6,40,0.326,30.2,,0.307,24.6,,0.224,8.9,2.3,43.9
175,Liberia,0.412,0.273,33.8,-1,,32.8,33.1,0.417,46.4,,0.197,19.0,,0.247,7.0,1.7,38.2
176,Mali,0.407,..,..,..,,..,45.6,0.293,36.9,,0.193,..,,..,5.2,1.3,33.0
177,Guinea-Bissau,0.396,0.239,39.6,-4,,39.4,45.3,0.289,40.3,,0.194,32.5,,0.244,..,..,35.5
178,Mozambique,0.393,0.277,29.5,2,,28.9,40.2,0.278,18.2,,0.304,28.4,,0.250,9.8,2.5,45.7
179,Guinea,0.392,0.243,38.0,-1,,37.8,40.3,0.332,42.0,,0.171,31.1,,0.253,7.3,1.8,39.4
180,Burundi,0.389,0.257,33.9,2,,32.6,43.6,0.296,41.0,,0.218,13.2,,0.264,4.8,1.3,33.3
181,Burkina Faso,0.388,0.252,35.0,2,,34.6,41.1,0.329,38.5,,0.154,24.2,,0.318,7.0,1.9,39.8
182,Eritrea,0.381,..,..,..,,..,24.7,0.496,..,,..,..,,..,..,..,..
183,Sierra Leone,0.374,0.208,44.3,-3,,43.6,51.2,0.192,48.7,,0.156,31.0,,0.302,5.6,1.5,35.4
184,Chad,0.372,0.232,37.8,1,,36.8,46.1,0.259,43.4,,0.145,21.0,,0.332,7.4,1.8,39.8
185,Central African Republic,0.341,0.203,40.4,-2,,39.9,45.7,0.252,45.9,,0.172,28.1,,0.192,18.0,4.5,56.3
186,Congo (Democratic Republic of the),0.338,0.211,37.6,1,,36.8,49.9,0.231,29.4,,0.262,31.2,,0.155,9.3,2.4,44.4
187,Niger,0.337,0.228,32.4,3,,31.8,37.9,0.367,39.5,,0.120,17.9,,0.269,5.3,1.4,34.6
,Korea (Democratic People's Rep. of),..,..,..,..,,..,15.4,0.651,..,,..,..,,..,..,..,..
,Marshall Islands,..,..,..,..,,..,..,..,..,,..,..,,..,70.0,..,..
,Monaco,..,..,..,..,,..,..,..,..,,..,..,,..,..,..,..
,Nauru,..,..,..,..,,..,..,..,..,,..,..,,..,..,..,..
,San Marino,..,..,..,..,,..,..,..,..,,..,..,,..,..,..,..
,Somalia,..,..,..,..,,..,42.1,0.312,..,,..,..,,..,..,..,..
,South Sudan,..,..,..,..,,..,40.8,0.321,..,,..,..,,..,..,..,45.5
,Tuvalu,..,..,..,..,,..,..,..,10.5,,..,..,,..,..,..,..
,Arab States,0.682,0.512,24.9,—,,24.2,17.4,0.639,38.0,,0.334,17.3,,0.629,—,—,—
,East Asia and the Pacific,0.703,0.564,19.7,—,,19.5,11.7,0.734,19.7,,0.477,27.0,,0.513,—,—,—
,Europe and Central Asia,0.738,0.639,13.3,—,,13.2,14.2,0.676,8.6,,0.639,16.9,,0.605,—,—,—
,Latin America and the Caribbean,0.74,0.559,24.5,—,,23.9,13.2,0.733,22.2,,0.502,36.3,,0.474,—,—,—
,South Asia,0.588,0.419,28.7,—,,28.0,24.4,0.549,41.6,,0.274,18.0,,0.489,—,—,—
,Sub-Saharan Africa,0.502,0.334,33.6,—,,33.5,36.6,0.359,35.7,,0.276,28.1,,0.375,—,—,—
,Least developed countries,0.487,0.336,31.0,—,,30.9,32.3,0.433,35.6,,0.253,24.7,,0.348,—,—,—
,Small island developing states,0.665,0.497,25.3,—,,24.9,18.5,0.626,22.1,,0.433,34.2,,0.452,—,—,—
,World,0.702,0.541,22.9,—,,22.8,17.3,0.647,27.0,,0.433,24.1,,0.564,—,—,—
