HDI rank,Country,Vulnerable groups: Refugees by country of origin (thousands) 2012,Note 1,Vulnerable groups: Internally displaced persons (thousands) 2012,Note 2,Vulnerable groups: Homeless persons (% of population) 2009,Note 3,Vulnerable groups: Orphane children due to all causes (thousands) 2012,Note 4,"Vulnerable groups: Prison population per 100,000 people: 2002-2013",Note 5: c,Vulnerable groups: Long-term unemployment (% of labour force) 2005-2012,Note 6: c,Depth of food deficit (kcal/caput/day)2011/2013,Note 7,"Homicide rate (per 100,000) 2008-2011",Note 8,Attitutdes (Justification of wife beating (% of females ages 15-49) 2005-2012,Note 9: c,Attitutdes (Justification of wife beating (% of males ages 15-49) 2005-2012,Note 10: c
118,Syrian Arab Republic,728.2,,6500,,0.0,,..,,58,,..,,38,,2.3,,..,,..,
118,South Africa,0.4,,..,,0.1,,"4,000",,294,,8.1,,13,,30.9,,..,,..,
120,Iraq,746.4,t,2100,,0.0,,..,,110,,..,,217,,2,,51.2,,..,
121,Guyana,0.8,,..,,1.4,,..,,260,,..,,33,,17.2,,16.3,,19.3,
121,Viet Nam,336.9,u,..,,2.0,,..,,145,p,..,,63,,1.6,,35.8,,..,
123,Cape Verde,0,,..,,1.1,,..,,267,,..,,66,,..,,17.3,,16.3,k
124,Micronesia (Federated States of),..,,..,,..,,..,,80,,..,,..,,0.9,,..,,..,
125,Guatemala,6.4,,..,,0.0,,..,,105,,..,,201,,38.5,,..,,..,
125,Kyrgyzstan,3.5,,67,,..,,..,,181,,..,,39,,6.5,,37.7,,..,
127,Namibia,1.1,,..,,0.0,,130,,191,,30.9,,212,,..,,35.2,,40.8,
128,Timor-Leste,0,,..,,0.2,,..,,25,,0.4,,254,,6.9,,86.2,,80.7,
129,Honduras,2.6,,..,,0.9,,..,,153,,..,,46,,91.6,,12.4,,9.9,
129,Morocco,2.4,,..,,0.0,,..,,220,,5.8,,31,,1.4,,63.9,,..,
131,Vanuatu,0,,..,,5.0,,..,,76,,..,,48,,0.9,,60.0,,..,
132,Nicaragua,1.5,,..,,0.4,,..,,153,,..,,144,,12.6,,13.7,,..,
133,Tajikistan,0.7,,..,,..,,..,,130,,..,,249,,2.1,,74.4,k,..,
133,Kiribati,0,,..,,4.8,,..,,114,,..,,48,,7.3,,75.6,,59.7,
135,India,14.3,,540,,1.0,,..,,30,,1.4,,121,,3.5,,54.4,,51.0,
136,Cambodia,14,,..,,2.2,,..,,106,,..,,102,,..,,45.7,k,22.4,k
136,Bhutan,41.6,,..,,0.2,,..,,135,,..,,..,,1,,68.4,,..,
138,Ghana,24.3,,..,,1.2,,"1,000",,54,,..,,18,,15.7,,44.1,,25.7,k
139,Lao People's Democratic Republic,8,,..,,19.7,,..,,69,,..,,195,,4.6,,58.2,,49.1,
140,Congo,12.2,,7.8,,2.1,,220,,31,,..,,234,,30.8,,75.7,,..,
141,Zambia,0.2,,..,,0.1,,"1,400",,119,,..,,306,,1.8,,61.9,,49.3,
142,Sao Tome and Principe,0,,..,,0.0,,..,,128,,..,,45,,3.6,,19.5,,21.7,
142,Bangladesh,10.2,,..,,2.1,,..,,42,,..,,118,,2.7,,32.5,,..,
144,Equatorial Guinea,0.2,,..,,0.0,,..,,95,,..,,..,,20.7,,..,,..,
145,Nepal,7.6,,..,,0.9,,..,,48,,1.0,,112,,2.8,,23.2,,21.5,
146,Pakistan,33.6,,758,v,6.2,,..,,39,,1.1,,131,,7.8,,..,,..,
147,Kenya,8.9,,412,w,0.0,,"2,600",,121,,..,,166,,6.3,,52.6,,44.0,
148,Swaziland,0.1,,..,,0.0,,120,,284,,..,,262,,..,,27.6,,23.1,k
149,Angola,20.2,,..,,0.2,,"1,100",,105,,..,,153,,19,,..,,..,
150,Myanmar,215.3,,498,,0.3,,..,,120,,..,,..,,10.2,,..,,..,
151,Rwanda,97.5,,..,,0.1,,590,,492,x,..,,201,,17.1,,56.2,,25.1,
152,Cameroon,13.4,,..,,0.1,,"1,300",,119,,..,,85,,..,,46.5,,38.7,
152,Nigeria,18,,..,,0.5,,"11,500",,32,,..,,42,,12.2,,45.6,,..,
154,Yemen,2.6,,307,,1.2,,..,,55,y,4.0,,188,,4.2,,..,,..,
155,Madagascar,0.3,,..,,3.8,,..,,87,,..,,176,,8.1,,32.3,,30.1,
156,Zimbabwe,22.1,,..,,0.5,,"1,200",,129,,..,,226,,7.7,,39.6,,33.7,
157,Papua New Guinea,0.2,,..,,3.7,,320,,48,,..,,..,,13,,..,,..,
157,Solomon Islands,0.1,,..,,0.3,,..,,55,,..,,81,,3.7,,68.8,,65.1,
159,Tanzania (United Republic of),1.1,,..,,0.2,,"3,100",,78,,..,,221,,24.5,,53.5,,38.1,
159,Comoros,0.5,,..,,0.1,,..,,16,,..,,655,,12.2,,..,,..,
161,Mauritania,33.8,,..,,2.2,,..,,45,,..,,46,,14.7,,37.9,,..,
162,Lesotho,0,,..,,0.1,,220,,121,,15.6,,102,,35.2,,37.1,,48.4,
163,Senegal,18.7,,14885,,0.6,,..,,64,,..,,142,,8.7,,60.0,,24.7,
164,Uganda,5.6,,30,,1.4,,"2,700",,97,,..,,192,,10.9,,58.3,,43.7,
165,Benin,0.5,,..,,0.9,,450,,75,,..,,34,,15.1,,46.6,,13.5,
166,Sudan,558.5,z,2900,,1.3,,..,,56,,..,,..,,24.2,,47.0,,..,
166,Togo,15.7,,..,,1.8,,360,,64,,..,,98,,10.9,,43.0,,..,
168,Haiti,38.6,,360,,1.6,,430,,96,,..,,431,,6.9,,16.7,,14.9,
169,Afghanistan,2585.6,,493,,0.7,,..,,76,,..,,..,,2.4,,90.2,,..,
170,Djibouti,0.6,,..,,3.1,,43,,83,,..,,143,,3.4,,..,,..,
171,Côte d'Ivoire,100.7,,40 - 80,aa,0.4,,"1,300",,34,ab,..,,133,,56.9,,47.9,,42.0,
172,Gambia,3.1,,..,,0.4,,..,,56,,..,,102,,10.8,,74.5,,..,
173,Ethiopia,74.9,,..,,0.2,,"4,500",,136,,1.3,,314,,25.5,,68.4,,44.9,
174,Malawi,0.3,,..,,1.9,,"1,300",,76,,..,,119,,36,,12.6,,12.9,
175,Liberia,23.5,,..,,0.2,,190,,46,,..,,201,,10.1,,59.3,,30.2,
176,Mali,149.9,,353.4,,0.7,,..,,36,,..,,39,,8,,87.2,,..,
177,Guinea-Bissau,1.2,,..,,0.1,,120,,..,,..,,61,,20.2,,40.2,,..,
178,Mozambique,0.2,,..,,3.0,,"2,000",,65,,5.9,,269,,3.3,,22.9,,19.9,
179,Guinea,14.2,,..,,0.0,,670,,25,,..,,91,,22.5,,85.6,,..,
180,Burundi,73.6,,78.8,,1.0,,680,,72,,..,,581,,4.1,,72.9,,44.3,
181,Burkina Faso,1.5,,..,,0.4,,980,,28,,..,,178,,18,,43.5,,34.1,
182,Eritrea,247.8,,10,,0.4,,160,,..,,..,,488,,17.8,,70.7,,..,
183,Sierra Leone,7.4,,..,,0.4,,370,,52,,..,,209,,14.9,,73.3,,..,
184,Chad,15.8,,90,,1.1,,960,,41,,..,,216,,15.8,,62.3,,..,
185,Central African Republic,162.4,,533,ac,2.2,,..,,19,,..,,196,,29.3,,79.6,,80.3,k
186,Congo (Democratic Republic of the),509.2,,"2,770",,0.4,,"5,100",,33,,..,,..,,21.7,,75.9,,..,
187,Niger,0.8,,..,,1.3,,..,,42,,..,,77,,3.8,,70.1,,..,
,Korea (Democratic People's Rep. of),1.1,,..,,5.3,,..,,..,,..,,238,,15.2,,..,,..,
,Marshall Islands,0,,..,,..,,..,,58,,..,,..,,..,,55.9,,57.6,
,Monaco,0,,..,,..,,..,,73,,..,,..,,0,,..,,..,
,Nauru,..,,..,,..,,..,,277,,..,,..,,9.8,,..,,..,
,San Marino,0,,..,,..,,..,,6,,..,,..,,..,,..,,..,
,Somalia,1136.1,,1133,,6.8,,..,,..,,..,,..,,1.5,,75.7,j,..,
,South Sudan,86.9,ad,430,,..,,470,,65,,..,,..,,..,,78.5,,..,
,Tuvalu,0,,..,,5.5,,..,,120,,..,,..,,..,,70.0,,73.1,
,Arab States,8585,,—,,0.5,,..,,116,,..,,56,,4.9,,..,,..,
,East Asia and the Pacific,784.3,,—,,3.6,,..,,123,,..,,76,,1.8,,..,,..,
,Europe and Central Asia,463.9,,—,,..,,..,,220,,..,,..,,3.8,,26.8,,..,
,Latin America and the Caribbean,207.9,,—,,0.7,,..,,230,,..,,57,,22.7,,..,,..,
,South Asia,2901.2,,—,,1.7,,..,,46,,..,,119,,3.8,,51.9,,..,
,Sub-Saharan Africa,1768.7,,—,,0.7,,"4,535",,91,,..,,149,,17.4,,54.7,,..,
,Least developed countries,6185.7,,—,,1.3,,..,,77,,..,,187,,12.8,,52.0,,..,
,Small island developing states,54.1,,—,,1.8,,..,,231,,..,,152,,14.2,,..,,..,
,Medium human development,7369,,—,,1.1,,..,,63,,..,,104,,4.7,,46.8,,..,
,World,14902.2,,—,,2.1,,..,,145,,..,,..,,6.5,,..,,..,
,High human development,1136.6,,—,,3.2,,..,,186,,..,,62,,6.4,,..,,..,
,Very high human development,86.9,,—,,..,,..,,283,,3.1,,..,,2.3,,..,,..,
,Low human development,5085.4,,—,,1.6,,..,,71,,..,,157,,14.1,,53.8,,..,
