HDI rank,Country,Infants exclusively breastfed (%of 0-5 months olds) 2008-2012,Note 1,Infants lacking immunization DTP (% of one-year-olds) 2012,Note 2,Infants lacking immunization Measles (% of one-year-olds) 20122012,Note 3,"Mortality rates Infant (per 1,000 live births) 2012",Note 4,"Mortality rates Under-five (per 1,000 live births) 2012",Note 5,Antenatal coverage (% of live births) 2008-2012,Note 6,Child malnutrition: Stunting (moderate or severe) (% under age 5) 2008-2012,Note 7,Child malnutrition: Overweight (moderate or severe) (% under age 5) 2008-2012,Note 8,HIV prevalence Children living with HIV (ages 0-14) (thousands) 2012,Note 9,HIV Prevalence Youth (%ages 15-24) Female: 2012,Note 10,HIV Prevalence Youth (%ages 15-24) Male: 2012,Note 11,HIV prevention: Condom use among young people with multiple partners (% ages 15-24) Female: 2008-2012,Note 12,HIV prevention: Condom use among young people with multiple partners (% ages 15-24) Male: 2008-2012,Note 13,Pregnant women living with HIV not receiving treatment to prevent mother-to-child transmission (%) 2011,Note 14
24,Finland,..,,1,,3,,2,,3,,99.8,c,..,,..,,..,,..,,..,,..,,..,,..,
25,Slovenia,..,,2,,5,,3,,3,,99.5,c,..,,..,,..,,..,,..,,..,,..,,..,
26,Italy,..,,1,,10,,3,,4,,99,c,..,,..,,..,,..,,..,,..,,..,,..,
27,Spain,..,,1,,3,,4,,5,,..,,..,,..,,..,,..,,..,,..,,..,,..,
28,Czech Republic,..,,1,,2,,3,,4,,..,,..,,..,,..,,..,,..,,..,,..,,..,
29,Greece,..,,1,,1,,4,,5,,..,,..,,..,,..,,..,,..,,..,,..,,..,
30,Brunei Darussalam,..,,4,,1,,7,,8,,99,,..,,..,,..,,..,,..,,..,,..,,..,
31,Qatar,..,,6,,3,,6,,7,,100,,..,,..,,..,,..,,..,,..,,..,,..,
32,Cyprus,..,,1,,14,,3,,3,,99.2,c,..,,..,,..,,..,,..,,..,,..,,..,
33,Estonia,..,,4,,6,,3,,4,,..,,..,,..,,..,,..,,..,,..,,..,,..,
34,Saudi Arabia,..,,2,,2,,7,,9,,97,,..,,..,,..,,..,,..,,..,,..,,..,
35,Lithuania,..,,3,,7,,4,,5,,100,c,..,,..,,..,,..,,..,,..,,..,,5.0,
35,Poland,..,,1,,2,,4,,5,,..,,..,,..,,..,,..,,..,,..,,..,,..,
37,Andorra,..,,1,,2,,3,,3,,..,,..,,..,,..,,..,,..,,..,,..,,..,
37,Slovakia,..,,1,,1,,6,,8,,96.9,c,..,,..,,..,,..,,..,,..,,..,,..,
39,Malta,..,,1,,7,,6,,7,,100,c,..,,..,,..,,..,,..,,..,,..,,..,
40,United Arab Emirates,..,,6,,6,,7,,8,,100,c,..,,..,,..,,..,,..,,..,,..,,..,
41,Chile,63.0,,10,,10,,8,,9,,..,,..,,..,,..,,0.1,,0.2,,..,,..,,5.0,e
41,Portugal,..,,1,,3,,3,,4,,100,c,..,,..,,..,,..,,..,,..,,..,,..,
43,Hungary,..,,1,,1,,5,,6,,..,,..,,..,,..,,..,,..,,..,,..,,..,
44,Bahrain,..,,1,,1,,8,,10,,100,c,..,,..,,..,,..,,..,,..,,..,,..,
44,Cuba,48.6,,4,,1,,4,,6,,100,,..,,..,,..,,0.1,d,0.1,d,66.4,,..,,5.0,e
46,Kuwait,..,,1,,1,,10,,11,,100,,..,,..,,..,,..,,..,,..,,..,,..,
47,Croatia,..,,3,,5,,4,,5,,..,,..,,..,,..,,..,,..,,..,,..,,..,
48,Latvia,..,,5,,10,,8,,9,,91.8,c,..,,..,,..,,..,,..,,..,,..,,5.0,e
49,Argentina,54.0,,6,,6,,13,,14,,99.2,c,8.2,c,9.9,c,..,,0.1,,0.2,,..,,..,,5.0,
,High human development,..,,2,,3,,13,,15,,94.9,,..,,..,,..,,..,,..,,..,,..,,..,
50,Uruguay,65.2,,2,,4,,6,,7,,96.2,c,14.7,c,10.0,c,..,,0.2,,0.5,,..,,..,,5.0,
51,Bahamas,..,,1,,9,,14,,17,,98,c,..,,..,,..,,..,,..,,..,,..,,..,
51,Montenegro,19.0,c,2,,10,,6,,6,,97.4,c,7.0,c,15.6,c,..,,..,,..,,..,,..,,..,
53,Belarus,9.0,c,2,,2,,4,,5,,99.4,,4.0,c,9.7,c,..,,0.2,,0.3,,..,,..,,..,
54,Romania,16.0,c,4,,6,,11,,12,,93.5,c,13.0,c,8.3,c,..,,..,,..,,..,,..,,5.0,
55,Libya,..,,1,,2,,13,,15,,93,c,21.0,c,22.4,c,..,,..,,..,,..,,..,,..,
56,Oman,..,,1,,1,,10,,12,,99,,9.8,,1.7,,..,,..,,..,,..,,..,,..,
57,Russian Federation,..,,3,,2,,9,,10,,..,,..,,..,,..,,..,,..,,..,,..,,5.0,e
58,Bulgaria,..,,4,,6,,11,,12,,..,,..,,..,,..,,..,,..,,..,,..,,65.4,
59,Barbados,..,,7,,10,,17,,18,,100,c,..,,..,,..,,..,,..,,..,,..,,..,
60,Palau,..,,1,,9,,15,,21,,90.3,,..,,..,,..,,..,,..,,..,,..,,..,
61,Antigua and Barbuda,..,,1,,2,,9,,10,,100,,..,,..,,..,,..,,..,,..,,..,,..,
62,Malaysia,..,,1,,5,,7,,9,,90.7,,16.6,c,5.1,,..,,0.1,,0.1,,..,,..,,5.0,e
63,Mauritius,21.0,,1,,1,,13,,15,,..,,..,,..,,..,,0.3,,0.3,,..,,..,,5.0,e
64,Trinidad and Tobago,13.0,c,3,,15,,18,,21,,95.7,c,..,,..,,..,,..,,..,,67.1,c,..,,..,
65,Lebanon,14.8,,16,,20,,8,,9,,95.6,c,..,,..,,..,,..,,..,,..,,..,,..,
65,Panama,..,,1,,2,,16,,19,,95.8,,19.0,,..,,..,,0.3,,0.4,,..,,..,,5.0,e
67,Venezuela (Bolivarian Republic of),..,,10,,13,,13,,15,,94.1,c,15.6,c,6.1,c,..,,0.3,,0.3,,..,,..,,33.4,
68,Costa Rica,18.7,c,8,,10,,9,,10,,89.9,,5.6,,8.1,,..,,0.2,,0.1,,..,,..,,..,
69,Turkey,41.6,,2,,2,,12,,14,,92,,12.3,,..,,..,,..,,..,,..,,..,,..,
70,Kazakhstan,31.8,,1,,4,,17,,19,,99.9,,13.1,,0.6,,..,,..,,..,,73.5,,76.2,,5.0,e
71,Mexico,18.6,,1,,1,,14,,16,,95.8,,13.6,c,9.7,c,..,,0.1,,0.1,,..,,..,,30.8,
71,Seychelles,..,,2,,2,,11,,13,,..,,..,,..,,..,,..,,..,,..,,..,,..,
73,Saint Kitts and Nevis,..,,1,,5,,7,,9,,100,c,..,,..,,..,,..,,..,,..,,..,,..,
73,Sri Lanka,76.0,c,1,,1,,8,,10,,99.4,c,17.0,c,0.8,,..,,0.1,d,0.1,d,..,,..,,86.3,
75,Iran (Islamic Republic of),23.0,c,1,,2,,15,,18,,98.3,,..,,..,,..,,0.1,,0.1,,..,,..,,75.4,
76,Azerbaijan,12.0,c,19,,34,,31,,35,,76.6,,25.0,c,12.9,c,..,,0.1,,0.2,,..,,28.6,,5.0,e
77,Jordan,22.7,,2,,2,,16,,19,,98.8,,7.7,,4.4,,..,,..,,..,,..,,..,,..,
77,Serbia,13.7,,9,,13,,6,,7,,99,,6.6,,15.6,,..,,..,,..,,64.5,f,63.3,,66.7,
79,Brazil,41.0,,1,,1,,13,,14,,98.2,,7.0,c,7.3,c,..,,..,,..,,..,,..,,5.0,e
79,Georgia,54.8,,6,,7,,18,,20,,97.6,,11.3,,19.9,,..,,0.1,,0.3,,..,,..,,5.0,e
79,Grenada,..,,1,,6,,11,,14,,100,c,..,,..,,..,,..,,..,,..,,..,,..,
82,Peru,70.6,,1,,6,,14,,18,,95.4,,19.5,,9.8,,..,,0.2,,0.2,,38.0,"c,f",..,,5.0,e
83,Ukraine,18.0,c,24,,21,,9,,11,,98.5,c,..,,..,,..,,0.5,,0.4,,62.7,c,63.7,c,5.0,e
84,Belize,14.7,,1,,4,,16,,18,,94,,19.3,,7.9,,..,,0.6,,0.5,,25.5,"c,e",..,,16.7,
84,The former Yugoslav Republic of Macedonia,23.0,,3,,3,,7,,7,,98.6,,4.9,,12.4,,..,,..,,..,,..,,..,,..,
86,Bosnia and Herzegovina,18.5,,5,,6,,6,,7,,98.9,,8.9,c,17.4,c,..,,..,,..,,..,,67.4,,..,
87,Armenia,34.6,,2,,3,,15,,16,,99.1,,19.3,,15.3,,..,,0.1,d,0.1,d,..,,..,,25.0,
88,Fiji,39.8,c,1,,1,,19,,22,,100,,..,,..,,..,,0.1,,0.1,,..,,..,,..,
89,Thailand,15.1,,1,,2,,11,,13,,99.1,,16.0,c,8.0,c,..,,0.3,,0.3,,..,,..,,5.0,f
90,Tunisia,6.0,,1,,4,,14,,16,,96,,10.1,,14.3,,..,,0.1,d,0.1,d,..,,..,,18.2,
91,China,27.6,,1,,1,,12,,14,,94.1,,9.9,,6.6,,..,,..,,..,,..,,..,,33.9,
91,Saint Vincent and the Grenadines,..,,2,,6,,21,,23,,99.5,,..,,..,,..,,..,,..,,..,,..,,..,
93,Algeria,7.0,,1,,5,,17,,20,,89.4,c,15.0,c,12.9,c,..,,..,,..,,..,,..,,24.7,
93,Dominica,..,,2,,1,,12,,13,,100,,..,,..,,..,,..,,..,,..,,..,,..,
95,Albania,38.6,c,1,,1,,15,,17,,97.3,,19.0,c,21.7,c,..,,..,,..,,..,,54.9,,..,
96,Jamaica,15.0,c,1,,7,,14,,17,,99,,4.8,,4.0,,..,,0.5,,0.9,,49.4,,75.5,,8.7,
97,Saint Lucia,..,,1,,1,,15,,18,,99.2,c,..,,..,,..,,..,,..,,..,,..,,..,
98,Colombia,42.8,,8,,6,,15,,18,,97,,13.2,,4.8,,..,,0.2,,0.3,,38.8,,..,,22.4,
98,Ecuador,40.0,c,1,,6,,20,,23,,84.2,c,29.0,c,5.1,c,..,,0.2,,0.4,,..,,..,,5.0,
100,Suriname,2.8,,6,,27,,19,,21,,89.9,,8.8,c,4.0,c,..,,0.7,,0.4,,39.3,c,..,,5.0,
100,Tonga,..,,5,,5,,11,,13,,97.9,,..,,..,,..,,..,,..,,..,,..,,..,
102,Dominican Republic,7.8,c,8,,21,,23,,27,,98.9,c,9.8,c,8.3,,..,,0.2,,0.1,,33.9,c,61.8,c,5.0,
,Medium human development,..,,10,,20,,37,,46,,78.7,,40.3,,5.3,,..,,..,,..,,..,,..,,8.3,
103,Maldives,47.8,,1,,2,,9,,11,,99.1,,18.9,,6.5,,..,,0.1,d,0.1,d,..,,..,,..,
103,Mongolia,65.7,,1,,1,,23,,28,,99,,15.3,,10.9,c,..,,0.1,d,0.1,d,..,,68.9,,84.2,
103,Turkmenistan,11.0,c,2,,1,,45,,53,,99.1,c,19.0,c,..,,..,,..,,..,,..,,..,,..,
106,Samoa,51.3,,1,,15,,15,,18,,93,,..,,..,,..,,..,,..,,..,,..,,..,
107,"Palestine, State of",27.0,c,2,,2,,19,,23,,98.8,,10.9,,..,,..,,..,,..,,..,,..,,..,
108,Indonesia,41.5,,9,,20,,26,,31,,92.7,,35.6,,12.3,,..,,0.5,,0.4,,..,,..,,76.6,
109,Botswana,20.0,c,2,,6,,41,,53,,94.1,c,31.4,c,11.2,c,11.0,,6.7,,3.7,,..,,..,,5.0,
110,Egypt,53.2,,6,,7,,18,,21,,73.6,,28.9,,20.5,,..,,0.1,d,0.1,d,..,,..,,85.7,
111,Paraguay,24.4,,4,,9,,19,,22,,96.3,,17.5,c,7.1,c,..,,0.3,,0.2,,51.3,,..,,12.9,
112,Gabon,6.0,,14,,29,,42,,62,,94.4,,16.5,,7.4,,3.6,,1.6,,0.4,,55.7,,76.5,,27.1,
113,Bolivia (Plurinational State of),60.4,,15,,16,,33,,41,,85.8,,27.1,,8.5,,..,,0.1,,0.1,,..,,40.7,,5.0,
114,Moldova (Republic of),46.0,c,3,,9,,15,,18,,98,c,10.0,c,9.1,c,..,,0.2,,0.2,,..,,..,,23.9,
115,El Salvador,31.4,,8,,7,,14,,16,,94,,19.2,,6.0,,..,,0.2,,0.3,,..,,..,,26.7,
116,Uzbekistan,26.0,c,1,,1,,34,,40,,99,c,19.0,c,12.8,c,..,,0.1,d,0.1,d,..,,..,,5.0,
117,Philippines,34.0,,10,,15,,24,,30,,91.1,,32.0,,4.3,,..,,0.1,e,0.1,e,..,,..,,92.1,
118,South Africa,8.0,c,30,,21,,33,,45,,97.1,,33.0,c,19.2,c,410.0,,13.9,,3.9,,..,,..,,5.0,
118,Syrian Arab Republic,42.6,,32,,39,,12,,15,,87.7,,27.5,,17.9,,..,,..,,..,,..,,..,,..,
120,Iraq,19.6,,13,,31,,28,,34,,83.8,,22.6,,11.8,,..,,..,,..,,..,,..,,..,
121,Guyana,33.2,,1,,1,,29,,35,,92.1,,18.2,,6.2,,..,,0.8,,0.5,,..,,76.1,,5.0,
121,Viet Nam,17.0,,1,,4,,18,,23,,93.7,,22.7,,4.4,,..,,0.1,,0.2,,..,,..,,58.1,
123,Cape Verde,60.0,c,1,,4,,19,,22,,97.6,c,..,,..,,..,,0.1,d,0.1,d,..,,..,,..,
124,Micronesia (Federated States of),..,,3,,9,,31,,39,,80,,..,,..,,..,,..,,..,,..,,..,,..,
125,Guatemala,49.6,,2,,7,,27,,32,,93.2,,48.0,,4.9,,..,,0.2,,0.3,,27.3,f,74.3,,5.0,
125,Kyrgyzstan,32.0,c,4,,2,,24,,27,,96.9,,22.6,,4.4,,..,,0.1,,0.2,,..,,75.7,,65.7,
127,Namibia,24.0,c,11,,24,,28,,39,,94.6,c,29.0,c,4.6,c,18.0,,4.1,,2.2,,73.7,,82.2,,5.0,
128,Timor-Leste,51.5,,31,,38,,48,,57,,84.4,,58.1,,4.7,,..,,..,,..,,..,,..,,..,
129,Honduras,31.2,,12,,7,,19,,23,,91.7,,22.6,c,5.1,c,..,,0.2,,0.2,,38.0,c,59.0,,34.6,
129,Morocco,31.0,c,1,,1,,27,,31,,77.1,,14.9,,10.7,,..,,0.1,,0.1,,..,,..,,70.0,
131,Vanuatu,40.0,c,22,,48,,15,,18,,84.3,c,26.3,c,4.5,c,..,,..,,..,,..,,..,,..,
132,Nicaragua,30.6,c,1,,1,,21,,24,,90.2,c,22.0,c,6.2,c,..,,0.2,,0.3,,..,,..,,42.9,
133,Kiribati,69.0,,6,,9,,46,,60,,88.4,,..,,..,,..,,..,,..,,2.4,f,29.6,,..,
133,Tajikistan,25.0,c,4,,6,,49,,58,,88.8,,26.2,,5.9,,..,,0.1,,0.1,,..,,..,,51.9,
135,India,46.4,c,12,,26,,44,,56,,74.2,c,48.0,c,1.9,c,..,,0.1,,0.1,,17.1,"c,f",32.4,c,..,
136,Bhutan,48.7,,3,,5,,36,,45,,97.3,,33.5,,7.6,,..,,0.1,,0.1,,..,,..,,61.5,
136,Cambodia,73.5,,3,,7,,34,,40,,89.1,,39.9,,1.6,,..,,0.2,,0.2,,..,,..,,14.4,
138,Ghana,45.7,,8,,12,,49,,72,,96.4,,22.7,,2.6,,28.0,,0.5,,0.3,,27.2,,39.3,,9.8,
139,Lao People's Democratic Republic,26.0,c,13,,28,,54,,72,,35.1,,44.2,,2.0,,..,,0.2,,0.2,,..,,..,,73.7,
140,Congo,19.0,c,10,,20,,62,,96,,93,,30.0,c,3.3,,13.0,,1.3,,0.8,,44.0,,55.0,,93.0,
141,Zambia,61.0,c,14,,17,,56,,89,,93.7,c,45.4,c,7.9,c,160.0,,4.6,,3.5,,41.5,"c,f",43.1,c,5.0,
142,Bangladesh,64.1,,1,,4,,33,,41,,54.6,,41.3,,1.5,,..,,0.1,d,0.1,d,..,,..,,25.0,
142,Sao Tome and Principe,51.4,,2,,8,,38,,53,,97.9,,29.3,,10.5,,..,,0.4,,0.3,,..,,59.1,,..,
144,Equatorial Guinea,24.0,c,35,,49,,72,,100,,86.1,c,35.0,c,8.3,c,..,,..,,..,,..,,..,,..,
,Low human development,..,,18,,27,,64,,94,,70.5,,39.8,,4.2,,..,,..,,..,,..,,..,,46.1,
145,Nepal,69.6,,10,,14,,34,,42,,58.3,,40.5,,1.5,,..,,0.1,d,0.1,d,..,,45.1,,71.2,
146,Pakistan,37.0,c,12,,17,,69,,86,,60.9,c,43.7,,6.4,,..,,0.1,d,0.1,d,..,,..,,95.5,
147,Kenya,32.0,,11,,7,,49,,73,,91.5,,35.3,,4.7,,200.0,,3.6,,1.8,,37.1,,67.3,,25.0,
148,Swaziland,44.1,,3,,12,,56,,80,,96.8,,30.9,,10.7,,22.0,,20,,10.3,,68.6,,84.5,,5.0,
149,Angola,11.0,c,1,,3,,100,,164,,79.8,c,29.0,c,..,,30.0,,1.2,,0.6,,..,,..,,76.4,
150,Myanmar,23.6,,11,,16,,41,,52,,83.1,,35.1,,2.6,,..,,0.1,d,0.1,d,..,,..,,5.0,
151,Rwanda,84.9,,1,,3,,39,,55,,98,,44.2,,7.1,,27.0,,1.3,,1,,..,,..,,34.1,
152,Cameroon,20.0,,6,,18,,61,,95,,84.7,,32.5,,6.5,,59.0,,1.8,,1,,46.5,,66.5,,38.4,
152,Nigeria,15.1,,53,,58,,78,,124,,57.7,,35.8,,3.0,,430.0,,1.3,,0.7,,46.6,,..,,79.1,
154,Yemen,12.0,c,11,,29,,46,,60,,47,c,57.7,c,5.0,c,..,,0.1,,0.1,,..,,..,,97.8,
155,Madagascar,50.7,,4,,31,,41,,58,,86.3,,50.1,,..,,..,,0.3,,0.3,,6.6,,8.8,,83.7,
156,Zimbabwe,31.4,,5,,10,,56,,90,,89.8,,32.0,,5.5,,180.0,,6.3,,3.9,,38.5,f,50.5,,38.2,
157,Papua New Guinea,56.0,c,15,,33,,48,,63,,78.8,c,43.6,c,4.4,c,3.1,,0.1,d,0.1,d,..,,..,,74.9,
157,Solomon Islands,74.0,c,6,,15,,26,,31,,73.9,c,32.8,c,2.5,c,..,,..,,..,,18.0,c,39.1,,..,
159,Comoros,..,,9,,15,,58,,78,,75,,30.1,,9.3,,..,,1.6,,2.8,,..,,52.3,,..,
159,Tanzania (United Republic of),49.8,,1,,3,,38,,54,,87.8,,42.0,,5.0,,230.0,,3.6,,1.8,,33.9,,40.6,,15.3,
161,Mauritania,45.9,,5,,25,,65,,84,,75.4,,22.5,,1.2,,..,,0.2,,0.1,,..,,..,,95.7,
162,Lesotho,53.5,,7,,15,,74,,100,,91.8,,39.0,,7.3,,38.0,,10.7,,5.8,,44.9,,60.3,,30.0,
163,Senegal,39.0,,3,,16,,45,,60,,93.3,,26.5,,2.5,,..,,0.3,,0.1,,..,,..,,60.8,
164,Uganda,63.2,,11,,18,,45,,69,,93.3,,33.4,,3.4,,190.0,,4,,2.3,,..,,47.3,,43.3,
165,Benin,32.5,,12,,28,,59,,90,,85.8,,44.6,,17.9,,9.1,,0.4,,0.2,,34.6,,43.8,,63.9,
166,Sudan,41.0,,1,,15,,49,,73,,55.9,,35.0,,..,,..,,..,,..,,..,,..,,..,
166,Togo,62.4,,6,,28,,62,,96,,71.6,,29.7,,1.6,,17.0,,0.9,,0.5,,39.2,,54.4,,21.0,
168,Haiti,39.7,,19,,42,,57,,76,,84.5,,21.9,c,3.6,c,12.0,,0.9,,0.6,,51.6,c,61.8,c,5.0,
169,Afghanistan,..,,14,,32,,71,,99,,47.9,,59.0,c,4.6,c,..,,0.1,d,0.1,d,..,,..,,99.0,g
170,Djibouti,1.0,c,15,,17,,66,,81,,92.3,c,30.8,,8.1,,1.2,,0.3,,0.2,,..,,..,,80.1,
171,Côte d'Ivoire,12.1,,2,,15,,76,,108,,90.6,,29.8,,3.0,,63.0,,1.2,,0.7,,34.2,,56.5,,18.6,
172,Gambia,33.5,,1,,5,,49,,73,,98.1,,23.4,,1.9,,..,,0.5,,0.2,,49.3,f,..,,5.0,
173,Ethiopia,52.0,,20,,34,,47,,68,,42.5,,44.4,,1.7,,170.0,,0.5,,0.3,,..,,47.2,,72.3,
174,Malawi,71.4,,1,,10,,46,,71,,94.7,,47.1,,8.3,,180.0,,4.5,,2.7,,31.4,,40.5,,39.4,
175,Liberia,29.0,c,14,,20,,56,,75,,79.3,c,41.8,,4.6,,3.7,,0.1,d,0.1,d,16.2,,27.8,,23.1,
176,Mali,20.4,,15,,41,,80,,128,,70.4,,27.8,c,1.0,,..,,0.3,,0.2,,7.9,f,38.0,,57.9,
177,Guinea-Bissau,38.3,,8,,31,,81,,129,,92.6,,32.2,,3.2,,5.9,,1.7,,0.9,,50.0,,..,,59.5,
178,Mozambique,42.8,,9,,18,,63,,90,,92.3,,42.6,,7.4,,180.0,,6.6,,2.8,,38.3,,40.8,,39.0,
179,Guinea,48.0,,14,,42,,65,,101,,88.4,,34.5,,3.6,,14.0,,0.8,,0.4,,37.0,,54.0,,44.9,
180,Burundi,69.3,,1,,7,,67,,104,,98.9,,57.7,,2.7,,17.0,,0.6,,0.4,,..,,..,,38.0,
181,Burkina Faso,38.2,,6,,13,,66,,102,,94.3,,32.9,,2.4,,21.0,,0.5,,0.4,,65.3,,74.7,,45.8,
182,Eritrea,52.0,,1,,1,,37,,52,,70.3,c,44.0,c,1.6,c,3.1,,0.2,,0.2,,..,,..,,..,
183,Sierra Leone,31.6,,6,,20,,117,,182,,93,,44.4,,9.6,,5.8,,1,,0.3,,12.4,,..,,5.0,
184,Chad,3.4,,36,,36,,89,,150,,53.1,,38.7,,2.8,,34.0,,1.1,,0.6,,57.1,f,..,,86.0,
185,Central African Republic,34.3,,31,,51,,91,,129,,68.3,,40.7,,1.8,,..,,..,,..,,34.0,c,46.5,c,25.5,
186,Congo (Democratic Republic of the),37.0,,14,,27,,100,,146,,88.8,,43.4,,4.9,,88.0,,0.8,,0.4,,15.9,,..,,..,
187,Niger,23.3,,20,,27,,63,,114,,46.1,,43.9,,2.4,,..,,0.1,d,0.1,e,..,,..,,57.6,
,Korea (Democratic People's Rep. of),65.0,,3,,1,,23,,29,,100,,27.9,,..,,..,,..,,..,,..,,..,,..,
,Marshall Islands,31.0,c,3,,22,,31,,38,,81.2,c,..,,..,,..,,..,,..,,8.8,f,22.6,,..,
,Monaco,..,,1,,1,,3,,4,,..,,..,,..,,..,,..,,..,,..,,..,,..,
,Nauru,67.0,c,2,,4,,30,,37,,94.5,c,24.0,c,2.8,c,..,,..,,..,,8.2,,16.7,,..,
,San Marino,..,,2,,13,,3,,3,,..,,..,,..,,..,,..,,..,,..,,..,,..,
,Somalia,9.0,c,48,,54,,91,,147,,26.1,c,42.0,c,4.7,,..,,0.2,,0.2,,..,,..,,94.0,
,South Sudan,45.1,,21,,38,,67,,104,,40.3,,31.1,,5.4,,19.0,,1.2,,0.6,,7.3,,..,,90.0,
,Tuvalu,35.0,c,1,,2,,25,,30,,97.4,c,10.0,c,6.3,c,..,,..,,..,,..,,..,,..,
,Arab States,..,,8,,15,,28,,37,,78.1,,27.7,,..,,..,,..,,..,,..,,..,,..,
,East Asia and the Pacific,..,,4,,6,,17,,21,,93.4,,18.4,,7.0,,..,,..,,..,,..,,..,,..,
,Europe and Central Asia,..,,6,,7,,20,,23,,95.2,,15.5,,9.7,,..,,..,,..,,..,,..,,..,
,EU28,..,,2,,6,,4,,5,,..,,..,,..,,..,,..,,..,,..,,..,,..,
,Latin America and the Caribbean,..,,4,,5,,16,,19,,96.1,,14.6,,..,,..,,..,,..,,..,,..,,11.9,
,South Asia,..,,11,,22,,45,,57,,71.8,,46.7,,2.5,,..,,..,,..,,..,,..,,..,
,Sub-Saharan Africa,..,,20,,28,,64,,97,,76.9,,37.8,,4.6,,200.8,,..,,..,,..,,..,,34.8,
,Least developed countries,..,,10,,20,,57,,84,,69.1,,41.1,,3.8,,..,,..,,..,,..,,..,,33.7,
,Small island developing states,..,,11,,25,,37,,49,,92.1,,..,,..,,..,,..,,..,,..,,..,,..,
,World,..,,9,,16,,35,,47,,84.8,,..,,..,,..,,..,,..,,..,,..,,..,
