SIN(s) PROPOSED,SERVICE PROPOSED (e.g. Job Title/Task),MINIMUM EDUCATION/ CERTIFICATION LEVEL,MINIMUM YEARS OF EXPERIENCE,"UNIT OF ISSUE (e.g. Hour, Task, Sq ft)",PRICE OFFERED TO GSA (including IFF),CONTRACT NUMBER,VENDOR NAME,BUSINESS SIZE,SCHEDULE,WORKSITE,CURRENT CONTRACT YEAR,CONTRACT START DATE ,CONTRACT END DATE
132-51,IT Specialist V,Bachelors,5,Hour,$87.63,GS-35F-266CA,Nettek Systems Consultant,S,IT Schedule 70,Both,1,3/24/15,3/23/20
132-51,Junior IT Specialist III,Bachelors,1,Hour,$54.86,GS-35F-266CA,Nettek Systems Consultant,S,IT Schedule 70,Both,1,3/24/15,3/23/20
132-51,Senior Program Manager V ,Bachelors,10,Hour,$132.75,GS-35F-266CA,Nettek Systems Consultant,S,IT Schedule 70,Both,1,3/24/15,3/23/20
132-51,Senior Project Manager V,Bachelors,12,Hour,$129.52,GS-35F-266CA,Nettek Systems Consultant,S,IT Schedule 70,Both,1,3/24/15,3/23/20
132-51,Project Manager V,Bachelors,7,Hour,$109.57,GS-35F-266CA,Nettek Systems Consultant,S,IT Schedule 70,Both,1,3/24/15,3/23/20
132-51,Project Manager III,Bachelors,5,Hour,$105.58,GS-35F-266CA,Nettek Systems Consultant,S,IT Schedule 70,Both,1,3/24/15,3/23/20
132-51,Senior Task Order Manager,Bachelors,10,Hour,$113.91,GS-35F-112CA,RRP Solutions Inc.,S,IT Schedule 70,Both,1,12/16/14,12/15/19
132-51,Database Programmer,Bachelors,5,Hour,$70.28,GS-35F-112CA,RRP Solutions Inc.,S,IT Schedule 70,Both,1,12/16/14,12/15/19
132-51,Database Engineer,Bachelors,3,Hour,$84.99,GS-35F-052CA,"BEAT, LLC",S,IT Schedule 70,Both,1,10/30/14,10/29/19
132-51,Program Manager,Masters,10,Hour,$90.75,GS-35F-052CA,"BEAT, LLC",S,IT Schedule 70,Both,1,10/30/14,10/29/19
132-51,Project Manager,Bachelors,5,Hour,$78.19,GS-35F-052CA,"BEAT, LLC",S,IT Schedule 70,Both,1,10/30/14,10/29/19
132-51,Hardware Engineer,Bachelors,8,Hour,$68.80,GS-35F-052CA,"BEAT, LLC",S,IT Schedule 70,Both,1,10/30/14,10/29/19
132-51,Help Desk Manager,Bachelors,6,Hour,$74.27,GS-35F-052CA,"BEAT, LLC",S,IT Schedule 70,Both,1,10/30/14,10/29/19
132-51,Senior Help Desk Specialist - Technical,Bachelors,6,Hour,$72.37,GS-35F-052CA,"BEAT, LLC",S,IT Schedule 70,Both,1,10/30/14,10/29/19
132-51,Senior Help Desk Specialist - Functional ,Bachelors,6,Hour,$72.37,GS-35F-052CA,"BEAT, LLC",S,IT Schedule 70,Both,1,10/30/14,10/29/19
132-51,Help Desk Specialist,Associates,2,Hour,$56.61,GS-35F-052CA,"BEAT, LLC",S,IT Schedule 70,Both,1,10/30/14,10/29/19
132-51,Senior Software Engineer,Bachelors,8,Hour,$84.99,GS-35F-052CA,"BEAT, LLC",S,IT Schedule 70,Both,1,10/30/14,10/29/19
132-51,Software Application Developer,Bachelors,3,Hour,$99.69,GS-35F-052CA,"BEAT, LLC",S,IT Schedule 70,Both,1,10/30/14,10/29/19
132-51,Video Teleconferencing Specialist,High School,2,Hour,$40.08,GS-35F-052CA,"BEAT, LLC",S,IT Schedule 70,Both,1,10/30/14,10/29/19
132-51,Subject Matter Expert - Technical II,Bachelors,5,Hour,$125.42,GS-35F-052CA,"BEAT, LLC",S,IT Schedule 70,Both,1,10/30/14,10/29/19
132-51,Subject Matter Expert - Functional II,Bachelors,5,Hour,$125.42,GS-35F-052CA,"BEAT, LLC",S,IT Schedule 70,Both,1,10/30/14,10/29/19
132-51,Subject Matter Expert Board Certified Physician/Dentist,Ph.D,10,Hour,$107.45,GS-35F-052CA,"BEAT, LLC",S,IT Schedule 70,Both,1,10/30/14,10/29/19
132-51,Technical Writer,Bachelors,3,Hour,$44.52,GS-35F-052CA,"BEAT, LLC",S,IT Schedule 70,Both,1,10/30/14,10/29/19
132-51,Intermediate ERP Business Analyst,Bachelors,3,Hour,$67.74,GS-35F-052CA,"BEAT, LLC",S,IT Schedule 70,Both,1,10/30/14,10/29/19
132-51,Senior Systems Security Integration Engineer,Masters,6,Hour,$78.98,GS-35F-052CA,"BEAT, LLC",S,IT Schedule 70,Both,1,10/30/14,10/29/19
132-51,"System Security Information Assurance Engineer, Intermediate",Bachelors,3,Hour,$81.04,GS-35F-052CA,"BEAT, LLC",S,IT Schedule 70,Both,1,10/30/14,10/29/19
132-51,Junior Software Engineer,Bachelors,2,Hour,$61.06,GS-35F-052CA,"BEAT, LLC",S,IT Schedule 70,Both,1,10/30/14,10/29/19
132-51,Intermediate Software Engineer,Bachelors,4,Hour,$63.50,GS-35F-052CA,"BEAT, LLC",S,IT Schedule 70,Both,1,10/30/14,10/29/19
132-51,Network Engineer,Bachelors,4,Hour,$102.62,GS-35F-052CA,"BEAT, LLC",S,IT Schedule 70,Both,1,10/30/14,10/29/19
132-51,Systems Administrator - Virtualization ,Bachelors,4,Hour,$87.52,GS-35F-052CA,"BEAT, LLC",S,IT Schedule 70,Both,1,10/30/14,10/29/19
132-51,Enterprise Architect,Masters,6,Hour,$200.51,GS-35F-052CA,"BEAT, LLC",S,IT Schedule 70,Both,1,10/30/14,10/29/19
132-51,IT Systems Solutions Architect,Masters,6,Hour,$140.58,GS-35F-052CA,"BEAT, LLC",S,IT Schedule 70,Both,1,10/30/14,10/29/19
132-51,Project Control Analyst,Bachelors,3,Hour,$95.32,GS-35F-052CA,"BEAT, LLC",S,IT Schedule 70,Both,1,10/30/14,10/29/19
132-51,Senior ERP Business Analyst,Bachelors,5,Hour,$113.42,GS-35F-052CA,"BEAT, LLC",S,IT Schedule 70,Both,1,10/30/14,10/29/19
132-51,Applications Systems Analyst,Bachelors,3,Hour,$107.56,GS-35F-052CA,"BEAT, LLC",S,IT Schedule 70,Both,1,10/30/14,10/29/19
132-51,Systems Process Engineer,Bachelors,3,Hour,$131.31,GS-35F-052CA,"BEAT, LLC",S,IT Schedule 70,Both,1,10/30/14,10/29/19
132-51, IT Program Manager - III ,Bachelors,6,Hour,$120.70,GS-35F-214CA,"E3 Federal Solutions, LLC",S,IT Schedule 70,Both,1,3/5/15,3/4/20
132-51, IT Program Manager - II ,Bachelors,4,Hour,$107.73,GS-35F-214CA,"E3 Federal Solutions, LLC",S,IT Schedule 70,Both,1,3/5/15,3/4/20
132-51, IT Project Manager - IV ,Bachelors,6,Hour,$99.75,GS-35F-214CA,"E3 Federal Solutions, LLC",S,IT Schedule 70,Both,1,3/5/15,3/4/20
132-51, Configuration Management Analyst - III ,Bachelors,4,Hour,$99.75,GS-35F-214CA,"E3 Federal Solutions, LLC",S,IT Schedule 70,Both,1,3/5/15,3/4/20
132-51, Systems Administrator - III ,Bachelors,4,Hour,$89.77,GS-35F-214CA,"E3 Federal Solutions, LLC",S,IT Schedule 70,Both,1,3/5/15,3/4/20
132-51, Systems Administrator - I ,Bachelors,0,Hour,$64.84,GS-35F-214CA,"E3 Federal Solutions, LLC",S,IT Schedule 70,Both,1,3/5/15,3/4/20
132-51, IT Subject Matter Expert - IV ,Bachelors,8,Hour,$160.59,GS-35F-214CA,"E3 Federal Solutions, LLC",S,IT Schedule 70,Both,1,3/5/15,3/4/20
132-51, IT Analyst - V ,Bachelors,8,Hour,$125.10,GS-35F-214CA,"E3 Federal Solutions, LLC",S,IT Schedule 70,Both,1,3/5/15,3/4/20
132-51, IT Analyst - IV ,Bachelors,6,Hour,$106.73,GS-35F-214CA,"E3 Federal Solutions, LLC",S,IT Schedule 70,Both,1,3/5/15,3/4/20
132-51, IT Analyst - III ,Bachelors,4,Hour,$91.77,GS-35F-214CA,"E3 Federal Solutions, LLC",S,IT Schedule 70,Both,1,3/5/15,3/4/20
132-51, IT Analyst - II ,Bachelors,2,Hour,$66.83,GS-35F-214CA,"E3 Federal Solutions, LLC",S,IT Schedule 70,Both,1,3/5/15,3/4/20
132-51, IT Analyst - I ,Bachelors,0,Hour,$45.88,GS-35F-214CA,"E3 Federal Solutions, LLC",S,IT Schedule 70,Both,1,3/5/15,3/4/20
132-51, Software Specialist - III ,Bachelors,4,Hour,$115.71,GS-35F-214CA,"E3 Federal Solutions, LLC",S,IT Schedule 70,Both,1,3/5/15,3/4/20
132-51, Software Specialist - II ,Bachelors,2,Hour,$90.77,GS-35F-214CA,"E3 Federal Solutions, LLC",S,IT Schedule 70,Both,1,3/5/15,3/4/20
132-51, Software Specialist - I ,Bachelors,0,Hour,$62.84,GS-35F-214CA,"E3 Federal Solutions, LLC",S,IT Schedule 70,Both,1,3/5/15,3/4/20
132-51, IT Specialist - V ,Bachelors,8,Hour,$147.23,GS-35F-214CA,"E3 Federal Solutions, LLC",S,IT Schedule 70,Both,1,3/5/15,3/4/20
132-51, IT Specialist - IV ,Bachelors,6,Hour,$127.15,GS-35F-214CA,"E3 Federal Solutions, LLC",S,IT Schedule 70,Both,1,3/5/15,3/4/20
132-51, IT Specialist - III ,Bachelors,4,Hour,$107.73,GS-35F-214CA,"E3 Federal Solutions, LLC",S,IT Schedule 70,Both,1,3/5/15,3/4/20
132-51, IT Specialist - II ,Bachelors,2,Hour,$81.79,GS-35F-214CA,"E3 Federal Solutions, LLC",S,IT Schedule 70,Both,1,3/5/15,3/4/20
132-51, IT Specialist - I ,Bachelors,0,Hour,$62.84,GS-35F-214CA,"E3 Federal Solutions, LLC",S,IT Schedule 70,Both,1,3/5/15,3/4/20
132-51, Process Engineer - III ,Bachelors,4,Hour,$102.74,GS-35F-214CA,"E3 Federal Solutions, LLC",S,IT Schedule 70,Both,1,3/5/15,3/4/20
132-51, Technician - II ,Bachelors,2,Hour,$66.83,GS-35F-214CA,"E3 Federal Solutions, LLC",S,IT Schedule 70,Both,1,3/5/15,3/4/20
132-51, Technician - I ,Bachelors,0,Hour,$42.57,GS-35F-214CA,"E3 Federal Solutions, LLC",S,IT Schedule 70,Both,1,3/5/15,3/4/20
132-51,Executive Scientist,Masters,20,Hour,$241.33,GS-35F-165CA,Carr Astronautics Corporation,S,IT Schedule 70,Both,1,2/20/15,2/19/20
132-51,Consulting Scientist,Masters,20,Hour,$196.42,GS-35F-165CA,Carr Astronautics Corporation,S,IT Schedule 70,Both,1,2/20/15,2/19/20
132-51,Principal Scientist,Bachelors,15,Hour,$151.80,GS-35F-165CA,Carr Astronautics Corporation,S,IT Schedule 70,Both,1,2/20/15,2/19/20
132-51,Senior Project Manager,Bachelors,15,Hour,$151.80,GS-35F-165CA,Carr Astronautics Corporation,S,IT Schedule 70,Both,1,2/20/15,2/19/20
132-51,Senior Scientist,Bachelors,10,Hour,$124.21,GS-35F-165CA,Carr Astronautics Corporation,S,IT Schedule 70,Both,1,2/20/15,2/19/20
132-51,Project Manager,Bachelors,10,Hour,$124.21,GS-35F-165CA,Carr Astronautics Corporation,S,IT Schedule 70,Both,1,2/20/15,2/19/20
132-51,Software Quality Engineer,Bachelors,10,Hour,$124.21,GS-35F-165CA,Carr Astronautics Corporation,S,IT Schedule 70,Both,1,2/20/15,2/19/20
132-51,Scientist,Bachelors,5,Hour,$103.50,GS-35F-165CA,Carr Astronautics Corporation,S,IT Schedule 70,Both,1,2/20/15,2/19/20
132-51,Junior Project Manager,Bachelors,5,Hour,$103.50,GS-35F-165CA,Carr Astronautics Corporation,S,IT Schedule 70,Both,1,2/20/15,2/19/20
132-51,Senior Engineer,Bachelors,2,Hour,$89.70,GS-35F-165CA,Carr Astronautics Corporation,S,IT Schedule 70,Both,1,2/20/15,2/19/20
132-51,Senior Project Controller,Bachelors,3,Hour,$89.70,GS-35F-165CA,Carr Astronautics Corporation,S,IT Schedule 70,Both,1,2/20/15,2/19/20
132-51,Engineer,Bachelors,1,Hour,$82.80,GS-35F-165CA,Carr Astronautics Corporation,S,IT Schedule 70,Both,1,2/20/15,2/19/20
132-51,Senior Admin/ Project Controller,Bachelors,2,Hour,$82.80,GS-35F-165CA,Carr Astronautics Corporation,S,IT Schedule 70,Both,1,2/20/15,2/19/20
132-51,Intern,High School Diploma,2,Hour,$25.43,GS-35F-165CA,Carr Astronautics Corporation,S,IT Schedule 70,Both,1,2/20/15,2/19/20
132-51,Project Manager,Bachelors,5,Hour,$143.58,GS-35F-348BA,Heartland Technology Group LLC,S,IT Schedule 70,Both,2,4/28/14,4/27/19
132-51,Business Analyst,Bachelors,3,Hour,$136.51,GS-35F-348BA,Heartland Technology Group LLC,S,IT Schedule 70,Both,2,4/28/14,4/27/19
132-51,ERP Project Manager,Bachelors,8,Hour,$182.46,GS-35F-348BA,Heartland Technology Group LLC,S,IT Schedule 70,Both,2,4/28/14,4/27/19
132-51,EVM Specialist,Bachelors,5,Hour,$150.76,GS-35F-348BA,Heartland Technology Group LLC,S,IT Schedule 70,Both,2,4/28/14,4/27/19
132-51,Quality Assurance Analyst,Bachelors,6,Hour,$180.16,GS-35F-348BA,Heartland Technology Group LLC,S,IT Schedule 70,Both,2,4/28/14,4/27/19
132-51,Software Developer ,Bachelors,5,Hour,$141.19,GS-35F-348BA,Heartland Technology Group LLC,S,IT Schedule 70,Both,2,4/28/14,4/27/19
132-51,Software Architect,Bachelors,10,Hour,$158.14,GS-35F-348BA,Heartland Technology Group LLC,S,IT Schedule 70,Both,2,4/28/14,4/27/19
132-51,Systems Administrator - Senior,Bachelors,6,Hour,$138.60,GS-35F-348BA,Heartland Technology Group LLC,S,IT Schedule 70,Both,2,4/28/14,4/27/19
132-51,Help Desk Analyst,High School Diploma,10,Hour,$66.90,GS-35F-348BA,Heartland Technology Group LLC,S,IT Schedule 70,Both,2,4/28/14,4/27/19
132-51,LAN/WAN Engineer,Bachelors,6,Hour,$80.12,GS-35F-348BA,Heartland Technology Group LLC,S,IT Schedule 70,Both,2,4/28/14,4/27/19
132-51,Network Engineer,Bachelors,6,Hour,$199.22,GS-35F-348BA,Heartland Technology Group LLC,S,IT Schedule 70,Both,2,4/28/14,4/27/19
132-51,IT Subject Matter Expert,Bachelors,10,Hour,$252.53,GS-35F-348BA,Heartland Technology Group LLC,S,IT Schedule 70,Both,2,4/28/14,4/27/19
132-51,Database Administrator/Programmer,Bachelors,6,Hour,$143.10,GS-35F-348BA,Heartland Technology Group LLC,S,IT Schedule 70,Both,2,4/28/14,4/27/19
132-51,Security Engineer,Bachelors,6,Hour,$252.52,GS-35F-348BA,Heartland Technology Group LLC,S,IT Schedule 70,Both,2,4/28/14,4/27/19
132-51,Documentation Specialist,High School Diploma,5,Hour,$91.22,GS-35F-348BA,Heartland Technology Group LLC,S,IT Schedule 70,Both,2,4/28/14,4/27/19
132-51,Senior Program Manager,Bachelors,7,Hour,$97.73,GS-35F-290CA,"Gray Matters Technology Service, LLC",S,IT Schedule 70,Both,1,4/14/15,4/13/20
132-51,Project Manager,Bachelors,5,Hour,$87.96,GS-35F-290CA,"Gray Matters Technology Service, LLC",S,IT Schedule 70,Both,1,4/14/15,4/13/20
132-51,Senior Principal Network Engineer,Bachelors,5,Hour,$119.46,GS-35F-290CA,"Gray Matters Technology Service, LLC",S,IT Schedule 70,Both,1,4/14/15,4/13/20
132-51,Senior IT Analyst,Bachelors,5,Hour,$87.96,GS-35F-290CA,"Gray Matters Technology Service, LLC",S,IT Schedule 70,Both,1,4/14/15,4/13/20
132-51,Programmer Analyst III,Bachelors,5,Hour,$84.45,GS-35F-290CA,"Gray Matters Technology Service, LLC",S,IT Schedule 70,Both,1,4/14/15,4/13/20
132-51,Programmer Analyst II,Bachelors,5,Hour,$72.02,GS-35F-290CA,"Gray Matters Technology Service, LLC",S,IT Schedule 70,Both,1,4/14/15,4/13/20
132-51,Database Analyst III,Masters,7,Hour,$83.00,GS-35F-290CA,"Gray Matters Technology Service, LLC",S,IT Schedule 70,Both,1,4/14/15,4/13/20
132-51,Database Analyst II,Bachelors,3,Hour,$52.48,GS-35F-290CA,"Gray Matters Technology Service, LLC",S,IT Schedule 70,Both,1,4/14/15,4/13/20
132-51,Senior Functional Expert,Bachelors,7,Hour,$131.79,GS-35F-290CA,"Gray Matters Technology Service, LLC",S,IT Schedule 70,Both,1,4/14/15,4/13/20
132-51,Functional Analyst,Bachelors,5,Hour,$107.24,GS-35F-290CA,"Gray Matters Technology Service, LLC",S,IT Schedule 70,Both,1,4/14/15,4/13/20
132-51,Computer Programmer III,Bachelors,5,Hour,$76.83,GS-35F-290CA,"Gray Matters Technology Service, LLC",S,IT Schedule 70,Both,1,4/14/15,4/13/20
132-51,San Engineer,Bachelors,7,Hour,$78.19,GS-35F-290CA,"Gray Matters Technology Service, LLC",S,IT Schedule 70,Both,1,4/14/15,4/13/20
132-51,Migration Engineer,Bachelors,5,Hour,$97.73,GS-35F-290CA,"Gray Matters Technology Service, LLC",S,IT Schedule 70,Both,1,4/14/15,4/13/20
132-51,Senior Security Engineer,Bachelors,5,Hour,$53.75,GS-35F-290CA,"Gray Matters Technology Service, LLC",S,IT Schedule 70,Both,1,4/14/15,4/13/20
132-51,Microsoft Expert,Masters,10,Hour,$156.37,GS-35F-290CA,"Gray Matters Technology Service, LLC",S,IT Schedule 70,Both,1,4/14/15,4/13/20
132-51,Technical Writer,Bachelors,5,Hour,$53.75,GS-35F-290CA,"Gray Matters Technology Service, LLC",S,IT Schedule 70,Both,1,4/14/15,4/13/20
132-51,IT Move Coordinator,Bachelors,5,Hour,$48.87,GS-35F-290CA,"Gray Matters Technology Service, LLC",S,IT Schedule 70,Both,1,4/14/15,4/13/20
132-51,Senior Architect/Engineer ,Masters,10,Per Day,"$2,242.80",GS-35F-089CA,"Infokarta, Inc",S,IT Schedule 70,Both,2,11/25/14,11/24/19
132-51,Associate Consultant,Bachelors,0,Hour,$94.73,GS-35F-159CA,"OPUS Group, Inc",S,IT Schedule 70,Both,1,1/30/15,1/29/20
132-51,Senior Associate Consultant,Bachelors,2,Hour,$112.04,GS-35F-159CA,"OPUS Group, Inc",S,IT Schedule 70,Both,1,1/30/15,1/29/20
132-51,Consultant,Bachelors,3,Hour,$122.92,GS-35F-159CA,"OPUS Group, Inc",S,IT Schedule 70,Both,1,1/30/15,1/29/20
132-51,Senior Consultant,Bachelors,5,Hour,$138.24,GS-35F-159CA,"OPUS Group, Inc",S,IT Schedule 70,Both,1,1/30/15,1/29/20
132-51,Principal Consultant,Bachelors,7,Hour,$153.25,GS-35F-159CA,"OPUS Group, Inc",S,IT Schedule 70,Both,1,1/30/15,1/29/20
132-51,Senior Principal Consultant,Bachelors,9,Hour,$170.58,GS-35F-159CA,"OPUS Group, Inc",S,IT Schedule 70,Both,1,1/30/15,1/29/20
132-51,Senior Subject Matter Expert,Bachelors,12,Hour,$195.97,GS-35F-159CA,"OPUS Group, Inc",S,IT Schedule 70,Both,1,1/30/15,1/29/20
132-51,Programmer-Analyst 1,Bachelors,1,Hour,$79.26,GS-35F-192CA,"PSRI TECHNOLOGIES, LLC",S,IT Schedule 70,Both,1,2/18/15,2/17/20
132-51,Programmer-Analyst 2,Bachelors,3,Hour,$84.22,GS-35F-192CA,"PSRI TECHNOLOGIES, LLC",S,IT Schedule 70,Both,1,2/18/15,2/17/20
132-51,Programmer-Analyst 3,Bachelors,6,Hour,$89.16,GS-35F-192CA,"PSRI TECHNOLOGIES, LLC",S,IT Schedule 70,Both,1,2/18/15,2/17/20
132-51,Web Designer 1,Associates,1,Hour,$54.90,GS-35F-192CA,"PSRI TECHNOLOGIES, LLC",S,IT Schedule 70,Both,1,2/18/15,2/17/20
132-51,Web Designer 2,Associates,3,Hour,$59.47,GS-35F-192CA,"PSRI TECHNOLOGIES, LLC",S,IT Schedule 70,Both,1,2/18/15,2/17/20
132-51,Web Designer 3,Associates,6,Hour,$64.04,GS-35F-192CA,"PSRI TECHNOLOGIES, LLC",S,IT Schedule 70,Both,1,2/18/15,2/17/20
132-51,Software Engineer 1,Bachelors,1,Hour,$79.26,GS-35F-192CA,"PSRI TECHNOLOGIES, LLC",S,IT Schedule 70,Both,1,2/18/15,2/17/20
132-51,Software Engineer 2,Bachelors,4,Hour,$84.22,GS-35F-192CA,"PSRI TECHNOLOGIES, LLC",S,IT Schedule 70,Both,1,2/18/15,2/17/20
132-51,Software Engineer 3,Bachelors,8,Hour,$89.16,GS-35F-192CA,"PSRI TECHNOLOGIES, LLC",S,IT Schedule 70,Both,1,2/18/15,2/17/20
132-51,System Analyst 1,Bachelors,1,Hour,$79.26,GS-35F-192CA,"PSRI TECHNOLOGIES, LLC",S,IT Schedule 70,Both,1,2/18/15,2/17/20
132-51,System Analyst 2,Bachelors,3,Hour,$84.22,GS-35F-192CA,"PSRI TECHNOLOGIES, LLC",S,IT Schedule 70,Both,1,2/18/15,2/17/20
132-51,System Analyst 3,Bachelors,6,Hour,$89.16,GS-35F-192CA,"PSRI TECHNOLOGIES, LLC",S,IT Schedule 70,Both,1,2/18/15,2/17/20
